cyc,delay from wiggle start,wiggle time col,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
85,1825,0.85,44.74,85,26582.7,-1.37564,57.8364,12.6809,116.516,3.6935,-1914.82,183.966,-21.3459,-15.2475,-36.4237,-11.032,-6.77795,-1060.71,609.243,84.4363,31843.5,254105,-14.6668,-8.56848,-23.0656,-4.35297,-0.0989103,0.545531,2097,139.538,33331.2,0.0591901,0.895697,0.0076528,35428.2 
86,1825,0.85,44.85,86,30310.4,-0.0539054,60.0865,12.8554,116.533,-0.0225673,-95.5091,500,-12.3631,-11.4891,-27.0756,-4.34809,-12.3802,-974.589,5570.69,175.77,30168.1,25215.5,-6.22637,-5.35241,-14.8022,1.78863,-6.24343,0.519967,6937.64,226.398,31535.1,0.180326,0.945977,0.0130523,38472.7 
87,1825,0.85,44.76,87,27587.4,-0.17872,57.6577,12.9066,116.902,0.314046,11.4088,408.224,-20.2982,-14.2949,-31.2471,-18.1471,-13.4576,-1144.12,2010.32,123.517,31715.4,24341.6,-13.0939,-7.09066,-16.8386,-10.9428,-6.25332,0.689436,3615.07,182.952,33320.1,0.0978759,0.918641,0.0100132,36935.2 
88,1825,0.85,44.88,88,23186.9,-1.42764,52.9156,12.5779,116.368,0.389058,400.279,499.993,-24.3939,-22.7245,-33.4002,-10.7277,-12.2691,-1269.92,2036.81,116.876,27599.3,26735.9,-16.3976,-14.7282,-17.4075,-2.73132,-4.27274,0.686562,3818,182.846,29380.5,0.115005,0.922672,0.0113342,33198.5 
89,1825,0.85,44.9,89,30909.8,-0.0216598,61.9117,12.7998,116.804,-0.00273226,3.60262,500,-10.135,-15.3773,-28.2165,-13.2917,-12.5731,-1205.38,786.924,102.103,35744.8,25797.5,-2.54504,-7.78732,-13.0366,-5.70169,-4.9831,0.617176,2477.59,164.72,37435.5,0.0620748,0.895779,0.00804029,39913.1 
90,1825,0.85,44.75,90,27406.5,-0.728296,58.2331,12.689,116.856,2.29763,-605.514,0.000233112,-13.236,-11.8695,-27.0604,-9.20634,-7.47003,-1087.44,1095.35,103.506,32308.8,69344,-6.38864,-5.02213,-13.3657,-2.35899,-0.622679,0.518494,2620.59,159.996,33834.1,0.0718864,0.90347,0.00863582,36454.7 
91,1825,0.85,44.8,91,27474.5,-0.124303,57.8394,12.3715,117.014,0.0859306,28.9757,500,-18.0247,-10.8608,-22.1348,-15.9383,-10.9615,-1088.02,5903.4,146.896,27154.5,23375,-11.1737,-4.00983,-8.43289,-9.08729,-4.11057,0.770934,7429.45,203.417,28680.6,0.205745,0.954276,0.0128966,36110 
92,1825,0.85,44.81,92,27988.6,-0.868556,59.1359,12.5773,117.144,1.84598,-1072.57,500,-16.787,-14.962,-25.5584,-16.9984,-10.5256,-965.873,6405.62,160.6,27294.4,88666,-10.7051,-8.88015,-13.3948,-10.9165,-4.44372,0.722907,7760.35,210.775,28649.1,0.213141,0.954626,0.0133713,36409.5 
93,1825,0.85,44.89,93,26996.1,-0.198439,55.6728,12.7835,116.941,0.289574,-149.266,0.00588336,-14.2716,-17.1347,-42.0156,-10.6432,-6.7832,-1154.07,1471.21,138.33,31355.3,24575.1,-7.00475,-9.86787,-27.4818,-3.37628,0.483678,0.418338,3089.91,198.281,32974,0.0856786,0.899039,0.0109557,36063.9 
94,1825,0.85,44.82,94,30664.8,-0.0191726,60.7639,12.8043,116.818,-0.152877,166.975,499.866,-11.9318,-15.8956,-18.6376,-18.3559,-10.7873,-942.288,6910.4,187.724,29236.5,26158.7,-5.99843,-9.96226,-6.77088,-12.4226,-4.85394,0.830762,8232.05,236.674,30558.1,0.21222,0.952097,0.0140665,38790.2 
95,1825,0.85,44.83,95,28682.2,-0.443963,56.7361,13.2094,116.706,-0.164223,-306.798,9.37563e-05,-13.7911,-12.5708,-30.2462,-20.995,-14.9565,-971.87,6821.89,189.501,27407.8,26037.2,-7.67151,-6.45118,-18.007,-14.8754,-8.83693,0.677537,8185.03,239.988,28771,0.22148,0.951194,0.015133,36956 
96,1825,0.85,44.87,96,29218.3,-1.47307,60.5543,13.2306,116.695,-0.359945,131.68,71.2464,-3.36687,-13.4316,-37.597,-11.281,-15.4684,-997.387,3191.43,143.722,31852.6,27623.7,2.91341,-7.15127,-25.0364,-5.00075,-9.18812,0.423962,4590.37,195.534,33251.6,0.121304,0.930627,0.0107163,37841.9 
97,1825,0.85,44.79,97,28707.9,-1.30763,58.8409,13.1147,116.872,-2.0861,-664.869,168.989,-17.5958,-14.8119,-31.6317,-11.3723,-18.3237,-924.516,5036.87,158.157,29052.2,70271.7,-11.7743,-8.99052,-19.9888,-5.55088,-12.5023,0.660094,6333.59,206.184,30348.9,0.17266,0.946101,0.0123602,36682.5 
98,1825,0.85,44.77,98,30090,-0.0151724,59.6732,12.8835,116.744,-0.0423252,3.23804,500,-8.3425,-19.3793,-31.9462,-17.0122,-7.7523,-1008.67,2950.92,136.721,32332.8,25031.3,-1.99118,-13.028,-19.2435,-10.6609,-1.40098,0.584594,4365.67,189.119,33747.6,0.114545,0.929533,0.0102176,38113.2 
99,1825,0.85,44.86,99,32346.9,-0.0133234,62.3557,13.0999,116.808,-0.0219742,17.4665,500,-14.7352,-9.16852,-29.8318,-18.939,-14.9927,-927.977,4906.79,170.812,32659.6,26603.8,-8.89199,-3.32529,-18.1454,-13.0958,-9.14952,0.655083,6208.37,219.019,33961.1,0.154554,0.941853,0.0117404,40169.5 
100,1825,0.85,44.84,100,28973.6,-0.0175099,60.0922,12.3228,116.894,-0.0923933,9.91573,499.758,-14.0162,-18.1534,-29.9499,-11.286,-15.5537,-898.874,6152,149.857,28224.5,24135.7,-8.35626,-12.4934,-18.63,-5.62601,-9.89371,0.66127,7412.76,196.552,29485.3,0.200898,0.955656,0.0121307,36898 
101,1825,0.85,44.78,101,29445.8,0.0158461,58.4448,12.8434,116.73,-0.106821,-40.4181,500,-11.2237,-17.296,-29.9556,-13.8803,-12.1358,-887.022,3880.72,143.306,30577.5,24576.1,-5.63835,-11.7106,-18.7849,-8.295,-6.55045,0.63152,5124.86,189.385,31821.7,0.13871,0.939258,0.0108443,36946.5 
