cyc,delay from wiggle start,charge col start,wait,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
170,395,0.58,0.29,44.74,170,25726,-1.29038,55.5334,12.6976,116.51,6.43042,-6044.02,108.988,-13.0463,-12.5194,-16.7144,-13.2258,-7.87964,-1002.89,463.99,86.3216,30832.8,1.28816e+06,-6.73133,-6.20441,-4.08445,-6.9108,-1.56469,0.839798,1870.65,138.42,32239.5,0.0548413,0.885353,0.007847,34110.1 
171,395,0.58,0.29,44.85,171,27360.7,-0.105379,57.8825,12.1837,116.846,-0.0483851,37.9942,500,-12.9145,-12.4281,-22.1349,-7.54569,-15.6596,-933.603,5288.86,120.93,27526.6,23017.2,-7.03587,-6.54946,-10.3776,-1.66705,-9.78094,0.706937,6598.33,169.428,28836.1,0.186213,0.956997,0.0107075,35434.4 
172,395,0.58,0.29,44.76,172,23689.6,-0.208888,52.4608,12.3274,116.401,0.417051,-354.087,159.404,-23.4987,-11.8467,-26.2586,-11.9395,-13.2196,-1082.75,1237.94,87.0721,28506.6,25859.6,-16.6809,-5.02892,-12.623,-5.12177,-6.40183,0.724727,2756.6,143.319,30025.3,0.0840891,0.916603,0.00871623,32781.9 
173,395,0.58,0.29,44.88,173,26491,-1.39908,59.2282,12.3942,116.842,-10.1187,3518.89,392.128,-10.1196,-11.0705,-11.494,-4.79289,-4.13155,-962.279,1916.9,77.8662,30388.9,1.18301e+06,-4.06036,-5.01124,0.624427,1.26633,1.92766,1.11887,3266.59,127.855,31738.6,0.0933174,0.935896,0.00736602,35005.2 
174,395,0.58,0.29,44.9,174,26621.9,-0.0443063,57.8504,12.1382,116.659,-0.0294289,37.423,2.26356e-08,-8.14445,-15.1191,-30.3628,-11.2759,-12.81,-1109.16,579.29,69.9259,31772.7,22894.8,-1.16034,-8.13499,-16.3946,-4.29179,-5.82594,0.542148,2135,127.545,33328.4,0.0602028,0.90535,0.00700021,35463.4 
175,395,0.58,0.29,44.75,175,25036.7,-1.45118,56.8046,12.4709,116.309,0.260029,589.523,174.357,-20.0916,-16.7715,-27.6756,-13.6234,-10.468,-1128.97,823.397,70.3536,30548.2,28051,-12.9828,-9.66266,-13.458,-6.5146,-3.35921,0.707291,2406.88,129.001,32131.7,0.0696867,0.914249,0.00734131,34538.6 
176,395,0.58,0.29,44.8,176,26949.9,-0.0358652,58.942,11.8601,116.556,-0.05209,-1.16698,500,-8.88914,-6.00097,-12.0829,-7.82202,-15.1932,-889.31,5342.71,118.425,27076.2,22758.6,-3.28939,-0.401219,-0.883449,-2.22227,-9.59341,0.946097,6590.06,164.623,28323.6,0.188753,0.958115,0.0105933,34913.6 
177,395,0.58,0.29,44.81,177,26554.9,-0.229593,57.2877,12.1007,116.616,0.170559,-50.5834,0.600308,-12.9759,-16.5299,-29.8635,-11.5513,-16.6056,-864.074,5754.85,125.721,26399,22847.5,-7.53503,-11.0891,-18.9818,-6.11041,-11.1648,0.654128,6966.79,170.608,27611,0.201482,0.958906,0.0112543,34577.8 
178,395,0.58,0.29,44.89,178,25491.6,-0.138647,54.7162,12.2242,116.277,0.0745182,-1.05642,0.306153,-17.464,-17.5106,-9.98023,-15.5687,-7.38431,-967.26,1361.83,103.678,29834.4,21776.2,-11.3734,-11.42,2.20093,-9.47811,-1.29373,1.07017,2718.51,153.925,31191.1,0.0801693,0.909846,0.00900874,33909.6 
179,395,0.58,0.29,44.82,179,28827,-0.00904733,61.8142,11.8678,116.321,-0.00120867,-53.6919,500,-3.60819,-15.2734,-26.0244,-12.5877,-8.60909,-815.664,6102.7,116.487,28065.7,23883.3,1.52783,-10.1374,-15.7523,-7.45171,-3.47307,0.55359,7246.75,158.859,29209.8,0.198778,0.963055,0.00991901,36456.5 
180,395,0.58,0.29,44.83,180,28332.3,-1.25309,60.0663,12.6115,116.656,0.480828,-128.825,24.0108,-16.2554,-6.39345,-22.9906,-14.2753,-17.1042,-894.036,6062.49,140.675,27759.2,26676.3,-10.6259,-0.763947,-11.7316,-8.6458,-11.4747,0.728699,7316.46,187.118,29013.2,0.201391,0.957161,0.011741,36329.7 
181,395,0.58,0.29,44.87,181,25000.4,-0.526391,56.7752,11.9062,116.688,5.77027,-2849.04,0.0669742,-13.8546,-13.5367,-13.3312,-15.7464,-8.10099,-966.817,2802.22,82.909,28087.2,557172,-7.76678,-7.44892,-1.15557,-9.65857,-2.01321,0.958793,4158.27,133.133,29443.2,0.123752,0.946944,0.00826062,33601.5 
182,395,0.58,0.29,44.79,182,23939.2,-0.866944,54.5918,12.0403,116.453,0.442535,-92.3112,500,-10.7338,-6.27866,-40.5446,-11.6238,-18.1434,-913.208,4078.94,110.181,25828.5,22727.2,-4.9836,-0.528431,-29.0441,-5.87361,-12.3932,0.450161,5359.8,157.62,27109.4,0.165073,0.951055,0.0105969,32469.2 
183,395,0.58,0.29,44.77,183,25901,-0.467145,56.6267,12.1114,116.607,0.243276,-31.547,499.999,-23.393,-20.7458,-20.1257,-13.0417,-12.073,-914.929,2098.81,78.3077,29428.4,22575.9,-17.632,-14.9847,-8.60353,-7.28063,-6.31195,0.843038,3382.09,125.837,30711.7,0.0991997,0.938869,0.00749121,34093.8 
184,395,0.58,0.29,44.86,184,26069.7,-0.060115,56.5607,12.0735,116.561,0.294002,-224.282,4.04058e-11,-18.1254,-9.77302,-35.7112,-16.4083,-17.7231,-959.357,3973.22,106.957,27695.3,24376.8,-12.0845,-3.7322,-23.6296,-10.3675,-11.6823,0.615755,5318.81,156.794,29040.9,0.154798,0.950942,0.00984771,34359.7 
185,395,0.58,0.29,44.84,185,27784.9,-0.158284,59.3204,-12.1315,116.605,0.129399,-42.3122,497.385,-12.6969,-21.3561,-26.9991,-13.9965,-13.4686,-689.978,5930.23,132.814,27500.6,23605.1,-8.35228,-17.0115,-18.3099,-9.65185,-9.12401,0.706804,6897.99,168.657,28468.3,0.195044,0.958968,0.0107955,35366.3 
186,395,0.58,0.29,44.78,186,27401.2,-1.29615,58.8493,12.6116,116.839,1.29932,62.685,249.555,-14.6448,-17.41,-32.4898,-11.9522,-4.4325,-810.609,3589.76,126.674,29336.1,26811.9,-9.54058,-12.3058,-22.2815,-6.84797,0.671691,0.557065,4726.71,168.784,30473.1,0.134283,0.941185,0.0101,35199.8 
