cyc,delay from wiggle start,charge col start,wait,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
75,325,0.65,0.22,44.75,75,41783.8,-0.00747206,67.6593,12.952,115.87,-0.107594,39.2408,2.62688,8.35624,8.041,10.2647,5.67838,1.84236,879.533,3656.18,238.956,38049.8,28664.6,2.81805,2.50281,-0.8117,0.140197,-3.69582,1.85125,2422.55,193.266,36816.1,0.0617388,0.877492,0.00957752,39238.7 
76,325,0.65,0.22,44.89,76,46539.6,0.245811,74.1839,-13.2513,115.709,-0.554902,214.102,163.433,9.1273,6.16736,10.3041,6.95949,3.41064,785.011,3318.42,238.026,42797.9,35868.6,4.18429,1.22435,0.418049,2.01648,-1.53237,0.933757,2217.36,197.246,41696.9,0.050493,0.865297,0.00863877,43914.2 
77,325,0.65,0.22,44.84,77,46959,-0.0273183,77.0698,12.8304,115.974,-0.0112548,-20.4194,500,8.99123,5.30189,9.40014,5.58577,1.65383,889.034,9543.73,258.655,37187.1,32197.4,3.39322,-0.29612,-1.79588,-0.0122458,-3.94418,0.323638,8296.77,212.472,35940.1,0.187553,0.957107,0.0107729,44236.9 
78,325,0.65,0.22,44.81,78,47859,0.291105,77.7389,12.9479,116.158,-0.557067,252.531,142.615,10.0133,4.43195,3.56997,2.34647,1.38948,911.809,10417.4,279.215,37066.5,37346.3,4.27189,-1.30947,-7.91287,-3.39495,-4.35194,0.376809,9138.5,231.849,35787.6,0.203412,0.957489,0.0117933,44926.1 
79,325,0.65,0.22,44.76,79,46110.5,0.328226,73.1467,13.184,116.01,-0.727705,112.983,94.9091,12.4914,3.02028,4.23237,3.40872,-0.421524,888.23,5149.25,269.074,40847,34069.8,6.8985,-2.57267,-6.95352,-2.18422,-6.01447,0.357725,3903.42,222.932,39601.2,0.0897244,0.909136,0.0102636,43504.6 
80,325,0.65,0.22,44.77,80,46994.2,-0.0329844,75.8398,13.1083,115.966,-0.0169046,5.50972,1.09411e-10,10.8989,8.45999,5.44072,5.30937,-0.371778,870.672,5948.27,234.979,40824.2,32365.3,5.41652,2.9776,-5.52406,-0.173021,-5.85417,-0.749712,4727.07,189.749,39603,0.106634,0.934364,0.00874883,44330 
81,325,0.65,0.22,44.87,81,45619.3,0.117116,72.0494,13.3143,115.674,0.326468,-515.287,498.846,6.06968,3.93423,10.8537,5.38872,-2.6533,901.436,5496.56,265.426,39918.6,36704.2,0.393578,-1.74188,-0.498527,-0.287379,-8.3294,0.952356,4232.21,218.599,38654.3,0.098684,0.917103,0.0103101,42886.5 
82,325,0.65,0.22,44.8,82,46221,0.344687,74.1076,13.0203,115.929,0.859624,-511.313,10.2948,10.0041,6.29886,3.58122,6.0414,0.901989,876.468,9048.1,246.492,36831.8,45719.1,4.48517,0.779978,-7.45655,0.522511,-4.6169,-0.186255,7818.77,200.961,35602.5,0.180068,0.956957,0.0102909,43421.2 
83,325,0.65,0.22,44.79,83,44104.7,-0.0611236,70.5416,13.1207,115.921,-0.0433936,20.0587,493.376,9.64973,5.16582,5.6231,3.18445,0.728268,915.065,8073.8,290.174,35837.5,30158.3,3.88781,-0.596101,-5.90074,-2.57748,-5.03365,0.422637,6790.33,242.638,34554,0.164238,0.941148,0.0127701,41344.4 
84,325,0.65,0.22,44.88,84,45104.6,-0.0375258,72.7165,13.0644,115.854,3.85452e-05,-4.64507,1.21502e-10,12.9391,11.3114,5.8115,7.38212,3.48978,852.399,4140.26,204.872,40776.8,30925.5,7.57176,5.94406,-4.92315,2.01479,-1.87754,1.56394,2944.69,160.592,39581.2,0.0692446,0.912877,0.00741847,42525.9 
85,325,0.65,0.22,44.83,85,44690.6,0.0451595,73.7741,12.5948,115.912,-0.270082,132.289,500,10.6698,5.33106,4.15112,7.24062,3.65964,859.886,9551.55,242.771,35102,31410.7,5.25536,-0.0834132,-6.67783,1.82615,-1.75484,-3.65493,8345.48,198.102,33896,0.197566,0.960116,0.0106513,42241.4 
86,325,0.65,0.22,44.82,86,46126.6,0.367951,73.6226,13.0424,116.085,-0.780375,73.1421,479.17,7.63646,6.61849,8.87314,6.10932,2.34656,902.652,10004.6,264.533,35852.8,33116.2,1.9527,0.934732,-2.49438,0.425565,-3.3372,0.00960949,8738.58,217.642,34586.7,0.201697,0.958235,0.0114589,43325.3 
87,325,0.65,0.22,44.78,87,49347.1,-0.0609578,79.9584,13.1122,115.639,2.14086,-979.03,500,11.8184,7.93683,4.7679,7.68525,-1.98361,863.151,6809.45,236.629,42279.7,102360,6.38335,2.5018,-6.10216,2.25022,-7.41864,-1.5581,5598.8,191.79,41069,0.119971,0.943443,0.00852915,46667.8 
88,325,0.65,0.22,44.86,88,45138.3,-0.0257444,72.1367,-13.2345,116.133,-0.029516,16.5355,2.9473e-11,8.93997,6.18001,10.0862,6.7381,4.00703,882.001,6894.03,265.361,38209.3,31094.2,3.38624,0.626283,-1.02123,1.18437,-1.5467,1.38845,5656.94,219.542,36972.2,0.132701,0.936403,0.0108201,42629.1 
89,325,0.65,0.22,44.85,89,48981.3,0.114455,76.7998,13.4303,115.611,0.209568,-582.924,499.998,12.0398,5.14313,6.44269,5.69813,4.20041,925.068,8099.77,285.856,40442.2,37553.8,6.21488,-0.681779,-5.20713,-0.126784,-1.6245,-2.65332,6802.27,237.801,39144.7,0.148046,0.942349,0.0110668,45946.9 
