cyc,delaytime,windowsamples,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
26,19.3,24,44.703,26,32126.9,-0.0292663,62.5639,11.7076,116.204,0.0390655,-50.4749,8.80021e-11,-0.424965,-0.419398,-2.82161,-1.45778,3.4326,86.9094,1075.07,58.6659,32317.2,23908.7,-0.97221,-0.966643,-3.9161,-2.00503,2.88536,0.212785,953.167,54.1511,32195.3,0.0287545,0.90957,0.00308878,33148.4 
27,19.3,24,44.743,27,32721.8,-0.392803,64.5284,11.7051,116.381,0.187966,-2138.3,393.077,0.928885,-4.8288,-0.463059,-2.07296,-1.84728,51.3843,2078.88,47.1564,31950.4,37671.9,0.605332,-5.15235,-1.11017,-2.39651,-2.17083,0.891421,2006.8,44.4871,31878.4,0.0592237,0.962655,0.00256411,33885.2 
28,19.3,24,44.843,28,34243.5,-0.0149456,66.9013,11.6084,116.472,-0.0689448,4.00137,500,-1.90607,1.7588,-0.633534,-5.34689,-0.201412,126.834,3293.87,72.3008,32176.1,25290.4,-2.70472,0.96016,-2.23082,-6.14553,-1.00005,0.799404,3115.98,65.712,31998.2,0.0887384,0.964408,0.00376872,35114.1 
29,19.3,24,44.723,29,32271.4,-0.0074551,62.7414,11.6639,116.092,-0.0113416,-32.2209,500,-2.08918,-2.3442,-5.18138,-1.79676,0.0360881,68.7695,1710.45,52.2619,31741.7,23834.8,-2.5222,-2.77723,-6.04743,-2.22978,-0.396935,0.567224,1614,48.6895,31645.2,0.0485278,0.949855,0.00282626,33259.2 
30,19.3,24,44.883,30,32983,-0.00586467,64.0639,11.6235,116.047,0.00370746,37.3298,500,-1.44935,0.473789,-3.76218,-0.126087,3.09137,89.5509,2845.92,57.8966,31265.3,24245.3,-2.01323,-0.0900893,-4.88994,-0.689965,2.52749,0.0515532,2720.31,53.2446,31139.7,0.0803399,0.966882,0.00313985,33860.1 
31,19.3,24,44.863,31,31790.9,-0.0573133,64.4383,11.3619,116.456,-0.0534809,120.768,2.59906e-07,0.559953,1.77545,0.613432,-1.66438,1.87662,148.692,2760.82,43.1555,30602.6,24043.9,-0.37632,0.839174,-1.25912,-2.60065,0.940346,0.487449,2552.26,35.4312,30394,0.0774674,0.976282,0.0021428,32946.3 
32,19.3,24,44.943,32,32415.4,-0.0584665,63.388,11.712,116.295,-0.0893474,187.93,7.45795e-11,2.99149,0.26036,-3.15632,-0.545887,3.32533,118.501,978.218,36.9105,32734.1,24714.1,2.24532,-0.485812,-4.64866,-1.29206,2.57916,-1.90168,812.009,30.7546,32567.9,0.0243263,0.937839,0.00173652,33379.9 
33,19.3,24,44.903,33,32974.6,-0.0214789,64.1979,11.6765,116.498,-0.127284,260.86,500,-1.50609,-0.00707745,-3.77144,-1.71106,0.570375,43.0143,2064.84,60.5545,32192,25483,-1.77694,-0.277927,-4.31314,-1.98191,0.299526,0.464232,2004.51,58.32,32131.7,0.0587209,0.951552,0.00333234,34136.2 
34,19.3,24,44.823,34,34533.9,-0.32882,67.5347,11.6761,116.316,-0.413711,522.042,500,-1.62445,-0.481823,-0.909202,-4.43604,3.21263,48.7534,3779.1,71.7848,31889.6,32700.4,-1.93144,-0.78881,-1.52318,-4.74303,2.90565,0.749511,3710.72,69.2521,31821.2,0.104433,0.968373,0.00399295,35531.9 
35,19.3,24,44.783,35,33327,-0.184573,65.5226,11.673,116.39,-0.199078,211.055,499.205,1.96259,1.65168,-2.87629,-1.7574,-0.968055,67.9019,3204.26,46.0357,31428,26266,1.53503,1.22412,-3.73141,-2.18496,-1.39562,0.180421,3109.02,42.5083,31332.7,0.090269,0.976632,0.00249291,34441.8 
36,19.3,24,44.763,36,32796,-0.0107988,63.6897,11.6628,116.494,-0.0671431,23.2019,500,3.38994,1.88289,-2.83043,-2.05819,2.08041,105.824,2615.44,56.2308,31366.5,24231.3,2.7236,1.21655,-4.16312,-2.72453,1.41406,-1.71487,2467.01,50.7335,31218.1,0.0732376,0.965262,0.00298473,33685.1 
37,19.3,24,44.803,37,32638.9,0.082955,63.3328,11.5911,116.145,0.0766833,-82.9841,3.7813e-12,-5.39159,-3.79526,-0.291943,-4.35892,-2.74393,91.6402,3523.86,76.2632,30294.3,24104.5,-5.96862,-4.37229,-1.44601,-4.93595,-3.32097,0.927858,3395.32,71.5027,30165.8,0.101168,0.964456,0.00434741,33561.1 
38,19.3,24,44.923,38,32537.4,-0.386662,63.8975,11.7471,116.744,-0.191878,375.276,332.476,1.10933,2.67369,-3.55782,0.334571,2.47519,85.7594,1511.57,39.7762,32219.5,26778.9,0.569324,2.13369,-4.63783,-0.205433,1.93519,-21.6166,1391.29,35.3212,32099.2,0.0415427,0.957462,0.0020229,33490.5 
