cyc,delaytime,windowsamples,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
84,9.3,10,44.2,84,33564.5,-0.486011,66.549,11.7836,115.035,1.22931,-682.786,284.846,4.54819,2.56562,5.66482,1.57321,1.23202,17.3772,537.268,40.807,34540,52851.7,4.43877,2.45621,5.44599,1.46379,1.1226,0.635167,512.895,39.9043,34515.6,0.0146422,0.880163,0.00212518,35028.5 
85,9.3,10,45.34,85,33814.6,0.117141,66.1638,11.7293,114.589,-0.162525,104.96,0.00336691,3.59831,-2.36731,7.3802,-2.2506,0.568151,0.980584,777.053,29.1088,34527.2,25818.6,3.59214,-2.37348,7.36785,-2.25678,0.561977,-0.0690898,775.677,29.0579,34525.9,0.0219729,0.938476,0.00154797,35301.6 
86,9.3,10,45.22,86,34794.9,-0.3648,68.2182,11.8749,114.621,0.104098,-302.52,1.79229e-06,3.89653,1.40729,2.30074,-0.906299,2.65768,58.1107,895.994,50.1847,35365.3,27396.1,3.53063,1.04139,1.56892,-1.27221,2.29177,0.780892,814.488,47.166,35283.8,0.022563,0.907985,0.0024564,36098.3 
87,9.3,10,44.5,87,34915.7,-0.519863,68.9878,11.8481,114.834,-1.51812,2102.08,490.007,2.02835,-0.642946,3.70395,2.79179,1.44689,36.0448,1144.53,42.9941,35317.7,130493,1.80138,-0.869911,3.25002,2.56483,1.21993,0.592026,1093.98,41.1216,35267.2,0.0300864,0.938279,0.00214329,36361.2 
88,9.3,10,44.56,88,32838,-0.0962062,65.5651,11.5857,114.892,0.0430065,-12.1784,500,2.49389,-1.4754,8.36325,0.423555,1.12693,54.5322,1208.37,44.3828,33207.1,24745,2.15052,-1.81878,7.6765,0.0801802,0.783552,0.134747,1131.88,41.5499,33130.6,0.0330355,0.939637,0.00230491,34262.5 
89,9.3,10,44.26,89,34712,-0.0369622,67.4974,11.8699,114.947,0.00075365,-0.837612,499.893,8.39527,0.964833,4.94021,1.65171,1.06188,0.57967,639.373,35.5204,35491.8,26081.2,8.39162,0.961183,4.93291,1.64806,1.05823,0.709692,638.56,35.4903,35491,0.0176742,0.911359,0.00183868,36129.6 
90,9.3,10,44.74,90,34868.4,-0.0411292,68.1666,11.7699,115.012,0.0498105,-65.5347,6.78991e-11,3.2467,3.9782,2.0735,2.38576,0.404748,12.2397,1515.04,45.0397,34785.5,26224.3,3.16963,3.90113,1.91936,2.30869,0.327678,0.834915,1497.87,44.4039,34768.4,0.0413021,0.95068,0.0023471,36266.2 
91,9.3,10,44.44,91,34486.5,-0.47675,67.7503,11.8548,114.557,0.485655,1629.76,406.957,-0.50892,2.85266,6.86399,1.50998,-0.456277,29.2852,1002.24,41.5385,34951.1,51911.6,-0.693321,2.66826,6.49519,1.32558,-0.640678,0.290534,961.167,40.0172,34910,0.026795,0.932089,0.00210715,35871.2 
92,9.3,10,45.4,92,32925.6,-0.0935397,65.0239,11.71,114.686,0.0904475,-18.6298,500,4.58484,2.78549,2.79053,-0.445588,-1.05851,66.2571,690.025,48.7786,33763.6,24842,4.16763,2.36829,1.95612,-0.862792,-1.47571,0.682114,597.093,45.3367,33670.7,0.0174243,0.882709,0.00247421,34267.8 
93,9.3,10,45.28,93,33809,-0.0305924,66.6366,11.7509,114.755,-0.0350212,-108.212,496.672,4.63844,1.39783,1.26693,2.73468,2.15587,22.8336,850.929,48.2194,34451.6,25613.8,4.49466,1.25405,0.979377,2.5909,2.01209,0.913567,818.903,47.0332,34419.6,0.0232389,0.908669,0.00251085,35238.5 
94,9.3,10,44.62,94,34539.5,-0.0216741,67.1861,11.8041,114.763,-0.0457554,32.7603,1.89706e-10,2.59569,0.0964638,2.5324,1.40389,1.74057,26.0208,1368.06,51.4682,34675.8,25865.9,2.43184,-0.0673823,2.20471,1.24005,1.57672,0.701499,1331.56,50.1165,34639.3,0.0370178,0.938205,0.0026581,35970.8 
95,9.3,10,44.38,95,33767.9,-0.0964813,67.0616,11.6885,114.997,0.00433857,-146.062,404.076,4.40145,3.49179,-2.82315,-0.957457,-1.55289,31.2104,835.978,38.912,34452.5,25537.5,4.20492,3.29526,-3.2162,-1.15398,-1.74941,3.32957,792.203,37.2907,34408.7,0.0225052,0.923893,0.00199242,35200.9 
96,9.3,10,44.32,96,33837.7,0.100158,66.4553,11.6425,114.663,-0.203661,400.433,2.81792e-11,3.50135,1.91859,4.96487,0.315228,4.00509,55.7645,732.882,47.0764,34567.8,27841.6,3.15022,1.56746,4.2626,-0.0359055,3.65396,0.661654,654.667,44.1795,34489.6,0.018628,0.894377,0.00235409,35144.3 
