cyc,delaytime,timecol,chargecol,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
126,220,0.22,0.55,44.723,126,28640.5,0.0416927,58.6733,11.1867,114.725,-0.0185148,-71.2091,1.79999e-11,4.3592,-2.33295,-0.129083,1.42573,-0.243532,30.0991,146.274,32.1172,29782.4,21409.5,4.16967,-2.52248,-0.508135,1.2362,-0.433058,1.26163,104.057,30.5536,29740.2,0.00348668,0.660572,0.00188891,29844.3 
127,220,0.22,0.55,44.793,127,30681.1,-0.0839556,62.3881,11.2694,114.74,0.0927885,-153.106,492.709,5.97778,1.64138,0.302458,2.84917,-1.41405,34.0771,3024.04,51.7438,28910.3,23349.9,5.76321,1.42681,-0.126691,2.63459,-1.62863,1.0157,2976.24,49.9736,28862.5,0.0934786,0.971455,0.00317935,31838.8 
128,220,0.22,0.55,44.783,128,32585.6,0.00883938,65.5881,11.3282,114.665,-0.0224778,11.3518,500,2.27402,3.59298,-0.607655,-1.9794,1.90676,9.03397,2567.45,50.8535,31227.1,24195.2,2.21713,3.53609,-0.721424,-2.03629,1.84988,1.14889,2554.78,50.3842,31214.4,0.0756541,0.966639,0.00296459,33769.2 
129,220,0.22,0.55,44.883,129,32256.1,-0.199806,64.1132,11.5697,115.078,2.39399,834.027,2.91616e-12,4.09976,1.38913,1.4038,4.16248,0.804709,11.2324,431.731,33.3221,33005.7,89144.8,4.02903,1.3184,1.26234,4.09175,0.733981,0.889612,415.976,32.7386,32990,0.0124522,0.878943,0.00182474,33406 
130,220,0.22,0.55,44.763,130,33487.3,-0.145657,65.4999,11.6605,114.62,0.1465,-363.577,499.998,2.02846,2.20078,-2.30537,-0.0983972,1.46822,12.791,1682.62,53.6909,32933.8,26596.8,1.94791,2.12024,-2.46646,-0.178939,1.38767,1.87761,1664.68,53.0264,32915.9,0.0481391,0.947199,0.00295879,34580.6 
131,220,0.22,0.55,44.923,131,31175.1,-0.00910772,62.8494,11.3678,114.764,-0.18596,178.243,500,1.02867,1.34637,0.32505,1.70022,2.42798,14.4022,152.717,27.1956,32366.2,24337,0.937983,1.25569,0.143677,1.60953,2.33729,0.977137,132.516,26.4474,32346,0.00408012,0.741145,0.00150392,32478.5 
132,220,0.22,0.55,44.863,132,34198.8,-0.375208,66.6759,11.7794,114.633,-3.16858,2148.34,221.861,3.94891,0.375878,-1.41884,0.278833,-1.43742,43.0556,1279.82,51.4865,34056.8,247164,3.6778,0.104768,-1.96106,0.00772394,-1.70853,17.246,1219.43,49.2499,33996.4,0.0346274,0.933988,0.00266151,35215.9 
133,220,0.22,0.55,44.813,133,30102.4,-0.0717756,61.5215,11.0963,114.449,0.0373179,-60.5151,500,2.24565,-0.463893,0.194457,3.0745,0.706948,30.5279,3062.29,58.2725,28089.5,22296.3,2.05342,-0.656119,-0.189995,2.88227,0.514721,1.04126,3019.47,56.6866,28046.7,0.0971947,0.968191,0.00370936,31066.2 
134,220,0.22,0.55,44.743,134,32900.5,-0.409545,65.776,11.571,114.868,-1.85756,4109.02,63.0145,3.16265,-1.13902,0.106462,-0.510897,-0.672099,41.1429,533.881,38.9738,33533.6,273247,2.90359,-1.39808,-0.41167,-0.769963,-0.931165,0.322124,476.174,36.8365,33475.9,0.0140249,0.880763,0.00202293,33952.1 
135,220,0.22,0.55,44.823,135,31626.7,-0.0230455,64.1425,11.2123,115.02,-0.0830958,154.32,500,-0.749129,-2.20036,-2.90196,1.91444,-1.24103,27.4387,3234.43,58.1424,29455.8,23829.3,-0.921903,-2.37314,-3.24751,1.74166,-1.41381,0.477447,3195.95,56.717,29417.3,0.0979954,0.969879,0.00353904,32613.2 
136,220,0.22,0.55,44.833,136,32537,-0.441148,66.5369,11.3738,114.71,0.470999,526.153,311.968,2.65775,-2.28836,1.77907,2.9916,-0.177213,86.5982,2929.43,42.6609,30942.8,32702.9,2.11246,-2.83365,0.688501,2.44631,-0.722499,0.592875,2807.97,38.1623,30821.3,0.0834977,0.976769,0.00227566,33629.3 
137,220,0.22,0.55,44.753,137,32678.1,0.0115309,65.6589,11.4156,114.974,-0.0708642,48.8714,497.076,3.36342,2.38313,3.6185,0.227125,0.555183,49.8676,892.255,26.642,33136.3,24512.5,3.04942,2.06913,2.9905,-0.0868776,0.24118,0.638101,822.311,24.0514,33066.4,0.0242651,0.951307,0.0013381,33888.7 
138,220,0.22,0.55,44.873,138,31690.6,-0.389877,63.7128,11.4981,114.617,0.902306,-1435.44,131.721,2.98645,-2.72671,1.46185,1.0876,0.769539,7.42418,859.34,35.7119,32040.5,66011.1,2.9397,-2.77346,1.36836,1.04086,0.722791,0.585125,848.927,35.3262,32030.1,0.0258197,0.932121,0.00202755,32879 
139,220,0.22,0.55,44.803,139,31332,0.00451479,64.3212,11.1314,114.823,-0.0727919,86.6389,500,0.410142,0.217091,0.770093,1.61333,-3.5973,42.3228,3096.26,41.142,29428.8,23512.9,0.143647,-0.0494041,0.237102,1.34684,-3.8638,1.10848,3036.9,38.9434,29369.4,0.0937132,0.978052,0.00243665,32406.3 
140,220,0.22,0.55,44.913,140,32969.6,-0.26442,66.0249,11.5736,114.849,0.606,-266.196,500,4.59735,-0.144236,0.665662,1.20999,1.62328,20.5684,-37.7771,29.328,34331.4,30126.8,4.46784,-0.27375,0.406634,1.08047,1.49377,0.943326,-66.6264,28.2595,34302.6,-0.00194609,3.8799,0.00151528,34236 
141,220,0.22,0.55,44.903,141,33886.2,0.00450798,66.1267,11.7199,114.628,-0.0713343,156.816,3.18913e-11,2.98488,3.13382,6.31692,1.90548,1.64332,34.8506,58.2684,40.3411,35098.6,25592.9,2.76544,2.91438,5.87803,1.68603,1.42388,0.599255,9.38707,38.5306,35049.7,0.00026775,0.122202,0.00202096,35059.1 
142,220,0.22,0.55,44.893,142,32764,-0.114675,64.5992,11.6688,115.026,0.275669,-338.269,500,4.90417,-0.672564,-0.216012,1.21564,2.21489,42.2603,216.933,36.7037,33791.8,27574.2,4.63806,-0.938665,-0.748215,0.949537,1.94879,1.12791,157.658,34.5084,33732.5,0.00465204,0.723044,0.00188093,33890.2 
143,220,0.22,0.55,44.773,143,30385.4,-0.042225,62.504,11.203,114.823,0.0464906,-246.714,500,2.57227,-0.494258,-0.828029,5.8839,0.594194,41.2567,1780.3,32.2983,29976,23168.2,2.31249,-0.75404,-1.34759,5.62412,0.334412,1.21843,1722.44,30.1551,29918.1,0.0544376,0.970273,0.00185326,31640.5 
144,220,0.22,0.55,44.853,144,34090.1,-0.272072,67.9331,11.6059,115.194,-0.420946,710.72,1.1264e-05,2.83739,2.21078,0.654028,1.19581,3.1701,36.4784,1955.52,54.7258,33412.6,35404.9,2.60769,1.98109,0.194638,0.966111,2.94041,0.977602,1904.35,52.8308,33361.5,0.0539999,0.953699,0.00290865,35265.8 
145,220,0.22,0.55,44.843,145,30596.7,0.00448398,62.7218,11.1469,114.524,-0.0966196,117.91,500,3.27282,2.17027,-1.60428,-0.186954,0.101809,48.3525,2357.66,42.5593,29450.9,23130.7,2.96835,1.8658,-2.2132,-0.491417,-0.202653,2.14859,2289.84,40.0475,29383.1,0.0722964,0.970303,0.0025044,31673 
146,220,0.22,0.55,44.733,146,35198.1,-0.416742,67.7328,11.9856,114.492,0.706205,-17.2763,495.671,4.42806,0.112027,3.82442,1.92569,3.1649,4.1674,309.05,34.8031,36117.1,26824.4,4.40182,0.085786,3.77193,1.89945,3.13866,0.716346,303.205,34.5867,36111.2,0.00832651,0.833595,0.00176123,36414.4 
