cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
175,0.84,44.623,175,42596.2,-0.506228,75.3441,13.0425,115.731,0.840197,337.682,102.277,5.48319,4.23112,8.54281,1.91024,-0.470064,-121.964,34.4512,1407.01,39129.5,41225.4,6.25116,4.9991,10.0788,2.67822,0.297914,0.585324,93.9695,1445.7,39189,0.00208075,0.0358124,0.0636318,45161.3,-0.00202407,-0.0310255,-10.3641,7.63833,101.233,78.0303,2.95405,13.3103,14.0536,115.334,139.795,-14.1016,-61.7647 
176,0.84,44.723,176,40881.8,-0.0709417,75.9176,12.4238,115.703,0.248913,-78.9973,1.84466e-10,2.89268,3.8866,4.29674,0.455373,2.0669,-114.884,73.0209,1327.2,38586,31343.9,3.61607,4.60999,5.74352,1.17877,2.7903,0.679824,129.084,1363.64,38642.1,0.00289637,0.0513163,0.0610383,44567.5,-0.00343487,0.0769264,-12.2419,12.6898,122.79,98.9971,3.02032,12.8589,13.8202,115.34,139.33,7.45008,-40.3329 
177,0.84,44.643,177,42000.3,-0.0659598,76.3783,12.621,115.974,-0.214774,108.057,500,0.13961,2.00849,6.77225,2.48496,2.22347,-160.367,190.634,1379.97,38767.8,32135.9,1.1494,3.01827,8.79182,3.49474,3.23326,0.553431,268.892,1430.83,38846.1,0.00598311,0.0969733,0.0635398,44941.9,-0.00216313,0.133615,40.108,-0.166982,101.289,74.4963,2.96798,13.0651,14.0479,115.604,138.997,-14.3149,-64.5011 
178,0.84,44.963,178,44904.9,-0.0976859,80.0435,12.8225,115.894,-0.123979,64.5183,498.589,7.01348,5.44423,3.56555,0.0509303,3.94547,-127.577,318.246,1533.16,40963.5,33671.8,7.8168,6.24755,5.17219,0.854248,4.74879,0.791776,380.503,1573.63,41025.8,0.00800046,0.121398,0.0659948,47560.2,-0.00330452,0.0922706,12.3312,14.6449,122.316,96.2652,3.07353,13.3064,14.1702,115.511,139.763,6.80485,-43.4982 
179,0.84,44.663,179,43153.5,-0.426255,80.6266,12.6272,116.015,-1.29368,906.716,241.535,4.32684,3.21949,-2.36278,0.419132,3.01609,-96.1713,85.5511,1386.03,40519.5,71327.1,4.93241,3.82505,-1.15165,1.0247,3.62166,1.094,132.482,1416.54,40566.4,0.0028318,0.0507319,0.0604368,46783.9,-0.00287217,0.0680423,-0.0714647,4.36114,101.751,74.3628,3.08093,13.0108,14.1879,115.624,140.26,-13.8731,-65.8968 
180,0.84,44.763,180,41920.6,-0.529385,77.9186,12.4567,116.077,1.45177,-676.705,486.381,2.73162,-0.113104,5.60255,0.934848,1.87171,-140.438,805.05,1446.69,38500.2,63577.7,3.61592,0.771199,7.37116,1.81915,2.75601,0.548708,873.584,1491.24,38568.7,0.0193153,0.250796,0.0664884,45227.6,-0.00313375,0.135886,11.9968,14.1409,119.321,91.6467,3.03962,12.8237,13.7047,115.725,138.526,3.59641,-46.8793 
181,0.84,45.003,181,40770.3,-0.317322,74.4576,12.5597,115.837,-0.396271,72.6004,0.0734178,5.67981,3.71893,8.164,2.29548,0.29242,-104.505,160.858,1374.64,37741.4,31379.4,6.33785,4.37697,9.48008,2.95352,0.95046,0.606617,211.857,1407.78,37792.4,0.00485096,0.0791845,0.064213,43673.2,-0.00286774,0.0756663,12.8198,-14.3855,122.869,97.247,2.94772,12.9108,13.8082,115.446,138.225,7.42315,-40.9783 
182,0.84,44.703,182,44282.1,-0.0259015,81.2395,12.5151,116.197,-0.0698081,-19.9287,500,3.99784,5.26852,6.09702,3.20435,-0.144866,-93.7542,69.3547,1188.95,41532.9,33143,4.58818,5.85886,7.27771,3.79469,0.445479,0.668667,115.106,1218.69,41578.7,0.00240152,0.0512083,0.0512269,47930.6,-0.00352284,0.0664578,12.9649,-11.8092,121.977,97.7407,3.19396,13.0233,13.9775,115.853,139.899,6.12432,-42.1587 
183,0.84,44.783,183,43020.2,-0.133904,77.2111,12.669,115.887,0.205897,-101.683,0.184893,5.33691,2.21498,6.251,3.29825,0.0937013,-94.3676,2475.5,2277.07,36274.2,32524.8,5.93111,2.80919,7.43941,3.89246,0.687909,0.641648,2521.55,2307,36320.2,0.0569329,0.384453,0.104751,44289.8,-0.00265104,0.327964,11.8875,13.686,117.84,89.8467,2.77649,13.1503,13.9863,115.41,139.265,2.43006,-49.4185 
184,0.84,44.983,184,44993.2,-0.0793188,79.4318,12.8897,115.809,-0.0405072,14.6325,6.59672e-11,3.74404,1.61811,5.84819,4.68992,2.9857,-80.5897,164.521,1572.05,41000.1,33349.2,4.25149,2.12557,6.86309,5.19737,3.49315,0.687055,203.848,1597.61,41039.4,0.00430067,0.0679569,0.0669125,47399.2,-0.00787303,0.015305,399.229,-46.7273,129.739,74.7423,3.06904,13.3609,14.2091,115.435,139.23,14.3036,-64.4874 
185,0.84,44.833,185,42956.8,-0.0379332,80.8562,12.0789,116.413,0.000547933,-13.5938,4.21828e-11,1.65011,2.61028,2.8756,0.582838,2.11715,17.4328,5102.79,2788.08,33800.9,31793.6,1.54034,2.50051,2.65606,0.473068,2.00738,0.710585,5094.29,2782.56,33792.4,0.115896,0.511282,0.131706,43955.5,-0.00236976,0.682764,11.4049,11.8812,117.485,88.3935,2.72852,12.6063,13.5718,115.949,139.172,1.53582,-50.7789 
186,0.84,44.743,186,41461.6,-0.591827,77.2689,12.5326,116.074,1.05302,-795.465,1.84457,3.09864,0.498029,-1.73766,5.75119,2.77872,-144.082,58.3171,1170.57,39068.2,58792.1,4.00588,1.40528,0.0768278,6.65843,3.68596,0.995147,128.629,1216.27,39138.5,0.00284968,0.0569884,0.0541458,45137.9,-0.00816777,0.0143415,7166.75,47.2954,107.036,71.5435,3.05187,12.9089,13.8523,115.729,138.807,-8.69262,-67.2632 
187,0.84,44.813,187,43209.6,-0.0470757,79.6073,12.3159,116.217,-0.0298924,23.0938,1.48121e-11,3.78953,-0.709917,-2.19351,3.9527,0.549308,-96.703,4494.04,2788.25,34259.5,31938.9,4.39845,-0.101004,-0.975685,4.56161,1.15822,1.10791,4541.23,2818.92,34306.6,0.103224,0.479319,0.131464,43993.9,-0.00231275,0.601011,11.5019,12.3123,117.462,89.0294,2.70341,12.8319,13.7369,115.768,139.459,1.6946,-50.4293 
188,0.84,44.863,188,43693.3,-0.184824,80.8144,12.4147,116.273,-0.32004,306.321,484.247,1.80528,2.07409,2.15997,2.19917,1.70038,-31.4685,3336.57,2360.57,36379.9,35851.8,2.00342,2.27224,2.55627,2.39732,1.89853,0.77028,3351.92,2370.55,36395.2,0.0741471,0.4469,0.107129,45206.4,-0.00249801,0.453041,11.505,12.5041,117.912,89.3319,2.90095,12.7815,13.619,115.788,139.696,2.12432,-50.3643 
189,0.84,44.803,189,44950.9,-0.493271,82.6469,12.4995,116.115,-1.72909,805.723,181.748,3.52693,3.80429,0.599245,0.921385,4.05686,-50.5502,4180.93,2834.15,36105.4,78981.3,3.84523,4.12259,1.23585,1.23969,4.37516,0.916601,4205.6,2850.18,36130.1,0.0919153,0.457458,0.12688,45755.2,-0.00238671,0.548988,11.6468,12.684,117.468,89.2516,2.83756,12.8832,13.757,115.653,139.57,1.81428,-50.3187 
190,0.84,44.853,190,42856.4,-0.54254,81.4117,12.1903,116.323,0.272856,257.044,291.29,1.63794,-0.357252,4.99184,0.492741,0.973811,-58.1253,3976.59,2587.16,35110,34590,2.00394,0.00874774,5.72384,0.858741,1.33981,0.423875,4004.95,2605.6,35138.3,0.0901732,0.467609,0.12018,44414,-0.00253747,0.559894,11.1282,12.0925,117.245,89.1874,2.81001,12.6498,13.6469,115.895,139.582,1.3493,-50.3947 
191,0.84,44.683,191,43958.6,-0.128479,79.6635,12.7359,115.9,-0.224978,55.6209,495.089,7.06369,3.41214,4.07034,5.96073,1.64705,-123.362,194.997,1469.89,40756.7,33435.5,7.84047,4.18892,5.62389,6.7375,2.42383,0.790268,255.197,1509.02,40816.9,0.00540733,0.0881212,0.063761,47194.7,-0.00239756,-0.0319475,9.86766,6.42386,101,76.4676,3.09377,13.1935,14.0632,115.514,140.336,-14.5143,-63.8681 
192,0.84,44.923,192,42395,-0.188203,74.2387,13.0974,115.757,-0.107522,23.5337,499.671,2.19354,0.486299,6.12577,2.50785,0.571545,-127.105,69.0274,1595.05,38486,31735.1,2.99389,1.28664,7.72646,3.3082,1.37189,0.53698,131.054,1635.37,38548,0.0029476,0.0437877,0.0724851,44461.3,-0.00181313,-0.0337634,10.82,-7.70411,101,77.0724,2.85719,13.4065,14.2943,115.349,139.333,-14.3489,-62.2608 
193,0.84,44.943,193,43737,-0.0111008,79.1474,12.6797,116.083,-0.00842589,-4.56455,1.23953e-11,1.67918,1.77417,2.20599,3.55789,-0.817019,-158.217,-1.84198,1243.18,40878.8,32670.7,2.67543,2.77042,4.19849,4.55413,0.179229,0.707986,75.3672,1293.37,40956,0.00159762,0.0322252,0.0549747,47174.8,-0.00807217,0.0140951,10439.3,-43.578,130.943,69.3387,3.06834,13.2399,14.26,115.777,138.363,15.1665,-69.0245 
194,0.84,44.903,194,42615.9,-0.0446751,78.3279,12.4648,115.991,-0.0319939,20.0986,2.78396e-12,0.866806,4.96801,1.55798,5.08021,2.27478,-147.712,323.983,1262.42,39848.9,31804.1,1.79691,5.89811,3.41819,6.01031,3.20488,0.831852,396.066,1309.27,39921,0.00855337,0.147385,0.0569727,46305.2,-0.00234679,-0.0251484,-14.152,0.0292958,121.464,94.3911,3.10607,12.918,13.8281,115.653,139.741,5.81095,-45.3504 
195,0.84,44.823,195,43356.4,-0.0671516,81.5409,12.0965,116.259,0.0153109,-42.4441,500,5.47402,0.702806,3.8894,-2.22348,-2.82349,-54.3875,4919.13,3132.73,33884.8,32130.4,5.81648,1.04527,4.57433,-1.88101,-2.48102,0.353364,4945.68,3149.99,33911.3,0.112546,0.472902,0.14611,43943.7,-0.00243529,0.71702,11.3712,11.8152,117.274,88.7439,2.71311,12.6137,13.699,115.815,138.825,1.45911,-50.081 
196,0.84,44.843,196,42934.8,-0.0904669,80.6656,12.1352,115.977,0.0730519,33.6021,500,6.60633,1.65674,0.167869,3.73175,1.81593,-48.1753,4671.63,2832.65,34141.5,31946.2,6.90968,1.96009,0.774564,4.0351,2.11928,0.950973,4695.14,2847.93,34165.1,0.106744,0.485084,0.133114,43984.9,-0.00252289,0.644482,11.4535,12.1571,117.14,89.1996,2.76365,12.6725,13.4616,115.495,139.975,1.64563,-50.7758 
197,0.84,44.883,197,43824.2,-0.559606,80.1897,12.6623,116.085,1.01215,-207.916,62.7144,8.68933,-1.12221,5.96215,2.25503,-2.48274,-250.031,1555.28,1725.69,39037.7,39904.9,10.2637,0.452174,9.11091,3.82941,-0.908361,0.599482,1677.29,1805,39159.7,0.035908,0.346832,0.0782633,46710.9,-0.00321588,0.226166,11.6607,13.2163,118.22,90.5283,3.00341,13.1107,13.8879,115.745,139.77,2.47468,-49.2412 
198,0.84,44.793,198,45046.8,-0.546269,82.8594,12.5566,116.145,0.527381,-21.8029,4.93754,0.869758,-0.910721,1.55251,1.22415,1.40506,-24.7885,3187.14,2314.25,37840.2,34243.8,1.02584,-0.754635,1.86468,1.38023,1.56115,0.632739,3199.23,2322.11,37852.3,0.0684629,0.440488,0.101533,46729.4,-0.00289801,0.45331,11.5092,12.1471,117.851,89.549,2.94453,13.0011,13.8162,115.677,139.884,2.17389,-50.3355 
199,0.84,45.023,199,43372.2,-0.00762657,78.1488,12.695,115.648,0.204024,-3.69858,1.08537e-10,6.37644,1.93445,8.56365,1.49757,2.57016,-137.121,-45.1144,1195.32,40612.1,32320.5,7.23985,2.79786,10.2905,2.36098,3.43357,0.606072,21.8001,1238.81,40679,0.000465787,0.00995563,0.0531185,46802.6,-0.00251385,-0.0306116,-10.3179,7.81978,104.397,77.2771,3.11281,13.1216,13.9283,115.289,139.787,-10.8913,-62.5102 
