cyc,freq (MHz),wiggle time pre,wiggle time post,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
153,44.923,0.52,0.46,153,32990.6,-0.324412,50.8938,14.8033,80.4228,0.76763,-746.503,164.593,0.934278,1.08708,3.25204,1.03075,2.41853,45.0428,295.566,9.51288,34397.6,43179.8,0.650655,0.80346,2.68479,0.747127,2.13491,0.617602,232.389,4.8331,34334.4,0.00871353,0.964883,0.000259238,26669.9 
154,44.873,0.52,0.46,154,32796.7,-0.0248213,51,14.4894,80.5143,-0.0494847,36.5168,500,-0.801598,-0.652599,2.1794,1.09273,2.16637,32.219,4091.27,68.1468,30264.6,24114.4,-1.00447,-0.855473,1.77365,0.889855,1.9635,0.359012,4046.08,64.7993,30219.4,0.148126,0.972737,0.00393447,27315.1 
155,45.023,0.52,0.46,155,33706.9,-0.352677,51.8813,14.8832,80.2173,-0.0878099,7.81955,35.4265,1.09242,2.89989,3.29664,2.62746,0.464216,98.1208,393.569,-52.8964,35084,25158.7,0.474578,2.28205,2.06095,2.00962,-0.153624,0.691177,255.945,-63.0907,34946.3,0.009422,1.75863,-0.00333676,27164.6 
156,44.748,0.52,0.46,156,33113.2,-0.00268403,50.393,14.7751,80.34,-0.0399671,20.8831,500,-0.803603,0.0666478,-3.23637,0.42854,2.01595,98.8315,1178.62,14.1357,33555,24265.1,-1.42592,-0.555668,-4.481,-0.193775,1.39363,0.148541,1040,3.86749,33416.4,0.0388487,0.993534,0.000213153,26770.6 
157,44.848,0.52,0.46,157,27539.9,-0.199639,45.6405,13.7157,80.5785,-0.0422891,225.426,500,-2.07195,-1.83517,-1.47268,2.42197,0.290923,73.3793,7647.11,86.5321,21326.3,20688.4,-2.534,-2.29722,-2.39678,1.95992,-0.171127,0.559351,7544.19,78.9082,21223.4,0.315839,0.982025,0.00680233,23886.2 
158,44.898,0.52,0.46,158,34420.6,0.0443986,52.2089,14.8357,80.377,-0.0238351,1.3302,4.63288e-12,1.67723,-0.759573,-0.979041,3.05693,0.564971,80.7168,1028.56,31.4305,34935.4,25215.4,1.16898,-1.26782,-1.99555,2.54868,0.0567188,4.90514,915.349,23.0444,34822.2,0.0330112,0.957802,0.00121757,27728.4 
159,44.998,0.52,0.46,159,35499.4,0.0554754,52.6226,15.1812,80.3267,-0.0098742,-15.6028,4.25326e-11,-0.227259,-0.92025,-1.82016,1.03111,0.734736,103.183,595.947,-8.91486,36591.3,26011,-0.876974,-1.56996,-3.11958,0.381398,0.0850215,0.388329,451.223,-19.6351,36446.6,0.015824,1.08243,-0.000993396,28515.1 
160,44.648,0.52,0.46,160,31590.5,-0.169299,49.8321,14.3673,80.4682,-0.103423,285.481,486.342,-0.748761,0.848839,6.05849,3.47293,1.21388,54.9813,414.797,33.7287,32968.9,24267.8,-1.09496,0.502637,5.36609,3.12672,0.867681,0.388003,337.68,28.0164,32891.7,0.0131576,0.873216,0.0015666,25664.3 
161,44.773,0.52,0.46,161,28546.4,-0.0449869,46.5114,13.8987,80.5027,-0.0362111,60.5506,500,-2.57921,-1.23263,0.766713,0.00349827,0.40247,30.4493,4127.78,96.7617,26027.5,21115.4,-2.77094,-1.42436,0.383251,-0.188233,0.210739,1.10113,4085.07,93.5981,25984.8,0.169552,0.961449,0.0065916,24093.3 
162,44.798,0.52,0.46,162,26138.4,-0.229696,43.912,13.5228,80.5967,0.112758,-155.787,210.469,0.60261,0.423655,4.88118,1.52505,0.973674,42.5415,8699.18,100.987,18815.4,19902.4,0.334737,0.155783,4.34543,1.25718,0.705802,0.360866,8639.51,96.5667,18755.7,0.374306,0.980815,0.00939526,23081.4 
163,44.623,0.52,0.46,163,34893.8,-0.104965,52.1161,15.1368,80.3298,0.0856347,-249.636,499.998,0.652383,1.60635,5.42961,2.84432,0.417518,53.2023,450.954,16.0825,36053,26376.2,0.317382,1.27135,4.75961,2.50932,0.0825168,0.467616,376.333,10.555,35978.3,0.0134023,0.953214,0.000540126,28079.7 
164,44.673,0.52,0.46,164,34799.6,0.0513457,52.6946,14.8158,80.5325,0.000795363,-42.7844,1.32346e-11,0.442309,0.895121,5.37575,1.29744,1.28912,71.493,831.466,-12.9814,35643,25415.9,-0.00786342,0.444948,4.4754,0.847271,0.838948,0.321776,731.191,-20.4092,35542.8,0.0260218,1.05136,-0.00105889,28099.1 
165,44.948,0.52,0.46,165,35773.9,0.0344442,53.6107,15.0333,80.4265,-0.00988032,-33.2137,5.57708e-11,1.15734,-0.287408,3.82025,0.191831,0.103148,53.9709,889.521,39.6672,36514.1,26246.9,0.817499,-0.627248,3.14057,-0.148009,-0.236692,-0.0660019,813.821,34.0598,36438.4,0.0281878,0.931758,0.0017189,28871.4 
