cyc,freq (MHz),wiggle time pre,wiggle time post,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
25,44.623,0.48,0.5,25,32344,-0.352944,49.3708,15.0417,79.9319,-0.445505,653.277,267.843,1.01152,0.492348,1.25212,-1.12589,0.268895,23.7122,338.148,-43.8515,33822.5,33649,0.862207,0.343039,0.953502,-1.27519,0.119586,0.0494817,304.889,-46.3151,33789.3,0.0115828,1.3621,-0.00253137,26322.6 
26,44.648,0.48,0.5,26,31216.7,-0.0879485,48.0455,14.732,80.0825,-0.0433434,154.283,500,-1.29793,-2.17396,3.69605,-1.07822,1.10707,53.737,573.429,-9.13756,32414.7,23259.2,-1.6363,-2.51233,3.01931,-1.41659,0.768705,2.69891,498.057,-14.7206,32339.3,0.0196091,1.05454,-0.000839216,25399.4 
27,44.673,0.48,0.5,27,31107.8,-0.13826,47.5722,14.8629,79.9297,-0.0243708,128.521,500,-1.8228,0.318215,3.02287,0.681254,3.36061,28.0625,612.564,-11.3658,32216.8,23119.2,-1.9995,0.141513,2.66947,0.504551,3.18391,0.406777,573.204,-14.2814,32177.5,0.0226117,1.04559,-0.000818253,25349.8 
28,44.698,0.48,0.5,28,33683.7,0.00173824,50.1637,15.1628,79.7242,-1.12895,1526.15,500,1.33494,-0.398405,4.17865,1.63793,2.48668,-1.10181,621.053,-9.03375,34701.3,80848.5,1.34188,-0.391467,4.19252,1.64487,2.49362,0.548289,622.598,-8.91928,34702.9,0.0227693,1.02572,-0.000473679,27343.8 
29,44.723,0.48,0.5,29,33317,-0.102085,50.8526,14.9054,79.8396,-0.100788,148.993,500,-0.0623608,0.266066,-0.550419,-0.120292,3.36201,48.2419,422.032,-15.9625,34547.6,25163.5,-0.366127,-0.0377005,-1.15795,-0.424059,3.05824,2.07977,354.368,-20.9746,34480,0.0131716,1.11555,-0.00112184,26904 
30,44.748,0.48,0.5,30,33123.1,-0.051037,49.0256,15.267,79.9846,0.153112,-330.465,478.993,-0.198044,3.46637,6.68844,0.549087,0.0691713,-0.261249,2023.01,27.7484,32619.5,26012.4,-0.196398,3.46801,6.69173,0.550732,0.0708163,0.367804,2023.38,27.7755,32619.9,0.0745514,0.976541,0.00156608,27140.7 
31,44.773,0.48,0.5,31,30361.7,-0.173801,48.8161,14.1365,80.2406,-0.107177,288.453,499.063,-1.85378,1.60407,1.09052,-1.38521,3.0751,-28.4676,5922.88,43.7842,26057.6,23471,-1.67453,1.78333,1.44903,-1.20595,3.25435,0.598187,5962.81,46.7419,26097.5,0.228829,0.986468,0.00328845,26057.9 
32,44.798,0.48,0.5,32,25344.6,-0.00206426,42.0868,-13.6545,80.0008,0.0326263,-39.8394,1.16425e-13,-1.56447,0.37311,1.04009,2.22988,4.1215,-25.379,10082.8,89.6836,16757.1,18749.9,-1.40466,0.532915,1.3597,2.38969,4.2813,0.810069,10118.4,92.3204,16792.7,0.438999,0.984284,0.0100257,23048.7 
33,44.823,0.48,0.5,33,25984.6,-0.00972946,44.5784,13.2101,80.3858,0.0033766,47.3482,500,1.06282,1.15623,4.50716,-0.122925,2.79192,-87.4509,10469.5,99.923,16986.5,19175.4,1.61348,1.70688,5.60847,0.427731,3.34258,0.558358,10592.2,109.009,17109.2,0.445682,0.982309,0.0116006,23766.3 
34,44.848,0.48,0.5,34,30828.3,-0.0471131,49.1168,14.1643,80.072,-0.0481485,64.5437,500,0.536981,0.0822888,-0.754513,-1.53972,1.41294,-18.1985,7877.61,86.4282,24413.9,22748.7,0.651572,0.19688,-0.525331,-1.42513,1.52754,2.23455,7903.13,88.3189,24439.5,0.295759,0.980819,0.00661294,26721.5 
35,44.873,0.48,0.5,35,30915.5,-0.324206,48.1522,14.7095,79.94,-0.220318,951.778,113.007,0.111294,-0.514675,0.565871,1.44024,2.04206,11.4393,2240.26,32.8442,30297.4,29883.7,0.0392638,-0.586705,0.421811,1.36821,1.97003,0.868702,2224.22,31.6557,30281.3,0.0870847,0.975699,0.00192201,25540.8 
36,44.898,0.48,0.5,36,35425.6,0.0787298,52.3187,15.2729,79.9453,-0.0130174,-57.1245,1.5057e-11,0.774402,0.99376,3.38857,2.35478,4.1033,45.5152,604.142,-30.1598,36614.6,26036.2,0.487805,0.707162,2.81537,2.06819,3.8167,0.715482,540.302,-34.8886,36550.8,0.0188361,1.1274,-0.00176143,28684.4 
37,44.923,0.48,0.5,37,33603.5,-0.351052,50.8274,15.144,80.0242,-0.240599,42.8719,3.22136,-0.015598,1.85933,0.935232,0.745277,1.43629,38.5146,582.744,4.93745,34678.6,25393,-0.258114,1.61682,0.4502,0.50276,1.19377,0.871571,528.723,0.935937,34624.6,0.0194457,0.996912,4.97914e-05,27189.7 
38,44.948,0.48,0.5,38,31256.2,-0.0568736,48.3267,14.6533,80.0682,-0.0800365,252.64,500,1.8335,1.1936,2.12921,-1.56541,1.21059,31.8892,732.659,-23.099,32358,23710.6,1.6327,0.992804,1.72761,-1.76621,1.00979,0.519667,687.932,-26.4122,32313.3,0.0269048,1.07203,-0.00150797,25569.1 
39,44.973,0.48,0.5,39,33954.1,-0.395215,51.5241,15.2234,79.7245,0.31985,-201.391,498.931,1.1599,2.41718,0.661288,2.77305,2.44504,12.0676,838.908,-25.0188,34775.7,27630.8,1.08391,2.34119,0.509316,2.69707,2.36905,0.943413,821.982,-26.2726,34758.7,0.0297969,1.05925,-0.00139431,27586.2 
40,44.998,0.48,0.5,40,32031.7,0.0161105,48.5868,14.8809,79.7072,-0.0117441,-6.86942,500,0.721476,-0.147546,0.514054,-0.535595,3.22483,0.241435,342.914,-13.762,33323.8,23539.2,0.719955,-0.149066,0.511014,-0.537115,3.22331,0.864384,342.575,-13.7871,33323.4,0.0131752,1.07577,-0.000762724,26001.6 
41,45.023,0.48,0.5,41,32452.8,-0.22532,50.3899,14.7258,80.1151,-0.370899,386.641,425.792,1.03941,2.02212,0.612734,2.96769,3.273,51.4423,352.015,36.6082,33928.5,28823.9,0.71549,1.6982,-0.0351024,2.64377,2.94909,1.0044,279.862,31.2636,33856.3,0.0106213,0.836475,0.00169814,26349.3 
42,44.81,0.48,0.5,42,24189.1,-0.0279941,40.7769,13.56,80.2304,0.0510762,-37.945,500,0.986713,0.230525,-0.830808,-1.61873,0.167434,-21.9031,10735.6,136.716,14977.5,18062.9,1.12463,0.368444,-0.554972,-1.48081,0.305352,-1.33812,10766.3,138.991,15008.2,0.482306,0.977907,0.0167736,22322.7 
43,44.835,0.48,0.5,43,25604.1,-0.248319,42.6578,13.6978,80.2136,-0.0287214,103.726,495.546,-0.550072,2.63118,1.03898,-1.2108,-0.127085,-25.2693,8425.56,98.987,18603.3,19118.5,-0.390958,2.79029,1.3572,-1.05168,0.032029,0.504106,8461,101.612,18638.8,0.370888,0.979416,0.0099427,22812.8 
44,44.86,0.48,0.5,44,27869.9,-0.0460352,46.5454,13.581,80.2446,-0.0476596,40.877,500,0.580456,1.01457,1.67013,5.35743,2.01649,51.7624,4044.02,46.7,25497,20641.4,0.254522,0.68864,1.01826,5.0315,1.69056,0.882736,3971.42,41.3221,25424.4,0.168651,0.982117,0.00298503,23548.2 
45,44.885,0.48,0.5,45,32707.7,-0.346918,50.471,14.8561,79.8599,0.450123,-902.505,187.499,2.11192,1.44843,3.67378,2.76128,0.856751,45.6889,1183.69,-10.6359,33200.9,37633,1.82423,1.16074,3.09839,2.47359,0.56906,0.660488,1119.61,-15.3828,33136.8,0.0420353,1.02464,-0.000855876,26635 
46,44.785,0.48,0.5,46,26733.6,-0.285626,43.4991,14.0942,80.2331,0.484367,879.236,103.726,-0.538039,0.552821,3.05048,-0.9322,1.22376,-15.1156,7997.9,139.234,20169.9,33821.5,-0.44286,0.648,3.24084,-0.837022,1.31894,0.174917,8019.1,140.804,20191.1,0.340279,0.970188,0.0126832,23566.2 
47,44.76,0.48,0.5,47,28932.3,-0.322966,45.7422,14.5398,79.9675,-0.0375456,554.623,480.948,1.37481,-1.64188,3.98427,0.749478,2.20612,20.2002,3288.92,62.7047,27402.1,22328.6,1.24762,-1.76907,3.72988,0.622283,2.07892,0.368847,3260.59,60.6059,27373.8,0.133969,0.968497,0.00406188,24338.4 
