cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
125,44.923,0.48,0.01,0.5,3,125,10798.4,-0.177609,22.8711,11.1363,80.0722,0.052065,80.4581,59.036,0.655441,0.313607,0.456445,2.8623,-0.579136,-36.0231,214.641,-19.4122,11704.7,8427.68,0.882269,0.540435,0.910101,3.08913,-0.352308,0.82048,265.167,-15.6695,11755.2,0.0284615,1.11534,-0.00246154,9316.69 
126,44.783,0.48,0.01,0.5,3,126,10736.4,-0.0772524,23.2265,10.889,80.0414,0.0686634,-17.203,2.71632e-07,1.50059,-0.0657603,2.4627,2.61967,2.43023,-51.0427,2571.62,15.2571,9370.14,8271.61,1.822,0.255642,3.10551,2.94107,2.75164,0.714458,2643.21,20.5602,9441.73,0.266632,0.98657,0.00399532,9913.34 
127,44.863,0.48,0.01,0.5,3,127,9141.16,-0.2001,20.3906,10.8506,80.3246,-0.00947095,202.21,485.583,2.50102,-0.808613,0.893456,1.89108,0.214341,-23.0236,2571.03,21.9693,7621.87,7264.77,2.64599,-0.663639,1.1834,2.03605,0.359315,0.787201,2603.32,24.3614,7654.17,0.30638,0.983888,0.0058288,8497.03 
128,44.813,0.48,0.01,0.5,3,128,8075.35,-0.209212,18.6622,10.6704,80.3202,-0.106511,-266.336,222.87,-0.0490792,0.0179645,0.193698,4.60726,2.23145,-37.797,3831.66,38.3746,5310.78,7405.92,0.188918,0.255962,0.669692,4.84526,2.46945,0.920552,3884.68,42.3016,5363.8,0.484688,0.9813,0.0143197,8014.8 
129,44.883,0.48,0.01,0.5,3,129,9582.85,-0.20079,21.1472,10.9198,80.4482,-0.0769015,289.4,332.145,2.89376,2.76783,2.28094,3.45173,2.0989,-59.5585,1160.11,17.6316,9611.41,8241.82,3.26879,3.14286,3.03099,3.82676,2.47392,0.807475,1243.64,23.8195,9694.94,0.142804,0.967569,0.00450548,8708.75 
130,44.793,0.48,0.01,0.5,3,130,8986.16,-0.194321,20.4857,10.6039,80.4704,0.212428,-48.3402,469.383,0.887626,0.625259,0.748661,2.45527,0.275062,-25.0959,2734.88,15.136,7310.65,7405.82,1.04565,0.783281,1.0647,2.61329,0.433084,0.820757,2770.08,17.7433,7345.85,0.328738,0.988915,0.00442975,8426.38 
131,44.763,0.48,0.01,0.5,3,131,10519.4,-0.203069,22.9179,10.9858,80.1088,0.0762841,495.202,0.0178286,-0.23613,1.95206,3.57493,2.37882,2.10594,-28.0012,832.028,-0.987919,10903.6,9425.69,-0.0598143,2.12838,3.92756,2.55514,2.28225,0.637462,871.302,1.92129,10942.8,0.0937158,0.996156,0.000323324,9297.28 
132,44.903,0.48,0.01,0.5,3,132,11316.8,-0.0167754,24.0689,10.9734,80.0447,0.00171159,-25.3949,500,-0.333762,-0.77289,0.476141,0.0989508,0.638026,-54.1732,355.379,-19.5961,12152.1,8599.3,0.00735187,-0.431776,1.15837,0.440065,0.97914,0.462012,431.362,-13.9677,12228,0.0438067,1.06007,-0.00210861,9846.96 
133,44.663,0.48,0.01,0.5,3,133,9559.59,-0.000238326,20.5272,11.0267,80.3903,0.00170219,-2.48346,9.53482e-12,2.38348,-3.09657,-1.56749,2.57915,2.02357,-30.2132,182.372,5.78658,10569.8,7368.53,2.57372,-2.90632,-1.18701,2.76939,2.21382,1.34271,224.749,8.92561,10612.2,0.0267683,0.935017,0.00154695,8396.11 
134,44.833,0.48,0.01,0.5,3,134,7981.73,-0.180576,18.4827,10.4883,80.4211,0.468416,24.5285,149.768,0.23607,-1.48457,6.32945,0.0386673,3.35635,-117.533,4085.49,24.9458,4894.36,6684.58,0.976146,-0.744498,7.80961,0.778744,4.09643,0.395374,4250.34,37.157,5059.21,0.521775,0.984932,0.0133486,8145.93 
135,44.723,0.48,0.01,0.5,3,135,10339.2,-0.20528,22.3465,11.0918,80.3373,0.538507,-474.829,20.0714,1.12451,0.456433,-0.290627,3.01498,2.17001,-23.1553,44.861,-8.92369,11532.1,16392.6,1.27031,0.602236,0.000979428,3.16078,2.31582,0.999867,77.3386,-6.51794,11564.6,0.00861034,1.173,-0.00103931,8982.07 
136,44.703,0.48,0.01,0.5,3,136,10432.6,-0.211134,22.5117,11.1299,80.2147,0.156487,49.0525,468.979,0.25061,1.05742,-0.0598058,1.09402,2.76845,-87.6356,214.765,-6.5168,11473.8,8406.23,0.802428,1.60923,1.04383,1.64584,3.32027,0.876053,337.683,2.5882,11596.7,0.0364386,0.986764,0.000410959,9267.17 
137,44.823,0.48,0.01,0.5,3,137,8646,-0.224549,20.1319,10.5936,80.4177,0.967023,64.6817,433.395,2.52316,0.492992,1.64915,0.463086,1.13752,-32.5428,4634.53,26.4594,5115.31,8978.76,2.72808,0.697905,2.05898,0.668,1.34243,0.7253,4680.17,29.8405,5160.95,0.540804,0.988965,0.0105388,8654.11 
138,44.853,0.48,0.01,0.5,3,138,9480.86,-0.186479,21.4093,10.6068,80.6268,0.154881,-222.778,339.071,-0.864629,1.4395,0.914626,2.34014,2.19545,0.440466,3490.5,33.4752,7073.1,8515.61,-0.867403,1.43673,0.909079,2.33737,2.19268,0.8487,3489.89,33.4295,7072.49,0.390555,0.983513,0.0086319,8935.7 
139,44.683,0.48,0.01,0.5,3,139,11131.9,-0.0540793,23.6812,10.9084,80.4891,0.0471615,-110.55,1.41412,1.99282,2.43109,2.41656,0.682007,1.59997,-44.7023,430.009,-14.681,11906.8,8579.02,2.27429,2.71257,2.97951,0.963486,1.88145,0.724408,492.708,-10.0367,11969.5,0.0507464,1.03697,-0.00154703,9709.23 
140,44.843,0.48,0.01,0.5,3,140,9103.53,-0.137199,20.9528,10.4067,80.4322,-1.57985,4690.12,1.10389e-07,1.72341,1.20222,2.74023,2.25793,-0.441055,-80.0881,3937.39,19.904,6212.85,248307,2.2277,1.70651,3.74882,2.76222,0.0632389,0.643258,4049.72,28.2248,6325.18,0.453999,0.98795,0.008153,8920.11 
