cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
248,45.84,9500,248,18299.2,-0.154972,27.8871,14.8836,115.767,0.35852,-350.24,152.238,-4.5925,-0.598961,-2.37622,-0.0600047,-1.23709,-345.183,102.395,38.4836,17870.7,17599.3,-2.41897,1.57456,1.97082,2.11352,0.936428,0.5281,377.346,63.4791,18145.7,0.0180704,0.772562,0.00640298,20882,0.000386929,-0.0101402,-18.4986,-77.5115,103,98,1.18371,14.954,13.1438,114.862,140.293,-11.8619,-42.2934 
249,45.944,9500,249,17168.7,-0.15352,25.9579,15.0374,115.68,0.0465506,-62.8468,499.897,-0.258734,1.73294,0.0262022,0.0635324,2.341,-300.711,46.2344,62.3861,16813.5,12802.1,1.63476,3.62643,3.8132,1.95703,4.2345,0.750215,285.762,84.1613,17053.1,0.0146127,0.659891,0.00900936,19555.7,-0.000435814,-0.0156437,-15.2307,-8.79956,116.448,74.549,1.04848,15.1521,13.7569,114.815,140.525,1.63336,-65.9756 
250,45.828,9500,250,15089.8,-0.0890164,23.3961,-14.8043,115.622,-0.0467664,-43.419,489.781,0.00859508,-0.372767,-0.231521,1.06727,2.17543,-323.589,-15.0562,49.9469,15084.1,11341.3,2.04615,1.66479,3.84359,3.10483,4.21298,0.741561,242.694,73.3787,15341.8,0.013806,0.653974,0.00873369,17579,-0.00057351,-0.0152981,12.1248,10.0435,112.164,74.5476,0.989534,14.893,13.2151,114.809,140.512,-2.6447,-65.964 
251,45.852,9500,251,18702.3,0.00470398,28.9165,14.6104,115.656,-0.0192804,15.6723,9.47156e-05,-1.61599,-0.771273,3.42399,-2.0749,1.91004,-340.116,90.9047,32.9605,18434.3,13763,0.525631,1.37035,7.70723,0.0667136,4.05166,0.438313,361.819,57.5892,18705.3,0.0168298,0.782142,0.00563943,21498.8,-0.000515001,-0.0180193,-10.5862,7.45185,112.166,74.9588,1.23038,14.7784,13.0765,114.889,139.999,-2.72249,-65.0403 
252,45.912,9500,252,14707.7,-0.0153781,22.5671,-14.8058,115.373,-0.00367968,-3.77397,500,1.02351,-0.729831,3.58226,0.718118,-0.864411,-292.781,89.5072,45.3609,14547,10877.3,2.86707,1.11373,7.26939,2.56168,0.979151,0.508527,322.718,66.5618,14780.3,0.0189562,0.734784,0.00822754,17024.4,-1.25029e-05,-0.00826464,-14.7627,87.3775,103,98,0.946906,15.0639,13.3331,114.411,139.633,-11.4106,-41.6328 
253,45.844,9500,253,16549.9,-0.202272,25.352,15.0847,115.587,-0.0705665,127.227,464.452,-0.330592,2.22919,1.29582,0.95263,2.15431,-331.917,67.5002,51.2383,16325.6,12741.6,1.7594,4.31918,5.4758,3.04262,4.24431,0.709373,331.884,75.2732,16589.9,0.0173957,0.715866,0.00828887,19078.5,1.23482e-05,-0.0087033,-21.6469,-66.5808,103,98,1.03431,15.2209,13.6493,114.764,139.92,-11.7643,-41.9199 
254,45.884,9500,254,19000,-0.0343233,30.1044,14.2093,115.604,0.0108627,-9.92652,500,-1.12602,0.210132,1.97248,1.64927,2.28277,-275.122,3355.99,35.2687,15498.7,13928.6,0.606353,1.9425,5.43723,3.38164,4.01514,0.64654,3575.13,55.191,15717.9,0.167561,0.973695,0.00642672,21336.3,-0.000626119,0.268062,14.0799,11.3151,115.34,90.1498,1.05863,14.4777,12.9731,114.792,139.816,0.547701,-49.6657 
255,45.948,9500,255,17517.8,-0.0499436,26.7074,-14.8445,115.546,-0.0301189,94.8456,0.437624,0.501201,-2.24629,2.01149,0.877719,1.67644,-329.149,33.7397,48.4964,17310.3,12999,2.57377,-0.173728,6.15662,2.95028,3.74901,0.596445,295.919,72.3309,17572.5,0.0146837,0.700403,0.00752531,20152.8,-0.000527755,-0.0189571,-11.6112,-9.52872,112.978,74.4332,1.11743,15.0167,13.3555,114.685,139.868,-1.70744,-65.4352 
256,45.864,9500,256,16152.3,-0.0246393,24.5797,14.9666,115.837,-0.00656358,7.80756,500,-1.56604,0.770871,5.34051,0.625471,1.23833,-358.761,60.5312,61.9188,15953.5,11977.2,0.692981,3.02989,9.85856,2.88449,3.49736,0.506166,346.298,87.8975,16239.3,0.0185219,0.692431,0.00987224,18696.7,4.97321e-05,-0.00933421,21.4458,64.7349,103,98,1.0079,15.2707,13.6402,114.95,139.306,-11.9495,-41.3055 
257,45.876,9500,257,15637,-0.113901,23.8408,14.9027,115.882,0.125464,12.1336,499.985,0.953482,-0.796445,-2.56576,0.889396,1.83098,-305.301,2214.12,29.5501,13237.5,11615.5,2.87588,1.12595,1.27904,2.8118,3.75337,0.892028,2457.3,51.6577,13480.6,0.138906,0.964517,0.00700945,17690.4,-0.000627271,0.167966,14.6939,11.5014,115.654,90.4059,0.854164,15.0975,13.3342,115.039,139.969,0.614525,-49.5627 
258,45.9,9500,258,18601,-0.181398,28.7102,14.7896,115.728,0.105023,-25.941,495.933,-1.09286,-1.48347,0.740866,2.39492,-0.106922,-339.874,148.999,43.1554,18113.4,13911.2,1.04724,0.656626,5.02106,4.53502,2.03318,0.622281,419.722,67.7665,18384.1,0.019804,0.779698,0.00674446,21193.8,0.00021284,-0.00848764,20.6346,70.4254,103,98,1.17091,14.9381,13.5454,114.893,139.803,-11.893,-41.8028 
259,45.872,9500,259,15314.5,-0.00386654,23.198,14.8534,115.574,-0.014462,18.3138,1.70021e-12,-1.83942,-2.46194,-0.983151,0.636681,1.40941,-333.631,938.031,31.7062,14264.4,11225.5,0.261365,-0.361152,3.21842,2.73747,3.51019,0.656383,1203.78,55.8652,14530.1,0.068308,0.924886,0.00703269,17622.8,-0.000680689,0.0739332,14.3087,11.443,115.692,91.942,0.911753,15.1241,13.4179,114.772,140.414,0.920092,-48.4715 
