cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
62,45.84,5120,62,21906.2,-0.0417379,32.1618,15.0857,114.439,-0.0456723,-3.08917,500,-2.52136,-2.66739,-3.19312,1.46276,-0.282686,-215.257,56.4264,66.6612,21118.9,15799,-1.16594,-1.31198,-0.482289,2.81818,1.07273,1.5182,227.887,82.2484,21290.4,0.00938345,0.612893,0.00706609,24286,-0.000301131,-0.0179874,14.5058,9.19676,115.695,75.9937,1.30868,15.3659,13.6775,113.783,140.604,1.91195,-64.6106 
63,45.944,5120,63,21283.8,-0.0644877,30.8001,15.4788,114.463,-0.0511813,84.4633,2.39946,0.506358,-1.40322,-0.785508,0.949881,3.62933,-207.623,87.6628,93.5524,20452.6,15660.4,1.8137,-0.0958751,1.82918,2.25723,4.93667,0.8297,253.042,108.587,20618,0.0107443,0.571112,0.00960843,23551.3,-0.000369092,-0.0172056,-13.1622,8.35919,115.19,75.6138,1.22575,15.6954,13.9226,113.794,141.079,1.39601,-65.4648 
64,45.828,5120,64,22126.4,0.0282547,32.222,15.2186,114.499,0.00346254,-17.1935,3.44514e-12,-1.50014,-0.579171,-0.605332,0.78769,-0.0663396,-228.712,53.7325,58.3123,21237.8,15965.3,-0.0599998,0.860966,2.27494,2.22783,1.3738,0.659314,235.91,74.8739,21420,0.00965241,0.642913,0.00639791,24440.5,0.000493082,-0.00980075,31.2739,-47.6967,103,98,1.3278,15.4901,13.5602,113.795,140.623,-10.7952,-42.6232 
65,45.852,5120,65,20581,-0.161434,30.6221,15.1968,114.469,-0.300807,321.846,496.713,0.0315622,-1.2664,0.108019,-0.893023,0.699716,-244.23,1.06059,69.9563,19983,18300.5,1.56942,0.271453,3.18373,0.644831,2.23757,0.597353,195.599,87.6417,20177.5,0.00850571,0.560501,0.00793772,22996.2,-0.000428962,-0.0186138,13.2435,-8.87285,113.938,75.5046,1.24773,15.3777,13.5697,113.803,140.489,0.135066,-64.9844 
66,45.912,5120,66,22182.6,0.024789,33.0255,14.9957,114.651,-0.000544082,-2.32092,9.13859e-12,-0.921323,-3.62187,-2.70777,0.695164,-0.342597,-234.928,608.952,107.101,20892.6,16121.8,0.557956,-2.14259,0.250792,2.17444,1.13668,0.873163,796.081,124.112,21079.7,0.0323398,0.785649,0.0107295,24616.1,-0.000571315,0.0502919,14.0859,11.1988,115.864,94.7372,1.29463,15.2761,13.7458,113.994,141.022,1.86971,-46.2845 
67,45.844,5120,67,22866.5,-0.198294,33.7855,15.3668,114.54,-0.00646915,-27.724,483.724,-0.529341,0.0462939,-1.89767,-1.55899,1.62106,-199.634,45.242,67.8984,22046.6,16906.7,0.727701,1.30334,0.616413,-0.301952,2.8781,0.881995,204.258,82.3543,22205.7,0.0080745,0.586311,0.00678548,25296.7,-0.000557999,0.00885198,-111.546,-0.0401489,132.219,97.1668,1.34684,15.3713,13.9101,113.835,141.703,18.384,-44.5359 
68,45.884,5120,68,22089.3,0.00710895,32.5585,15.1416,114.38,-0.0235413,-4.05342,500,-0.935761,-1.16609,-0.358139,-1.77302,-2.83946,-257.592,11.763,65.3546,21406.3,16051.5,0.686227,0.455895,2.88584,-0.151031,-1.21748,-0.0851245,216.944,84.0074,21611.5,0.00880532,0.596071,0.00710967,24637.9,-0.000449072,-0.0190995,-13.7739,-9.38874,115.504,76.7175,1.33032,15.4084,13.6308,113.717,140.763,1.78638,-64.0458 
69,45.948,5120,69,20133.4,-0.00749758,29.574,15.1802,114.43,-0.0291439,15.1727,1.64898e-11,-1.11829,-1.40693,-0.071011,0.104955,-0.0136146,-198.072,-12.9887,77.7377,19392.2,14628.8,0.128921,-0.159726,2.42341,1.35216,1.23359,0.513212,144.783,92.0806,19550,0.00651114,0.473265,0.00860171,22236.2,0.000638831,-0.00926178,48.8113,-37.708,103,98,1.18797,15.5187,13.8237,113.787,140.095,-10.7873,-42.0952 
70,45.864,5120,70,25084.3,-0.157176,36.8783,15.2581,114.344,0.0592738,19.08,2.44029,-2.67707,-3.18328,-1.28349,-0.0137212,-1.76626,-198.522,31.8461,97.9509,24111,18354.3,-1.42703,-1.93324,1.2166,1.23632,-0.516217,1.85461,189.976,112.326,24269.1,0.0068797,0.49147,0.00845387,27614.1,-0.000211411,-0.0211458,-14.1344,9.25011,115.663,77.1321,1.50765,15.3908,13.4937,113.675,141.018,1.9887,-63.8855 
71,45.876,5120,71,21471.5,-0.0513082,31.6346,15.1694,114.722,-0.00663888,-17.0954,499.972,-1.96442,-3.9298,-0.55762,0.333719,-0.120496,-225.028,194.035,79.128,20447.7,15625.3,-0.547479,-2.51286,2.27626,1.75066,1.29645,-0.00584847,373.278,95.4228,20626.9,0.0157623,0.690913,0.00844982,23681.7,-0.000171971,-0.0180946,14.1072,7.22217,117.25,73.9053,1.25809,15.4099,13.7909,114.039,140.982,3.21057,-67.0765 
