cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0,0,19235.7,0,5,101,125,0,5,135,-8.3704,-7.66415,-11.6576,-2.19673,-4.98662,5.73321,-10.9938,25200.1,14.2788,16439.4,-8.39255,-7.6863,-11.7019,-2.21888,-5.00877,0.66574,-11.3289,25175,13.9437,-2.09654,-0.000257212,0.999699,5.4036,429.94,522.036,0.637098,33098.8,8.52876e-07,0.55548,109.131,85.4643,22.4819,24.5363,0.916271,459.444,557.483,0.593398 
1,1,1,21106.8,0,5,101,125,0,5,135,-6.06971,-5.51762,-7.44088,-8.69092,-9.25239,-59.7824,-10.9395,27316.9,12.8374,16439.4,-5.83872,-5.28663,-6.97891,-8.45994,-9.02141,0.803884,-7.4458,27578.9,16.3311,-0.612746,-0.000154299,0.999679,12.1515,443.375,527.853,0.609675,35688.4,8.74563e-07,0.553161,109.262,85.3298,22.9324,24.7796,0.925455,478.041,568.593,0.596132 
2,2,2,21296.9,0,5,101,125,0,5,135,-4.97508,-3.89579,-9.87079,-6.559,-9.72743,0.80131,1.19735,27517.4,18.1502,16439.4,-4.97817,-3.89888,-9.87698,-6.5621,-9.73053,0.718176,1.15053,27513.9,18.1034,0.0502972,2.38944e-05,0.999643,22.8746,467.213,542.338,32.3339,36091.1,8.7784e-07,0.573425,109.569,85.6345,22.6885,24.22,0.936764,467.925,543.203,0.57432 
3,3,3,20014.5,0,5,101,125,0,5,135,-7.21999,0.310331,-6.46691,-3.20762,-5.0787,-82.7679,-8.77702,26217.4,10.0618,16439.4,-6.90019,0.630129,-5.82731,-2.88782,-4.7589,0.704858,-3.94006,26580.2,14.8987,-0.282677,-8.47117e-05,0.999696,13.9384,452.623,538.272,0.686891,34431.7,8.64175e-07,0.571173,108.995,85.0269,22.9314,24.7806,0.925376,477.998,568.638,0.603295 
4,4,4,18966.1,0,5,101,125,0,5,135,-6.84074,-3.61903,-10.5648,-2.07242,-0.286162,-51.6068,-0.718846,25046.8,3.3611,16439.4,-6.64134,-3.41963,-10.166,-1.87302,-0.0867635,0.541798,2.29706,25273,6.37701,0.230872,5.19343e-05,0.999863,9.94946,448.082,514.573,0.655088,33277.7,8.5441e-07,0.562,109.526,85.8327,22.8997,24.3138,0.941839,476.678,547.418,0.597869 
5,5,5,18812.2,0,5,101,125,0,5,135,-6.90315,-1.15093,-10.7177,-5.22931,-5.88863,-6.77637,-6.34573,25225.7,0.485177,16439.4,-6.87697,-1.12475,-10.6653,-5.20313,-5.86245,0.641292,-5.94972,25255.4,0.881188,1.21614,-0.000134636,0.999981,-4.89229,426.301,493.34,0.556407,33394.9,8.55412e-07,0.536112,108.955,85.5676,22.7002,24.1924,0.938319,468.409,541.964,0.58901 
6,6,6,22303.9,0,5,101,125,0,5,135,-6.43506,-1.60179,-2.02835,-7.43334,-5.33779,-49.4906,2.37326,28091,-5.50929,16439.4,-6.24384,-1.41057,-1.64591,-7.24212,-5.14656,0.924113,5.26549,28307.9,-2.61707,2.47787,0.000106279,1.00005,2.12501,422.168,504.692,0.470064,37129.4,8.86178e-07,0.520877,109.627,85.7125,23.1366,25.0641,0.923097,486.59,581.722,0.600369 
7,7,7,21670.4,0,5,101,125,0,5,135,-5.60294,-7.8244,-6.48189,-3.27651,-6.834,-51.7815,13.615,27767.9,-0.91046,16439.4,-5.40286,-7.62433,-6.08174,-3.07643,-6.63393,0.78897,16.6411,27994.9,2.11565,0.867633,0.000339561,0.999959,19.1799,442.339,528.035,0.602271,37064.4,8.85661e-07,0.545684,109.561,85.3838,22.9214,24.8235,0.923373,477.582,570.611,0.589422 
8,8,8,20003,0,5,101,125,0,5,135,-2.84488,-0.769312,-2.91136,-2.0072,-2.87722,-80.0073,0.996024,25953.1,-16.4383,16439.4,-2.53575,-0.460179,-2.29309,-1.69807,-2.56809,0.760016,5.67165,26303.8,-11.7626,-0.671717,0.000123197,1.00024,-8.44351,409.892,488.942,0.48408,34477.3,8.64555e-07,0.51781,109.511,86.0606,22.6839,24.5511,0.923947,467.737,558.154,0.590997 
9,9,9,18689.8,0,5,101,125,0,5,135,-3.72641,-4.17746,-6.1561,-3.27163,-7.37478,-115.677,4.59013,24863,-20.6785,16439.4,-3.27946,-3.7305,-5.2622,-2.82468,-6.92783,0.761077,11.3503,25370.1,-13.9184,-2.12087,0.000255586,1.0003,-5.35173,414.147,482.93,0.500926,32744,8.49818e-07,0.526252,109.596,85.6072,22.6879,24.2858,0.934204,467.902,546.158,0.594855 
10,10,10,19798.6,0,5,101,125,0,5,135,-4.01363,-2.67468,-8.68023,-5.41114,-3.14503,-95.0374,2.01236,25778.1,-13.5714,16439.4,-3.64643,-2.30748,-7.94582,-5.04393,-2.77782,0.634195,7.56635,26194.6,-8.0174,-3.68275,0.000165031,1.00017,-2.05454,428.525,509.904,0.57658,34377.2,8.63718e-07,0.541202,109.492,85.9132,22.6615,24.4967,0.925085,466.815,555.684,0.589677 
11,11,11,21147.9,0,5,101,125,0,5,135,-4.22541,0.480215,-10.3554,-6.68773,-4.62888,-94.3317,16.5701,27332.7,-15.6264,16439.4,-3.86093,0.844694,-9.62642,-6.32325,-4.2644,0.58561,22.0829,27746.1,-10.1137,2.22018,0.000454588,1.0002,9.94644,443.985,521.813,0.654395,36486.8,8.81036e-07,0.546321,109.175,85.8567,22.8006,24.4857,0.931182,472.563,555.185,0.581373 
12,12,12,21403.1,0,5,101,125,0,5,135,-4.42109,-1.04126,-5.99447,-3.66794,-3.73039,-121.003,2.97363,27405,16.6524,16439.4,-3.95356,-0.573728,-5.05941,-3.20041,-3.26286,0.684772,10.045,27935.4,23.7238,0.260818,0.000205432,0.999539,38.5136,425.311,484.628,0.521183,36010,8.77181e-07,0.517569,109.901,85.7669,22.8666,24.1788,0.945732,475.303,541.353,0.578277 
13,13,13,21838.6,0,5,101,125,0,5,135,-5.40483,-4.32163,-7.87129,-6.27659,-3.23144,-23.0215,1.90833,28611.5,-12.7105,16439.4,-5.31588,-4.23268,-7.69339,-6.18764,-3.14249,0.710471,3.2537,28712.4,-11.3651,-0.313325,6.47503e-05,1.00021,-10.3844,422.311,488.536,0.480123,38095.9,8.93802e-07,0.508187,109.3,85.1898,23.059,24.5662,0.938647,483.334,558.842,0.58147 
14,14,14,19725.3,0,5,101,125,0,5,135,-8.82322,-7.03866,-6.49253,-3.63002,-6.84223,-107.541,-3.20204,26362,-2.17031,16439.4,-8.4077,-6.62315,-5.66149,-3.21451,-6.42671,0.813359,3.08264,26833.4,4.11437,0.384375,6.5642e-05,0.999917,8.01989,434.916,524.591,0.647007,34861.9,8.67759e-07,0.550445,109.391,85.2195,22.5781,24.5713,0.918881,463.385,559.075,0.586553 
