cyc,amplitude,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
0,1.7,0.5,0,15974.5,0,5,101,125,0,5,135,-0.0411901,-0.681894,-0.471181,-1.38639,0.263337,-119.94,33.0314,18560.2,-31.5351,16439.4,0.422234,-0.21847,0.455668,-0.922966,0.726761,0.0163201,40.0407,19085.9,-24.5258,3.77396,0.00119737,1.0007,10.6097,4.64735e-30,7.01374,7.73889e-30,11.6795,1.54778e-29,23.3589 
1,0.05,0.5,1,14422.4,0,5,101,125,0,5,135,1.92021,0.581867,1.21166,-0.964405,1.32793,-169.64,30.2018,16994.4,-38.8384,16439.4,2.57566,1.23732,2.52257,-0.308952,1.98339,0.685072,40.1155,17737.9,-28.9246,7.42063,0.00129066,1.00089,5.40595,4.38314e-30,6.61499,7.33571e-30,11.071,1.46714e-29,22.142 
2,0.95,0.5,2,11277.6,0,5,101,125,0,5,135,-0.354581,0.369633,-2.52075,-2.64552,-0.481195,-116.475,37.4594,13798.2,-45.1107,16439.4,0.0954563,0.819671,-1.62068,-2.19548,-0.0311571,0.447281,44.2662,14308.8,-38.3039,-26.0627,0.00176468,1.00146,-1.69845,4.06921e-30,6.14121,6.90769e-30,10.425,1.38154e-29,20.85 
3,1.4,0.5,3,13427.2,0,5,101,125,0,5,135,0.0567224,0.23069,-1.85077,-0.618527,0.308042,-140.989,27.6659,16172.9,-49.1255,16439.4,0.601477,0.775445,-0.761258,-0.073772,0.852797,1.54583,35.9053,16790.9,-40.8861,-2.72878,0.00122044,1.00132,-13.158,4.58897e-30,6.92563,7.67266e-30,11.5795,1.53453e-29,23.159 
4,0.5,0.5,4,13845.8,0,5,101,125,0,5,135,1.20797,-2.91578,-1.19059,0.373837,0.558085,-106.103,34.4988,16498,-27.6943,16439.4,1.61793,-2.50582,-0.370665,0.7838,0.968047,1.7514,40.6995,16963.1,-21.4936,2.7302,0.00136915,1.00069,14.9071,4.19099e-30,6.32501,7.09757e-30,10.7116,1.41951e-29,21.4232 
5,0.35,0.5,5,14082.1,0,5,101,125,0,5,135,-0.697736,0.950406,-0.663146,-0.552339,-0.65571,-70.7867,26.8008,16554.4,-40.2627,16439.4,-0.42423,1.22391,-0.116134,-0.278834,-0.382204,6.15928,30.9376,16864.6,-36.126,-2.49223,0.00104717,1.00116,-12.4136,4.59663e-30,6.93718,7.52336e-30,11.3542,1.50467e-29,22.7084 
6,0.8,0.5,6,15117.8,0,5,101,125,0,5,135,-2.23282,2.09537,-4.00448,-3.83059,1.59131,-76.953,34.9184,17737.8,-36.8884,16439.4,-1.93549,2.3927,-3.40981,-3.53325,1.88864,0.258288,39.4155,18075,-32.3913,72.1998,0.00124454,1.00097,0.545922,4.40992e-30,6.65541,7.46242e-30,11.2622,1.49248e-29,22.5244 
7,0.65,0.5,7,12782.5,0,5,101,125,0,5,135,-0.404662,-0.570359,-1.16853,-0.801047,-1.62159,-120.469,26.3823,15353.9,-31.2317,16439.4,0.060805,-0.104892,-0.237596,-0.335579,-1.15612,0.866021,33.4225,15881.9,-24.1915,7.60866,0.00120109,1.00083,4.39269,4.70912e-30,7.10695,7.80796e-30,11.7837,1.56159e-29,23.5674 
8,0.2,0.5,8,12167.7,0,5,101,125,0,5,135,-0.103419,-2.22237,-1.50011,0.967475,1.00776,-104.768,36.3363,14669.9,-38.3209,16439.4,0.301383,-1.81757,-0.690511,1.37228,1.41257,2.19435,42.459,15129.1,-32.1983,11.1119,0.00160111,1.00116,3.82103,4.48668e-30,6.77125,7.58648e-30,11.4494,1.5173e-29,22.8989 
9,1.55,0.5,9,13239.4,0,5,101,125,0,5,135,-0.0163505,0.411405,-1.10543,-0.364176,0.913686,-116.21,18.3407,15930.8,-28.6671,16439.4,0.432662,0.860417,-0.207405,0.0848366,1.3627,1.08187,25.132,16440.1,-21.8758,-22.46,0.000872781,1.00072,-1.11897,3.98881e-30,6.01987,6.86642e-30,10.3627,1.37328e-29,20.7255 
10,1.1,0.5,10,9455.85,0,5,101,125,0,5,135,-1.54746,0.398396,-4.32047,-2.24338,-0.0339995,-60.9582,33.1133,11933.5,-35.1224,16439.4,-1.31193,0.633926,-3.84941,-2.00785,0.201531,0.392236,36.6757,12200.6,-31.56,-30.6562,0.00171479,1.00141,-1.19635,4.20851e-30,6.35145,7.21505e-30,10.8889,1.44301e-29,21.7778 
11,1.25,0.5,11,16451.2,0,5,101,125,0,5,135,1.6252,1.19899,1.97406,-1.7033,0.379972,-118.019,30.5506,18895.4,-28.8094,16439.4,2.0812,1.65499,2.88606,-1.2473,0.835973,0.535325,37.4476,19412.7,-21.9124,3.3577,0.00110109,1.00061,11.1528,4.30217e-30,6.49279,7.23489e-30,10.9188,1.44698e-29,21.8377 
12,1.7,0.5,12,14911.1,0,5,101,125,0,5,135,-0.786289,-2.24457,-2.01026,-1.56966,0.959381,-120.212,27.6569,17197.5,-36.6027,16439.4,-0.321814,-1.7801,-1.08131,-1.10519,1.42386,0.622519,34.6821,17724.4,-29.5775,-42.7701,0.00111689,1.00091,-0.810895,4.83417e-30,7.29568,7.83945e-30,11.8312,1.56789e-29,23.6624 
