cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,20,1.8,0.01,10,0,6.60575e-07,7.58405e-07,1.04709e-29,15.8026,0.871006,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.45284,-1.32502e-29,1.96397e-13,38939,61497.2,2.52208,39.8554,2.22058,35.0909,-0.165908,0.0066,1.19235,6.683e-06 
1,20,1.8,10,0.01,1,7.65803e-07,7.05685e-07,9.74305e-30,14.7041,1.08519,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.0803,-2.19951e-29,-2.25891e-13,31370,50726.5,3.18798,46.8765,2.86197,42.0827,-0.774647,0.0066,1.11762,6.683e-06 
2,20,1.8,10,0.01,2,7.62292e-07,7.60092e-07,1.04942e-29,15.8378,1.00289,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.85362,-1.95086e-29,-4.80932e-13,39199.5,61715.3,2.93272,46.4477,2.60611,41.275,-0.553956,0.0066,1.15922,6.683e-06 
3,20,1.8,10,0.01,3,7.47313e-07,7.71042e-07,1.06454e-29,16.0659,0.969224,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.75603,-1.81183e-29,-3.7879e-13,40918.2,63950.2,2.82797,45.434,2.50477,40.2414,-0.459243,0.0066,1.16568,6.683e-06 
4,20,1.8,10,0.01,4,7.53702e-07,7.67336e-07,1.05942e-29,15.9887,0.982232,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.79409,-1.86692e-29,-7.23188e-13,40330.9,62956.8,2.86846,45.8629,2.54369,40.6702,-0.496154,0.0066,1.1145,6.683e-06 
5,20,1.8,0.01,10,5,6.92737e-07,6.99376e-07,9.65594e-30,14.5727,0.990506,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.81806,-1.73884e-29,6.79232e-13,30536.2,51004.6,2.8942,42.1761,2.56859,37.4312,-0.519422,0.0066,1.12014,6.683e-06 
6,20,1.8,0.01,10,6,6.8567e-07,7.43766e-07,1.02688e-29,15.4976,0.92189,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.61358,-1.52753e-29,2.53577e-13,36727.5,59134,2.68046,41.5407,2.36565,36.662,-0.321331,0.0066,1.17554,6.683e-06 
7,20,1.8,10,0.01,7,7.60267e-07,7.3675e-07,1.01719e-29,15.3514,1.03192,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.93542,-2.03154e-29,-4.79362e-13,35697.9,56287.7,3.02287,46.4053,2.69504,41.3726,-0.63348,0.0066,1.1189,6.683e-06 
8,20,1.8,10,0.01,8,7.90572e-07,7.26297e-07,1.00276e-29,15.1336,1.0885,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.08908,-2.28024e-29,-5.16812e-13,34199.9,54154.9,3.19822,48.4006,2.87249,43.471,-0.783213,0.0066,1.13421,6.683e-06 
9,20,1.8,0.01,10,9,7.1158e-07,7.58479e-07,1.04719e-29,15.8042,0.938166,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.66329,-1.63408e-29,-3.89917e-13,38950.5,60678.5,2.73122,43.1646,2.41304,38.1361,-0.369407,0.0066,1.17379,6.683e-06 
10,20,1.8,0.01,10,10,7.10199e-07,7.31082e-07,1.00937e-29,15.2333,0.971436,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.76253,-1.72823e-29,-8.09612e-13,34880.2,52557,2.83486,43.1842,2.51136,38.2563,-0.465549,0.0066,1.19054,6.683e-06 
11,20,1.8,10,0.01,11,7.46209e-07,7.04687e-07,9.72926e-30,14.6833,1.05892,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.00968,-2.07048e-29,1.70617e-13,31237.1,51088.5,3.10663,45.6156,2.77906,40.8058,-0.705785,0.0066,1.11794,6.683e-06 
