cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,19235.5,0,5,101,125,0,5,135,-7.19741,-3.47577,-13.2863,-6.26857,-16.5964,330.032,-18.4444,32480.8,-48.4692,16439.4,-8.47259,-4.75095,-15.8366,-7.54375,-17.8715,0.709289,-37.7315,31034.2,-67.7563,0.316967,-0.000695227,1.00119,-119.039,531.676,566.419,0.499659,43288.4,9.32693e-07,0.588374,111.531,87.0543,25.7134,26.3108,0.977293,601.014,641.035,0.665494 
1,4.99,0.01,1,17207.7,0,5,101,125,0,5,135,-2.09285,-4.99762,-13.3294,-5.92755,-10.5189,302.684,-16.0423,30326.3,-40.0614,16439.4,-3.26236,-6.16713,-15.6684,-7.09706,-11.6884,0.642953,-33.7311,28999.7,-57.7502,0.327387,-0.000665102,1.00108,-103.031,579.777,620.847,0.658588,41422.6,9.19096e-07,0.652773,111.548,86.8359,26.0464,26.7099,0.975162,616.684,660.627,0.694462 
2,1.49,3.51,2,19259,0,5,101,125,0,5,135,-5.18475,-10.1937,-18.328,-1.81651,-9.82779,307.342,-10.4017,32171.4,-30.657,16439.4,-6.37226,-11.3812,-20.703,-3.00401,-11.0153,0.605474,-28.3627,30824.3,-48.6181,0.32712,-0.000526072,1.00086,-86.7044,545.765,583.972,0.620454,43190.1,9.31987e-07,0.605744,111.385,86.7371,25.3918,26.034,0.975335,586.076,627.615,0.65075 
3,2.99,2.01,3,14814,0,5,101,125,0,5,135,-7.09889,-7.04939,-12.6127,-8.99376,-2.97197,350.879,-22.2445,28477.5,-59.0725,16439.4,-8.45462,-8.40512,-15.3241,-10.3495,-4.32769,0.672988,-42.7498,26939.6,-79.5779,0.309236,-0.000907609,1.00161,-138.243,534.129,569.432,0.52173,39117.7,9.01722e-07,0.611605,111.741,86.5332,25.6167,26.2217,0.976927,596.502,636.699,0.683439 
4,4.49,0.51,4,18026.7,0,5,101,125,0,5,135,-2.24416,-0.99503,-20.0775,-7.69456,-13.8,235.553,-27.3764,30642,-49.0749,16439.4,-3.15429,-1.90516,-21.8977,-8.60469,-14.7101,0.564415,-41.1421,29609.5,-62.8406,0.352997,-0.000794625,1.00115,-116.551,532.483,585.022,0.501121,41037,9.16235e-07,0.609161,111.535,86.6098,25.7377,26.7363,0.962652,602.151,661.933,0.689053 
5,3.49,1.51,5,15577.5,0,5,101,125,0,5,135,-11.9118,-6.46555,-14.9138,-6.93673,-6.07778,318.302,-23.8393,28564.7,-49,16439.4,-13.1416,-7.6954,-17.3735,-8.16659,-7.30764,0.676379,-42.4408,27169.6,-67.6016,0.343476,-0.00089341,1.00135,-123.563,566.384,592.901,0.601189,39229.3,9.02579e-07,0.642039,111.861,86.902,25.9513,26.3095,0.986387,612.188,640.969,0.694026 
6,3.99,1.01,6,18760.4,0,5,101,125,0,5,135,-7.30692,-11.4496,-12.3407,-1.81136,-6.09281,304.137,-34.0613,30846.5,-34.3366,16439.4,-8.48205,-12.6248,-14.691,-2.98649,-7.26793,0.680993,-51.8351,29513.5,-52.1104,0.453233,-0.00100462,1.00096,-114.368,563.216,600.653,0.639873,41594.5,9.20366e-07,0.631959,111.315,86.4895,25.7354,26.3383,0.977112,602.044,642.373,0.67569 
7,0.49,4.51,7,19361.6,0,5,101,125,0,5,135,-9.19509,-6.17836,-6.50029,-8.53813,-8.82583,266.072,-25.6635,31918,-55.3814,16439.4,-10.2231,-7.20641,-8.55638,-9.56618,-9.85388,0.811558,-41.2127,30751.8,-70.9307,0.326232,-0.000766401,1.00125,-126.33,519.135,542.523,0.529016,42354,9.25934e-07,0.573152,111.517,86.8592,25.2094,25.5416,0.986996,577.685,604.097,0.637998 
8,0.99,4.01,8,16371.2,0,5,101,125,0,5,135,-4.15363,-7.31935,-12.915,-6.81276,-12.7842,307.804,-33.1071,29024,-49.8204,16439.4,-5.34292,-8.50864,-15.2936,-8.00205,-13.9735,0.700833,-51.0952,27674.9,-67.8085,0.385725,-0.00105612,1.00133,-132.465,511.301,527.247,0.518064,39103.2,9.01611e-07,0.575872,111.252,87.3694,25.089,25.2531,0.993504,572.179,590.527,0.644713 
9,0.01,4.99,9,15503.2,0,5,101,125,0,5,135,-6.12373,-7.83138,-20.6516,-10.2268,-7.82952,264.952,-20.7522,28756,-61.0742,16439.4,-7.14745,-8.8551,-22.6991,-11.2505,-8.85324,0.613997,-36.236,27594.7,-76.558,0.28286,-0.000750934,1.00151,-128.106,524.807,523.389,0.616067,38975.8,9.00631e-07,0.581923,110.519,87.1189,24.9019,24.659,1.00985,563.679,563.07,0.625533 
