cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,19085.4,0,5,101,125,0,5,135,-10.235,-7.82795,-20.6703,-14.3318,-13.2319,396.63,-32.1284,32452.6,-23.0681,16439.4,-11.7675,-9.36045,-23.7353,-15.8643,-14.7644,0.685592,-55.3075,30714.2,-46.2472,0.499146,-0.00103004,1.00082,-110.804,573.113,595.999,0.636927,43777.3,9.36192e-07,0.624278,112.076,86.775,25.9609,26.2379,0.989446,612.641,637.484,0.667533 
1,4.99,0.01,1,15714.6,0,5,101,125,0,5,135,-10.3848,-7.40987,-20.2243,-8.94014,-11.4249,400.887,-29.338,29429.5,-33.3497,16439.4,-11.9338,-8.95882,-23.3222,-10.4891,-12.9738,0.655393,-52.7658,27672.4,-56.7776,0.436446,-0.00109079,1.00112,-120.899,596.462,599.333,0.569586,40018.4,9.08591e-07,0.658047,112.226,86.6157,26.8107,26.6269,1.0069,653.402,656.527,0.720855 
2,1.49,3.51,2,16453.1,0,5,101,125,0,5,135,-10.4004,-4.38971,-14.276,-12.197,-12.7923,350.79,-45.7295,29665.9,-60.6263,16439.4,-11.7558,-5.74509,-16.9868,-13.5524,-14.1477,0.726847,-66.2297,28128.4,-81.1265,0.404873,-0.00134727,1.00157,-163.581,554.814,574.33,0.610118,40404.5,9.11504e-07,0.619293,112.013,87.194,25.6504,25.866,0.991663,598.072,619.544,0.667812 
3,2.99,2.01,3,17898.3,0,5,101,125,0,5,135,-6.31465,-7.30345,-19.1804,-10.0145,-9.71583,320.051,-18.1542,30871.1,-39.0075,16439.4,-7.55126,-8.54007,-21.6536,-11.2511,-10.9524,0.638796,-36.858,29468.3,-57.7113,0.347351,-0.000715235,1.00106,-106.112,549.46,581.049,0.515393,41765,9.21621e-07,0.613087,111.459,86.4116,26.036,26.5411,0.980968,616.19,652.306,0.687908 
4,4.49,0.51,4,19988.1,0,5,101,125,0,5,135,-8.30969,0.613233,-14.9001,-6.91782,-5.19217,345.643,-21.2799,33256.3,-63.6446,16439.4,-9.64519,-0.722263,-17.5711,-8.25331,-6.52767,0.588687,-41.4792,31741.3,-83.844,0.291918,-0.000747295,1.00144,-142.092,571.422,610.55,0.540692,44958,9.44534e-07,0.625348,111.588,85.9114,26.3939,27.0287,0.976514,633.248,676.493,0.692949 
5,3.49,1.51,5,18610.3,0,5,101,125,0,5,135,-4.01172,-10.3259,-16.7058,-5.379,-9.79558,297.487,-23.4668,31094.1,-40.2827,16439.4,-5.16116,-11.4753,-19.0046,-6.52843,-10.945,0.642195,-40.852,29790.2,-57.6678,0.371202,-0.000784228,1.00105,-110.053,561.28,610.163,0.707625,41959.8,9.23052e-07,0.633996,111.213,86.2901,25.4856,26.3319,0.967862,590.414,642.062,0.667022 
6,3.99,1.01,6,16465.5,0,5,101,125,0,5,135,-6.94924,-7.95367,-22.9625,-7.67323,-8.85557,326.098,-34.1902,29686.6,-52.6862,16439.4,-8.20922,-9.21365,-25.4825,-8.9332,-10.1156,0.588688,-53.2474,28257.3,-71.7434,0.382142,-0.00107795,1.00138,-139.34,552.08,598.906,0.5889,40654.3,9.13378e-07,0.629549,111.095,86.6416,25.6701,26.5065,0.968448,598.993,650.604,0.683469 
7,0.49,4.51,7,17340.8,0,5,101,125,0,5,135,-11.5434,-11.5802,-14.9527,-10.386,-10.3648,350.246,-29.2054,30010.3,-62.3827,16439.4,-12.8966,-12.9335,-17.6592,-11.7393,-11.7181,0.73622,-49.6738,28475.1,-82.8511,0.333169,-0.000997831,1.00158,-149.095,517.795,535.213,0.562474,40478.8,9.12062e-07,0.577189,111.08,86.6864,24.9737,25.1734,0.992069,566.933,586.806,0.632396 
8,0.99,4.01,8,15858.7,0,5,101,125,0,5,135,-3.09322,-11.7038,-17.5705,-11.4753,-13.303,336.586,-17.7768,28725.9,-61.1163,16439.4,-4.39372,-13.0043,-20.1715,-12.7758,-14.6035,0.689425,-37.4469,27250.7,-80.7864,0.278642,-0.000785853,1.00161,-134.391,532.482,556.3,0.615172,38988.3,9.00727e-07,0.604246,110.604,86.6194,25.1028,25.4314,0.98708,572.81,598.898,0.650262 
9,0.01,4.99,9,16382.4,0,5,101,125,0,5,135,-8.76216,-11.9002,-8.60109,-11.1994,-10.0221,320.738,-28.2463,28868,-49.2791,16439.4,-10.0014,-13.1395,-11.0796,-12.4387,-11.2614,0.80871,-46.9902,27462.2,-68.023,0.365348,-0.000978719,1.00135,-128.618,489.614,503.133,0.484705,38865.6,8.99781e-07,0.551609,111.428,87.2913,24.7734,24.9058,0.994681,557.873,574.4,0.629127 
