cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,20,1.8,0.01,10,0,6.17997e-07,6.7286e-07,9.28985e-30,14.0202,0.918463,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.60302,-1.36776e-29,-3.30574e-13,27193,40969.9,2.66978,37.4307,2.35574,33.0278,-0.311116,0.0066,1.21622,6.683e-06 
1,20,1.8,10,0.01,1,6.79569e-07,6.89732e-07,9.52279e-30,14.3717,0.985265,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.80289,-1.69156e-29,8.48029e-14,29290.2,45498.4,2.87789,41.3602,2.5528,36.6881,-0.504702,0.0066,1.23532,6.683e-06 
2,20,1.8,10,0.01,2,7.2327e-07,7.03731e-07,9.71607e-30,14.6634,1.02776,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.92384,-1.92111e-29,-4.359e-13,31110.1,47904,3.00997,44.1364,2.68222,39.3304,-0.622211,0.0066,1.17246,6.683e-06 
3,20,1.8,10,0.01,3,7.10032e-07,6.88622e-07,9.50746e-30,14.3486,1.03109,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.93312,-1.89504e-29,-6.57237e-13,29149,43503.2,3.0203,43.337,2.69248,38.6332,-0.631237,0.0066,1.23683,6.683e-06 
4,20,1.8,10,0.01,4,6.84896e-07,6.44685e-07,8.90084e-30,13.4331,1.06237,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.01905,-1.90921e-29,-5.18224e-13,23917.9,36721,3.11732,41.8752,2.78988,37.4767,-0.714913,0.0066,1.11545,6.683e-06 
5,20,1.8,0.01,10,5,5.83576e-07,6.68902e-07,9.23519e-30,13.9377,0.872439,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.45748,-1.17431e-29,-8.32697e-13,26715.8,39011.9,2.52653,35.2139,2.2246,31.0057,-0.170396,0.0066,1.17846,6.683e-06 
6,20,1.8,0.01,10,6,5.73378e-07,6.55581e-07,9.05129e-30,13.6601,0.874611,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.46452,-1.15936e-29,-2.28842e-13,25151.4,38787.1,2.53325,34.6045,2.2307,30.4716,-0.177213,0.0066,1.1644,6.683e-06 
7,20,1.8,10,0.01,7,6.75491e-07,7.06019e-07,9.74766e-30,14.7111,0.95676,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.71913,-1.60329e-29,-8.07417e-14,31414.6,48827.1,2.78916,41.0315,2.46775,36.3033,-0.423482,0.0066,1.18261,6.683e-06 
8,20,1.8,10,0.01,8,6.61345e-07,6.67447e-07,9.21512e-30,13.9074,0.990857,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.81907,-1.66097e-29,-1.4752e-13,26542,40808.8,2.89528,40.2658,2.56965,35.7371,-0.520403,0.0066,1.2022,6.683e-06 
9,20,1.8,0.01,10,9,5.69265e-07,7.32642e-07,1.01152e-29,15.2658,0.777003,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.13261,-8.9018e-30,-4.53575e-13,35104,51492.1,2.22895,34.0267,1.96511,29.999,0.142349,0.0066,1.23333,6.683e-06 
10,20,1.8,0.01,10,10,5.92872e-07,6.90509e-07,9.53352e-30,14.3879,0.858602,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.4124,-1.15612e-29,1.86314e-13,29389.4,44947,2.4834,35.7308,2.18592,31.4508,-0.126902,0.0066,1.26109,6.683e-06 
11,20,1.8,10,0.01,11,6.90968e-07,7.09011e-07,9.78896e-30,14.7734,0.974552,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.77167,-1.69015e-29,-5.79321e-13,31815.6,48166.1,2.84456,42.0238,2.52067,37.2389,-0.474412,0.0066,1.16127,6.683e-06 
12,20,1.8,0.01,10,12,6.11053e-07,6.78537e-07,9.36823e-30,14.1384,0.900544,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.54719,-1.30529e-29,-9.4952e-13,27887.1,39986.2,2.61391,36.9566,2.30423,32.5782,-0.257151,0.0066,1.19867,6.683e-06 
13,20,1.8,0.01,10,13,5.52998e-07,6.964e-07,9.61484e-30,14.5106,0.794081,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.19317,-9.10979e-30,-5.11825e-14,30147.9,44520.8,2.28241,33.1193,2.01029,29.1705,0.0842925,0.0066,1.24758,6.683e-06 
14,20,1.8,0.01,10,14,5.83308e-07,7.00294e-07,9.66861e-30,14.5918,0.832948,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.32702,-1.0687e-29,2.19992e-13,30656.5,47028.4,2.40357,35.0724,2.11516,30.8639,-0.0445178,0.0066,1.23118,6.683e-06 
15,20,1.8,10,0.01,15,6.76066e-07,6.58295e-07,9.08875e-30,13.7166,1.027,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.92169,-1.79373e-29,-3.4444e-14,25464.9,39724.2,3.00759,41.254,2.67985,36.7586,-0.620124,0.0066,1.17577,6.683e-06 
16,20,1.8,10,0.01,16,6.63401e-07,7.10943e-07,9.81564e-30,14.8137,0.933128,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.64799,-1.50943e-29,2.51962e-13,32076.5,50404.1,2.71551,40.2267,2.39833,35.528,-0.354601,0.0066,1.17407,6.683e-06 
17,20,1.8,0.01,10,17,5.91091e-07,6.81884e-07,9.41443e-30,14.2082,0.86685,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.43933,-1.17463e-29,1.88331e-13,28301.7,43695.3,2.50915,35.6504,2.20893,31.3849,-0.152861,0.0066,1.21325,6.683e-06 
18,20,1.8,10,0.01,18,6.88018e-07,6.83624e-07,9.43845e-30,14.2444,1.00643,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.86369,-1.77035e-29,-3.3052e-13,28518.9,44278.6,2.9437,41.9313,2.61686,37.2757,-0.56374,0.0066,1.1447,6.683e-06 
19,20,1.8,0.01,10,19,6.00759e-07,6.84672e-07,9.45292e-30,14.2663,0.877441,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.47363,-1.22229e-29,-4.14836e-14,28650.3,44082.8,2.5421,36.2662,2.23867,31.9374,-0.185997,0.0066,1.20163,6.683e-06 
20,30,1.8,0.01,10,20,5.90924e-07,6.78659e-07,9.3699e-30,14.141,0.870723,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.45192,-1.18456e-29,-1.29922e-13,27902,42039.1,2.52119,35.6521,2.21978,31.3899,-0.165026,0.0066,1.22595,6.683e-06 
21,30,1.8,10,0.01,21,7.43724e-07,6.47139e-07,8.93473e-30,13.4842,1.14925,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.24619,-2.30644e-29,-5.41629e-13,24192.2,37099.2,3.38598,45.6572,3.06894,41.3823,-0.936743,0.0066,1.1422,6.683e-06 
22,30,1.8,10,0.01,22,6.87494e-07,6.87143e-07,9.48705e-30,14.3178,1.00051,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.84681,-1.75297e-29,9.17495e-14,28961.7,45799.1,2.9253,41.8838,2.59887,37.21,-0.547337,0.0066,1.15056,6.683e-06 
23,30,1.8,10,0.01,23,7.00102e-07,6.51566e-07,8.99586e-30,13.5765,1.07449,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.05172,-1.98319e-29,-3.65518e-13,24692.1,38261.1,3.15487,42.8319,2.82806,38.395,-0.746765,0.0066,1.1234,6.683e-06 
24,30,1.8,10,0.01,24,6.87227e-07,6.60801e-07,9.12335e-30,13.7689,1.03999,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.9578,-1.8576e-29,-2.32662e-15,25756.9,40638.9,3.04792,41.9664,2.72002,37.4516,-0.655259,0.0066,1.13092,6.683e-06 
25,30,1.8,0.01,10,25,5.9626e-07,6.56464e-07,9.06347e-30,13.6785,0.908291,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.57146,-1.29367e-29,3.84695e-14,25253.1,38864.1,2.63804,36.0844,2.32642,31.822,-0.280615,0.0066,1.19235,6.683e-06 
26,30,1.8,0.01,10,26,5.85745e-07,6.52747e-07,9.01216e-30,13.6011,0.897354,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.53714,-1.2431e-29,2.01552e-13,24826.6,38694.7,2.60398,35.4168,2.29511,31.216,-0.247435,0.0066,1.20766,6.683e-06 
27,30,1.8,10,0.01,27,7.22318e-07,6.75648e-07,9.32834e-30,14.0782,1.06907,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.03715,-2.03159e-29,-4.14189e-13,27532.4,42578.7,3.13808,44.1787,2.81096,39.5734,-0.732562,0.0066,1.14901,6.683e-06 
