cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,20,1.8,0.01,10,0,6.13298e-07,6.70443e-07,9.25647e-30,13.9698,0.914765,1062.49,2846.28,2770.88,5.05953,21.2685,20.4306,-1.59158,-1.34767e-29,-2.10104e-13,0.217731,0.210903,26900.9,41600.9,2.65824,37.135,2.34506,32.76,2.88311,0.0066,1.21422,3.7,11.9901,2.79773e-29,42.223,2.63894,3.02246 
1,20,1.8,10,0.01,1,6.95843e-07,7.0101e-07,9.67849e-30,14.6067,0.99263,1062.49,2846.28,2770.88,5.17794,21.2278,20.3926,-1.82419,-1.75253e-29,3.1826e-13,0.170406,0.165995,30750.6,50370.2,2.9008,42.3711,2.57501,37.6123,3.123,0.0066,1.21859,3.7,19.4631,3.31269e-29,49.9947,3.12467,3.42273 
2,20,1.8,10,0.01,2,7.09521e-07,7.07821e-07,9.77254e-30,14.7486,1.0024,1062.49,2846.28,2770.88,5.16265,21.2331,20.3975,-1.85221,-1.81443e-29,-4.70804e-13,0.165472,0.161289,31655.7,49985.8,2.93118,43.2309,2.60461,38.4144,3.15184,0.0066,1.16011,3.7,18.484,3.25522e-29,49.1275,3.07047,3.33099 
3,20,1.8,10,0.01,3,6.78521e-07,6.93253e-07,9.57139e-30,14.4451,0.97875,1062.49,2846.28,2770.88,5.1732,21.2294,20.3941,-1.78394,-1.6712e-29,4.59094e-13,0.17776,0.172999,29741,49604.5,2.85762,41.2785,2.53324,36.5928,3.08157,0.0066,1.21437,3.7,19.1596,3.2951e-29,49.7293,3.10808,3.44265 
4,20,1.8,10,0.01,4,7.06972e-07,6.55579e-07,9.05125e-30,13.6601,1.07839,1062.49,2846.28,2770.88,5.16495,21.2323,20.3968,-2.06218,-2.01285e-29,5.4619e-13,0.132898,0.130094,25151.1,43762.6,3.16694,43.2606,2.8404,38.8001,3.36738,0.0066,1.11238,3.7,18.6308,3.26397e-29,49.2596,3.07872,3.6061 
5,20,1.8,0.01,10,5,5.99428e-07,6.75023e-07,9.31971e-30,14.0652,0.88801,1062.49,2846.28,2770.88,5.05012,21.2718,20.4336,-1.5075,-1.24761e-29,2.30129e-13,0.23801,0.23005,27456,44341.6,2.57494,36.2171,2.26854,31.9075,2.79624,0.0066,1.18247,3.7,11.407,2.74679e-29,41.4544,2.5909,2.9473 
6,20,1.8,0.01,10,6,6.115e-07,6.64029e-07,9.16792e-30,13.8361,0.920893,1062.49,2846.28,2770.88,5.0601,21.2683,20.4304,-1.61052,-1.35971e-29,2.15351e-13,0.213413,0.206821,26136.2,42219.2,2.67735,37.0442,2.36277,32.6916,2.90267,0.0066,1.16664,3.7,12.0257,2.80077e-29,42.2689,2.64181,3.05497 
7,20,1.8,10,0.01,7,7.09848e-07,7.19321e-07,9.93131e-30,14.9882,0.98683,1062.49,2846.28,2770.88,5.16496,21.2323,20.3968,-1.80743,-1.77138e-29,-4.88397e-13,0.173429,0.168875,33223.8,51828.7,2.88276,43.2075,2.55751,38.3326,3.10576,0.0066,1.17822,3.7,18.6314,3.26401e-29,49.2601,3.07876,3.28659 
8,20,1.8,10,0.01,8,7.27136e-07,6.88062e-07,9.49973e-30,14.3369,1.05679,1062.49,2846.28,2770.88,5.17128,21.2301,20.3947,-2.00388,-2.01173e-29,-3.91575e-14,0.141216,0.138082,29078,46901.1,3.10001,44.4446,2.77237,39.7473,3.30762,0.0066,1.19668,3.7,19.0366,3.28791e-29,49.6208,3.1013,3.46106 
9,20,1.8,0.01,10,9,5.95185e-07,7.37249e-07,1.01788e-29,15.3618,0.807305,1062.49,2846.28,2770.88,5.03919,21.2755,20.4371,-1.2393,-1.01839e-29,5.41921e-13,0.316764,0.303922,35770.4,58732.5,2.32373,35.6967,2.04565,31.4248,2.51858,0.0066,1.23012,3.7,10.7315,2.68462e-29,40.5161,2.53225,2.63746 
10,20,1.8,0.01,10,10,6.28306e-07,7.00613e-07,9.67302e-30,14.5984,0.896795,1062.49,2846.28,2770.88,5.05957,21.2685,20.4306,-1.53538,-1.3319e-29,6.13296e-13,0.231084,0.223512,30698.5,51379.7,2.60223,37.9885,2.29352,33.4818,2.82502,0.0066,1.2475,3.7,11.9925,2.79794e-29,42.2262,2.63914,2.89252 
11,20,1.8,10,0.01,11,6.97835e-07,7.16239e-07,9.88876e-30,14.924,0.974304,1062.49,2846.28,2770.88,5.14838,21.238,20.4021,-1.77094,-1.70625e-29,-2.31211e-13,0.180204,0.175326,32798.7,52446.9,2.84379,42.4407,2.51993,37.6075,3.06818,0.0066,1.15501,3.7,17.5739,3.19977e-29,48.2906,3.01816,3.23576 
12,20,1.8,0.01,10,12,6.28822e-07,6.84114e-07,9.44522e-30,14.2546,0.919178,1062.49,2846.28,2770.88,5.06262,21.2675,20.4296,-1.60523,-1.39363e-29,-3.11442e-14,0.21461,0.207954,28580.3,45239,2.67201,38.0885,2.35781,33.6097,2.89721,0.0066,1.19544,3.7,12.1821,2.814e-29,42.4687,2.65429,2.97929 
13,20,1.8,0.01,10,13,6.03246e-07,7.08071e-07,9.77599e-30,14.7538,0.851957,1062.49,2846.28,2770.88,5.04579,21.2732,20.435,-1.39045,-1.15807e-29,-1.11576e-13,0.269523,0.259713,31689.3,49541.5,2.46284,36.3363,2.16748,31.9786,2.67525,0.0066,1.2408,3.7,11.139,2.72256e-29,41.0886,2.56804,2.78495 
14,20,1.8,0.01,10,14,6.06357e-07,7.04167e-07,9.72209e-30,14.6725,0.861097,1062.49,2846.28,2770.88,5.05212,21.2711,20.4329,-1.42054,-1.18923e-29,4.88516e-13,0.261031,0.251733,31168,51661.4,2.49127,36.5532,2.19287,32.1749,2.70638,0.0066,1.22178,3.7,11.5307,2.7578e-29,41.6204,2.60128,2.83663 
15,20,1.8,10,0.01,15,7.18296e-07,6.7772e-07,9.35694e-30,14.1214,1.05987,1062.49,2846.28,2770.88,5.1894,21.2238,20.3889,-2.01226,-1.99559e-29,2.8279e-13,0.139987,0.136904,27786.4,46050.1,3.10957,43.9115,2.78203,39.2862,3.31622,0.0066,1.16779,3.7,20.2,3.35459e-29,50.6272,3.1642,3.58514 
16,20,1.8,10,0.01,16,7.02534e-07,7.29385e-07,1.00703e-29,15.1979,0.963186,1062.49,2846.28,2770.88,5.18384,21.2258,20.3907,-1.73821,-1.68598e-29,2.59376e-13,0.186517,0.181328,34638,56649.8,2.80917,42.6936,2.4868,37.7943,3.03445,0.0066,1.16467,3.7,19.8426,3.3344e-29,50.3225,3.14515,3.31114 
17,20,1.8,0.01,10,17,6.2966e-07,6.90661e-07,9.53561e-30,14.3911,0.911677,1062.49,2846.28,2770.88,5.05895,21.2687,20.4308,-1.582,-1.3753e-29,2.88233e-13,0.219951,0.213,29408.7,48187.7,2.6486,38.1162,2.33616,33.6198,2.8732,0.0066,1.20836,3.7,11.9544,2.79468e-29,42.177,2.63606,2.93078 
18,20,1.8,10,0.01,18,7.18621e-07,7.00418e-07,9.67033e-30,14.5944,1.02599,1062.49,2846.28,2770.88,5.15638,21.2353,20.3995,-1.91888,-1.90384e-29,7.35128e-13,0.15432,0.150634,30672.9,53398.6,3.00446,43.8482,2.67675,39.0655,3.22037,0.0066,1.14123,3.7,18.0838,3.23109e-29,48.7633,3.04771,3.34124 
19,20,1.8,0.01,10,19,6.17588e-07,6.86668e-07,9.48049e-30,14.3079,0.899398,1062.49,2846.28,2770.88,5.05598,21.2698,20.4317,-1.54358,-1.31617e-29,2.44904e-13,0.229083,0.221625,28901.7,47807,2.61034,37.3484,2.30095,32.9217,2.8335,0.0066,1.19421,3.7,11.7701,2.77879e-29,41.9373,2.62108,2.93106 
20,30,1.8,0.01,10,20,6.17742e-07,6.84413e-07,9.44935e-30,14.2609,0.902587,1062.49,2846.28,2770.88,5.06738,21.2659,20.4281,-1.55361,-1.32505e-29,1.28981e-13,0.226664,0.219339,28617.8,45897.3,2.62026,37.3672,2.31007,32.9436,2.84386,0.0066,1.21969,3.7,12.478,2.83863e-29,42.8403,2.67752,3.00405 
21,30,1.8,10,0.01,21,7.56281e-07,6.59071e-07,9.09947e-30,13.7328,1.1475,1062.49,2846.28,2770.88,5.21608,21.2146,20.3802,-2.24176,-2.34076e-29,1.06051e-13,0.110305,0.108321,25555.2,42582.3,3.38057,46.4248,3.06319,42.0663,3.55111,0.0066,1.13472,3.7,21.9249,3.44872e-29,52.0478,3.25299,3.79003 
