cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
220,115,0.25,0.1,10.9,220,13290.8,0,5,101,125,0,5,135,0.322152,-0.684969,-3.07195,-0.699069,-2.27159,-91.1827,1.75475,15948.9,-19.5612,16439.4,0.674464,-0.332657,-2.36733,-0.346757,-1.91928,0.448375,7.08347,16348.6,-14.2325,-0.708662,0.000247526,1.00047,-9.99555,249.06,539.196,267.498,22526.8,7.49433e-07,0.488982,105.983,73.6468,16.2169,23.2596,0.697211,239.024,500.977,0.461739 
222,115,0.25,9,2,222,12973.1,0,5,101,125,0,5,135,-0.278198,-1.73337,-4.05714,-4.6765,-1.46542,-115.008,5.41684,15695.2,-5.19439,16439.4,0.166169,-1.289,-3.1684,-4.23213,-1.02105,0.668036,12.1379,16199.2,1.52666,0.868861,0.000427981,0.999949,13.9699,262.432,549.12,1.58355e+06,21700.3,7.40153e-07,0.512886,106.33,73.75,16.9923,24.3514,0.697796,262.428,549.109,0.512877 
223,115,0.25,8,3,223,9142.32,0,5,101,125,0,5,135,3.36388,-0.990484,-2.00435,0.0170591,0.0073207,-172.05,14.8666,12119.7,-26.2739,16439.4,4.02865,-0.325716,-0.674815,0.681827,0.672089,1.154,24.9212,12873.8,-16.2192,4.5659,0.00110495,1.00068,5.45812,215.131,443.05,179.539,14818.9,6.51786e-07,0.473666,106.454,74.2214,17.6726,24.7137,0.715094,283.862,565.57,0.614741 
224,115,0.25,7,4,224,15270.2,0,5,101,125,0,5,135,0.819576,-2.4451,-2.96791,-1.77671,-0.841594,-193.192,10.8352,18161.2,-6.8496,16439.4,1.56603,-1.69864,-1.475,-1.03026,-0.0951382,0.460301,22.1253,19008,4.44055,0.805906,0.000664702,0.999873,27.454,221.388,485.361,459.157,22987.4,7.54506e-07,0.434457,106.288,74.2421,16.9297,24.1797,0.700163,260.499,541.395,0.497735 
226,115,0.25,6,5,226,13622.8,0,5,101,125,0,5,135,-1.38433,0.161512,-4.17253,-4.72954,1.40018,-117.703,21.5598,16510.7,-12.8904,16439.4,-0.929546,0.616293,-3.26297,-4.27476,1.85496,0.455811,28.4384,17026.6,-6.01184,1.33991,0.000953507,1.00019,21.2242,258.238,555.597,1165.56,22952,7.54119e-07,0.502285,105.666,73.662,16.9657,23.8791,0.710482,261.608,528.019,0.492845 
227,115,0.25,4,7,227,15422.4,0,5,101,125,0,5,135,-1.93321,-0.947598,-9.58821,-3.58483,-1.34378,-186.354,21.2917,18271.1,-31.2124,16439.4,-1.21318,-0.227564,-8.14814,-2.8648,-0.623743,0.376931,32.1822,19087.9,-20.3219,4.12807,0.000962501,1.00058,7.79595,295.601,627.5,445.319,27879.6,8.04628e-07,0.53526,105.831,73.5769,16.6371,23.5149,0.707513,251.571,512.032,0.44605 
228,115,0.25,10,1,228,13640.4,0,5,101,125,0,5,135,1.59477,1.10784,-5.32906,-0.843882,-2.98768,-114.979,19.807,16380,-19.0179,16439.4,2.03902,1.5521,-4.44055,-0.399626,-2.54343,-0.170882,26.5264,16883.9,-12.2986,2.25409,0.000896969,1.0004,11.7681,283.671,540.228,3.27018e+10,22851.7,7.53019e-07,0.519865,106.382,74.1697,17.6666,24.1536,0.731429,283.671,540.226,0.519863 
229,115,0.25,2,9,229,14784.3,0,5,101,125,0,5,135,0.365997,-2.91724,-0.165077,-3.60322,-1.46398,-96.4559,1.14979,17467.1,-15.5659,16439.4,0.738683,-2.54456,0.580296,-3.23054,-1.09129,1.10461,6.78667,17889.9,-9.92903,-1.32341,0.000216729,1.0003,-5.12817,190.899,412.481,528.131,21019.8,7.32334e-07,0.383173,106.108,73.5721,16.3014,23.2805,0.700214,241.521,501.878,0.475409 
230,115,0.25,5,6,230,12410.1,0,5,101,125,0,5,135,-1.23294,-2.29482,-4.33957,-3.10145,0.28516,-137.605,9.59426,15143.8,-22.0484,16439.4,-0.701267,-1.76315,-3.27621,-2.56977,0.816839,0.562796,17.6359,15746.9,-14.0067,21.3043,0.000639568,1.00048,0.827809,208.039,454.606,673.685,19164.9,7.10125e-07,0.433067,105.971,73.4181,16.6235,23.6265,0.703598,251.162,516.905,0.507396 
231,115,0.25,0.1,10.9,231,14628.6,0,5,101,125,0,5,135,0.419174,-2.55279,-2.84782,-2.24412,-3.78193,-70.758,-0.397721,17438.6,-33.1106,16439.4,0.692569,-2.27939,-2.30103,-1.97072,-3.50853,0.75435,3.73738,17748.8,-28.9755,-0.120432,0.000120312,1.00089,-31.0332,211.589,469.253,323.509,23203.9,7.56868e-07,0.416322,106.15,73.4323,15.8632,22.9569,0.691,228.712,488.02,0.441411 
