cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,130,0,21710,0,5,101,125,0,5,135,-7.80509,-8.17532,-7.83105,-7.90593,-9.77795,-146.606,16.6929,29309.2,-8.16379,16439.4,-7.23863,-7.60887,-6.69814,-7.33947,-9.21149,0.82418,25.2605,29951.8,0.403859,0.981176,0.000481695,0.999993,25.7451,581.4,652.708,0.744495,37889.6,8.92186e-07,0.690465,109.826,85.1906,25.8687,27.1494,0.952827,608.295,682.548,0.722218 
1,50,1,21422.8,0,5,101,125,0,5,135,-7.0659,-2.87551,-8.03501,-5.61764,-8.17578,-25.087,0.255754,28869.9,-5.00148,16439.4,-6.96897,-2.77858,-7.84114,-5.52071,-8.07884,0.748587,1.72184,28979.9,-3.5354,-0.683097,3.39503e-05,1.00007,-2.52064,532.286,611.783,0.734444,37512.5,8.89216e-07,0.641748,109.728,85.2921,24.7652,26.2958,0.941795,557.506,640.3,0.671907 
2,30,2,19530.9,0,5,101,125,0,5,135,-2.92353,-2.84877,-7.68219,-5.77689,-4.08773,-146.271,12.0898,27362.6,-28.5223,16439.4,-2.35837,-2.28361,-6.55187,-5.21173,-3.52257,0.671225,20.6378,28003.7,-19.9742,-6.19523,0.000420947,1.00039,-3.33124,494.865,559.887,0.660894,35076.7,8.69537e-07,0.605349,109.552,85.325,24.0586,25.3404,0.949415,526.145,594.622,0.643258 
3,90,3,19325.2,0,5,101,125,0,5,135,-5.95126,-4.64632,-10.2422,-6.71402,-13.8787,-102.601,2.35456,27454.8,-13.9174,16439.4,-5.55483,-4.24989,-9.44933,-6.31759,-13.4823,0.758044,8.35056,27904.5,-7.92144,-7.22888,0.000170973,1.00015,-1.15517,563.454,620.882,0.662072,35704,8.7469e-07,0.676207,109.729,84.6746,25.6752,26.6942,0.961825,599.228,659.851,0.718894 
4,10,4,18600.1,0,5,101,125,0,5,135,-6.83412,-6.4341,-8.81251,-8.33759,-6.23805,-142.855,-0.473433,26572.5,-30.5486,16439.4,-6.28215,-5.88213,-7.70858,-7.78562,-5.68609,0.76882,7.87503,27198.6,-22.2001,-0.419663,0.000165423,1.00044,-18.7651,425.14,478.598,0.574898,34267.8,8.62801e-07,0.522807,110.307,85.8363,22.5811,23.7363,0.951331,463.504,521.72,0.569948 
5,100,5,20783.8,0,5,101,125,0,5,135,-7.66902,-3.82565,-7.80443,-7.12194,-8.4743,-69.5698,12.796,28448.8,0.340113,16439.4,-7.40021,-3.55685,-7.26683,-6.85313,-8.20549,0.781662,16.8616,28753.8,4.40577,0.761297,0.000334982,0.999917,22.1486,559.623,638.048,0.686976,36750.3,8.83152e-07,0.676611,109.683,84.9968,25.5172,26.9891,0.945466,591.879,674.509,0.715443 
6,70,6,21365.9,0,5,101,125,0,5,135,-7.00327,-5.96742,-12.4765,-9.55127,-6.64689,-101.685,5.56568,29539.1,-15.6273,16439.4,-6.61038,-5.57453,-11.6907,-9.15838,-6.254,0.702435,11.5082,29984.8,-9.68477,-101.345,0.000219266,1.00018,-0.113554,530.263,680.504,949.149,37822.1,8.91656e-07,0.673696,109.253,84.7764,25.2199,26.6279,0.947125,578.167,656.577,0.690991 
7,200,7,20366.7,0,5,101,125,0,5,135,-6.79932,-3.23766,-9.34401,-9.00371,-8.24742,-94.734,10.8792,27654.1,-1.36096,16439.4,-6.43329,-2.87163,-8.61195,-8.63768,-7.88139,0.749914,16.4155,28069.3,4.17529,0.766154,0.00033407,0.999919,21.4258,596.496,661.9,735.326,35634.1,8.74118e-07,0.718836,110.052,84.7711,25.759,26.8756,0.958454,603.148,668.849,0.726618 
8,80,8,20814.4,0,5,101,125,0,5,135,-7.87654,-7.3282,-8.4154,-5.97289,-7.64377,-88.5649,18.3763,28497.9,-8.07375,16439.4,-7.53434,-6.98601,-7.731,-5.63069,-7.30157,0.780267,23.5521,28886,-2.89802,1.17324,0.000465694,1.00005,20.0744,554.136,641.962,48.0496,36455.5,8.80784e-07,0.677163,109.649,84.8608,25.3215,26.5451,0.953905,582.832,652.499,0.700152 
9,150,9,20018.8,0,5,101,125,0,5,135,-5.86338,-6.13992,-6.56854,-5.94115,-6.39788,-84.1984,8.21573,27836.1,-17.2028,16439.4,-5.53806,-5.81459,-5.91788,-5.61582,-6.07256,0.795646,13.1363,28205.2,-12.2823,-8.19774,0.000266067,1.00024,-1.60243,572.657,643.409,0.896868,36251.8,8.79141e-07,0.69045,110.056,84.9221,25.4395,26.7077,0.952518,588.28,660.519,0.709049 
10,110,10,20869,0,5,101,125,0,5,135,-7.69384,-3.86655,-11.209,-6.91099,-10.7394,-152.809,1.66788,29152,-14.5331,16439.4,-7.10342,-3.27613,-10.0282,-6.32057,-10.149,0.728066,10.598,29821.7,-5.60292,2.73531,0.000203033,1.0001,3.87452,554.311,631.43,0.640142,37493.5,8.89065e-07,0.665435,109.713,85.0805,25.5412,26.9957,0.946121,592.992,674.841,0.711527 
11,180,11,19304.8,0,5,101,125,0,5,135,-0.922639,-6.27159,-6.81523,-5.03152,-10.0548,-79.6237,-0.764741,27123.2,-7.17076,16439.4,-0.614988,-5.96394,-6.19993,-4.72387,-9.74715,0.772479,3.88847,27472.2,-2.51755,4.48287,8.08747e-05,1.00005,0.867406,593.169,661.14,1.45737,35315.1,8.71503e-07,0.718567,109.686,84.4439,25.629,26.8058,0.956101,597.077,665.38,0.723238 
12,190,12,18362.1,0,5,101,125,0,5,135,-7.29553,-4.0396,-8.94427,-4.24135,-5.4106,-117.898,7.8284,25867.1,3.13157,16439.4,-6.83999,-3.58406,-8.0332,-3.78582,-4.95507,0.704642,14.7184,26383.8,10.0215,0.550338,0.000318674,0.999794,26.7442,585.948,645.267,2.61342e+06,33216.4,8.53885e-07,0.720111,109.817,85.3047,25.3891,26.3976,0.961797,585.949,645.267,0.720113 
13,170,13,18616,0,5,101,125,0,5,135,-2.39062,-7.23214,-14.1631,-9.58437,-0.800343,-98.7412,3.65147,26479.7,0.322106,16439.4,-2.0091,-6.85062,-13.4,-9.20285,-0.418827,0.579692,9.4219,26912.5,6.09254,0.563075,0.000200014,0.999877,16.733,591.838,658.443,1.04892,34815.4,8.67373e-07,0.719705,109.664,85.3417,25.7357,26.8913,0.957027,602.055,669.63,0.732032 
14,20,14,19877.2,0,5,101,125,0,5,135,-4.17941,-7.2334,-15.6273,-5.14252,-8.1596,-73.0254,5.73792,28050.8,-10.8794,16439.4,-3.89725,-6.95124,-15.063,-4.86036,-7.87745,0.610265,10.0055,28370.8,-6.61177,4.83033,0.000201485,1.00013,2.0714,440.163,497.323,0.497065,35799.1,8.75466e-07,0.534425,109.68,85.6649,23.4221,24.657,0.949918,498.676,562.98,0.605224 
15,120,15,19690.5,0,5,101,125,0,5,135,-4.4779,-2.95356,-13.6634,-6.50648,-5.06789,-104.592,8.60684,27602.1,-11.387,16439.4,-4.07377,-2.54944,-12.8551,-6.10235,-4.66377,0.574959,14.7192,28060.5,-5.27463,1.75445,0.000299654,1.0001,8.38965,563.987,642.407,0.730259,35735.6,8.74948e-07,0.687951,109.647,84.7068,25.5124,26.962,0.946234,591.655,673.159,0.721292 
16,40,16,20473.8,0,5,101,125,0,5,135,-2.51346,-5.79264,-9.42398,-9.31235,-7.30356,-136.846,7.85263,28334.8,2.16879,16439.4,-1.98471,-5.26389,-8.36649,-8.78361,-6.77482,0.731615,15.8499,28934.6,10.1661,0.565076,0.000312922,0.999809,28.0492,530.761,595.183,0.676391,36402.6,8.80358e-07,0.638433,109.528,85.7663,24.8755,26.09,0.953451,562.485,630.319,0.676358 
17,160,17,18371.9,0,5,101,125,0,5,135,-3.01046,-7.39168,-3.55723,-8.18367,-5.91443,-172.021,10.5134,26229.4,-2.57693,16439.4,-2.34581,-6.72702,-2.22792,-7.51902,-5.24977,0.907438,20.5663,26983.4,7.47596,0.696279,0.000435344,0.99985,29.5375,577.343,644.216,0.819834,33997.8,8.60529e-07,0.708708,109.492,85.0944,25.6418,26.8272,0.955815,597.672,666.441,0.73341 
