cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,18479.5,0,5,101,125,0,5,135,-8.67323,-13.4833,-17.1744,-5.65624,-13.6501,331.685,-11.724,32046.7,-55.8405,16439.4,-9.9548,-14.7649,-19.7375,-6.9378,-14.9316,0.70242,-31.1077,30592.9,-75.2242,0.25629,-0.000581381,1.00134,-121.377,552.555,557.123,0.572636,43170.2,9.31844e-07,0.595416,111.132,86.6077,25.7537,25.6302,1.00482,602.9,608.298,0.649887 
1,4.99,0.01,1,16445,0,5,101,125,0,5,135,-11.4078,-4.69475,-13.5949,-13.1783,-11.5149,250.444,-8.18082,29468.2,-44.1423,16439.4,-12.3754,-5.66242,-15.5302,-14.146,-12.4826,0.742008,-22.8168,28370.5,-58.7783,0.24442,-0.000459779,1.00113,-93.3507,544.366,565.045,0.589786,39788.9,9.06851e-07,0.611577,110.952,86.9807,25.4825,25.7433,0.989868,590.267,613.678,0.66368 
2,1.49,3.51,2,17493.4,0,5,101,125,0,5,135,-12.3229,-12.0687,-20.7288,-10.3683,-15.3334,338.82,-21.2916,31105,-47.049,16439.4,-13.632,-13.3779,-23.3471,-11.6775,-16.6426,0.703254,-41.0923,29619.9,-66.8497,0.338732,-0.000793382,1.00123,-121.312,531.003,552.875,0.59539,41729.9,9.21363e-07,0.588073,111.136,86.6352,25.1409,25.4258,0.988795,574.549,598.635,0.636522 
3,2.99,2.01,3,14267.2,0,5,101,125,0,5,135,-12.8121,-9.90065,-16.4982,-4.224,-13.4683,314.63,-20.0644,27492.7,-50.1888,16439.4,-14.0277,-11.1163,-18.9296,-5.43967,-14.684,0.705135,-38.4514,26113.7,-68.5758,0.318458,-0.000842114,1.00143,-120.742,509.705,539.62,0.53653,37519.8,8.89273e-07,0.58975,111.151,86.2254,24.9253,25.423,0.980424,564.738,598.503,0.653765 
4,4.49,0.51,4,13792,0,5,101,125,0,5,135,-5.81218,-8.11786,-20.7767,-4.73861,-8.29483,325.211,-16.415,27421.9,-55.752,16439.4,-7.06873,-9.37441,-23.2898,-5.99516,-9.55139,0.57869,-35.4203,25996.5,-74.7573,0.28307,-0.000779179,1.00156,-125.129,512.876,536.625,0.516854,37391.5,8.88259e-07,0.590612,110.905,86.8347,25.1389,25.4935,0.986091,574.458,601.826,0.66195 
5,3.49,1.51,5,14353.6,0,5,101,125,0,5,135,-7.07128,-8.88996,-11.6538,-3.927,-13.5276,339.036,-14.8623,27094.7,-63.1688,16439.4,-8.38125,-10.1999,-14.2738,-5.23697,-14.8376,0.730325,-34.6755,25608.7,-82.982,0.258283,-0.000774343,1.00176,-134.254,518.815,533.609,0.555655,36798.6,8.83539e-07,0.595514,111.022,86.9188,25.0357,25.1783,0.994338,569.753,587.037,0.654561 
6,3.99,1.01,6,16407.6,0,5,101,125,0,5,135,-7.22405,-3.83725,-18.1104,-9.90537,-1.602,304.324,-27.0847,29397.4,-60.2834,16439.4,-8.3999,-5.01309,-20.4621,-11.0812,-2.77784,0.571332,-44.8693,28063.6,-78.0681,0.323847,-0.000914462,1.00151,-138.551,518.181,543.09,0.505829,39528.2,9.04866e-07,0.586263,111.064,87.2674,25.3416,25.7155,0.985463,583.761,612.352,0.660745 
7,0.49,4.51,7,14229.4,0,5,101,125,0,5,135,-12.9869,-8.14599,-14.3844,-11.7074,-10.2442,342.955,-23.6745,27396.6,-43.6082,16439.4,-14.312,-9.4711,-17.0346,-13.0325,-11.5693,0.73961,-43.7168,25893.4,-63.6505,0.364011,-0.000965694,1.00134,-120.097,497.139,510.595,0.521871,37280.3,8.87378e-07,0.567765,110.679,87.3913,24.6999,24.8134,0.995428,554.571,570.144,0.633669 
8,0.99,4.01,8,16517.1,0,5,101,125,0,5,135,-5.77659,-6.0094,-12.4696,-4.21824,-14.8497,358.933,-14.9628,29790.9,-60.8658,16439.4,-7.16343,-7.39625,-15.2433,-5.60508,-16.2366,0.704843,-35.9388,28217.7,-81.8418,0.267902,-0.000728316,1.00158,-134.149,517.101,538.372,0.604143,40099.5,9.09204e-07,0.58032,111.048,86.7856,24.7761,25.0483,0.989132,557.997,580.992,0.626238 
9,0.01,4.99,9,14519,0,5,101,125,0,5,135,-13.4222,-8.79964,-18.0499,-9.1028,-9.19849,315.036,-1.99946,27981.8,-61.4807,16439.4,-14.6394,-10.0169,-20.4844,-10.32,-10.4157,0.689048,-20.4101,26601,-79.8913,0.175526,-0.000438631,1.00163,-116.28,495.02,503.299,0.544249,37751.4,8.911e-07,0.560142,111.199,87.4588,24.5138,24.5043,1.00039,546.243,556.03,0.618466 
