cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,20220.3,0,5,101,125,0,5,135,-13.4198,-12.817,-26.6892,-15.0112,-10.2733,558.896,-76.5591,37120.8,-59.7994,16439.4,-15.5793,-14.9765,-31.0081,-17.1707,-12.4327,0.659877,-109.221,34671.1,-92.4613,0.496065,-0.00180336,1.00145,-220.174,483.727,539.383,0.52082,49167.2,9.73136e-07,0.524898,111.157,86.2196,24.3906,25.5135,0.955986,540.767,602.773,0.586689 
1,4.99,0.01,1,18068.7,0,5,101,125,0,5,135,-18.6572,-13.5872,-31.5327,-17.0245,-16.4559,635.92,-85.9937,35708.9,-82.3396,16439.4,-21.1142,-16.0442,-36.4468,-19.4816,-18.9129,0.674581,-123.157,32921.7,-119.503,0.462023,-0.00214224,1.00197,-266.56,485.701,523.301,0.60275,47537,9.6226e-07,0.523923,111.325,86.6191,24.0188,24.7013,0.972367,524.404,565.005,0.565675 
2,1.49,3.51,2,18257.8,0,5,101,125,0,5,135,-14.639,-12.989,-31.8747,-12.8724,-17.16,643.4,-53.6513,35547.7,-74.6177,16439.4,-17.125,-15.4749,-36.8467,-15.3584,-19.646,0.647235,-91.2515,32727.7,-112.218,0.403923,-0.0015958,1.00186,-225.913,458.271,509.458,0.52414,46708.7,9.56639e-07,0.505089,111.301,86.1958,23.7172,24.7756,0.95728,511.32,568.41,0.563546 
3,2.99,2.01,3,13502.3,0,5,101,125,0,5,135,-16.5849,-11.4336,-31.3726,-13.0367,-17.9461,551.354,-65.7443,31031.3,-93.5554,16439.4,-18.7152,-13.564,-35.6333,-15.167,-20.0765,0.654569,-97.9654,28614.7,-125.776,0.393598,-0.00196018,1.00239,-248.897,427.274,471.656,0.501209,41662.7,9.20869e-07,0.487492,111.418,86.9105,23.0322,23.9864,0.960221,482.212,532.773,0.550417 
4,4.49,0.51,4,15147.1,0,5,101,125,0,5,135,-12.5101,-17.5874,-22.5335,-6.405,-16.1229,649.967,-47.6766,33654.4,-79.4774,16439.4,-15.0214,-20.0987,-27.5562,-8.91634,-18.6342,0.69459,-85.6607,30805.6,-117.461,0.378002,-0.00159149,1.00207,-226.614,484.834,530.35,0.59158,45321.9,9.47075e-07,0.535419,111.233,86.2521,24.0409,24.9163,0.964865,525.372,574.884,0.580282 
5,3.49,1.51,5,14749.9,0,5,101,125,0,5,135,-10.3908,-11.49,-30.1811,-11.7988,-13.976,614.411,-31.3995,32166.8,-71.0179,16439.4,-12.7648,-13.864,-34.929,-14.1728,-16.35,0.620669,-67.3057,29473.9,-106.924,0.344073,-0.0013066,1.00197,-195.615,440.298,476.461,0.453222,43037.3,9.30887e-07,0.492028,111.124,86.7112,23.7678,24.4991,0.97015,513.505,555.794,0.573895 
6,3.99,1.01,6,21831.7,0,5,101,125,0,5,135,-6.51279,-11.4173,-21.6176,-12.5869,-16.2667,484.073,-54.8558,38573.1,-64.1514,16439.4,-8.38315,-13.2876,-25.3583,-14.4573,-18.137,0.681522,-83.145,36451.4,-92.4406,0.42842,-0.00130512,1.00138,-194.074,482.65,534.407,0.560018,50805.1,9.83824e-07,0.51622,111.146,86.7349,24.1339,25.1619,0.959145,529.446,586.273,0.566295 
7,0.49,4.51,7,18284.9,0,5,101,125,0,5,135,-12.1204,-12.6522,-21.8719,-8.54255,-10.6453,585.234,-46.8368,36377.8,-68.0536,16439.4,-14.3817,-14.9135,-26.3944,-10.8038,-12.9066,0.667576,-81.0379,33812.7,-102.255,0.397745,-0.0013714,1.00164,-203.744,453.101,498.609,0.478861,48207.7,9.66765e-07,0.491651,111.371,86.0737,23.8901,24.8317,0.962077,518.8,570.988,0.562979 
8,0.99,4.01,8,18887.2,0,5,101,125,0,5,135,-10.5253,-7.7767,-17.5973,-14.016,-13.3661,479.146,-61.0336,36169.9,-50.2559,16439.4,-12.3766,-9.62802,-21.3,-15.8674,-15.2174,0.713669,-89.0349,34069.8,-78.2572,0.48668,-0.00149555,1.00125,-182.944,450.847,492.317,0.485962,47996.1,9.65348e-07,0.488037,110.971,86.7328,23.768,24.6076,0.965882,513.513,560.725,0.555862 
9,0.01,4.99,9,20872.2,0,5,101,125,0,5,135,-10.9023,-8.08278,-28.4529,-8.99026,-13.4815,468.054,-53.6371,37575.4,-41.1109,16439.4,-12.7108,-9.89125,-32.0698,-10.7987,-15.29,0.602903,-80.9901,35523.9,-68.4639,0.496425,-0.00130449,1.00105,-163.147,453.719,517.29,0.484333,49141.8,9.72969e-07,0.497923,111.241,86.795,23.8612,25.2417,0.945309,517.549,589.998,0.567939 
