cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,20,1.8,0.01,10,0,6.77197e-07,7.61229e-07,1.05099e-29,15.8615,0.889611,1062.49,2846.28,2770.88,5.14503,21.2392,20.4032,-1.5126,-1.41424e-29,3.87274e-13,0.236727,0.228839,39375.6,64451.2,2.5799,40.921,2.27308,36.0543,2.80151,0.0066,1.18311,3.7,17.3609,3.18648e-29,48.09,3.00563,3.03188 
1,20,1.8,10,0.01,1,7.68676e-07,7.094e-07,9.79433e-30,14.7815,1.08356,1062.49,2846.28,2770.88,5.24697,21.2038,20.3702,-2.07596,-2.20316e-29,8.25445e-14,0.131006,0.128276,31868,52897.1,3.18293,47.0485,2.85678,42.2276,3.3815,0.0066,1.10917,3.7,23.9377,3.55258e-29,53.6152,3.35095,3.62718 
2,20,1.8,10,0.01,2,7.58546e-07,7.63146e-07,1.05364e-29,15.9014,0.993972,1062.49,2846.28,2770.88,5.25549,21.2008,20.3674,-1.82805,-1.91449e-29,-6.53265e-14,0.169718,0.165338,39673.9,64175.1,2.90497,46.1932,2.57906,41.0107,3.12698,0.0066,1.14867,3.7,24.4963,3.58041e-29,54.0352,3.3772,3.39814 
3,20,1.8,10,0.01,3,7.57625e-07,7.78841e-07,1.07531e-29,16.2284,0.972759,1062.49,2846.28,2770.88,5.22607,21.2111,20.377,-1.76642,-1.8477e-29,2.00787e-13,0.181064,0.176144,42172.4,69390.1,2.83898,46.0722,2.51532,40.8196,3.06352,0.0066,1.15325,3.7,22.574,3.48286e-29,52.563,3.28519,3.23894 
4,20,1.8,10,0.01,4,7.4375e-07,7.70629e-07,1.06397e-29,16.0573,0.965121,1062.49,2846.28,2770.88,5.21153,21.2161,20.3817,-1.74393,-1.79077e-29,5.97054e-13,0.185397,0.180264,40852.4,70128.9,2.8152,45.2045,2.49255,40.0237,3.04035,0.0066,1.10846,3.7,21.6294,3.43296e-29,51.8099,3.23812,3.22656 
5,20,1.8,0.01,10,5,7.08224e-07,7.04755e-07,9.7302e-30,14.6847,1.00492,1062.49,2846.28,2770.88,5.16004,21.234,20.3983,-1.85941,-1.81815e-29,9.76523e-13,0.164229,0.160103,31246.1,55406.1,2.93902,43.1587,2.61228,38.3606,3.15924,0.0066,1.11893,3.7,18.3174,3.24522e-29,48.9765,3.06103,3.3352 
6,20,1.8,0.01,10,6,6.88397e-07,7.47538e-07,1.03209e-29,15.5762,0.920886,1062.49,2846.28,2770.88,5.14887,21.2379,20.4019,-1.61049,-1.53067e-29,9.30237e-13,0.213418,0.206827,37289.1,64118.1,2.67733,41.7026,2.36275,36.8026,2.90265,0.0066,1.16751,3.7,17.6052,3.20171e-29,48.3199,3.01999,3.10216 
7,20,1.8,10,0.01,7,7.63472e-07,7.45349e-07,1.02907e-29,15.5306,1.02432,1062.49,2846.28,2770.88,5.25567,21.2008,20.3674,-1.91419,-2.01773e-29,5.61212e-13,0.155077,0.151359,36962.4,63142.2,2.99926,46.5802,2.6716,41.4915,3.21555,0.0066,1.11614,3.7,24.5081,3.581e-29,54.0441,3.37775,3.47985 
8,20,1.8,10,0.01,8,7.93058e-07,7.32982e-07,1.01199e-29,15.2729,1.08196,1062.49,2846.28,2770.88,5.24268,21.2053,20.3716,-2.0717,-2.26838e-29,-2.95147e-13,0.131587,0.128835,35152.9,57286.9,3.17799,48.537,2.85171,43.5539,3.37715,0.0066,1.12458,3.7,23.6573,3.53845e-29,53.402,3.33762,3.49652 
9,20,1.8,0.01,10,9,7.06569e-07,7.58589e-07,1.04735e-29,15.8065,0.931425,1062.49,2846.28,2770.88,5.14249,21.2401,20.404,-1.6428,-1.60259e-29,3.13074e-13,0.206255,0.200049,38967.5,64305.6,2.7102,42.8387,2.39336,37.8306,2.93601,0.0066,1.1708,3.7,17.1994,3.17632e-29,47.9368,2.99605,3.03273 
