cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,7,1.8,10,0.01,0,4.62436e-07,7.61136e-07,1.05086e-29,15.8595,0.60756,1062.49,2846.28,2770.88,4.95504,21.304,20.4637,-0.46141,-2.94593e-30,6.74157e-13,0.74316,0.691693,39361.3,60517.5,1.69645,26.9049,1.54822,24.5541,1.7024,0.0066,1.35535,3.7,5.60257,2.00378e-29,30.2408,1.89005,1.90679 
1,7,1.8,0.01,10,1,4.36412e-07,7.65363e-07,1.0567e-29,15.9476,0.570203,1062.49,2846.28,2770.88,4.94233,21.3083,20.4678,-0.291792,-1.75814e-30,1.07393e-12,0.899003,0.830531,40020.7,62951.6,1.58032,25.2023,1.46433,23.3526,1.52357,0.0066,1.36595,3.7,4.83908,1.837e-29,27.7239,1.73274,1.73843 
2,7,1.8,10,0.01,2,4.65305e-07,8.34186e-07,1.15172e-29,17.3816,0.557795,1062.49,2846.28,2770.88,4.95713,21.3033,20.4631,-0.233086,-1.4974e-30,8.89641e-13,0.960341,0.885092,51816.8,78759.2,1.54226,26.8071,1.43715,24.9799,1.46194,0.0066,1.40569,3.7,5.72894,2.02862e-29,30.6158,1.91349,1.76139 
3,7,1.8,0.01,10,3,4.21937e-07,8.26565e-07,1.1412e-29,17.2228,0.510471,1062.49,2846.28,2770.88,4.9396,21.3092,20.4686,0.00362461,2.11151e-32,5.63453e-13,1.25295,1.14552,50409.4,74316.1,1.40011,24.1139,1.33661,23.0202,1.21539,0.0066,1.4243,3.7,4.67486,1.79693e-29,27.1191,1.69494,1.5746 
4,7,1.8,10,0.01,4,4.70105e-07,7.47234e-07,1.03167e-29,15.5698,0.629128,1062.49,2846.28,2770.88,4.96228,21.3016,20.4615,-0.555079,-3.60275e-30,8.3275e-13,0.669318,0.6256,37243.6,58710.5,1.76411,27.4668,1.59802,24.8809,1.80132,0.0066,1.33489,3.7,6.03908,2.08675e-29,31.493,1.96831,2.02269 
5,7,1.8,10,0.01,5,4.69902e-07,8.25041e-07,1.13909e-29,17.1911,0.569549,1062.49,2846.28,2770.88,4.95599,21.3037,20.4634,-0.288739,-1.87325e-30,8.14099e-13,0.902101,0.833286,50131.3,76578,1.57831,27.1328,1.46289,25.1487,1.52036,0.0066,1.37259,3.7,5.66025,2.01521e-29,30.4133,1.90083,1.76913 
6,7,1.8,10,0.01,6,4.79625e-07,7.57867e-07,1.04635e-29,15.7914,0.632862,1062.49,2846.28,2770.88,4.95505,21.304,20.4637,-0.571016,-3.78124e-30,3.494e-13,0.65754,0.615027,38856.2,59514.1,1.77583,28.0429,1.60674,25.3727,1.81814,0.0066,1.32517,3.7,5.60363,2.00399e-29,30.244,1.89025,1.91522 
7,7,1.8,0.01,10,7,4.20372e-07,8.07841e-07,1.11535e-29,16.8327,0.520364,1062.49,2846.28,2770.88,4.93875,21.3095,20.4689,-0.0476655,-2.76644e-31,9.39001e-13,1.18284,1.08308,47060.9,71653.5,1.42942,24.0611,1.35721,22.8455,1.26854,0.0066,1.43099,3.7,4.62398,1.78419e-29,26.9268,1.68292,1.59967 
8,7,1.8,10,0.01,8,4.71623e-07,7.72313e-07,1.06629e-29,16.0924,0.610662,1062.49,2846.28,2770.88,4.95333,21.3046,20.4643,-0.475063,-3.09335e-30,3.35113e-13,0.731889,0.681623,41120.8,62295.7,1.70617,27.4564,1.55533,25.0289,1.71682,0.0066,1.36594,3.7,5.50008,1.9831e-29,29.9288,1.87055,1.85981 
9,7,1.8,10,0.01,9,4.74644e-07,8.24338e-07,1.13812e-29,17.1764,0.575788,1062.49,2846.28,2770.88,4.95672,21.3035,20.4632,-0.317813,-2.08268e-30,4.00151e-13,0.873094,0.807479,50003.1,74804.5,1.59755,27.4402,1.47668,25.3642,1.55094,0.0066,1.38203,3.7,5.7038,2.02374e-29,30.542,1.90888,1.77814 
