cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,15,0.4,0.1,10.9,0,14770.1,0,5,101,125,0,5,135,1.36933,-4.52625,-4.37502,-1.542,-3.51802,-78.2905,7.49893,17515.2,-15.5375,16439.4,1.67183,-4.22375,-3.77002,-1.23951,-3.21552,0.650178,12.0742,17858.4,-10.9622,-11.175,0.000386199,1.00033,-1.08046,260.556,520.938,9.83799e+09,23971.1,7.65119e-07,0.48152,106.884,74.662,16.9316,23.7185,0.713856,260.557,520.939,0.481521 
1,15,0.4,3,8,1,14867.4,0,5,101,125,0,5,135,-0.768395,-5.97889,-6.82273,-3.36685,-5.24286,-43.2116,9.61863,17716.5,-16.6639,16439.4,-0.601435,-5.81193,-6.4888,-3.19989,-5.0759,0.693606,12.1439,17905.9,-14.1386,-2.51821,0.000387397,1.00043,-4.82245,246.141,524.874,443.3,23497.1,7.60043e-07,0.472913,106.274,74.7931,16.9438,23.7568,0.713221,260.933,522.622,0.485871 
5,15,0.4,1,10,5,14629.4,0,5,101,125,0,5,135,2.45192,-3.42827,-7.54892,-7.43863,-5.11539,-176.049,-1.47681,17275.1,-12.6781,16439.4,3.13213,-2.74805,-6.18848,-6.75841,-4.43518,0.635928,8.81148,18046.7,-2.38983,1.48249,0.000278928,1.00007,5.94369,268.607,523.76,4.1621e+06,23029,7.54961e-07,0.496821,106.849,74.8746,17.1916,23.7828,0.722858,268.62,523.767,0.496836 
6,15,0.4,6,5,6,14712.2,0,5,101,125,0,5,135,-0.998116,-1.89584,-0.759188,-0.342238,-1.97507,-132.989,6.15331,17273.5,-17.6356,16439.4,-0.484273,-1.382,0.268497,0.171604,-1.46123,1.09299,13.9252,17856.4,-9.86373,6.66691,0.000445427,1.0003,2.0887,252.741,510.039,522.021,22248.7,7.46336e-07,0.481066,106.936,75.1095,17.6946,24.4589,0.723442,284.569,553.969,0.531988 
8,15,0.4,10,1,8,14107.5,0,5,101,125,0,5,135,-2.63186,-4.06397,-3.6853,0.224864,-2.93899,-159.304,8.22678,17031.5,-15.2632,16439.4,-2.01634,-3.44845,-2.45427,0.840382,-2.32348,0.738968,17.5365,17729.7,-5.95347,1.68745,0.000564882,1.00018,10.3923,285.382,560.787,544.044,23395.1,7.58941e-07,0.527114,106.719,74.8288,17.9123,24.5523,0.729559,291.615,558.207,0.531612 
10,15,0.4,5,6,10,12961.8,0,5,101,125,0,5,135,-4.21099,-3.66683,-2.19784,-1.46076,-1.88034,-162.75,16.6623,15724.6,-16.5649,16439.4,-3.58215,-3.03799,-0.940171,-0.831921,-1.25151,0.90251,26.1734,16438,-7.05382,1.47799,0.000909034,1.00023,17.7089,243.292,478.011,232.368,19503.9,7.14288e-07,0.477429,106.224,75.301,17.4291,23.9897,0.726523,276.093,532.92,0.537013 
11,15,0.4,0.1,10.9,11,13125.5,0,5,101,125,0,5,135,-1.57413,-4.06469,-7.07645,0.0345519,-0.222217,-204.109,8.80998,15956.9,-24.9119,16439.4,-0.785492,-3.27605,-5.49917,0.823188,0.56642,0.326998,20.7381,16851.5,-12.9838,4.02092,0.000702729,1.00042,5.15755,251.891,493.384,355.092,20196.6,7.22646e-07,0.487836,106.409,75.376,17.3536,24.2085,0.716837,273.706,542.687,0.533325 
12,15,0.4,3,8,12,12475.3,0,5,101,125,0,5,135,-1.58643,-2.16272,-4.56825,-2.52999,-3.33769,-131.458,1.18243,15140.7,1.51121,16439.4,-1.0785,-1.6548,-3.5524,-2.02207,-2.82976,0.681042,8.86482,15716.9,9.1936,0.445532,0.0003222,0.999683,19.8971,299.585,589.322,678.165,21272.1,7.35252e-07,0.571479,106.365,75.3674,17.8912,24.3535,0.734644,290.928,549.207,0.543656 
13,15,0.4,9,2,13,12727.3,0,5,101,125,0,5,135,-1.36891,-1.16334,-11.8916,-0.568846,-0.306347,-182.134,2.76558,15360,-25.2151,16439.4,-0.665179,-0.459611,-10.4841,0.134884,0.397383,0.053493,13.4095,16158.3,-14.5711,-3.28998,0.000473995,1.00049,-4.07586,254.89,496.519,1041.62,19126.5,7.09651e-07,0.501303,106.693,75.1084,18.0105,24.4999,0.735127,294.821,555.826,0.570433 
14,15,0.4,8,3,14,11277.4,0,5,101,125,0,5,135,-2.20635,0.134537,-1.58074,-2.06608,-2.73401,-93.3639,11.9516,13916.9,-12.6658,16439.4,-1.84561,0.495277,-0.859258,-1.70535,-2.37327,0.863354,17.4078,14326.2,-7.20958,1.98803,0.000693865,1.00027,8.75632,296.931,556.902,879.993,19038.5,7.08561e-07,0.573905,106.509,74.7222,18.2172,24.6155,0.740067,301.626,561.089,0.580594 
15,15,0.4,7,4,15,11451.2,0,5,101,125,0,5,135,-2.17649,1.18749,-3.86059,-0.377182,-2.92267,-109.359,10.7557,14287.3,-3.95556,16439.4,-1.75395,1.61003,-3.01551,0.0453583,-2.50013,0.462879,17.1466,14766.6,2.43536,0.854381,0.000663088,0.99991,20.069,325.778,582.977,4.85203e+06,19841.9,7.18391e-07,0.606633,106.513,75.3502,18.9326,25.0912,0.75455,325.78,582.982,0.606637 
