cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.13,47.3226,0,19253.7,-0.00260087,34.8673,12.6815,116.674,-0.00799139,-3.05121,5.34992e-12,1.01929,4.31089,-2.39416,-0.269411,-0.566135,-182.514,1197.89,3011.94,14349.5,14394.9,2.16853,5.46013,-0.095678,0.87983,0.583106,1.01064,1286.95,3069.83,14438.6,0.0719317,0.193261,0.281432,17891.3 
1,2.84,47.3254,1,16781.1,-0.0375324,31.3263,12.4178,116.487,-0.100163,27.7853,500,1.24061,2.61794,-1.57607,0.129469,-0.53779,-63.1121,1226.18,2709.68,12576.4,12754,1.63801,3.01534,-0.781272,0.526869,-0.14039,1.18346,1256.98,2729.7,12607.2,0.0797817,0.208318,0.285128,15755.3 
2,1.67,47.3253,2,17843.4,-0.0752038,33.917,12.2387,116.711,0.00551882,39.3163,500,4.1439,1.04577,2.45021,-2.59013,-0.503477,-86.2558,1247.7,2536.09,13908.2,13519.9,4.68703,1.5889,3.53647,-2.047,0.0396526,0.5469,1289.79,2563.45,13950.3,0.0744138,0.223308,0.252893,17332.7 
3,1.38,47.3228,3,19274.2,-0.00948989,35.3748,12.4887,116.885,-0.0400877,15.1958,500,0.749483,0.102065,3.09105,0.110297,0.438322,-100.972,1294.86,2964.15,14409,14401.4,1.38528,0.737861,4.36265,0.746093,1.07412,0.47476,1344.13,2996.18,14458.2,0.0747941,0.204045,0.276275,17971.1 
4,0.17,47.3253,4,17903.4,-0.236828,33.6222,12.5098,116.55,0.0419866,202.177,263.03,0.577677,0.723413,3.0231,1.53912,-0.0540818,-138.257,1354.5,2622.17,13537.2,13968.5,1.44825,1.59398,4.76423,2.40969,0.816487,0.568169,1421.97,2666.02,13604.6,0.0833156,0.233588,0.265239,17067.3 
5,1.59,47.3199,5,19155.4,0.0315953,35.5001,12.3453,116.852,-0.0294435,-57.9952,499.972,3.5628,0.883311,-0.98067,4.51237,0.356737,-73.0137,1298.28,2872.76,14492.1,14322.3,4.02254,1.34306,-0.0611744,4.97212,0.816485,1.00551,1333.91,2895.92,14527.8,0.0739385,0.208366,0.268578,18040.9 
6,2.92,47.3201,6,19064.7,-0.320335,35.8601,12.561,116.723,-0.0723765,402.785,371.489,2.97006,1.45474,-0.864888,0.0257294,0.191951,-78.8708,1177.36,2610.72,14950.3,15612.3,3.46668,1.95137,0.12837,0.522358,0.688579,0.981003,1215.85,2635.74,14988.8,0.0658893,0.208608,0.244673,18453 
7,2.13,47.3226,7,18142.7,-0.00973469,33.6048,-12.4189,116.59,-0.0369487,5.02762,500,0.909621,-1.20874,-2.3688,-0.567177,0.428901,-128.997,1256.24,2733.52,13788,13591.7,1.72188,-0.39648,-0.744276,0.245083,1.24116,1.36001,1319.19,2774.44,13850.9,0.0764846,0.213652,0.269533,17247.7 
8,2.67,47.3253,8,18281.9,-0.245797,34.3072,12.5054,116.701,0.0433994,-108.423,499.787,1.0749,0.783037,-1.48437,2.06232,-1.20959,-149.278,1162.37,2860.01,13892.9,14119.4,2.01486,1.723,0.39555,3.00228,-0.269627,0.942391,1235.22,2907.36,13965.8,0.071417,0.19535,0.277188,17295.8 
9,0.63,47.3226,9,16905.8,-0.16022,31.8727,-12.351,116.58,0.0982858,-184.395,499.999,-0.0635426,0.570229,2.98945,0.460897,-0.685635,-100.89,1241.98,2491.9,12925.8,13404.9,0.571733,1.2055,4.26,1.09617,-0.0503589,0.398564,1291.21,2523.9,12975.1,0.0796429,0.22621,0.263799,16212.5 
10,2.34,47.3254,10,18097,-0.258404,33.4782,12.6171,116.556,0.450312,48.0146,45.5071,-1.23863,0.883427,0.329547,1.32734,2.08979,-63.8118,1148.86,2506.45,13920.7,14454.3,-0.836826,1.28523,1.13316,1.72915,2.4916,0.804706,1180,2526.69,13951.8,0.0685069,0.210651,0.250154,17224.6 
11,1.63,47.3226,11,19127.3,-0.00831897,34.9011,12.613,116.618,-0.00399843,1.92818,500,1.99813,0.473309,0.598338,-0.555749,-1.36993,-40.5333,1228.9,2866.35,14340.6,14330.5,2.25336,0.728537,1.10879,-0.300521,-1.1147,0.58557,1248.68,2879.21,14360.4,0.0702959,0.198603,0.269719,17763.2 
12,2.17,47.3253,12,17686,-0.0362891,32.3476,-12.5477,116.665,0.0388495,30.58,1.57313e-12,0.628381,-0.0673622,3.1402,-1.77194,-2.13364,-134.737,1162.93,2762.84,13242.8,13251.7,1.47679,0.781044,4.83701,-0.923538,-1.28524,0.0100404,1228.69,2805.58,13308.6,0.0743147,0.200162,0.279712,16533.6 
13,0.59,47.3199,13,17699.1,-0.187612,33.2547,12.5097,116.573,0.0120578,54.4372,9.53112e-07,3.15445,-0.932725,2.89536,0.927556,-1.68641,-95.4084,1311.95,2555.84,13625.8,13563.8,3.75521,-0.331964,4.09688,1.52832,-1.08565,0.485497,1358.51,2586.11,13672.4,0.0795296,0.230874,0.258397,17081.8 
14,1.09,47.3199,14,18674,-0.133873,34.4755,12.5215,116.648,0.0757934,-253.645,7.49525e-05,-0.1846,1.17061,0.523958,1.82547,1.52888,-76.4362,1306.91,2589.52,14315.3,14678.6,0.296699,1.6519,1.48655,2.30676,2.01018,0.808238,1344.21,2613.77,14352.6,0.0753072,0.227127,0.251199,17849.7 
15,2.88,47.3228,15,17949.4,-0.160685,33.4978,-12.4741,116.368,0.120236,48.8959,424.836,-0.57293,-1.45158,1.29078,3.01056,-0.234561,-41.3445,1186.42,2967.96,13438.6,13793.9,-0.312595,-1.19125,1.81145,3.27089,0.0257742,0.497417,1206.59,2981.07,13458.8,0.0723194,0.187841,0.289783,16684.2 
16,1.42,47.3201,16,18698.1,-0.0190435,34.4532,12.4965,116.619,-0.0301683,-36.6941,424.405,1.64319,0.886952,-2.32506,-1.46482,-2.63311,-153.907,1266.8,2880.77,14031.8,14051.7,2.6123,1.85606,-0.386844,-0.495713,-1.664,1.20129,1341.91,2929.59,14106.9,0.0763971,0.207446,0.276699,17564.9 
17,0.38,47.3228,17,18739,-0.117033,34.1933,12.5742,116.557,0.412591,637.775,500,1.2928,2.5971,-1.23048,1.03603,1.59534,-107.704,1247.86,2941.13,13955.3,22562.5,1.97098,3.27528,0.125878,1.71422,2.27352,0.986551,1300.42,2975.29,14007.8,0.0746962,0.199844,0.281231,17409.4 
18,0.88,47.3228,18,17944.8,-0.203743,32.8911,-12.7491,116.465,-0.345238,53.3444,334.43,3.63162,1.95055,-2.52775,-1.30757,-1.81683,-137.711,1253.05,2813.5,13457.6,14250.1,4.49875,2.81768,-0.793493,-0.440448,-0.949707,1.15459,1320.25,2857.18,13524.8,0.0782428,0.20889,0.280137,16873.7 
19,0.84,47.3254,19,18510.4,0.0289188,34.1132,12.4151,116.654,-0.0877445,-134.658,500,1.75107,1.50699,0.965956,0.955838,-2.2903,-74.6978,1294.51,2901.7,13857.1,14171.6,2.22143,1.97734,1.90666,1.42619,-1.81994,0.666182,1330.96,2925.4,13893.5,0.0768966,0.206338,0.279472,17308.5 
20,2.59,47.3199,20,19276.8,-0.0199172,35.4039,12.6357,116.666,-0.06605,67.5198,3.07973e-06,-0.925544,-2.26081,3.70078,-0.221393,-1.29168,-36.7474,1356.52,3097.56,14370.5,14707.9,-0.694156,-2.02942,4.16355,0.0099957,-1.06029,-9.68448,1374.45,3109.22,14388.5,0.0766943,0.201663,0.284724,17921.2 
21,0.34,47.3254,21,18752.8,-0.273151,34.9772,12.5314,116.622,0.376311,-210.179,483.933,-0.257046,0.543777,-3.77061,-1.20607,0.355219,-72.5345,1304.68,2693.15,14343.4,16843.3,0.199684,1.00051,-2.85715,-0.74934,0.81195,-0.792049,1340.08,2716.16,14378.8,0.0749667,0.219925,0.258146,17875.7 
22,1.13,47.3226,22,19010.1,-0.0172882,34.8804,12.5603,116.672,0.0805531,-173.925,499.973,-0.14564,2.3142,1.25114,-1.48152,-4.60258,-77.0822,1330.76,2772.19,14424.8,14717.9,0.339727,2.79957,2.22187,-0.996149,-4.11721,-7.96622,1368.37,2796.64,14462.4,0.07602,0.218503,0.262652,18000.2 
23,2.38,47.3228,23,17253.6,-0.152876,32.9923,12.2575,116.63,0.0822448,-1256.93,500,-0.826514,-3.1502,-3.03991,-1.19223,-1.99653,-115.926,1229.1,2622.46,13292.2,16529.9,-0.0965595,-2.42024,-1.58,-0.462276,-1.26657,0.728785,1285.67,2659.23,13348.7,0.0772791,0.216467,0.268455,16636.7 
24,1.84,47.3254,24,18442.9,-0.0139901,34.2946,12.3036,116.643,-0.00956584,2.6369,3.55822,-0.53998,0.0322651,4.14761,1.83391,0.0958405,-128.677,1277.94,2801.2,13962.4,13736.6,0.270266,0.842511,5.7681,2.64415,0.906086,0.44703,1340.73,2842.01,14025.2,0.0767458,0.212334,0.271814,17469.8 
25,0.67,47.3253,25,18738.1,-0.0731723,34.2527,12.4888,116.637,-0.187776,140.472,6.24267,1.09632,2.91161,-2.83989,0.960995,-2.00761,-73.2415,1267.8,2997.75,13886.7,14784.2,1.5575,3.37279,-1.91753,1.42218,-1.54643,1.66385,1303.54,3020.98,13922.5,0.0752869,0.197799,0.285567,17314.4 
26,1.34,47.3254,26,18492.3,-0.27281,34.4323,12.5643,116.173,0.100165,105.328,324.464,-1.21279,-3.2277,2.6216,-0.599308,-0.765413,-63.2966,1259.07,2728.9,14143.2,14426.6,-0.81423,-2.82914,3.41872,-0.200746,-0.366851,5.31524,1289.96,2748.98,14174.1,0.0733339,0.211445,0.263224,17590.2 
27,0.42,47.3201,27,19254.9,-0.241364,34.8037,12.8037,116.657,0.0711389,436.511,498.197,0.0293942,-1.665,3.2712,-0.288331,1.1788,-147.604,1337.87,2840.71,14350.3,15517.2,0.95882,-0.735572,5.13005,0.641094,2.10823,0.366866,1409.9,2887.53,14422.3,0.0783469,0.218146,0.26944,17995.6 
28,0.09,47.3199,28,18374.7,-0.0975556,34.6898,12.3358,116.297,-0.00123854,73.0666,500,-2.48745,1.32489,1.24762,1.34284,-0.95115,-89.8152,1296.6,2966.22,13905,13933.4,-1.92191,1.89043,2.3787,1.90838,-0.385608,0.385347,1340.43,2994.71,13948.8,0.0771181,0.203677,0.283404,17381.5 
29,2.09,47.3199,29,17838.2,-0.0464054,32.7418,12.5756,116.797,-0.0148822,11.7544,500,0.331811,2.80338,-0.161858,0.68334,-2.49651,-205.007,1309.38,2775.74,13296.6,13409.5,1.62268,4.09426,2.41989,1.97421,-1.20564,0.728268,1409.42,2840.76,13396.6,0.0838165,0.220886,0.280896,16815.6 
30,1.92,47.3201,30,18657.3,-0.0176733,34.5623,12.3508,117,0.0414963,-95.4025,500,-1.33475,-0.425014,-5.08949,-2.6104,0.139738,-181.395,1285.34,2833.9,14065.8,14025,-0.192553,0.717181,-2.8051,-1.4682,1.28193,-0.137168,1373.86,2891.44,14154.4,0.0778329,0.213535,0.273416,17651.4 
31,0.92,47.3201,31,18495.7,-0.303462,34.3729,12.6893,116.636,0.534733,-2025.29,469.614,2.40892,-1.27657,-1.09496,-0.369464,-2.23431,-106.379,1402.5,2879.88,13869.2,49453.6,3.07875,-0.606728,0.244718,0.300375,-1.56447,0.831537,1454.41,2913.63,13921.2,0.083282,0.221938,0.278261,17463.7 
