cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
105,0.12,0.45,43.3756,105,26257.9,-0.294706,54.1432,11.1516,116.904,0.130266,94.8507,391.681,-1.4162,1.3912,-0.742059,-0.670993,-0.832907,-21.0548,13279.6,112.951,13686.6,20057.3,-1.28362,1.52378,-0.476906,-0.538416,-0.70033,0.676782,13309.1,114.592,13716.1,0.45763,0.985156,0.0151566,29082.6,-0.00103395,1.28071,11.4013,11.1455,117.321,88.2433,1.26181,10.9774,12.5189,116.269,139.109,1.05165,-50.866 
106,0.12,0.45,43.4156,106,21868.2,-0.253188,45.7369,11.0228,116.953,0.241399,12.3109,447.888,0.178981,2.2564,-1.03454,-0.221806,2.16286,-21.102,11355.3,63.7896,11177.5,16508.4,0.311855,2.38927,-0.768795,-0.088932,2.29574,1.18574,11384.9,65.4339,11207.1,0.469033,0.990042,0.0106409,24273.1,-0.000882204,1.1428,11.2298,10.8726,117.435,88.1612,1.04029,10.8924,12.4182,116.2,138.941,1.23485,-50.7797 
107,0.12,0.45,43.3356,107,24189.7,0.0307825,50.5363,10.8527,117.19,-0.0613174,-49.1619,1.31774e-11,-0.176754,2.47768,-6.58448,-0.528146,-0.616206,-72.9751,12843.8,80.08,12054.2,17952.2,0.282751,2.93719,-5.66547,-0.0686412,-0.156701,-1.1212,12946.2,85.7663,12156.6,0.480802,0.988539,0.0128296,26926.2,-0.000970393,1.2645,11.1406,11.1806,117.571,88.5062,1.12376,10.8928,12.4513,116.47,139.339,1.10138,-50.8327 
108,0.12,0.45,43.1606,108,22793,0.00267489,47.7368,10.8716,117.188,0.0233816,-38.2866,14.3233,-2.66728,3.83472,1.5753,1.39157,-3.27371,-34.3829,12115.4,63.1686,11455.3,16923.5,-2.45078,4.05122,2.0083,1.60807,-3.05721,0.0700614,12163.6,65.8478,11503.5,0.479021,0.990615,0.0104345,25392.6,-0.00107807,1.21345,11.2895,10.9143,117.427,88.0865,1.08531,10.8582,12.2856,116.712,138.994,0.715399,-50.9072 
109,0.12,0.45,43.2356,109,21749.8,-0.0853304,45.1067,11.1191,117.381,0.0620993,33.5341,500,-1.8849,0.426904,-0.19663,1.54834,1.14579,-64.2943,11130.9,65.2768,11456.1,16394.8,-1.48005,0.831748,0.613058,1.95318,1.55063,0.823253,11221.1,70.2868,11546.3,0.458017,0.989157,0.0110893,24499.4,-0.00114373,1.0755,11.4632,11.0896,117.76,88.3357,1.0365,11.1195,12.6421,116.816,139.449,0.944311,-51.1128 
110,0.12,0.45,43.0406,110,24071.5,-0.0448169,49.7951,10.9753,117.12,-0.0404939,9.37895,119.922,-0.91322,-0.683207,-2.3387,1.66659,-1.17524,-27.0286,12984.7,76.4794,11863,17803.3,-0.743029,-0.513015,-1.99832,1.83678,-1.00505,0.175145,13022.6,78.5855,11901,0.48758,0.98955,0.0120178,26708.7,-0.00105731,1.26952,11.3319,11.0845,117.49,87.7195,1.12233,10.8698,12.3132,116.446,138.403,1.04422,-50.6832 
111,0.12,0.45,43.2506,111,20279.2,-0.0207472,42.3833,-11.0768,116.886,0.0050269,-44.9675,499.794,-1.82679,-0.0614972,-3.1178,0.0112751,-0.444112,-80.8009,9849.1,61.1985,11285.5,15290.2,-1.31801,0.447284,-2.10023,0.520057,0.0646701,0.119854,9962.43,67.4946,11398.8,0.431815,0.988283,0.0107898,23071,-0.0011454,0.976093,11.3267,11.022,117.276,88.1081,1.0324,11.1761,12.3561,116.251,139.049,1.02445,-50.9406 
112,0.12,0.45,43.2056,112,20125.6,-0.0337209,42.4724,-10.8668,117.101,0.0131583,-9.40878,500,-1.76159,-3.0198,3.40777,-0.962543,-1.19889,-62.1318,10679.5,71.5922,10254,15028.6,-1.37036,-2.62857,4.19022,-0.571316,-0.807663,4.52803,10766.6,76.4336,10341.1,0.47516,0.987729,0.0134325,22658.9,-0.00104766,1.05602,11.225,11.073,117.628,88.0631,0.961643,10.7766,12.5373,116.394,138.896,1.23424,-50.8329 
113,0.12,0.45,43.0806,113,23996,-0.26293,49.8714,11.0493,117.191,0.396355,-275.45,18.4797,-2.19468,1.41823,-1.2044,0.714564,-1.51959,-15.0321,12535.3,75.1979,12196.2,21492.4,-2.10003,1.51288,-1.01509,0.809217,-1.42494,0.542331,12556.4,76.3692,12217.3,0.471933,0.989468,0.0113838,26606.3,-0.000955129,1.2293,11.2206,11.1035,117.612,88.1169,1.13493,10.9019,12.4609,116.574,139.023,1.03824,-50.9057 
114,0.12,0.45,43.2956,114,20357.3,-0.20488,42.7852,-11.0187,117.175,-0.15585,667.61,499.977,0.398478,-0.93191,2.66079,-1.16078,-0.311098,-59.1878,10915.4,71.1583,10203.3,18733.9,0.771168,-0.55922,3.40617,-0.788094,0.061592,-0.177947,10998.5,75.7703,10286.3,0.481802,0.988088,0.0133875,22827.7,-0.00103445,1.07931,11.2209,11.0366,117.593,87.6895,0.955864,10.9769,12.407,116.503,138.606,1.09073,-50.9169 
