cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
136,0.41,0.35,43.2293,136,18563,-0.0117555,39.1429,-10.8763,117.739,-0.0148648,-35.9944,500,0.131186,-1.84785,3.54016,-0.494279,2.37297,-39.3634,9388.47,648.602,7885.78,13876.3,0.379047,-1.59999,4.03588,-0.246419,2.62084,0.222276,9402.88,657.726,7900.19,0.508591,0.890939,0.132971,18488.1,-0.000882215,1.05123,11.1382,10.9217,118.073,86.0315,0.831228,10.8271,12.4291,117.048,136.346,1.02517,-50.3148 
137,0.41,0.35,43.0393,137,16321.8,-0.0950789,34.8267,10.7923,117.827,0.00404788,51.919,499.399,1.71002,2.42302,0.964956,-4.91852,3.42575,-28.1588,8362.92,578.622,6942.7,12242.3,1.88732,2.60033,1.31957,-4.74121,3.60305,0.71738,8373.23,585.149,6953,0.511524,0.891031,0.13422,16369.2,-0.000799996,0.9472,11.1057,10.7893,118.028,85.3976,0.737999,10.7519,12.3044,117.295,135.265,0.733234,-49.8669 
138,0.41,0.35,43.2393,138,18864.3,-0.182415,40.0487,10.807,117.976,0.0327753,102.252,500,-1.30453,0.982239,1.00029,-0.679507,1.85548,-52.4011,9514.8,648.906,7958.18,14198.4,-0.974571,1.31219,1.6602,-0.349551,2.18544,0.566947,9533.98,661.053,7977.36,0.509622,0.891791,0.132433,18707.9,-0.000766587,1.07487,11.0333,10.936,118.285,85.8865,0.859026,10.7345,12.1602,117.325,136.032,0.959764,-50.1459 
139,0.41,0.35,43.1693,139,12858.6,-0.0194646,27.4511,10.9174,117.88,-0.0111956,6.7184,500,-0.336719,1.80102,-0.99958,2.83641,0.00200676,-56.1356,5969.32,466.584,6057.04,9758.54,0.0167524,2.15449,-0.292638,3.18989,0.355478,1.05395,5989.87,479.596,6077.59,0.461501,0.877102,0.126916,12979.1,-0.000821663,0.656656,11.2093,11.2047,118.189,86.5894,0.629525,11.1122,12.3677,117.092,136.935,1.09664,-50.3453 
140,0.41,0.35,43.1793,140,12551.4,-0.235499,26.6384,11.2372,117.876,0.0496371,529.604,363.444,-1.63337,-1.37995,2.84211,-0.74399,-0.662178,-56.6633,5970.13,462.436,5890.53,10600.3,-1.27658,-1.02315,3.55569,-0.387196,-0.305384,-5.31137,5990.87,475.571,5911.27,0.468445,0.878025,0.129072,12788.8,-0.00100521,0.641942,11.4263,11.2433,118.102,86.2161,0.585288,11.3719,12.8165,117.188,136.622,0.913758,-50.4064 
141,0.41,0.35,43.2093,141,19878.8,-0.182855,40.6564,11.2427,117.881,0.568387,-89.7834,500,0.112348,0.939104,-0.053947,0.573939,0.891629,-42.1344,9253.97,785.006,8696.63,16541,0.377657,1.20441,0.476671,0.839248,1.15694,0.882447,9269.39,794.773,8712.05,0.480572,0.869529,0.143872,19288.3,-0.000648533,1.00557,11.3915,11.1722,118.248,86.46,0.889347,11.1378,12.5833,117.141,136.575,1.10661,-50.1155 
142,0.41,0.35,43.1993,142,14589.5,-0.0715466,31.1817,-10.9937,117.686,-0.00158301,51.1721,500,0.551159,0.926065,1.91783,-2.65021,2.39262,-23.2062,7442.83,575.375,6211.8,11162,0.697282,1.07219,2.21008,-2.50409,2.53874,0.449435,7451.32,580.754,6220.29,0.510202,0.879976,0.146748,14604.7,-0.000868754,0.826212,11.1449,11.1011,117.893,85.5777,0.648461,11.0374,12.3841,117.011,135.637,0.881874,-50.0597 
143,0.41,0.35,43.0893,143,18198.1,-0.267783,39.3031,10.8301,117.8,0.0779215,-30.3107,1.00525,5.29538,0.300579,4.31397,-0.436062,1.8642,-24.6645,9372.72,628.101,7728.6,13933.5,5.45068,0.455885,4.62458,-0.280756,2.01951,0.623095,9381.74,633.818,7737.63,0.513224,0.894272,0.13111,18280,-0.000908514,1.07971,10.9483,10.7388,118.006,85.7794,0.84073,10.7184,12.0615,117.068,136.094,0.93836,-50.3147 
144,0.41,0.35,43.1393,144,21516,-0.240743,44.8981,11.0174,117.692,-0.522905,435.784,31.7955,-2.99489,0.875943,-0.178309,-0.719921,1.86219,-38.5096,10566,755.211,9117.27,23520.9,-2.75241,1.11843,0.306661,-0.477436,2.10468,-0.0224664,10580.1,764.138,9131.36,0.501874,0.88779,0.133563,21081.1,-0.000726278,1.17931,11.2493,10.911,117.98,85.8724,0.974136,10.8353,12.2229,117.068,136.142,0.911133,-50.2693 
145,0.41,0.35,43.3893,145,20705.1,-0.228749,43.5752,10.9165,117.983,0.099439,66.0761,165.841,0.672192,-0.131404,3.92115,-3.71448,1.206,-15.6312,9895.37,777.432,9058.21,15699.1,0.770618,-0.0329788,4.118,-3.61605,1.30443,-0.618704,9901.09,781.055,9063.94,0.487148,0.878696,0.136992,20324.6,-0.000663563,1.11393,11.0419,10.9589,118.264,85.7485,0.963566,10.7982,12.3176,117.257,135.925,1.00634,-50.176 
