cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
136,0.41,0.35,43.2293,136,18563,-0.0117555,39.1429,-10.8763,117.739,-0.0148648,-35.9944,500,0.131186,-1.84785,3.54016,-0.494279,2.37297,-39.3634,4810.63,2644.46,3851.12,13876.3,0.379047,-1.59999,4.03588,-0.246419,2.62084,0.222276,4814.35,2653.39,3854.84,0.520616,0.509036,0.559077,9247.41,-0.000882216,1.05123,11.1382,10.9217,118.073,86.0315,0.831228,10.8271,12.429,117.048,136.346,1.02518,-50.3148 
137,0.41,0.35,43.0393,137,16321.8,-0.0950789,34.8267,10.7923,117.827,0.00404788,51.919,499.399,1.71002,2.42302,0.964956,-4.91852,3.42575,-28.1588,4306.27,2384.18,3393.95,12242.3,1.88732,2.60033,1.31957,-4.74121,3.60305,0.71738,4308.93,2390.56,3396.61,0.524518,0.507386,0.564553,8215.03,-0.000799996,0.9472,11.1057,10.7893,118.028,85.3976,0.737999,10.7519,12.3044,117.295,135.265,0.733234,-49.8669 
138,0.41,0.35,43.2393,138,18864.3,-0.182415,40.0487,10.807,117.976,0.0327753,102.252,500,-1.30453,0.982239,1.00029,-0.679507,1.85548,-52.4011,4920.79,2692.54,3952.05,14198.4,-0.974571,1.31219,1.6602,-0.349551,2.18544,0.566947,4925.74,2704.42,3957,0.519797,0.509991,0.557325,9476.29,-0.000766588,1.07487,11.0333,10.936,118.285,85.8865,0.859026,10.7345,12.1602,117.325,136.032,0.959764,-50.1459 
139,0.41,0.35,43.1693,139,12858.6,-0.0194646,27.4511,10.9174,117.88,-0.0111956,6.7184,500,-0.336719,1.80102,-0.99958,2.83641,0.00200676,-56.1356,3032.2,1903.88,2925.71,9758.54,0.0167524,2.15449,-0.292638,3.18989,0.355478,1.05395,3037.5,1916.6,2931.01,0.474005,0.475237,0.546395,6408.16,-0.000821628,0.656658,11.2093,11.2046,118.189,86.5894,0.629526,11.1122,12.3677,117.092,136.935,1.09663,-50.3453 
140,0.41,0.35,43.1793,140,12551.4,-0.235499,26.6384,11.2372,117.876,0.0496371,529.604,363.444,-1.63337,-1.37995,2.84211,-0.74399,-0.662178,-56.6633,2989.34,1837.64,2757.84,10600.3,-1.27658,-1.02315,3.55569,-0.387196,-0.305384,-5.31137,2994.7,1850.48,2763.19,0.485178,0.480455,0.5523,6172.37,-0.00100517,0.641944,11.4262,11.2433,118.102,86.2161,0.585289,11.3719,12.8165,117.188,136.622,0.913741,-50.4063 
141,0.41,0.35,43.2093,141,19878.8,-0.182855,40.6564,11.2427,117.881,0.568387,-89.7834,500,0.112348,0.939104,-0.053947,0.573939,0.891629,-42.1344,4675.32,2861.14,4182.3,16541,0.377657,1.20441,0.476671,0.839248,1.15694,0.882447,4679.3,2870.69,4186.28,0.492894,0.482253,0.558148,9493.53,-0.000648539,1.00557,11.3915,11.1722,118.248,86.46,0.889347,11.1378,12.5833,117.141,136.575,1.10661,-50.1155 
142,0.41,0.35,43.1993,142,14589.5,-0.0715466,31.1817,-10.9937,117.686,-0.00158301,51.1721,500,0.551159,0.926065,1.91783,-2.65021,2.39262,-23.2062,3802.34,2145.08,3040.65,11162,0.697282,1.07219,2.21008,-2.50409,2.53874,0.449435,3804.53,2150.34,3042.84,0.520898,0.502738,0.565556,7303.8,-0.00086871,0.826212,11.1449,11.1012,117.893,85.5777,0.648465,11.0373,12.3841,117.011,135.637,0.881975,-50.0597 
143,0.41,0.35,43.0893,143,18198.1,-0.267783,39.3031,10.8301,117.8,0.0779215,-30.3107,1.00525,5.29538,0.300579,4.31397,-0.436062,1.8642,-24.6645,4891.13,2561.05,3848.62,13933.5,5.45068,0.455885,4.62458,-0.280756,2.01951,0.623095,4893.46,2566.64,3850.95,0.524934,0.521408,0.551118,9322.05,-0.000908517,1.07971,10.9483,10.7388,118.006,85.7794,0.84073,10.7184,12.0615,117.068,136.094,0.938361,-50.3147 
144,0.41,0.35,43.1393,144,21516,-0.240743,44.8981,11.0174,117.692,-0.522905,435.784,31.7955,-2.99489,0.875943,-0.178309,-0.719921,1.86219,-38.5096,5420.92,2983.21,4535.52,23520.9,-2.75241,1.11843,0.306661,-0.477436,2.10468,-0.0224664,5424.56,2991.94,4539.16,0.509607,0.508849,0.548371,10644.6,-0.00072628,1.17931,11.2493,10.911,117.98,85.8724,0.974136,10.8353,12.2229,117.068,136.142,0.911135,-50.2693 
145,0.41,0.35,43.3893,145,20705.1,-0.228749,43.5752,10.9165,117.983,0.099439,66.0761,165.841,0.672192,-0.131404,3.92115,-3.71448,1.206,-15.6312,5101.17,2958.15,4460.01,15699.1,0.770618,-0.0329788,4.118,-3.61605,1.30443,-0.618704,5102.64,2961.7,4461.49,0.498628,0.496095,0.550128,10233.4,-0.000663569,1.11393,11.0419,10.9589,118.264,85.7485,0.963566,10.7982,12.3176,117.257,135.925,1.00634,-50.176 
