cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
136,0.41,0.35,43.2293,136,18575.1,-0.208134,39.3462,10.9974,117.774,2.61337,-2358.39,499.179,0.251434,-1.97657,3.58864,-0.446123,2.66822,-32.4007,10415.1,55.3472,8935.1,214724,0.455452,-1.77255,3.99667,-0.242104,2.87224,0.24729,10460.6,57.8719,8980.54,0.503198,0.990411,0.0117315,20788.2,-0.000870875,1.05111,11.1396,10.9197,118.072,86.0329,0.831347,10.8251,12.431,117.047,136.347,1.02511,-50.314 
137,0.41,0.35,43.0393,137,16326.7,-0.031219,34.7819,10.7892,117.837,-0.00678033,9.19655,0.017744,1.75394,2.14962,0.736328,-5.07763,3.65233,-23.0838,9183.79,67.1899,7749.36,12218.3,1.89929,2.29498,1.02703,-4.93228,3.79768,0.748689,9216.16,68.9887,7781.73,0.507354,0.98707,0.0160687,18165.2,-0.000795574,0.946821,11.1092,10.7897,118.027,85.3987,0.738159,10.7511,12.3034,117.292,135.265,0.734438,-49.8662 
138,0.41,0.35,43.2393,138,18872.1,-0.0891716,39.9661,10.7784,117.974,0.0785232,-45.35,2.22257e-05,-1.13242,0.797763,0.634182,-0.836834,1.91979,-46.0608,10533.4,51.7078,8918.49,14138.9,-0.84239,1.0878,1.21425,-0.546801,2.20983,0.611152,10598,55.2969,8983.09,0.50639,0.990952,0.0112122,20928.6,-0.000760515,1.07467,11.0364,10.9352,118.283,85.8876,0.859248,10.7344,12.1581,117.324,136.034,0.95866,-50.1459 
139,0.41,0.35,43.1693,139,12866.5,-0.218713,27.5879,11.0295,117.876,0.0982164,227.397,15.1577,-0.189948,1.5914,-1.41593,2.57316,0.022102,-51.1907,6667.82,43.6829,6883.26,10632.4,0.132386,1.91373,-0.771267,2.89549,0.344436,1.17083,6739.62,47.6718,6955.06,0.457297,0.987773,0.0124688,14737.9,-0.000816566,0.656427,11.2155,11.2046,118.185,86.5909,0.629817,11.1121,12.3634,117.091,136.936,1.09384,-50.3451 
140,0.41,0.35,43.1793,140,12556.3,-0.20636,26.6115,-11.2259,117.871,-3.36093e-05,88.0179,500,-1.57975,-1.69085,2.52213,-0.918821,-0.533867,-52.2681,6641.21,45.9921,6734.02,9725.02,-1.25063,-1.36173,3.18036,-0.589703,-0.204748,15.0446,6714.52,50.065,6807.33,0.461703,0.98712,0.0133668,14542.9,-0.00100147,0.641616,11.4322,11.2436,118.1,86.2172,0.585535,11.3705,12.8134,117.185,136.624,0.914454,-50.4063 
141,0.41,0.35,43.2093,141,19897.1,-0.231603,40.6918,11.2666,117.878,0.723689,-77.6249,132.746,0.305096,0.737394,-0.223761,0.479673,0.844378,-34.5188,10478.8,92.5066,9985.51,16753.1,0.522452,0.954749,0.21095,0.697028,1.06173,0.9388,10527.2,95.1964,10033.9,0.477072,0.984421,0.0171767,22066.2,-0.000637816,1.00546,11.395,11.1732,118.245,86.4621,0.889583,11.1393,12.5821,117.142,136.577,1.1035,-50.1151 
142,0.41,0.35,43.1993,142,14591.2,-0.0165066,31.1388,-10.9712,117.683,0.00554791,29.5823,4.81512e-10,0.546286,0.59425,1.61772,-2.78259,2.50187,-20.5212,8302.11,59.9014,7073.3,11126.5,0.675502,0.723466,1.87615,-2.65337,2.63108,0.423225,8330.9,61.5004,7102.09,0.504955,0.987246,0.0157012,16498.3,-0.000867818,0.825856,11.1486,11.1026,117.892,85.5782,0.648653,11.0365,12.3822,117.009,135.638,0.883435,-50.0598 
143,0.41,0.35,43.0893,143,18206.7,-0.267151,39.2966,-10.8348,117.797,0.0575916,108.654,0.105717,5.37104,0.0291361,4.06468,-0.578709,2.02527,-18.598,10310.8,50.2575,8604.74,14064,5.48815,0.146243,4.2989,-0.461603,2.14238,0.629854,10336.9,51.7067,8630.83,0.510154,0.991322,0.0109155,20262.4,-0.000902032,1.0794,10.9515,10.7391,118.004,85.7808,0.840932,10.7177,12.0606,117.067,136.095,0.937844,-50.3141 
144,0.41,0.35,43.1393,144,21517.5,-0.241173,44.8934,11.0204,117.69,-0.58672,414.119,337.719,-2.85478,0.674608,-0.487557,-0.842442,2.08842,-34.446,11796.3,76.588,10292,24015,-2.63788,0.891506,-0.0537623,-0.625545,2.30532,0.553326,11844.6,79.2721,10340.3,0.499014,0.988423,0.0139255,23736,-0.000722748,1.17906,11.2511,10.9102,117.979,85.8728,0.974312,10.8334,12.2217,117.067,136.142,0.912039,-50.2688 
145,0.41,0.35,43.3893,145,20722.4,-0.226445,43.5683,10.9208,117.981,0.205455,123.733,23.6163,0.759578,-0.353253,3.71243,-3.77857,1.17923,-9.79416,11009.4,76.1198,10241.9,16316.5,0.821249,-0.291582,3.83577,-3.7169,1.2409,-1.03011,11023.2,76.883,10255.6,0.483109,0.987941,0.0136215,22817.1,-0.000652959,1.11373,11.0457,10.9594,118.261,85.7502,0.963827,10.799,12.317,117.257,135.926,1.00387,-50.1761 
146,0.41,0.35,43.2893,146,18094.7,-0.267314,39.066,10.8421,117.762,0.0823419,29.0933,71.2845,2.74265,-5.42172,2.4427,-1.31539,0.631434,-8.51978,10288.1,47.2389,8572.55,13866.2,2.7963,-5.36807,2.54999,-1.26175,0.685081,5.26097,10300,47.9028,8584.5,0.510605,0.991927,0.0101746,20172.2,-0.00089047,1.0685,11.0346,10.7546,117.98,85.8069,0.836089,10.5754,12.1367,117.138,136.038,0.842523,-50.2315 
147,0.41,0.35,43.3393,147,20816.3,-0.240043,43.3362,11.0609,118.031,-0.315741,474.453,112.191,2.93241,2.77876,1.09699,1.0545,1.92702,-12.1645,11415.4,81.0987,9980.99,20480.7,3.00901,2.85536,1.25018,1.13109,2.00362,0.878022,11432.5,82.0466,9998.05,0.498576,0.987597,0.0148917,22930.2,-0.000681507,1.12361,11.2781,11.0566,118.33,86.1798,0.926695,10.8248,12.4065,117.453,136.546,0.877009,-50.3666 
148,0.41,0.35,43.1893,148,13606.1,-0.295831,29.5109,11.1515,118.043,-0.0724424,228.913,59.0693,3.70371,1.10508,1.68828,-1.1015,2.9695,-41.696,7517.36,55.2639,6960.6,11252.9,3.96626,1.36763,2.21338,-0.83895,3.23204,0.777335,7575.84,58.5129,7019.08,0.484148,0.986664,0.015124,15647.8,-0.00115262,0.726305,11.5954,11.1717,118.208,85.5222,0.633729,11.0544,12.6558,117.452,135.611,0.75528,-50.0885 
149,0.41,0.35,43.1493,149,15599.2,-0.263268,33.5549,10.9878,118.03,0.264989,5.45036,0.842052,1.75577,-0.290764,2.78649,-1.36,-0.144959,-33.2123,8711.39,60.1646,7665.6,12049.2,1.9649,-0.081635,3.20475,-1.15087,0.0641702,0.199075,8757.98,62.7526,7712.18,0.496851,0.987616,0.0147675,17627,-0.000941295,0.88869,11.1582,10.8098,118.299,86.2492,0.71986,10.8749,12.3966,117.374,136.445,0.924568,-50.1958 
150,0.41,0.35,42.9893,150,19648.3,-0.0252772,41.5897,10.8022,117.551,-0.0102431,-25.5305,499.997,5.60777,4.27233,2.21924,0.304842,1.31066,-4.16759,10558.7,64.7208,9648.83,14633.3,5.63401,4.29857,2.27173,0.331084,1.3369,0.83624,10564.6,65.0456,9654.67,0.487578,0.98934,0.0122585,21667.4,-0.000768913,1.08588,10.9706,10.8653,117.777,85.5272,0.929384,10.8161,12.1395,116.897,135.448,0.880029,-49.9206 
151,0.41,0.35,43.1593,151,14950.3,-0.184659,31.7592,11.0137,117.97,0.879372,-1342.09,2.59124e-05,0.607837,-0.0269112,4.86382,-1.63916,4.10411,-78.4188,8127.08,47.1635,7564.67,49806,1.10162,0.466871,5.85138,-1.14537,4.5979,0.461813,8237.07,53.274,7674.66,0.482747,0.988808,0.0126256,17062.9,-0.000872399,0.812906,11.2478,10.9206,118.291,86.4074,0.693643,11.0215,12.4889,117.267,136.714,1.02465,-50.307 
152,0.41,0.35,43.2193,152,18778.7,-0.0216629,39.5399,10.8964,117.301,-0.136961,171.157,500,-0.00106396,0.140596,-1.29578,0.353046,3.91427,23.9134,10799.1,54.1266,8606.27,14788.5,-0.15164,-0.00997974,-1.59693,0.20247,3.76369,1.72338,10765.6,52.2632,8572.73,0.521987,0.991576,0.0111056,20624.2,-0.000833419,1.11332,11.1131,10.7792,117.484,85.9162,0.807314,10.9125,12.2976,116.751,135.882,0.733227,-49.9654 
153,0.41,0.35,43.2293,153,17084.2,-0.248071,36.4789,10.944,117.404,0.171732,-13.7147,287.485,2.77478,-1.33913,2.11721,-1.26282,-0.466527,-29.0377,9327.25,61.9331,8388.04,13072.8,2.95763,-1.15629,2.48289,-1.07997,-0.283684,0.149862,9367.98,64.1958,8428.77,0.491472,0.98815,0.0138359,19061.1,-0.000812039,0.963538,11.1016,10.715,117.693,86.0487,0.816369,10.7373,12.0956,116.735,136.177,0.957942,-50.1283 
154,0.41,0.35,43.0393,154,21177.1,-0.236311,44.3917,10.9659,117.814,0.130849,-13.4958,35.263,3.0068,-2.652,3.59224,0.519137,-0.340363,-38.9466,11731.5,75.1489,10072.2,15904.3,3.25204,-2.40676,4.08271,0.764374,-0.0951261,0.270584,11786.1,78.1837,10126.9,0.502993,0.988525,0.0140224,23432,-0.000732442,1.19822,11.0525,10.8273,118.087,86.2112,0.946267,10.8679,12.2819,117.144,136.294,0.94356,-50.0828 
155,0.41,0.35,43.2393,155,20997.9,-0.0948335,43.6376,10.9769,117.892,-0.017619,-38.4565,500,-0.517665,1.66983,2.05784,0.99518,-2.04343,-9.43467,11526.2,61.7183,10076.5,15615.2,-0.458257,1.72923,2.17665,1.05459,-1.98403,0.135628,11539.5,62.4535,10089.7,0.498624,0.990618,0.0112737,23142.6,-0.000774716,1.165,11.2388,10.8024,118.198,85.7543,0.939307,10.9298,12.3361,117.308,135.804,0.889835,-50.0495 
156,0.41,0.35,43.1693,156,13897,-0.0103041,29.1527,-11.1437,117.608,0.00214126,-2.46729,6.01404e-11,1.06225,-1.55214,-0.0954313,3.90438,3.7009,-118.575,6987.04,52.7814,7694.22,10575.7,1.80889,-0.805507,1.39784,4.65101,4.44754,0.878446,7153.35,62.021,7860.53,0.441757,0.985054,0.0143263,16193,-0.000971964,0.666378,11.5588,11.3945,117.858,86.4638,0.687087,11.1926,12.488,117.088,136.777,0.770122,-50.3134 
157,0.41,0.35,43.1793,157,12128.4,-0.242854,25.2308,11.5331,117.555,-0.0920364,190.426,169.722,0.144896,-0.255203,1.81155,1.94542,-1.26503,-96.0316,6285.97,44.8787,6546.69,10043.1,0.749582,0.349482,3.02092,2.55011,-0.66034,0.49733,6420.66,52.3617,6681.39,0.455229,0.985929,0.014231,14104.3,-0.000889669,0.594172,11.7356,11.1915,117.682,85.6105,0.572317,11.5324,12.5676,116.884,135.717,0.798247,-50.1064 
158,0.41,0.35,43.2093,158,19296.6,-0.199127,40.2129,11.0768,117.687,-0.55486,717.128,0.000913652,1.13172,1.10922,3.8139,1.03953,-0.599393,-1.77215,11006.9,63.2788,8829.39,27453.4,1.14288,1.12038,3.83622,1.05069,-0.588234,0.415383,11009.4,63.4169,8831.87,0.520143,0.99002,0.0130545,21166,-0.000806539,1.07948,11.3784,11.0664,117.997,86.0491,0.822567,10.8746,12.4932,116.933,136.268,1.0633,-50.2189 
159,0.41,0.35,43.1993,159,16325.9,-0.117946,34.1617,11.0714,117.644,0.142152,15.6769,1.01347e-11,2.15274,2.23575,0.999103,1.70144,0.517855,-106.346,8969.74,61.6601,7965.6,12384.8,2.82237,2.90539,2.33837,2.37107,1.18749,0.798844,9118.9,69.9468,8114.76,0.494226,0.986754,0.0156302,18450.9,-0.000777693,0.882882,11.4207,10.968,117.776,86.0939,0.740035,11.0258,12.29,117.034,136.431,0.742538,-50.3375 
160,0.41,0.35,43.0893,160,22599.9,-0.17675,47.0097,10.985,117.973,-0.142494,-0.168735,500,3.03061,4.02668,-2.24937,-3.33357,-0.561222,-64.0811,12263.6,91.6699,10892.9,16811.3,3.43411,4.43019,-1.44236,-2.93007,-0.15772,1.4326,12353.5,96.6632,10982.8,0.494461,0.986492,0.0159543,24983.7,-0.000750081,1.24825,11.1349,10.8081,118.231,86.1405,1.00949,10.9469,12.4112,117.419,136.39,0.812444,-50.2495 
161,0.41,0.35,43.1393,161,18631.7,0.00368063,39.0874,10.9202,118.09,0.0026827,-34.2894,2.03665e-06,2.81,2.75559,0.860961,-0.818951,2.62926,-60.2443,10282.1,73.9869,8958.35,13898.1,3.18934,3.13493,1.61965,-0.439609,3.0086,0.845937,10366.6,78.6813,9042.84,0.499212,0.986892,0.0157752,20765.8,-0.000814856,1.03293,11.1419,10.9566,118.329,85.2631,0.823628,10.9815,12.554,117.473,135.337,0.855928,-50.0744 
162,0.41,0.35,43.3893,162,20520.9,-0.121924,43.2562,10.8422,117.908,0.0502072,45.43,500,0.178596,0.565814,6.18635,2.19407,-0.332865,-29.2097,11327.5,84.2451,9811.48,15341.5,0.362521,0.74974,6.5542,2.378,-0.14894,0.337659,11368.5,86.5212,9852.45,0.500841,0.986856,0.0159193,22698.8,-0.000742438,1.17722,10.9841,10.6939,118.234,85.6238,0.935835,10.7493,12.2782,117.248,135.686,0.986658,-50.0626 
163,0.41,0.35,43.2893,163,17753.8,-0.0532753,37.2327,-10.8498,117.83,0.0302483,-4.32065,0.953234,0.989497,-0.0279491,2.37007,-0.752435,0.603916,13.5409,9882.26,65.7887,8443.22,13154.8,0.904233,-0.113213,2.19954,-0.837698,0.518653,0.176669,9863.27,64.7336,8424.23,0.504486,0.988645,0.0139576,19551.1,-0.000533529,0.994098,11.2124,10.8443,118.166,85.735,0.812897,10.4949,12.2031,117.142,135.7,1.02431,-49.9649 
164,0.41,0.35,43.3393,164,16038.6,-0.0138209,34.2832,10.7453,118.041,-0.0264911,-17.9281,2.08104,-0.668028,-1.61891,4.90821,0.633461,3.30957,-63.1853,9268.21,60.5086,7384.02,12007.6,-0.270168,-1.22105,5.70393,1.03132,3.70743,0.362794,9356.84,65.4321,7472.64,0.521261,0.98791,0.0158738,17950.4,-0.000804132,0.967625,11.0391,10.7074,118.325,85.1412,0.716497,10.8035,12.059,117.316,134.938,1.00879,-49.7965 
165,0.41,0.35,43.1893,165,13372.1,0.013739,27.4861,-11.1736,118.026,0.00114592,9.98702,499.992,0.653034,1.77077,5.81714,0.198538,-1.19036,-30.722,7107.72,40.7722,6855.05,9998.14,0.846482,1.96422,6.20403,0.391987,-0.996912,0.262286,7150.81,43.1661,6898.14,0.474076,0.989546,0.0113959,15083.7,-0.000719375,0.678665,11.5679,11.2156,118.144,84.9752,0.611866,11.1887,12.5347,117.439,135.12,0.704943,-50.1444 
166,0.41,0.35,43.1493,166,19584.5,-0.184828,40.8243,10.9338,117.835,0.237276,-1803.25,1.17591,0.441045,-0.55117,1.3566,-0.776145,-0.970153,6.44297,10745.5,74.4518,9341.44,28459.1,0.400475,-0.59174,1.27546,-0.816715,-1.01072,2.71607,10736.5,73.9498,9332.41,0.500098,0.98809,0.0143868,21468.8,-0.000628126,1.08464,11.0718,10.95,118.08,85.4685,0.875426,10.8578,12.3335,117.209,135.373,0.870398,-49.9047 
167,0.41,0.35,42.9893,167,19853,-0.212885,42.3127,10.7622,117.864,0.0595103,128.788,439.354,1.45387,0.902785,0.356614,4.02015,3.68136,-43.1438,11133.5,63.3181,9312.6,15073.6,1.72554,1.17445,0.899943,4.29181,3.95303,0.925283,11194.1,66.68,9373.12,0.509443,0.989683,0.0129352,21973.1,-0.0007087,1.14746,10.9926,10.8025,118.123,85.6671,0.916916,10.6112,12.013,117.239,135.702,0.884481,-50.0351 
168,0.41,0.35,43.1593,168,17092.7,-0.138752,35.8906,11.1039,117.796,-3.6243,1780.01,0.000140714,0.286199,0.513772,1.37288,0.365056,4.48886,-50.2586,9335.84,74.5883,8475.87,222984,0.602664,0.830237,2.00581,0.681521,4.80533,0.775273,9406.33,78.5045,8546.36,0.489031,0.985605,0.0166395,19234.6,-0.000883541,0.914633,11.3876,11.0422,118.022,85.912,0.773296,11.0945,12.4403,117.13,136.053,0.892464,-50.1406 
169,0.41,0.35,43.2193,169,18634.8,-0.233198,38.7666,-11.1236,117.503,-0.133025,-178.609,7.58778,-1.13525,-2.99766,2.07505,0.974859,-2.88411,-47.6469,10043.3,75.8805,9181.97,14811.1,-0.835228,-2.69764,2.67509,1.27488,-2.5841,2.23447,10110.1,79.5932,9248.8,0.487324,0.98641,0.0156054,20746.3,-0.000773571,0.998981,11.3551,10.8862,117.767,85.3359,0.859644,10.9422,12.2919,116.817,135.15,0.950771,-49.8144 
