cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
336,0.38,0.38,43.1709,336,14445.9,-0.242992,30.7421,11.1034,118.041,-0.249149,349.725,5.95644,-0.145945,0.456159,-0.250636,1.85643,0.0452593,100.113,6883.39,443.936,6839.41,13948.3,-0.776332,-0.174228,-1.51141,1.22604,-0.585127,0.170037,6846.75,420.73,6802.77,0.46672,0.902905,0.102276,14669.9,-0.00112455,0.754252,11.4435,10.9872,118.471,87.5627,0.712851,10.9827,12.4939,117.41,138.407,1.06141,-50.8447,211.572,218.225,429.797 
338,0.38,0.38,43.2109,338,14864.2,-0.164513,32.3641,-10.8876,117.882,-0.122069,221.512,1.45884e-09,-0.574228,-0.934464,-5.33528,-1.51569,-2.69763,93.1136,7385.2,450.55,6893.51,12351,-1.16054,-1.52078,-6.50791,-2.102,-3.28394,0.553493,7351.12,428.966,6859.43,0.482374,0.907343,0.103299,15239.5,-0.00113,0.831261,11.2095,10.8117,118.194,87.6786,0.743126,10.8287,12.0672,117.171,138.496,1.02298,-50.8174,224.758,216.642,441.401 
339,0.38,0.38,43.2209,339,18158.3,-0.253572,38.9954,-10.8514,117.838,0.244315,124.911,0.0656961,-0.468278,-0.575267,-7.42218,-1.61508,-0.746721,67.8054,8966.35,589.786,8187.01,14768.5,-0.895231,-1.00222,-8.27609,-2.04203,-1.17367,0.381885,8941.53,574.068,8162.19,0.487861,0.898994,0.1147,18328,-0.00106423,1.02961,11.1099,10.6222,118.225,87.0907,0.870424,10.7762,12.3455,117.206,137.603,1.01862,-50.5126,271.081,258.347,529.427 
340,0.38,0.38,43.3409,340,14746.8,-0.0190281,32.393,-10.6522,117.772,-0.00349457,-10.0871,9.49747e-12,3.17066,-0.146273,-3.9761,-0.0689671,-1.65316,99.4991,7037.08,453.062,7147.33,11233.8,2.54415,-0.772793,-5.22914,-0.695487,-2.27967,0.187132,7000.66,429.998,7110.91,0.461231,0.902943,0.100228,15178.2,-0.00109303,0.809037,11.0175,10.7209,118.243,87.8104,0.784931,10.5905,12.0702,117.059,138.472,1.18381,-50.662,213.195,223.852,437.047 
341,0.38,0.38,43.1909,341,12318.9,-0.25299,26.5172,11.1729,117.532,0.0963823,-126.906,56.6231,-0.649546,0.792512,2.75484,-1.36536,-6.19304,46.6096,5708.1,443.063,6148.28,10042.9,-0.943034,0.499024,2.16787,-1.65884,-6.48653,1.33759,5691.04,432.259,6131.22,0.446638,0.882675,0.114943,12741.9,-0.00115146,0.608852,11.7199,11.15,117.729,86.8871,0.636,11.0039,12.4874,117.02,137.652,0.709765,-50.7647,177.504,194.973,372.476 
342,0.38,0.38,43.1509,342,14764.3,-0.0136107,32.5157,10.6222,117.347,0.000690636,-20.2823,500,-0.144873,-0.360614,-4.36102,1.91306,1.65764,111.474,7364.31,404.728,6935.11,11244,-0.846797,-1.06254,-5.76486,1.21113,0.955716,-0.0467584,7323.51,378.888,6894.31,0.480168,0.916979,0.0919293,15252,-0.00111271,0.850753,10.8776,10.7598,117.739,87.0499,0.758276,10.6887,11.9448,116.772,137.677,0.96673,-50.6269,222.146,215.987,438.133 
343,0.38,0.38,43.0509,343,18013.7,-0.249028,38.9348,-10.7751,117.898,0.196773,-26.8511,443.535,-2.39272,1.72813,-4.56517,1.1874,-3.00604,102.203,9052.28,543.404,8009.42,13828.9,-3.03627,1.08458,-5.85226,0.543852,-3.64958,0.463571,9014.88,519.713,7972.02,0.495794,0.908357,0.107215,18182.7,-0.00100398,1.04065,10.9993,10.7097,118.343,87.3149,0.876957,10.6382,12.0171,117.148,137.897,1.19495,-50.5822,273.491,250.117,523.608 
344,0.38,0.38,43.1009,344,19042.5,-0.115207,40.5136,10.9087,118.024,0.401271,-650.929,208.484,2.33307,-1.14657,2.95834,-1.02862,-1.32919,128.747,9444.51,599.157,8553.15,22889.8,1.52238,-1.95726,1.33697,-1.8393,-2.13987,1.43449,9397.39,569.314,8506.03,0.489975,0.904144,0.109761,19179.3,-0.00109104,1.06653,11.188,10.7862,118.331,87.6461,0.928417,10.7713,11.9807,117.431,138.15,0.899758,-50.5043,287.139,267.294,554.433 
345,0.38,0.38,43.2009,345,12097.3,-0.149232,26.3665,10.9377,117.993,-0.0919969,164.079,500,0.228589,2.99897,-3.7257,-0.370888,-0.108245,47.213,5948.69,393.346,5809.62,9879.39,-0.0686994,2.70169,-4.32028,-0.668176,-0.405533,-0.564751,5931.41,382.402,5792.34,0.471023,0.898615,0.108427,12592.6,-0.0012101,0.64713,11.4225,11.1252,118.322,87.5263,0.608535,11.112,12.2475,117.384,138.35,0.937581,-50.8237,183.467,184.767,368.234 
346,0.38,0.38,43.2909,346,15560.4,-0.0544036,34.1609,10.5972,118.224,-0.0460335,43.5845,500,2.41212,-1.71088,2.01206,3.58961,-2.33887,27.1936,7580,481.822,7266.28,11850,2.24089,-1.88211,1.66959,3.41838,-2.5101,0.431462,7570.05,475.519,7256.33,0.47566,0.90096,0.107713,15914.8,-0.0011169,0.88093,11.0109,10.6511,118.596,87.8035,0.799273,10.5858,12.1601,117.577,138.752,1.01937,-50.9489,230.493,229.537,460.029 
347,0.38,0.38,43.2409,347,15599,0.00453275,33.7631,10.6978,118.09,-0.0406056,4.86283,3.58817e-12,0.707145,0.654762,2.83737,-1.92628,-3.28675,107.018,7742.94,487.679,7068.01,11764.4,0.03328,-0.0191032,1.48964,-2.60014,-3.96062,1.29457,7703.77,462.872,7028.84,0.487984,0.904857,0.108185,15786.9,-0.00094326,0.880079,11.0208,10.8418,118.399,87.8723,0.773242,10.687,11.993,117.479,138.556,0.920442,-50.6833,234.603,221.102,455.706 
348,0.38,0.38,43.2309,348,14606.5,-0.0809823,32.4721,10.6256,117.776,-0.0621786,128.429,1.02985,-0.501016,0.793192,1.77092,-0.643172,0.956458,56.6342,7228.73,447.68,6946.36,11492,-0.857626,0.436582,1.0577,-0.999783,0.599848,-3.46815,7208,434.552,6925.63,0.475071,0.904566,0.103608,15172.5,-0.00127901,0.829843,11.108,10.6986,118.142,87.7545,0.762751,10.6462,12.0859,117.133,138.533,1.00954,-50.7786,220.017,218.954,438.971 
349,0.38,0.38,43.1609,349,16477.9,-0.235736,34.9525,11.0051,117.725,0.125688,-104.028,208.639,0.139728,1.04388,0.200341,-1.67873,0.515762,62.1875,8209.93,535.255,7299.31,12947.5,-0.25185,0.652304,-0.582815,-2.07031,0.124184,0.726183,8187.17,520.84,7276.55,0.494537,0.899824,0.116494,16555.2,-0.00101579,0.910306,11.2473,10.9971,118.151,87.2717,0.768032,10.9197,12.3346,116.964,137.788,1.18758,-50.5159,251.196,230.787,481.983 
350,0.38,0.38,43.1709,350,13459.8,-0.135724,29.0889,10.926,118.055,-0.118298,55.8338,500,0.779263,-0.342446,5.05749,0.995262,-1.17446,58.2154,6603.1,426.009,6246.77,10561.3,0.412696,-0.709013,4.32435,0.628695,-1.54103,-0.387921,6581.79,412.515,6225.46,0.478987,0.901159,0.108784,13741.1,-0.00109323,0.723432,11.4816,10.9424,118.377,87.4109,0.660086,10.792,12.5272,117.559,138.313,0.8178,-50.9025,202.773,199.091,401.864 
351,0.38,0.38,43.1809,351,10241.4,-0.263522,22.6389,11.1464,117.755,-0.0438426,305.671,20.1911,1.9315,4.39986,-0.0976342,-2.19493,-0.894587,102.37,5264.66,309.418,4873.94,8650.85,1.28691,3.75526,-1.38683,-2.83952,-1.53918,-0.917181,5227.2,285.689,4836.47,0.484487,0.912704,0.0981343,10789.1,-0.00124633,0.559889,11.6777,11.2159,117.974,87.295,0.511864,11.0771,12.2542,117.165,138.17,0.809102,-50.8749,163.603,155.01,318.613 
