cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,0.05,0.71,43.2159,0,22595.2,-0.216385,45.5764,11.3072,118.098,0.0993025,103.587,231.614,0.78579,-0.403682,0.955195,-3.30733,-4.40326,95.7258,10339.2,914.564,9682.74,17110.9,0.18303,-1.00644,-0.250324,-3.91009,-5.00602,0.974942,10304.2,892.375,9647.71,0.481525,0.868391,0.145582,21399.1,-0.000850192,1.06901,11.67,11.6931,118.622,86.6639,0.971679,11.1804,13.1477,117.39,137.517,1.23147,-50.8532,325.451,318.66,644.111
1,0.05,0.71,43.1759,1,21735.5,-0.0159122,44.2002,11.191,117.909,-0.0167783,-43.7341,497.962,0.829639,-2.34332,-1.83725,-1.94724,-4.44958,147.764,10059.4,902.694,9447.66,16126.2,-0.100791,-3.27375,-3.69811,-2.87767,-5.38002,0.758772,10005.3,868.442,9393.58,0.480841,0.868133,0.145521,20807.9,-0.000840754,1.04247,11.6555,11.6402,118.333,87.3425,0.960351,11.0375,12.8878,117.145,137.894,1.18849,-50.5515,315.54,304.772,620.312
2,0.05,0.71,43.2059,2,23695.4,-0.156845,46.4434,11.6134,118.232,0.0892579,56.4033,500.0,-1.29912,-0.157083,6.16402,-5.92501,-3.1153,92.18,10265.9,1014.45,10630.7,17722.0,-1.87955,-0.737516,5.00315,-6.50545,-3.69574,1.64019,10232.2,993.078,10597.0,0.456412,0.854814,0.147216,22418.7,-0.0010067,1.01358,12.1847,12.0001,118.597,86.5327,1.01807,11.4865,13.3538,117.641,137.512,0.955602,-50.9798,330.649,348.393,679.042
3,0.05,0.71,43.2359,3,24595.1,-0.202696,49.6653,11.2197,118.366,-0.415369,1862.26,447.915,-0.191797,3.15382,3.31808,-0.832285,1.36932,150.29,11549.1,962.978,10436.5,43320.5,-1.13813,2.20748,1.4254,-1.77862,0.422985,-0.251325,11494.1,928.141,10381.5,0.490512,0.876185,0.141403,23432.8,-0.000770129,1.23134,11.4429,11.4157,118.783,86.3336,1.05745,11.2145,12.7551,117.693,136.877,1.08955,-50.5438,358.85,337.459,696.308
4,0.05,0.71,43.2259,4,29221.5,0.0267685,57.4774,11.3666,118.076,0.0134501,-87.7911,6.44048e-12,-0.536189,1.51837,-3.512,-1.92357,-3.16382,173.84,13158.1,1223.83,12507.1,21306.2,-1.63081,0.423749,-5.70125,-3.0182,-4.25845,0.598078,13094.5,1183.53,12443.4,0.477823,0.863429,0.149087,27404.4,-0.000809753,1.37107,11.6216,11.6377,118.54,86.651,1.24104,11.4187,12.9783,117.283,137.182,1.25642,-50.5307,413.709,410.318,824.027
5,0.05,0.71,43.0459,5,27141.8,-0.0564709,55.186,11.0704,118.078,0.0132158,-9.98531,500.0,2.37165,3.63936,-4.67897,-1.35628,-2.93685,126.766,12938.4,1005.1,11621.5,19892.1,1.57343,2.84114,-6.2754,-2.15449,-3.73507,0.190311,12892.0,975.718,11575.1,0.491998,0.883043,0.134409,26203.3,-0.000880765,1.40381,11.3308,11.2241,118.488,86.2574,1.18106,11.1145,12.6701,117.373,136.666,1.11457,-50.4087,398.307,371.057,769.364
6,0.05,0.71,43.0959,6,27813.8,-0.0648137,55.4418,11.2832,117.829,0.249415,-280.887,1.05926e-06,1.28574,-1.09324,1.12422,1.34954,-1.00948,165.594,12552.2,1140.09,12132.0,22644.6,0.243043,-2.13594,-0.961183,0.306837,-2.05218,0.791021,12491.5,1101.71,12071.4,0.473637,0.866294,0.143924,26373.7,-0.000677218,1.32201,11.53,11.4861,118.238,86.2486,1.22689,11.2007,12.7479,117.128,136.64,1.10952,-50.3909,390.602,390.832,781.434
7,0.05,0.71,43.1459,7,30333.7,-0.267352,60.2547,11.4373,118.072,0.238246,-146.594,367.779,-1.01372,3.9409,1.92715,-0.63053,3.57991,151.225,14078.1,1284.8,12754.5,23571.1,-1.96594,2.98868,0.0227063,-1.58275,2.62769,0.989138,14022.7,1249.75,12699.1,0.489848,0.865078,0.153465,28626.7,-0.000916353,1.47667,11.6056,11.4888,118.5,86.6512,1.25135,11.3951,13.1543,117.375,137.257,1.12476,-50.6055,439.27,418.469,857.739
8,0.05,0.71,43.1559,8,27032.4,0.0249449,54.8068,11.1315,118.15,-0.0744014,-18.5858,2.16542e-12,0.042878,1.25316,-5.24109,0.363897,-1.741,124.287,12467.9,994.455,11835.5,19905.2,-0.739724,0.470559,-6.80629,-0.418705,-2.5236,0.320577,12422.4,965.646,11790.0,0.478136,0.880255,0.131096,25980.9,-0.000904503,1.32964,11.4699,11.3796,118.579,87.1319,1.22882,11.0764,12.5115,117.47,137.712,1.10826,-50.5797,387.183,379.923,767.106
9,0.05,0.71,43.1659,9,24800.4,-0.0733161,49.9719,11.251,117.893,0.0790084,-84.1375,500.0,-2.64889,-2.46154,-0.361179,-0.552514,0.711431,137.312,11214.6,977.701,11155.7,18519.0,-3.5135,-3.32616,-2.09041,-1.41713,-0.153185,0.800921,11164.4,945.872,11105.4,0.466434,0.87088,0.135618,23935.6,-0.000938908,1.18073,11.5506,11.4693,118.415,87.007,1.12702,11.1851,12.7357,117.171,137.638,1.24432,-50.6309,348.974,358.174,707.148
