cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
240,0.19,0.57,43.2159,240,22447.2,-0.261514,46.2633,11.1804,117.923,-0.367104,296.488,69.6938,-0.195675,-3.29025,-0.141561,-7.40017,-0.419832,67.4036,10970,1041.35,9475,20381.1,-0.620097,-3.71467,-0.990405,-7.82459,-0.844255,0.929227,10945.3,1025.72,9450.33,0.501775,0.859108,0.166624,21813.2,-0.00117921,1.15805,11.5523,11.4106,118.4,86.2233,0.942112,11.1526,13.2113,117.069,136.389,1.33065,-50.1658,340.571,309.687,650.258 
241,0.19,0.57,43.1759,241,19683.7,-0.0473801,38.9251,11.5478,117.669,0.157095,-131.012,0.00148009,-1.60901,-6.19456,-2.05296,-6.64127,-4.9536,75.3813,9048.98,952.108,8516.23,15302.7,-2.08366,-6.66922,-3.00227,-7.11593,-5.42826,0.876446,9021.39,934.634,8488.64,0.480287,0.846522,0.168623,18783.3,-0.0010335,0.898838,12.024,11.9315,117.92,85.6585,0.818399,11.5965,13.3419,117.029,135.799,0.890852,-50.1407,287.697,282.494,570.191 
242,0.19,0.57,43.2059,242,23441,-0.228089,47.1022,11.3608,117.593,1.98195,-5342.18,471.533,-0.159533,-2.6822,-2.54441,-3.66738,-2.08904,82.6154,11327,1082.55,9701.47,362092,-0.67974,-3.20241,-3.58482,-4.18758,-2.60924,0.748677,11296.8,1063.4,9671.23,0.5039,0.858566,0.168432,22418.7,-0.00101712,1.16734,11.7582,11.599,118.05,85.1972,0.958429,11.2758,13.1568,116.776,135.282,1.27417,-50.0845,355.191,317.219,672.41 
243,0.19,0.57,43.2359,243,30123,-0.226921,59.5346,11.4273,117.481,-0.219882,395.821,1.02094,-2.5376,-5.33628,3.26938,-7.0737,-3.71903,94.3396,14969.4,1367.95,11686.7,24979.9,-3.13163,-5.93031,2.08132,-7.66774,-4.31306,1.10977,14934.9,1346.08,11652.1,0.527085,0.863761,0.175465,28334.8,-0.000968472,1.53913,11.7828,11.6013,117.821,85.3146,1.1404,11.3681,13.2836,116.78,135.19,1.04111,-49.8757,469.393,384.204,853.597 
244,0.19,0.57,43.2259,244,29337.7,-0.0144605,57.9661,11.3179,117.749,0.0579905,0.279036,0.469606,-1.48412,-5.25219,-3.37142,-5.45129,-4.53297,63.1788,14107.7,1359.18,11689.8,21357.3,-1.88194,-5.65001,-4.16706,-5.8491,-4.93079,0.814623,14084.6,1344.53,11666.7,0.512142,0.856856,0.175117,27501.3,-0.0008517,1.45175,11.6117,11.7787,118.224,85.4117,1.14022,11.4183,13.2728,116.965,135.36,1.25951,-49.9487,442.988,385.525,828.513 
245,0.19,0.57,43.0459,245,31127.7,-0.198024,61.7231,11.3182,117.651,-0.0867352,521.308,1.36331,-2.0563,-3.91207,-3.76912,-5.11344,-2.91569,149.65,14798,1418.46,12517,24213.6,-2.99861,-4.85438,-5.65373,-6.05575,-3.858,0.758599,14743.2,1383.77,12462.2,0.507081,0.858921,0.169809,29074.8,-0.000776368,1.52565,11.6189,11.7328,118.089,85.4992,1.23361,11.2297,13.3019,116.883,135.567,1.20628,-50.0674,464.011,411.107,875.118 
246,0.19,0.57,43.0959,246,29490.4,-0.0128134,58.302,11.277,117.556,-0.0480066,-16.3025,500,-3.58267,-2.75943,-3.08301,-6.02959,-1.33363,68.223,14318.4,1289.56,11780.1,21428.3,-4.01225,-3.18901,-3.94218,-6.45917,-1.76321,0.796436,14293.4,1273.75,11755.2,0.513933,0.86509,0.166391,27811.9,-0.000839271,1.49156,11.6084,11.5849,117.921,85.3667,1.1612,11.3241,13.1159,116.831,135.292,1.08986,-49.9253,447.519,384.778,832.297 
247,0.19,0.57,43.1459,247,24970.8,-0.200268,50.8042,11.1234,117.38,0.0397964,5.77629,8.88162,-1.19353,-6.90104,-2.42945,-2.64501,-2.48506,36.5219,12639.3,1090.43,9780.74,18403.8,-1.4235,-7.13101,-2.88939,-2.87498,-2.71503,0.830374,12625.9,1081.97,9767.37,0.529202,0.869592,0.169475,23858.4,-0.000899674,1.36181,11.3529,11.317,117.67,85.0782,0.975152,11.2896,13.0385,116.547,134.8,1.12245,-49.7214,390.355,320.24,710.595 
248,0.19,0.57,43.1559,248,27726,0.0220436,54.8183,11.312,117.572,-0.0530411,-32.4139,500,-3.63835,-2.53937,4.07666,-1.4539,-5.08245,51.6378,13539.6,1313.98,10992.6,20242.4,-3.9635,-2.86452,3.42636,-1.77905,-5.4076,1.3236,13520.7,1302.01,10973.7,0.517231,0.855782,0.179361,26140.4,-0.000991865,1.40368,11.6568,11.6249,117.956,84.9054,1.06622,11.5017,13.3196,116.817,134.937,1.13914,-50.0321,424.37,364.416,788.786 
249,0.19,0.57,43.1659,249,21243.5,-0.201962,42.2564,11.462,117.568,0.279787,-148.834,0.674762,-1.96714,-4.25883,-7.83715,-2.01855,-2.27499,37.8499,10045.5,989.981,9024.6,17122.6,-2.20547,-4.49716,-8.31382,-2.25688,-2.51332,0.579827,10031.7,981.207,9010.74,0.491892,0.853847,0.167078,20394,-0.00108906,1.02676,11.7824,11.7019,117.897,85.1488,0.872194,11.5503,13.2909,116.819,135.168,1.07786,-50.0192,315.841,298.718,614.559 
250,0.19,0.57,43.1959,250,16037.4,-0.217727,33.071,11.3014,117.471,0.134739,24.2916,500,-3.84308,-1.53017,2.28065,-5.47814,-3.56715,64.9073,8144.58,788.62,6570.28,12273.3,-4.25179,-1.93887,1.46324,-5.88685,-3.97585,1.10029,8120.82,773.574,6546.52,0.518925,0.857117,0.178762,15649.3,-0.00118366,0.857548,11.5837,11.477,117.773,83.9177,0.627414,11.6557,13.5329,116.726,133.776,1.04726,-49.8586,254.358,220.791,475.149 
251,0.19,0.57,43.2859,251,24579.1,0.0295618,49.8143,11.0636,117.684,-0.0659603,-13.6306,1.11622e-12,1.39801,-3.46074,2.82098,-7.20758,-4.96659,75.1501,12365.5,1158.32,9628.41,17970.3,0.924805,-3.93394,1.87458,-7.68078,-5.43979,1.1315,12338,1140.9,9600.91,0.527738,0.860716,0.17959,23379.1,-0.000857454,1.32299,11.4304,11.3623,118.055,83.8127,0.955937,11.2007,13.1966,116.888,133.485,1.16764,-49.6723,383.346,315.234,698.58 
252,0.19,0.57,43.1859,252,16588.6,0.00183751,33.7535,11.3199,117.549,-0.0158586,-7.48894,500,-0.971845,-6.77961,-2.50177,-4.29263,-1.50912,51.1573,8259.48,886.898,6807.91,12442,-1.29397,-7.10173,-3.14602,-4.61476,-1.83124,0.825102,8240.76,875.04,6789.19,0.513497,0.843296,0.19187,16048.3,-0.00123781,0.84806,11.7641,11.737,117.779,83.9544,0.640971,11.628,13.871,116.766,133.754,1.01234,-49.7999,261.252,230.65,491.902 
