cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
96,0.17,0.54,43.2388,96,23360.1,-0.841404,45.5956,12.2385,122.695,0.450373,-96.5766,0.0862903,-2.22722,-2.47542,-11.2016,0.668141,-0.452753,-269.583,10467.3,113.897,14288,19581.4,-0.52973,-0.777921,-7.80665,2.36564,1.24474,-0.418379,10682,133.418,14502.8,0.502234,0.97861,0.016664,21269,-0.00172965,0.984406,12.2269,10.8341,123.159,82.5515,1.24783,12.3007,11.7198,122.055,130.699,1.10422,-48.1476 
97,0.17,0.54,43.4088,97,23816.3,-0.3234,46.3819,11.9443,122.575,-0.218004,183.618,87.112,-4.86427,-1.96156,-1.41425,-0.262274,-3.15113,-259.15,10478.8,99.3687,14580.6,19337.6,-3.23246,-0.329758,1.84936,1.36953,-1.51933,1.99285,10685.2,118.134,14787,0.497455,0.981019,0.0145033,21479.7,-0.00153506,1.04822,11.9562,10.3614,123.042,82.2806,1.32011,12.2621,11.3252,121.848,130.346,1.19371,-48.0652 
98,0.17,0.54,43.3588,98,25034.5,0.0296867,47.6556,11.9849,122.74,-0.0750595,-26.9629,500,-4.1471,-4.46816,-0.17976,-1.19432,0.837074,-268.468,11354.8,111.134,14930.3,18658.6,-2.45663,-2.77769,3.20118,0.496151,2.52754,-2.2317,11568.7,130.574,15144.2,0.511347,0.980631,0.0156344,22623.9,-0.00162354,1.0704,12.3023,10.7601,123.231,81.814,1.31541,12.2985,11.5991,122.037,129.627,1.19384,-47.8126 
99,0.17,0.54,43.0688,99,22735.7,-0.292903,44.3495,-11.8845,122.831,1.14886,269.509,420.606,0.70816,-0.499524,-0.82868,1.86715,0.432608,-282.643,9889.33,104.287,14051.2,27237.3,2.48789,1.2802,2.73077,3.64687,2.21233,0.779029,10114.5,124.754,14276.4,0.492519,0.978871,0.0158423,20536.2,-0.00145425,0.975428,12.0072,10.5034,123.284,82.7904,1.26716,12.1609,11.4083,122.237,130.772,1.04633,-47.9814 
100,0.17,0.54,43.2488,100,23955,-0.0800083,46.3799,11.876,122.732,-0.210385,215.007,500,-1.77727,-4.08142,-4.79964,0.1116,-0.715756,-264.481,10646.7,98.9803,14544.4,19403.2,-0.111904,-2.41605,-1.46891,1.77697,0.949612,-0.156362,10857.4,118.132,14755,0.501993,0.981315,0.0145339,21628.6,-0.00154575,1.05126,12.1483,10.3401,123.181,83.5973,1.33141,12.2563,11.213,122.108,132.07,1.07306,-48.4724 
101,0.17,0.54,43.2288,101,20117.6,-0.0310125,39.9966,-11.7665,122.763,0.111876,-54.2903,500,-0.034629,-3.02124,-3.28065,-4.06921,-3.88436,-236.772,8766.11,79.2377,12890.1,15517.9,1.45626,-1.53035,-0.298863,-2.57832,-2.39347,0.944083,8954.71,96.3829,13078.7,0.483982,0.981512,0.0133935,18502.1,-0.00180663,0.873279,12.0329,10.3918,123.33,82.5657,1.18418,12.0941,11.3414,122.086,130.46,1.24375,-47.8942 
102,0.17,0.54,43.2588,102,23981.8,0.0198267,46.2303,11.8864,122.393,-0.0296509,-9.25535,3.66679e-12,-2.98297,-4.45168,-8.99157,-2.76348,-2.79726,-198.602,10933.1,94.4869,14228.6,17897.4,-1.73243,-3.20114,-6.49048,-1.51293,-1.54672,0.551877,11091.3,108.868,14386.8,0.513637,0.983113,0.013748,21593.6,-0.00148501,1.05828,12.1529,10.5655,122.87,82.4757,1.29287,12.113,11.4064,121.663,130.529,1.20682,-48.0537 
103,0.17,0.54,43.1788,103,22351.4,-0.337221,43.9126,11.927,122.641,0.533781,-40.2637,497.579,0.927171,-0.908184,-3.7608,4.05341,-2.79901,-178.255,9726.01,107.678,13923,17749.3,2.0496,0.214242,-1.51595,5.17583,-1.67658,1.35693,9867.99,120.585,14065,0.490081,0.979063,0.0155477,20135.4,-0.00161665,0.938252,12.0971,10.6988,123.068,82.5143,1.24025,12.144,11.6142,121.973,130.484,1.09463,-47.9696 
104,0.17,0.54,43.2088,104,17590.8,-0.356692,36.2427,11.6589,122.824,0.0180293,212.16,431.134,0.202928,-2.16122,-5.79035,-3.23676,-2.6069,-145.806,8025.69,64.2671,11166.9,13879.9,1.12103,-1.24312,-3.95414,-2.31866,-1.6888,0.510849,8141.83,74.8253,11283.1,0.497106,0.984172,0.0120688,16378.5,-0.00184658,0.811133,12.0062,10.325,123.342,82.3109,1.054,11.8591,11.2535,122.15,130.153,1.19141,-47.8416 
105,0.17,0.54,43.1988,105,18695.5,-0.1781,37.6577,11.7068,122.649,-0.195202,5008.87,1.271e-05,-4.12882,-1.74697,-5.16823,-3.43427,-1.68395,-212.14,8132.87,72.7626,12110.2,46180,-2.79303,-0.41118,-2.49664,-2.09848,-0.348155,0.693569,8301.84,88.1242,12279.2,0.48083,0.981762,0.0130478,17265.7,-0.00177314,0.789168,11.9827,10.7268,123.126,82.8319,1.10226,12.0685,11.4486,122.053,130.834,1.07367,-48.0024 
