cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
220,0.08,0.79,43.1932,220,23138.4,-0.115005,44.5433,11.9578,122.924,0.308756,-19.8168,1.32714e-07,-2.00154,0.746977,-0.694809,-0.203189,-0.947297,-94.158,12673.4,80.4015,11745.5,17538.4,-1.40865,1.33986,0.490968,0.389699,-0.354409,-0.0732137,12748.4,87.2197,11820.5,0.511501,0.988169,0.01341,24923.5,-0.00162846,1.21279,12.3511,10.5671,123.267,80.3423,1.09104,12.0571,11.2418,122.334,127.838,0.932603,-47.4958 
221,0.08,0.79,43.2332,221,22684,-0.360429,44.5869,11.9677,122.835,-0.0546668,230.997,372.716,0.817106,0.576565,-4.38361,-0.229634,-0.500359,-144.062,12706.6,72.1147,11472.3,17781.7,1.72422,1.48368,-2.56938,0.677484,0.406759,2.49142,12821.3,82.5466,11587,0.517909,0.988859,0.0129533,24756,-0.00176233,1.25591,12.2411,10.2977,123.286,80.5021,1.10183,11.9145,10.9802,122.05,128.107,1.23643,-47.605 
222,0.08,0.79,43.2832,222,28085.2,-0.348637,52.9147,12.3026,122.527,0.185517,96.5794,7.90836e-12,-3.82437,-2.17762,-1.04278,-2.32587,-2.26545,-127.479,15909.1,123.822,13350.1,21775.1,-3.02167,-1.37492,0.562628,-1.52317,-1.46275,1.0825,16010.6,133.053,13451.7,0.536085,0.985665,0.0178946,29865.9,-0.00169067,1.47957,12.5022,10.7971,122.952,80.8538,1.20994,12.2433,11.3365,121.805,128.265,1.14761,-47.4113 
223,0.08,0.79,43.3432,223,28101.8,-0.157374,54.0874,11.907,122.623,0.186147,-102.744,412.027,-4.62937,-0.476854,1.94573,0.13533,-0.31989,-152.263,15618,100.046,14025.7,21587.5,-3.67061,0.481903,3.86325,1.09409,0.638867,-0.604675,15739.3,111.071,14147,0.519266,0.987801,0.0142566,30310.7,-0.00194866,1.54485,12.2338,10.3229,122.936,80.5554,1.32181,12.1195,11.0081,121.876,127.932,1.05957,-47.3771 
224,0.08,0.79,43.2232,224,22657.8,-0.361821,43.9795,12.1237,122.785,0.101763,125.189,122.669,3.27714,-2.27565,-5.35524,-5.42619,0.716383,-81.1919,12469.1,90.3557,11619.6,17771.9,3.78838,-1.7644,-4.33276,-4.91495,1.22763,0.277404,12533.8,96.235,11684.2,0.510155,0.986742,0.0149454,24568.5,-0.00180829,1.18568,12.2876,10.6909,123.099,80.6656,1.05179,12.3658,11.3039,122.172,128.143,0.927294,-47.4776 
225,0.08,0.79,43.0732,225,27277.6,-0.11857,51.7995,12.1076,122.722,0.0434692,-7.07196,500,-3.21136,-2.04424,2.14873,1.20589,0.949546,-59.8241,15264.7,104.432,13303.4,20426.4,-2.83466,-1.66754,2.90212,1.58258,1.32624,-1.2175,15312.4,108.764,13351.1,0.52685,0.987722,0.0147847,29064,-0.00171922,1.46,12.4049,10.5315,123.063,80.6244,1.23078,12.1292,11.2149,122.149,128.02,0.914784,-47.3958 
226,0.08,0.79,43.2532,226,26001.1,0.0193634,49.0178,12.0788,122.862,0.0633423,-6.62847,500,1.05739,-2.28808,3.32425,3.39106,-0.564023,-88.1612,14436.7,102.651,12794.2,19287.8,1.61252,-1.73296,4.4345,3.94619,-0.00889483,0.462573,14506.9,109.035,12864.4,0.522636,0.987018,0.0153732,27757.3,-0.00167777,1.37112,12.3936,10.6169,123.215,80.6741,1.17684,12.3253,11.1359,122.211,128.091,1.00345,-47.4169 
227,0.08,0.79,43.2732,227,28067.7,-0.0910351,52.8992,12.1453,122.772,0.0882671,53.501,499.909,-0.403903,-2.71293,-1.66443,-2.8474,2.51982,-115.018,15739.8,103.033,13587.9,21068.4,0.320336,-1.98869,-0.215954,-2.12317,3.24406,0.717121,15831.4,111.362,13679.5,0.529102,0.98784,0.0147746,29921.3,-0.00167435,1.4821,12.4744,10.6201,123.051,81.242,1.25862,12.1867,11.1399,122.181,128.899,0.870147,-47.6569 
228,0.08,0.79,43.1632,228,25517.5,-0.0474294,48.276,12.1702,122.77,0.0216928,13.592,500,-0.712353,-1.43472,-3.12845,-0.658257,-2.18986,-153.887,14137.4,105.629,12738,19135.6,0.256631,-0.465739,-1.19048,0.310726,-1.22087,0.484581,14259.9,116.773,12860.6,0.518424,0.985872,0.016451,27506.3,-0.00178777,1.32501,12.4725,10.708,123.181,80.6674,1.16675,12.2629,11.223,122.086,128.151,1.09471,-47.4832 
229,0.08,0.79,43.2932,229,28535.4,-0.057104,53.3245,12.1906,122.815,0.560174,-333.283,2.39293e-06,0.0309195,-3.62935,-5.19481,3.00177,-0.855019,-168.685,16045.4,124.857,13737.9,27239.1,1.09308,-2.56718,-3.07048,4.06393,0.207145,-10.2266,16179.8,137.072,13872.3,0.531038,0.985391,0.0178764,30468.2,-0.00174328,1.51677,12.4391,10.6108,123.268,81.0729,1.24669,12.3396,11.2918,122.028,128.744,1.23967,-47.6712 
