cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
100,0.13,0.74,43.1161,100,8999.9,-0.0107947,28.2284,8.14072,123.546,-0.00916074,12.1939,500,1.32694,1.41236,-1.89844,3.31398,-0.0305541,-391.867,6692.59,27.1813,4113.88,7484.38,3.79442,3.87984,3.03651,5.78146,2.43693,0.839585,7004.72,55.5573,4426.01,0.605761,0.98631,0.0226004,11563.5,-0.0017602,1.18007,8.42802,8.2148,123.907,73.2674,0.680031,8.32029,9.37263,123.183,117.892,0.723209,-44.6246 
101,0.13,0.74,43.1761,101,5040.99,-0.0114981,18.688,7.89009,123.248,-0.0374522,46.4237,7.0866e-12,-0.765082,-1.86024,-2.84705,-0.179663,1.4969,-402.362,4103.38,26.9812,2815.8,4856.58,1.76848,0.673329,2.22008,2.3539,4.03047,0.79902,4423.87,56.1172,3136.3,0.577962,0.978283,0.0319087,7654.26,-0.00180679,0.75804,8.05782,8.24478,123.558,73.2188,0.464602,8.28127,9.48724,122.822,117.752,0.735977,-44.5327 
102,0.13,0.74,43.1361,102,7576,-0.0111092,24.6551,8.22741,123.635,-0.016143,6.11914,500,-2.05648,-0.295091,0.0170696,-0.231059,-0.277971,-383.254,5710.05,36.0006,3657.55,6606.58,0.356774,2.11816,4.84357,2.18219,2.13528,0.583742,6015.32,63.753,3962.83,0.595751,0.98179,0.0287824,10097,-0.00172911,1.00333,8.40859,8.32121,123.99,74.0042,0.585347,8.4751,9.40322,123.132,119.056,0.857916,-45.0517 
103,0.13,0.74,43.2061,103,5978.98,-0.275062,21.0545,8.30596,123.461,-0.171943,179.768,498.95,1.03221,-1.69346,-0.542639,-1.23338,-3.62187,-337.708,4840.49,23.3301,3030.53,6699.06,3.15867,0.432995,3.71028,0.893084,-1.49541,0.446195,5109.48,47.7844,3299.53,0.60055,0.983897,0.0259845,8508,-0.00183558,0.925632,8.31729,7.73597,123.827,73.47,0.537315,8.34752,8.73977,123.139,118.041,0.688513,-44.5707 
104,0.13,0.74,43.3061,104,9577.65,-0.0338134,28.7398,8.46923,123.344,0.017777,39.7468,500,0.61574,2.97101,-0.980492,-1.44662,-3.56735,-314.249,7011.87,39.672,4233.84,7946.59,2.59448,4.94975,2.97699,0.532123,-1.5886,0.685465,7262.18,62.4275,4484.15,0.611251,0.98518,0.0250042,11880.9,-0.00165767,1.19818,8.63375,8.30401,123.644,72.2479,0.661862,8.58181,9.5927,122.819,116.768,0.824616,-44.5198 
105,0.13,0.74,43.1861,105,5483.18,0.000476292,19.6699,7.82607,123.508,0.00856058,2.31255,6.0414e-12,-0.016602,-1.61217,-10.5267,0.87855,-0.00944791,-363.657,4150.91,19.8195,3015.79,5011.84,2.27325,0.677686,-5.94704,3.1684,2.2804,3.4247,4440.58,46.1527,3305.45,0.566025,0.982136,0.0250756,7845.2,-0.00156662,0.779022,8.07521,8.09548,123.95,73.677,0.528552,8.03765,8.94951,123.172,118.657,0.778061,-44.9797 
106,0.13,0.74,43.2561,106,9576.39,-0.36355,29.686,8.39216,123.788,0.186308,951.168,472.396,-3.22308,0.17896,-6.53933,3.40512,-2.20822,-344.999,7018.51,34.5109,4325.14,13878.8,-1.05071,2.35133,-2.19459,5.57749,-0.0358519,1.47219,7293.31,59.4932,4599.94,0.606197,0.985926,0.0232704,12031.3,-0.0016819,1.24185,8.4714,8.12879,124.167,73.2344,0.685085,8.4282,9.55895,123.374,117.757,0.793021,-44.5223 
107,0.13,0.74,43.1261,107,9070.24,-0.0735073,27.9754,8.34543,123.753,0.0815321,110.296,1.79563e-07,-3.64517,-0.751378,0.826568,2.17872,1.85977,-375.687,6587.45,24.2254,4217.38,7892.85,-1.27957,1.61422,5.55777,4.54432,4.22537,0.620943,6886.7,51.4298,4516.63,0.596828,0.9871,0.0205447,11538.8,-0.00174579,1.14201,8.47737,8.34683,124.056,73.2171,0.65993,8.70556,9.50149,123.248,117.879,0.808206,-44.6618 
108,0.13,0.74,43.1561,108,5709.3,-0.00780354,19.9975,-8.13074,123.637,-0.0483444,-11.3632,500,-0.277101,4.02317,-1.78165,-1.70325,-1.63863,-353.952,4532.69,21.9417,3046.36,5310.88,1.95164,6.25191,2.67583,0.525485,0.590113,0.776921,4814.62,47.5722,3328.29,0.584103,0.983003,0.0256542,8242.77,-0.00180704,0.851104,8.28326,7.95909,123.999,73.379,0.506333,8.33769,9.22513,123.086,118.148,0.913865,-44.7686 
109,0.13,0.74,43.1961,109,5805.1,-0.00286412,20.3886,8.02662,123.603,-0.000586299,-22.3153,500,-1.82194,2.62331,0.12528,-0.264108,-4.36219,-369.232,4659.14,18.9497,3002.43,5327.82,0.503013,4.94826,4.77519,2.06085,-2.03724,0.534131,4953.24,45.6867,3296.54,0.593297,0.984115,0.0248941,8348.68,-0.00178702,0.85731,8.18943,8.17682,123.801,73.0422,0.481628,8.44308,9.47851,123.236,118.082,0.565795,-45.0397 
110,0.13,0.74,43.1661,110,5777.77,-0.0356214,20.1258,8.05808,123.621,0.0324535,-38.2143,500,-5.13163,-1.05054,-1.3459,0.377694,-0.049793,-408.883,4482.71,28.456,3180.2,5319.71,-2.55701,1.52408,3.80335,2.95232,2.52483,0.538852,4808.4,58.0642,3505.89,0.571105,0.979305,0.0296055,8419.47,-0.00173522,0.772335,8.30825,8.48888,124.111,73.2124,0.508272,8.30483,9.57734,123.091,118.199,1.01953,-44.9867 
111,0.13,0.74,43.2361,111,9275.12,-0.165413,28.0215,8.50198,123.482,0.0667815,-63.2566,0.109919,-5.19384,-2.14591,2.21988,0.827493,-5.90854,-458.03,6541.67,40.036,4528.9,7892.96,-2.30975,0.738181,7.98806,3.71158,-3.02445,-0.124505,6906.51,73.203,4893.73,0.578093,0.981789,0.0268162,11947.1,-0.00167529,1.1278,8.51761,8.29485,123.906,73.4318,0.700697,8.60547,9.49359,123.034,118.433,0.872145,-45.0017 
112,0.13,0.74,43.2461,112,9170.8,-0.0106965,27.484,-8.34649,123.543,-0.0260525,-42.4678,500,-3.42847,-2.27099,0.44924,-0.111407,-0.529395,-345.833,6540.35,42.2898,4172.22,7503.57,-1.25086,-0.093372,4.80447,2.06621,1.64822,0.330357,6815.82,67.3324,4447.69,0.598039,0.983006,0.0271305,11396.9,-0.00149251,1.14066,8.55163,8.14879,123.815,73.1054,0.670523,8.61211,9.2859,123.136,117.668,0.67892,-44.5624 
113,0.13,0.74,43.0861,113,9141.13,-0.396353,28.7464,8.45207,123.828,-0.0517157,772.059,413.196,-6.80702,-4.14412,2.28991,-1.50906,-1.58144,-422.123,6848.34,28.7016,4166.88,9209.15,-4.14903,-1.48613,7.6059,1.14894,1.07656,-0.812554,7184.58,59.2686,4503.12,0.607689,0.985769,0.0236713,11822.8,-0.00181156,1.25438,8.48564,7.867,124.067,73.2589,0.698816,8.5209,8.97432,123.385,117.753,0.681814,-44.4945 
114,0.13,0.74,43.2161,114,7307.26,-0.0299648,24.2249,-7.97556,123.599,-0.000619001,42.2468,500,-2.347,-1.08779,-4.22102,-4.39396,1.29977,-307.131,5535.41,23.6794,3486.84,6290.38,-0.413072,0.84613,-0.353174,-2.46004,3.23369,1.41378,5780.06,45.9195,3731.48,0.60062,0.986288,0.0221664,9623.48,-0.00166667,1.03539,8.19003,8.02224,123.878,73.1121,0.583433,8.13411,9.4112,123.107,117.488,0.770165,-44.3764 
115,0.13,0.74,43.0361,115,9206.92,0.0372959,27.6917,8.44044,123.591,-0.00124207,-32.4744,1.93486e-12,0.612414,-0.776437,-0.10159,1.35541,-3.32589,-303.904,6664.64,34.4626,4155.49,7610,2.52602,1.13717,3.72562,3.26901,-1.41229,0.597036,6906.71,56.4691,4397.57,0.603934,0.985894,0.0231078,11436.2,-0.00155001,1.18073,8.62541,8.04006,123.937,73.6785,0.680029,8.44332,9.13822,123.16,118.462,0.776205,-44.7833 
116,0.13,0.74,43.1461,116,6908.93,-0.0851991,22.9437,8.18193,123.508,-0.018398,60.7486,0.0002562,-3.95108,0.626535,-1.96027,-1.49797,-2.04867,-291.252,5016.99,37.4944,3561.31,6147.41,-2.11714,2.46047,1.7076,0.335966,-0.214733,0.213871,5248.98,58.5847,3793.3,0.573278,0.980842,0.0276629,9156.09,-0.0015856,0.90914,8.31576,8.11847,123.88,73.808,0.601506,8.18327,9.20426,123.107,118.844,0.773199,-45.0355 
117,0.13,0.74,43.3561,117,9797.42,-0.351967,30.0344,8.41465,123.45,-0.400901,-96.0409,337.055,-2.14444,1.84987,-1.14466,-4.43098,-1.88581,-269.291,6971.99,32.5141,4467.26,9480.56,-0.448786,3.54553,2.24665,-2.73533,-0.190151,0.0708318,7186.49,52.0142,4681.76,0.59844,0.987492,0.0200553,12008.7,-0.00160631,1.25677,8.37811,8.1296,123.797,73.3316,0.714293,8.39591,9.46617,122.852,118.047,0.944819,-44.7152 
118,0.13,0.74,42.9861,118,9658.04,-0.108015,29.4226,8.37761,123.56,0.0241481,105.618,500,-7.04496,-1.51367,2.91386,1.03359,-1.81764,-277.924,7077.98,23.9117,4232.58,8107.12,-5.29494,0.236338,6.41389,2.7836,-0.0676259,-0.575405,7299.36,44.0368,4453.95,0.614066,0.989553,0.0178874,11886.9,-0.00157252,1.23686,8.44033,8.25144,123.881,73.5375,0.655975,8.56346,9.62208,123.064,118.333,0.817303,-44.7951 
119,0.13,0.74,43.2261,119,8231.5,-0.366661,26.0251,8.468,123.559,0.264101,506.967,494.371,-1.09629,-2.53191,-5.61144,1.28324,0.0300834,-336.761,6126.41,36.7732,3853.8,11532.7,1.0242,-0.411417,-1.37045,3.40373,2.15058,1.28571,6394.66,61.1589,4122.05,0.600981,0.983538,0.0266042,10640.4,-0.0016757,1.08852,8.5472,8.08492,123.905,73.4455,0.626374,8.37773,9.32276,123.028,118.058,0.877238,-44.6128 
