cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.165,0,19816.8,-0.755475,43.0463,11.99,122.297,3.96047,-5193.04,487.935,-12.551,-2.22207,-9.38258,-1.69535,-9.10531,38.8409,11991.9,28.0841,10134.1,686322,-12.7955,-2.46664,-9.87172,-1.93992,-9.34988,0.728975,11937.4,26.0664,10079.6,0.579321,0.996193,0.00474121,20605.9,-0.00236697,1.17048,11.8464,10.4457,122.109,90.3146,0.903997,12.0152,12.0495,121.273,140.538,0.835587,-50.223 
1,43.36,1,20036.2,-0.700955,43.0446,11.9581,122.62,1.84891,2625.69,386.076,-1.78208,-1.13412,-7.6618,-1.26347,-4.43898,130.066,12392.6,31.3581,9757.73,174792,-2.60107,-1.95311,-9.29979,-2.08246,-5.25797,0.561215,12210.2,24.6014,9575.3,0.597223,0.996486,0.00471054,20445,-0.00238121,1.23737,11.896,10.3201,122.402,89.6725,0.886649,11.9387,11.9688,121.664,139.739,0.737815,-50.0665 
2,43.18,2,18794,-0.834777,41.3613,12.1587,122.118,0.547088,-109.58,156.566,-13.2578,-1.74646,-6.73283,-0.770774,-3.72258,104.731,11386.8,24.8191,9886.18,18322.6,-13.9173,-2.40592,-8.05176,-1.43024,-4.38204,0.733273,11239.9,19.3785,9739.29,0.573006,0.996992,0.00365191,19615.7,-0.0026809,1.11859,12.0465,10.3703,121.903,90.1238,0.875455,12.0835,12.0812,121.034,140.236,0.868737,-50.1124 
3,43.08,3,21692.1,-0.0125577,45.9102,-11.7451,122.344,-0.0408229,122.085,500,-8.93239,-2.60355,-6.99209,-5.57345,-4.16553,102.079,13105.3,41.4953,10975.7,17715.6,-9.57516,-3.24631,-8.27762,-6.21621,-4.8083,0.74232,12962.1,36.1925,10832.5,0.581833,0.995137,0.00611701,22278.1,-0.00253813,1.27072,11.9882,10.5158,122.195,89.4542,0.971148,11.9884,12.1007,121.355,139.406,0.839652,-49.9522 
4,43.235,4,13464.1,-0.173813,31.1983,11.5387,122.49,0.808915,2455.77,9.2029e-05,-5.39102,-3.2447,-4.52367,0.367671,-3.90284,117.782,8861.3,29.8384,7087.11,76386.4,-6.13266,-3.98634,-6.00695,-0.37397,-4.64448,0.715908,8696.1,23.7198,6921.91,0.593633,0.995249,0.00627289,14648.9,-0.00275284,0.894848,11.8098,10.3749,122.278,89.537,0.680357,11.8929,11.5655,121.489,139.635,0.78967,-50.0984 
5,43.215,5,17072.5,0.0332137,37.7153,11.6097,122.637,0.0158832,26.5999,1.58569e-11,0.970659,0.121475,-11.6367,-1.43079,-7.20308,192.58,10978.8,14.4913,8634.26,14267.6,-0.241965,-1.09115,-14.0619,-2.64342,-8.41571,0.468442,10708.6,4.48713,8364.15,0.598188,0.999267,0.000987263,17901.8,-0.00272107,1.07706,11.7683,10.5995,122.343,89.6571,0.773719,12.0124,12.1205,121.596,139.839,0.74704,-50.1817 
6,43.25,6,15608.5,-0.577544,35.2654,11.5873,122.451,-0.032535,-558.413,0.954721,-3.47379,-1.16396,-5.48423,-2.26961,1.20662,135.252,10133.5,30.046,8068.41,13893.7,-4.32543,-2.0156,-7.18752,-3.12125,0.354978,0.558908,9943.79,23.0199,7878.7,0.594743,0.995965,0.00535343,16719.5,-0.00280259,0.996028,11.7951,10.5606,122.281,89.5156,0.735615,12.0541,11.9682,121.542,139.509,0.738985,-49.9935 
7,43.28,7,16694.5,-0.775398,37.3506,12.0631,122.115,4.21281,-1103.36,389.9,-5.53287,-5.30258,1.37148,-0.214602,-0.578427,149.123,10225.7,20.783,8850.16,165984,-6.47186,-6.24156,-0.506493,-1.15359,-1.51741,0.968127,10016.6,13.0363,8641,0.574087,0.997728,0.00277141,17447.8,-0.00262125,1.01858,11.9228,10.3732,121.954,89.4753,0.818305,11.9886,11.7233,121.045,139.233,0.908683,-49.7572 
8,43.2,8,14711.6,-0.686563,33.8062,11.7557,122.733,-0.404725,771.111,19.2787,-4.03518,-4.36797,-11.5969,-9.72099,-2.06743,126.384,9291,21.8155,7750.6,23096.7,-4.83099,-5.16378,-13.1885,-10.5168,-2.86324,0.639297,9113.74,15.2501,7573.34,0.583212,0.99708,0.00369566,15626.8,-0.00247754,0.949448,11.6752,10.2386,122.526,89.952,0.742853,11.7142,11.6289,121.726,140.124,0.79993,-50.1719 
9,43.14,9,21308.5,-0.0455857,45.8209,-11.6195,122.478,-0.0651337,136.959,3.26969e-06,-4.96196,-2.83462,-10.4799,-4.71579,-3.89081,192.365,13209.8,20.6015,10453.4,17622.3,-6.17323,-4.0459,-12.9024,-5.92707,-5.10209,0.622191,12940,10.6085,10183.6,0.596371,0.998567,0.0019153,21697.9,-0.00257558,1.2972,11.8693,10.5269,122.34,89.7667,0.940185,11.9522,11.997,121.531,139.832,0.808688,-50.0652 
10,43.17,10,18956.5,-0.0302027,42.0471,11.4415,122.229,0.0304356,-21.2004,500,-6.97341,-2.03385,-6.24972,-2.11757,-5.32019,159.845,11900.8,30.9646,9399.04,15681.8,-7.97991,-3.04035,-8.26272,-3.12407,-6.32669,0.712438,11676.6,22.661,9174.84,0.596752,0.996615,0.00452922,19567,-0.00252235,1.20564,11.7039,10.3733,122.051,89.6338,0.884657,11.6966,11.6895,121.32,139.554,0.730311,-49.9197 
11,43.205,11,15574.3,-0.731564,35.7328,11.7891,122.53,0.145387,727.265,401.785,-10.4068,-4.41122,-4.5746,-1.06236,-4.19213,151.542,9815.42,20.6642,8131.62,17155.4,-11.361,-5.36544,-6.48304,-2.01658,-5.14635,0.786548,9602.87,12.7919,7919.07,0.585067,0.997674,0.00296677,16413.3,-0.00254294,1.0097,11.5836,10.3173,122.432,89.928,0.743026,11.9386,11.893,121.711,140.161,0.720584,-50.2325 
