cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.165,0,18194.9,-0.183802,38.5751,11.8645,122.489,0.0344059,58.4905,500,-6.15568,-7.24309,-13.8512,-4.13493,-4.72032,81.1076,11728.2,36.869,8605.69,14964.3,-6.6664,-7.75381,-14.8727,-4.64565,-5.23103,0.6203,11614.4,32.6556,8491.93,0.613952,0.995104,0.00703397,18917.5,-0.00231174,1.13531,12.0524,10.5198,122.369,89.3678,0.761007,12.0366,12.1321,121.432,139.581,0.937361,-50.2129 
1,43.36,1,17609.5,-0.0360978,38.498,11.556,122.323,-0.00370853,11.6882,500,-3.80483,-0.877054,-6.87749,-2.48782,-5.22865,177.255,11356.8,26.7041,8417.4,14483.7,-4.92096,-1.99318,-9.10974,-3.60394,-6.34477,0.649256,11108.2,17.496,8168.78,0.612583,0.997251,0.00392995,18133.3,-0.0023723,1.14091,11.7147,10.4398,122.109,89.3541,0.772173,11.793,11.9927,121.339,139.134,0.770079,-49.7797 
2,43.18,2,16658.4,-0.696544,36.4568,12.092,122.153,2.52698,-364.335,57.0209,-5.69344,-9.62908,-14.6859,-5.06544,-1.65493,174.628,10870.6,24.4676,8051.5,44321.3,-6.79302,-10.7287,-16.885,-6.16502,-2.75451,0.610282,10625.7,15.396,7806.57,0.612808,0.997471,0.00361983,17339.3,-0.00248541,1.06803,12.0167,10.4446,122.008,88.8808,0.710359,12.1283,12.1419,121.08,138.91,0.928132,-50.0295 
3,43.08,3,19178.7,-0.0476035,41.5619,11.6615,122.32,0.0965562,-61.4586,500,-9.59775,-5.69402,-6.89739,-6.60704,-3.71958,161.195,12175.5,28.3106,9246.17,15970.9,-10.6128,-6.70902,-8.92739,-7.62205,-4.73458,0.768755,11949.5,19.9368,9020.08,0.606364,0.997089,0.00405504,19706.7,-0.00246067,1.18972,11.8997,10.5792,122.176,88.8163,0.829547,11.8374,12.1619,121.207,138.577,0.969532,-49.7605 
4,43.235,4,15446.6,-0.0278745,33.6115,11.7233,122.308,-0.0093409,69.7779,6.74169e-07,-2.53365,-6.64599,-14.5779,-8.37903,-4.13688,112.405,10373.9,23.5064,7260.89,12848.4,-3.24143,-7.35377,-15.9935,-9.08682,-4.84467,0.605296,10216.2,17.6672,7103.23,0.625802,0.996983,0.00456081,16325,-0.00232293,1.00321,11.8979,10.6656,122.021,88.6612,0.620764,12.2597,12.3837,121.334,138.564,0.687128,-49.9029 
5,43.215,5,12247.6,-0.179939,28.4061,11.6258,122.077,0.0710076,-94.6072,499.987,-8.37571,-10.6126,-7.04759,-3.6389,-7.66661,184.382,8249.03,20.5867,6166.33,10969.2,-9.53671,-11.7736,-9.36959,-4.7999,-8.82761,0.788532,7990.42,11.0084,5907.72,0.611306,0.997595,0.00342083,13071.1,-0.00242394,0.847772,11.7025,10.3825,121.833,88.6649,0.569349,11.8951,11.9223,121.115,138.481,0.717834,-49.8158 
6,43.25,6,18368.3,-0.0460925,39.1889,11.693,122.108,0.00388866,-5.76311,1.36175,-5.50979,-9.21536,-10.3989,-2.44249,-0.497381,142.696,11952.4,32.6005,8535.53,14917.8,-6.40831,-10.1139,-12.196,-3.34101,-1.3959,0.635453,11752.3,25.1877,8335.39,0.621133,0.996263,0.00553563,18920.7,-0.00227899,1.1862,11.8191,10.4474,122.075,88.9316,0.757832,12.0886,12.0371,121.101,138.768,0.974626,-49.8366 
7,43.28,7,15936.6,-0.0412428,35.5311,11.6255,122.222,0.00963689,6.21262,1.01888e-11,-6.20718,-3.24872,-13.5871,-9.94165,-4.93306,175.175,10128.3,47.1968,8189.15,13448.7,-7.31021,-4.35175,-15.7932,-11.0447,-6.03609,0.645383,9882.63,38.0968,7943.45,0.591279,0.993299,0.00875737,16714,-0.00245329,0.998017,11.7027,10.5772,122.11,89.0465,0.720192,11.9871,12.2586,121.111,139.02,0.999262,-49.9737 
8,43.2,8,13532.3,-0.095881,31.276,11.5501,122.204,0.00684698,103.52,500,-0.0246267,-9.02707,-10.9131,-5.17521,-3.40811,169.321,8969.05,13.8968,7040.7,11782.7,-1.09079,-10.0932,-13.0454,-6.24137,-4.47427,0.626689,8731.56,5.1009,6803.21,0.598777,0.998979,0.00137927,14582.3,-0.00264915,0.895978,11.6973,10.6026,122.046,88.8565,0.641683,11.802,12.0818,121.164,138.627,0.88167,-49.7708 
9,43.14,9,19489,-0.0152305,41.9156,11.7055,121.99,0.0472683,-106.86,430.886,-0.334379,-4.82468,-11.2631,-5.10842,-10.1603,207.621,12236.9,38.9069,9396.15,16136.4,-1.64171,-6.13202,-13.8778,-6.41576,-11.4677,0.648974,11945.7,28.1214,9104.94,0.604052,0.995897,0.00565731,19776,-0.00236911,1.24103,11.7207,10.2885,121.979,89.1394,0.850621,11.8993,12.0607,120.878,138.933,1.10067,-49.7939 
