cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.165,0,16067.3,-0.632139,34.5326,12.1825,122.284,0.149898,458.825,21.4434,-9.82145,-4.05151,-5.82524,-5.86962,-5.24021,74.6965,9998.2,15.8437,8103.02,15933.9,-10.2918,-4.52185,-6.76593,-6.33996,-5.71055,0.798813,9893.43,11.9633,7998.25,0.58988,0.997888,0.00274775,16771.9,-0.00214451,0.957154,11.9177,10.6803,122.078,89.9828,0.706587,12.1905,12.1724,121.238,140.309,0.840296,-50.3267 
1,43.36,1,18732,-0.0624685,39.432,-11.8748,122.446,0.023615,29.5553,0.787204,-8.10955,-9.291,-11.8701,-6.28476,-4.70732,119.425,11962.7,35.701,8877.18,15265.8,-8.86154,-10.043,-13.3741,-7.03675,-5.45931,0.701302,11795.2,29.4971,8709.68,0.611608,0.995643,0.00619999,19285.5,-0.00223174,1.1622,11.9693,10.5107,122.367,89.2891,0.785953,12.0279,12.0946,121.288,139.253,1.07938,-49.9639 
2,43.18,2,13158.7,0.167631,29.0684,11.5986,122.224,-0.235111,-32.6877,7.43099e-12,-9.37104,-1.72062,-8.97273,-4.92893,-2.6678,102.859,8684.68,22.0508,6485.32,11225.6,-10.0187,-2.3683,-10.2681,-5.5766,-3.31547,0.674517,8540.41,16.7075,6341.05,0.610303,0.996588,0.00483016,13993.7,-0.00217986,0.851663,11.8041,10.5834,121.973,89.6587,0.579333,12.0436,12.2009,120.934,139.705,1.03857,-50.0459 
3,43.08,3,18836.8,-0.304263,41.3161,11.7618,122.093,0.851729,-73.6138,481.165,-4.66914,-5.1956,-14.5773,-7.43975,-3.2116,139.056,12042.9,24.6009,8927.59,17860.5,-5.54474,-6.07119,-16.3285,-8.31535,-4.0872,0.595298,11847.8,17.3772,8732.55,0.612043,0.99744,0.00365229,19357.8,-0.00233474,1.21091,11.7254,10.4495,121.965,89.5424,0.819243,11.7571,11.9285,120.935,139.376,1.02962,-49.8339 
4,43.235,4,14175,-0.543405,31.0502,-12.0745,122.034,0.701225,228.346,324,-5.94959,-8.3759,-8.38219,-5.37763,-9.4302,95.0522,9335.3,11.4372,6821.51,17417.2,-6.54811,-8.97442,-9.57923,-5.97615,-10.0287,0.766966,9201.98,6.49945,6688.19,0.61536,0.998765,0.00178692,14953.8,-0.00208304,0.945485,11.749,10.2986,121.817,89.333,0.617667,12.1404,11.7665,121.104,139.23,0.712739,-49.8971 
5,43.215,5,15704.7,-0.626411,33.8105,12.1905,122.291,0.104483,-53.5168,457.285,-3.29277,-9.38371,-12.9709,-6.85813,-7.64087,125.345,9964.78,32.3211,7656.78,13599.4,-4.08204,-10.173,-14.5495,-7.64739,-8.43013,0.675828,9788.97,25.8097,7480.97,0.603415,0.995407,0.00631521,16222.6,-0.00209075,0.930292,12.1903,10.7961,122.187,89.6096,0.652525,12.1237,12.5213,121.219,139.763,0.967092,-50.1538 
6,43.25,6,17836.4,-0.0348259,38.343,11.6523,122.203,0.000141529,-7.72128,500,-5.17116,-1.17596,-2.24174,-4.59837,-2.86792,143.443,11249.2,37.4839,8689.81,14544.3,-6.07438,-2.07918,-4.04819,-5.50159,-3.77114,0.811488,11048,30.0323,8488.61,0.602129,0.995265,0.00647508,18348.2,-0.00217484,1.11609,11.909,10.332,122.027,88.9592,0.792917,11.8395,11.8722,121.141,138.748,0.885579,-49.789 
7,43.28,7,19487.1,-0.000233356,41.451,11.6408,122.418,-0.0174531,20.5499,2.10593e-11,-5.81656,-6.13562,-10.3292,-2.15727,-8.03867,111.512,12401.7,46.5285,9140.83,15719.4,-6.51872,-6.83778,-11.7335,-2.85943,-8.74083,0.680202,12245.3,40.7356,8984.42,0.613126,0.994212,0.00828298,19971.9,-0.00217197,1.2305,11.696,10.4997,122.298,88.8353,0.819065,11.8893,12.1028,121.419,138.684,0.879414,-49.8488 
8,43.2,8,13662.4,-0.484377,30.3764,12.0378,122.281,0.312493,-251.32,6.99187e-07,-4.04839,-4.52741,-13.8953,-5.83365,-4.9301,148.649,8878.32,16.4853,6898.85,14460.2,-4.98439,-5.46341,-15.7673,-6.76965,-5.8661,0.594158,8669.83,8.76326,6690.36,0.601089,0.998234,0.00240704,14423.5,-0.00224967,0.850767,11.8587,10.8069,122.073,89.8174,0.599035,12.2198,12.2453,121.264,139.957,0.809274,-50.14 
9,43.14,9,17118.5,-0.298715,37.4475,11.7745,122.14,0.0964109,-483.579,499.694,-8.55605,-0.984617,-10.2273,-6.37153,-5.56013,113.39,11041.7,25.8822,8244.9,15871.4,-9.27004,-1.69861,-11.6552,-7.08552,-6.27411,0.676095,10882.7,19.9918,8085.86,0.610134,0.996795,0.00453384,17836.5,-0.00239522,1.09819,11.7469,10.4656,121.971,90.1852,0.744526,11.9718,12.1205,121.183,140.316,0.788296,-50.1309 
10,43.17,10,15681.5,-0.664874,34.5915,12.0268,122.338,-1.0791,1192.9,20.2281,-3.048,-2.64822,-11.0071,-4.63963,-3.4376,121.149,9907.13,43.32,7901.08,55447.6,-3.81084,-3.41106,-12.5328,-5.40247,-4.20044,0.573098,9737.21,37.0265,7731.16,0.594239,0.993389,0.00874517,16386,-0.00228972,0.945963,11.8974,10.786,122.24,90.4099,0.693428,12.0216,12.305,121.505,140.731,0.735259,-50.3216 
11,43.205,11,13955.8,-0.0425388,30.6043,11.7623,122.156,0.0237669,32.3741,500,-12.1468,-5.72795,-15.5092,-5.54207,-4.55799,166.978,9006.51,33.0487,7030.43,11743.5,-13.1982,-6.77936,-17.6121,-6.59348,-5.6094,0.64629,8772.31,24.3745,6796.22,0.600142,0.995161,0.00656331,14617.1,-0.0021657,0.87528,11.7504,10.6865,122.026,90.2359,0.604562,12.2124,12.3508,121.186,140.639,0.840744,-50.4035 
12,43.1,12,17887.5,-0.612202,39.1497,11.6979,122.384,-0.243061,545.988,50.3667,-7.0736,-8.45146,-11.8562,-4.83035,1.46897,128.622,11508.3,29.2999,8386.49,19228.5,-7.8835,-9.26135,-13.476,-5.64024,0.659072,0.621483,11327.9,22.6183,8206.09,0.616144,0.996518,0.00505171,18385.1,-0.00211546,1.18369,11.5341,10.2722,122.369,89.7585,0.792328,11.735,11.6519,121.358,139.754,1.01154,-49.9952 
13,43.16,13,14666.7,-0.618458,32.8867,11.9267,122.457,-0.094164,400.523,0.00375961,-8.61591,-10.0846,-7.8129,-7.00097,-7.79887,151.289,9763.3,33.0132,7149.46,13996.2,-9.56854,-11.0372,-9.71816,-7.9536,-8.7515,0.793358,9551.11,25.154,6937.26,0.615519,0.995412,0.00663501,15517.2,-0.00231424,0.955969,11.8323,10.5827,122.323,89.2947,0.64114,11.8233,12.1587,121.356,139.32,0.966366,-50.025 
14,43.06,14,17667.2,-0.336118,38.4665,11.6616,122.093,0.512127,-296.652,1.3009e-10,-5.98125,-3.30431,-7.1159,-2.75272,-4.17755,149.382,11226.8,21.0516,8412.17,19548.4,-6.92187,-4.24493,-8.99713,-3.69334,-5.11817,0.689491,11017.3,13.2915,8202.65,0.609647,0.997893,0.00297606,18071.5,-0.00221645,1.17405,11.5569,10.1562,121.949,89.4143,0.798093,11.8351,11.5909,121.116,139.372,0.833143,-49.9574 
15,43.185,15,16352.4,-0.681072,35.1121,12.3158,122.248,0.218656,265.339,0.00610577,-3.88363,-4.58006,-5.03645,-2.92339,-7.96318,142.544,10245.9,34.0825,8159.02,15965.8,-4.78119,-5.47762,-6.83157,-3.82095,-8.86074,0.770538,10046,26.6776,7959.09,0.59476,0.995374,0.00613656,16890.8,-0.00224149,0.959248,12.1329,10.8344,122.211,90.5234,0.690403,12.3377,12.3767,121.215,140.792,0.995489,-50.2683 
16,43.3,16,19137,-0.0625103,40.9022,11.5335,121.803,0.137114,-110.444,500,-8.49047,-7.84889,-13.1633,-0.55248,-5.179,108.121,11658.1,30.7043,9311.64,15849.9,-9.17128,-8.5297,-14.5249,-1.23329,-5.85981,0.630587,11506.5,25.0876,9159.99,0.593605,0.996199,0.00501988,19384.1,-0.00202021,1.15766,11.7712,10.4532,121.87,90.0934,0.86248,11.7025,11.9018,120.769,140.038,1.10124,-49.9444 
17,43.19,17,14276.6,-0.657484,31.5631,12.1873,122.069,0.264994,584.469,499.755,-2.41406,-7.23777,-8.64375,-5.96718,-4.09787,110.79,9385.5,28.5596,6790.1,17564.1,-3.11168,-7.93539,-10.039,-6.6648,-4.79549,0.691548,9230.11,22.8043,6634.7,0.617979,0.995695,0.00629171,14936,-0.00214256,0.89892,12.0315,10.7781,121.846,89.4435,0.590253,12.0343,12.408,120.914,139.496,0.932341,-50.0527 
18,43.27,18,17105.5,-0.443827,37.7339,11.7637,122.083,-0.700354,-22.4434,500,-5.31446,-3.39951,-7.81686,-3.89821,0.0437615,96.4902,10577.3,21.5591,8719.04,14961.8,-5.92203,-4.00708,-9.03201,-4.50579,-0.563812,0.624147,10442,16.5466,8583.7,0.585839,0.997235,0.00353841,17824,-0.00231915,1.06412,11.8354,10.2816,122.03,89.8256,0.806137,11.7333,11.8768,120.994,139.87,1.03581,-50.0444 
19,43.225,19,14978.2,-0.626353,32.343,12.2555,122.105,-0.000630083,544.646,16.6452,-3.63868,-8.22082,-12.1276,-6.63263,-2.1836,133.015,9108.26,34.5785,7771.18,12914.6,-4.47624,-9.05838,-13.8027,-7.47019,-3.02116,0.635126,8921.69,27.6686,7584.61,0.577663,0.994602,0.00667514,15444.5,-0.0020506,0.859534,12.0297,10.7996,121.979,90.0411,0.670625,12.1516,12.3155,120.969,140.088,1.01007,-50.0469 
20,43.32,20,18219.9,-0.0400235,39.5679,11.721,122.504,0.0439877,-41.1125,6.32283e-10,-9.24375,-7.49354,-5.6193,0.953431,2.04371,161.033,11816.1,23.07,8762.85,15156.4,-10.2577,-8.50752,-7.64725,-0.0605484,1.02973,0.69944,11590.3,14.7047,8536.99,0.612203,0.997785,0.00316293,18932.1,-0.00246874,1.15991,11.9699,10.4363,122.386,89.315,0.785061,11.9186,12.0408,121.509,139.279,0.876757,-49.9635 
21,43.12,21,19117.9,-0.765603,42.8381,11.7207,122.13,1.63549,-542.352,440.422,-4.48884,-7.78431,-16.0604,-9.57042,-7.42842,113.41,12647.3,37.6784,8888.27,45219.9,-5.20296,-8.49843,-17.4887,-10.2845,-8.14253,0.647528,12488.2,31.787,8729.2,0.624557,0.995565,0.00666324,19995.3,-0.00247262,1.30787,11.5385,10.2445,122.026,89.2175,0.835042,11.6068,11.7643,121.126,139.172,0.899861,-49.9547 
22,43.195,22,14800.4,-0.350137,32.8879,11.9862,122.369,-0.0991473,326.672,500,-5.53754,-3.85498,-9.36334,-5.9136,-7.12553,138.419,9984.99,14.9139,7109.93,13886.9,-6.40912,-4.72657,-11.1065,-6.78519,-7.99712,0.700023,9790.85,7.72332,6915.78,0.622099,0.998621,0.00205298,15738.4,-0.00243509,0.953484,12.0451,10.7201,122.062,89.5733,0.596353,12.2517,12.6012,121.354,139.959,0.708828,-50.3858 
23,43.26,23,16693.3,-0.0137047,36.7528,11.5977,122.255,0.0006092,-4.53054,1.49255e-11,-2.15215,-6.52665,-10.7364,-7.52402,-1.94274,136.299,11067.1,32.9862,7959.39,13875.9,-3.01039,-7.38489,-12.4528,-8.38226,-2.80098,0.634077,10875.9,25.9057,7768.21,0.619478,0.995849,0.0061056,17556.6,-0.0024236,1.10001,11.673,10.5193,122.066,89.2863,0.72638,11.81,12.0246,121.282,139.253,0.783883,-49.9664 
24,43.23,24,15914,-0.0178537,35.4548,11.4933,122.227,0.00129211,14.1403,496.29,-2.09905,-5.01087,-11.4945,-8.69091,-7.23447,129.035,10752.4,32.3344,7406.11,13265.9,-2.91155,-5.82337,-13.1195,-9.50341,-8.04697,0.667058,10571.4,25.6313,7225.13,0.629813,0.995775,0.00649248,16785.1,-0.00227935,1.0613,11.763,10.5471,122.151,89.2608,0.654398,11.7054,12.4024,121.16,139.333,0.990988,-50.0725 
25,43.175,25,11954.3,-0.0416967,27.5909,11.5648,121.872,0.00355945,-18.6447,500,-6.85707,-3.48412,-12.4775,-8.60137,-11.8411,122.086,7912.15,14.379,6278.73,10389.4,-7.62581,-4.25286,-14.015,-9.37011,-12.6098,0.707251,7740.91,8.0368,6107.49,0.595759,0.998186,0.00241815,12993.4,-0.00227794,0.782685,11.7129,10.5926,121.645,88.5655,0.556144,11.9694,12.1709,120.828,138.19,0.816967,-49.6243 
26,43.34,26,19281,-0.730604,42.1618,11.8986,122.043,-0.194277,1402.92,462.512,-6.09895,-4.70682,-11.2537,-4.1479,-11.9132,100.469,12349.8,27.2898,9160.46,25203.4,-6.73158,-5.33945,-12.5189,-4.78052,-12.5459,0.701335,12208.8,22.0706,9019.54,0.611492,0.996846,0.00448736,19965.6,-0.00236267,1.21226,11.8825,10.5249,121.999,89.4426,0.821763,11.7402,12.1774,120.936,139.208,1.06307,-49.7655 
27,43.24,27,15801.9,-0.324008,34.8807,11.7822,121.91,-0.902101,742.361,8.73375e-08,-9.10869,-1.52458,-16.6644,-9.1389,-3.54407,107.188,9928.5,24.2031,8007.48,35178.9,-9.78362,-2.19951,-18.0142,-9.81383,-4.219,0.590866,9778.16,18.635,7857.14,0.591351,0.996676,0.00434996,16535.3,-0.00219653,0.970469,11.8573,10.54,121.532,89.5824,0.719942,11.8445,12.0629,120.932,139.4,0.600175,-49.8174 
28,43.38,28,19417.3,-0.719156,42.6288,11.8067,121.962,-0.711884,-526.925,2.13158,-2.41772,-6.83324,-10.2489,-4.19617,-2.39406,89.9619,12723.5,33.3417,8939.2,28595.3,-2.98419,-7.3997,-11.3818,-4.76264,-2.96053,0.614029,12597.3,28.6684,8813.02,0.624356,0.996033,0.0059566,20176.5,-0.00233417,1.3082,11.6241,10.165,121.716,89.0995,0.829839,11.784,11.8409,120.845,138.919,0.870701,-49.8199 
29,43.21,29,12964.6,-0.0871377,27.9587,12.0739,122.06,0.0659495,157.383,465.912,-2.98538,-6.50992,-10.3184,-7.54901,-9.33394,110.438,8809.97,14.5283,6267.75,11326.9,-3.68078,-7.20532,-11.7092,-8.24441,-10.0293,0.713495,8655.07,8.79126,6112.85,0.622124,0.998226,0.00264225,13912.1,-0.00230983,0.823253,12.0776,11.0076,121.886,88.9634,0.522458,12.3778,12.603,121.035,138.847,0.850976,-49.8834 
30,43.22,30,14170.4,-0.0286073,31.7909,11.6055,121.929,0.00879679,21.0363,499.999,-4.13428,-9.46479,-7.25666,-3.02436,-6.31334,151.908,9488.95,24.4139,6859.03,12016.6,-5.0908,-10.4213,-9.16971,-3.98089,-7.26987,0.744808,9275.89,16.5225,6645.97,0.618746,0.996893,0.00455877,14991.4,-0.00226705,0.94606,11.643,10.5293,121.677,89.6873,0.606218,12.0806,12.1737,120.892,139.789,0.784838,-50.1014 
31,43.03,31,18472.3,-0.0207538,39.9643,-11.5044,121.757,-0.0414565,-40.0993,492.187,-3.04145,-5.45409,-10.4586,-2.86343,-5.03866,82.8923,11949.1,32.6087,8569.81,15021,-3.5634,-5.97604,-11.5025,-3.38538,-5.56061,0.616428,11832.8,28.3026,8453.55,0.619427,0.995832,0.0061296,19102.9,-0.00218016,1.22147,11.5511,10.3614,121.554,89.3537,0.797387,11.7222,11.8171,120.677,139.154,0.876509,-49.8004 
32,43,32,18178.2,-0.694117,40.1933,11.7832,121.848,0.835844,-1703.3,48.6109,-2.27188,-6.98106,-13.3071,-10.5803,-8.11078,146.534,11613.4,30.5672,8726.93,61763.3,-3.19457,-7.90375,-15.1524,-11.503,-9.03347,0.676142,11407.8,22.955,8521.4,0.608865,0.996491,0.00493778,18736.2,-0.00229931,1.18337,11.6709,10.2871,121.732,89.2138,0.815892,11.5882,11.9117,120.729,138.945,1.00233,-49.7313 
33,43.41,33,18616.2,-0.329017,40.6033,11.5754,122.192,0.373681,178.764,1.3204,-6.65311,-8.25072,-8.6913,-9.57657,-0.901488,124.566,12192,32.9616,8505.08,17474.6,-7.43747,-9.03508,-10.26,-10.3609,-1.68585,0.735426,12017.3,26.4906,8330.37,0.626507,0.996157,0.00582379,19181.4,-0.00206345,1.27448,11.4608,10.1404,122.078,90.1428,0.778445,11.5597,12.0769,121.236,140.33,0.841964,-50.1874 
34,43.44,34,18714.7,-0.658234,40.5853,11.8554,121.774,-0.400943,-338.058,234.869,-7.25871,-3.67339,-9.04956,-5.48797,-1.7449,135.155,12090.9,33.4135,8652.37,20075.6,-8.10975,-4.52443,-10.7516,-6.33901,-2.59593,0.667346,11901.4,26.3924,8462.8,0.62053,0.996134,0.00571205,19179.4,-0.00214288,1.20824,11.8297,10.3564,121.672,88.7363,0.801272,11.5654,11.9859,120.589,138.57,1.08316,-49.8336 
35,43.165,35,13675.1,-0.0177922,30.3464,11.7125,122.465,-0.00363972,-36.632,0.0587271,-7.67898,-6.48178,-9.0155,-8.53059,-4.84838,123.011,9022.48,25.1005,6792.98,11574.8,-8.45355,-7.25635,-10.5646,-9.30515,-5.62294,0.743593,8849.95,18.7103,6620.45,0.608514,0.996314,0.00517909,14543.5,-0.00226157,0.884873,11.9319,10.5204,122.186,89.2867,0.6054,12.0137,12.0873,121.414,139.565,0.771237,-50.2786 
36,43.36,36,16948.8,-0.659978,38.1691,11.695,121.779,0.706999,-106.418,1.61528,-7.5392,-7.14585,-1.66594,-2.09774,-5.73156,107.915,10701.1,24.7788,8424.74,16980.6,-8.21871,-7.82536,-3.02496,-2.77725,-6.41107,0.89295,10549.7,19.1729,8273.38,0.597217,0.99683,0.00425078,17664.8,-0.00239892,1.0933,11.545,10.4198,121.61,89.628,0.796658,11.6287,11.8192,120.747,139.656,0.862261,-50.0277 
37,43.18,37,15860.6,-0.0124978,33.8294,11.9572,122.117,0.00424433,-11.4498,4.92519e-12,-5.9396,-11.4436,-10.4208,-8.25094,-6.0782,152.154,10621.8,21.3142,7328.08,13169.5,-6.89768,-12.4017,-12.337,-9.20901,-7.03627,0.742344,10408.4,13.4101,7114.67,0.629781,0.99775,0.00346007,16527,-0.00218272,0.990741,12.1346,10.8088,121.692,89.3852,0.625561,12.2144,12.3979,121.142,139.614,0.550205,-50.2289 
38,43.08,38,17087.9,0.0010157,37.9272,11.2896,122.037,-0.0173959,4.49639,500,-2.55463,-7.41616,-15.6896,-3.37182,-4.08288,130.643,10891,25.1767,8382.17,13941.3,-3.37725,-8.23879,-17.3348,-4.19445,-4.9055,0.544429,10707.7,18.3901,8198.94,0.602953,0.997003,0.00411481,17758.8,-0.00226441,1.13311,11.4342,10.2602,122.022,90.2043,0.791145,11.6324,11.7265,120.969,140.292,1.0533,-50.0873 
39,43.235,39,16251.5,-0.0896515,35.3124,11.6891,122.133,0.125699,176.188,500,-5.24275,-6.96932,-2.90534,-5.95788,-3.64574,110.079,10707.9,17.4481,7631.6,14158,-5.93589,-7.66245,-4.29161,-6.65102,-4.33888,0.851398,10553.5,11.7297,7477.2,0.621383,0.998059,0.00288143,16983.9,-0.00228729,1.0422,11.9635,10.6119,121.955,89.2491,0.677973,11.9176,12.2041,121.177,139.296,0.778044,-50.0468 
