cyc,field,FB,79,VVA,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,202.18,3.351,44.8292,2.026,47.3795,0,14911.1,-0.272807,32.6314,12.1452,121.098,0.451739,174.144,500,-7.73546,-5.39416,-6.44773,-2.69757,-0.220441,49.1327,1289.09,100.309,16082.5,15462.3,-8.04484,-5.70354,-7.06648,-3.00695,-0.529816,0.709815,1236.03,98.1431,16029.4,0.117347,0.877999,0.0111528,10533.1,-0.00277631,0.0958212,11.7039,22.5186,122.871,108,1.33805,12.4025,11.8123,120.588,138.101,2.28291,-30.1014 
1,201.5,2.98,44.7229,2.031,47.2639,1,13809.8,-0.756926,28.3181,13.6949,120.745,-0.186983,-9191.46,134.413,-6.85488,-9.40768,-8.92352,-3.02867,-6.01158,74.5002,2766.28,79.9998,13282.9,68572.3,-7.32399,-9.87679,-9.86173,-3.49778,-6.48069,0.733762,2685.83,76.716,13202.5,0.259669,0.952394,0.0105906,10343.3,-0.00289046,0.112389,16.921,23.2784,124.227,93.002,0.939219,13.1558,13.3618,119.897,138.59,4.32962,-45.5884 
2,202,3.253,44.8011,2.027,47.3489,2,15555.8,-0.717497,31.8874,-13.1482,121.029,-0.0338468,74.8457,33.328,-4.1638,-6.83067,-9.66409,-4.07342,-4.70594,56.0633,2030.73,108.529,15642.1,13730.8,-4.51682,-7.18369,-10.3701,-4.42644,-5.05896,0.671374,1970.19,106.058,15581.5,0.178986,0.913906,0.0123833,11007.5,-0.0032242,0.0869705,14.2527,46.9881,124.09,108,1.17041,12.7584,11.8681,120.215,137.683,3.87511,-29.6832 
3,201.3,2.871,44.6916,2.032,47.2299,3,12852.3,-0.726065,27.2336,13.5133,120.55,-0.100619,763.759,306.363,-3.43456,-2.4435,-11.522,-2.98704,-4.50433,66.4002,1780.66,43.2016,13561.3,14481.9,-3.85266,-2.8616,-12.3582,-3.40515,-4.92243,0.548971,1708.96,40.2749,13489.6,0.179269,0.960391,0.00546975,9532.93,-0.00301196,0.0832617,15.7859,22.1235,124.609,91.6928,1.00394,13.1483,12.8971,119.578,138.031,5.03142,-46.3385 
4,201.4,2.926,44.7073,2.031,47.2469,4,14878.1,-0.847637,30.5832,13.875,120.747,-0.0877473,-106.797,2.52958e-09,-6.74253,-5.30946,-7.15767,-1.09718,-2.22515,127.212,2408.12,61.4936,15089.3,14118.8,-7.54354,-6.11048,-8.7597,-1.89819,-3.02617,0.679579,2270.74,55.8864,14951.9,0.207509,0.958708,0.00683825,10942.8,-0.00332141,0.109402,16.4617,20.9783,124.688,91.4349,1.05103,13.5823,13.3561,119.886,137.75,4.80285,-46.3147 
5,202.4,3.471,44.8636,2.025,47.4168,5,14839.3,-0.814387,34.9416,11.868,121.267,0.536193,361.049,17.1063,-1.39987,-6.24746,-10.1687,-3.27589,-2.05394,154.873,501.398,51.3498,17080.4,19801.5,-2.37506,-7.22265,-12.1191,-4.25108,-3.02913,0.582057,334.153,44.5234,16913.2,0.0329416,0.810915,0.00482589,10143.8,-0.00744886,0.0134884,78.5529,100.408,148,60,1.50718,11.9552,11.9895,120.865,138.121,27.135,-78.1209 
6,202.22,3.373,44.8355,2.026,47.3862,6,14445.3,-0.098628,32.5722,11.8876,120.974,0.0653449,-42.2736,0.000398549,-5.10261,-6.73679,-3.0678,-1.93349,-1.75531,71.4361,931.384,95.07,16163.9,12694.7,-5.55242,-7.18661,-3.96743,-2.3833,-2.20513,0.813691,854.241,91.9213,16086.8,0.0838759,0.841531,0.0104163,10184.6,-0.00303144,0.0981191,11.2242,17.1514,123.598,108,1.37809,12.2836,11.8281,120.581,137.935,3.01663,-29.9351 
7,202.02,3.264,44.8042,2.027,47.3523,7,13603.3,-0.757748,29.741,12.8246,121.125,-0.525631,102.937,237.783,-5.38937,-10.8061,-5.894,-6.4175,-4.51857,63.8006,1612.86,68.4512,14391.1,14177.7,-5.79111,-11.2079,-6.69747,-6.81924,-4.92031,0.810998,1543.97,65.639,14322.2,0.156735,0.930754,0.00837176,9850.81,-0.00336077,0.0686739,13.9898,48.6343,124.461,108,1.14529,12.4461,11.6961,120.404,137.912,4.05723,-29.9124 
8,202.2,3.362,44.8324,2.026,47.3829,8,13397.8,-0.227673,30.8831,11.9995,120.777,-0.0588642,181.332,18.2874,-5.26628,-1.41922,-10.4882,-6.02067,4.13569,68.0903,933.31,77.487,14985.6,12411.1,-5.69502,-1.84796,-11.3457,-6.44942,3.70694,0.475493,859.78,74.4858,14912.1,0.0904197,0.868351,0.00911744,9508.77,-0.00283856,0.0868297,11.6623,20.2061,123.414,108,1.31285,12.1483,11.4829,120.238,137.072,3.17675,-29.0716 
9,202.26,3.395,44.8417,2.026,47.393,9,14790.3,-0.0416188,33.2397,11.854,120.938,0.00564066,2.96701,500,-4.09998,-7.40326,-7.55891,-4.87372,-3.70383,72.9107,1102.42,89.2844,16451.4,12827.3,-4.55908,-7.86236,-8.47711,-5.33282,-4.16293,0.721095,1023.69,86.0707,16372.7,0.0973105,0.871735,0.00959103,10519.8,-0.00308796,0.0838539,12.0565,21.6114,123.567,108,1.42628,12.1985,11.6262,120.504,138.577,3.0627,-30.577 
