cyc,wiggle on time,wiggle off time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
1,0.02,10.08,1,19049.9,0,5,101,125,0,5,135,-1.83439,-4.14923,-16.3764,-4.88544,-5.44582,40.1803,2.69379,26644.2,-20.9257,16439.4,-1.98964,-4.30448,-16.6869,-5.04069,-5.60107,0.503702,0.34565,26468.1,-23.2739,-0.0125313,7.46229e-06,1.00048,-27.583,450.663,517.553,0.565111,35490,8.72938e-07,0.553248,110.367,84.9368,23.3011,24.7381,0.941911,493.535,566.69,0.605826 
2,0.4,9.7,2,17319.7,0,5,101,125,0,5,135,-4.70612,-5.02419,-9.0307,-5.70019,-6.69485,37.7636,2.37432,25562.3,-15.3207,16439.4,-4.85203,-5.1701,-9.32252,-5.8461,-6.84077,0.708958,0.167419,25396.8,-17.5276,-0.00802369,3.76693e-06,1.00037,-20.8657,429.782,492.686,0.48081,34071.1,8.61147e-07,0.534357,109.584,85.1553,23.263,24.6689,0.943007,491.921,563.524,0.611402 
3,0.2,9.9,3,16491.6,0,5,101,125,0,5,135,-1.75437,-2.12313,-7.38236,-9.20731,-4.52822,-107.976,-15.0539,24778.3,-23.6072,16439.4,-1.33717,-1.70593,-6.54796,-8.79011,-4.11102,0.708878,-8.74374,25251.6,-17.297,0.296396,-0.000197905,1.00037,-29.5002,451.146,500.734,0.554588,33137.5,8.53208e-07,0.557067,110.219,84.986,23.3702,24.3967,0.957924,496.468,551.158,0.613097 
4,0.01,10.09,4,17634.5,0,5,101,125,0,5,135,-3.57691,-3.72287,-12.4435,-11.6947,-4.96407,-47.3413,1.00249,25293.9,-19.4224,16439.4,-3.39399,-3.53995,-12.0777,-11.5118,-4.78115,0.6579,3.76911,25501.4,-16.6557,-0.232406,8.44502e-05,1.00035,-16.2178,486.797,548.824,0.91663,34527.5,8.64975e-07,0.597567,110.28,85.8047,23.4262,24.6427,0.950638,498.851,562.325,0.612316 
5,8,2.1,5,18705.8,0,5,101,125,0,5,135,-2.58032,-2.392,-14.3306,-8.10195,-8.23654,48.1477,8.17158,26650.7,-12.2309,16439.4,-2.76635,-2.57804,-14.7026,-8.28799,-8.42257,0.600011,5.35783,26439.7,-15.0446,-0.422018,0.000115783,1.00031,-12.6957,520.903,592.342,0.761128,36228.4,8.78951e-07,0.631975,110.171,84.5224,24.4455,25.8218,0.9467,543.204,617.427,0.658885 
6,2,8.1,6,19114.3,0,5,101,125,0,5,135,-6.15933,-7.07431,-5.34026,-4.45274,-4.62661,-51.4873,3.73466,27047.3,-14.2075,16439.4,-5.96039,-6.87537,-4.94238,-4.2538,-4.42768,0.81321,6.74358,27272.9,-11.1986,-1.0073,0.000141273,1.00022,-6.69472,466.686,534.71,0.594202,36105.9,8.7796e-07,0.56898,109.651,84.3772,23.5873,25.0108,0.943086,505.736,579.252,0.616483 
7,0.8,9.3,7,17395.7,0,5,101,125,0,5,135,-4.85212,-3.0411,-6.54805,-1.48675,-6.00573,-33.0185,-2.38213,25048.6,-20.7582,16439.4,-4.72454,-2.91352,-6.2929,-1.35918,-5.87816,0.702721,-0.452528,25193.4,-18.8286,0.0196351,-1.02642e-05,1.00041,-23.0469,447.118,517.52,0.646734,33635,8.57457e-07,0.560999,110.467,85.6465,22.9003,24.3987,0.938585,476.703,551.248,0.59784 
8,1,9.1,8,19789,0,5,101,125,0,5,135,-4.58323,0.191904,-3.32674,-5.0658,-5.06515,-81.5494,12.9878,27305.3,-8.95873,16439.4,-4.26814,0.506994,-2.69656,-4.75071,-4.75006,0.831027,17.7535,27662.7,-4.19298,1.3955,0.0003666,1.00008,12.7219,455.493,537.859,0.594269,36340.2,8.79854e-07,0.562554,109.714,84.8893,23.2997,25.0833,0.928894,493.476,582.615,0.609415 
9,0.08,10.02,9,20486.9,0,5,101,125,0,5,135,-2.65267,0.0251178,-11.8755,-7.07152,-4.12123,2.04137,-3.20028,27757,2.64881,16439.4,-2.66055,0.0172304,-11.8913,-7.07941,-4.12912,0.53808,-3.31957,27748.1,2.52951,11.6821,-6.83662e-05,0.999951,-0.284159,444.689,512.069,0.4844,37031.3,8.85397e-07,0.538958,110.145,85.1131,23.6309,25.1127,0.940992,507.604,583.983,0.614929 
10,10,0.1,10,19442.6,0,5,101,125,0,5,135,-6.32784,-4.89864,-15.386,-7.68461,-6.98372,-27.9384,12.3728,26698.7,-11.0507,16439.4,-6.2199,-4.79069,-15.1701,-7.57666,-6.87577,0.626656,14.0055,26821.2,-9.41795,5.17968,0.000298299,1.00019,2.70393,515.402,580.248,0.583584,36269.2,8.79281e-07,0.621945,110.139,84.2554,24.8394,26.1131,0.951223,560.852,631.437,0.676801 
11,4,6.1,11,19839.7,0,5,101,125,0,5,135,-7.44879,-6.6259,-10.1217,-4.81785,-4.00551,-97.4307,-3.45566,27086.2,-23.6177,16439.4,-7.07234,-6.24945,-9.36877,-4.4414,-3.62906,0.695434,2.23819,27513.2,-17.9238,-0.116147,4.64833e-05,1.00035,-19.2704,464.939,526.199,0.524352,36279.6,8.79365e-07,0.562475,110.002,84.9436,23.9047,25.1913,0.948924,519.435,587.645,0.628281 
12,0.04,10.06,12,19477.7,0,5,101,125,0,5,135,-9.33941,-2.67735,-10.6792,-6.86797,-8.11566,-12.9338,2.95489,27366,-42.9787,16439.4,-9.28944,-2.62738,-10.5792,-6.818,-8.06568,0.716979,3.71074,27422.7,-42.2229,-0.0790248,7.73177e-05,1.00084,-46.9567,466.852,528.54,0.610317,37002.6,8.85169e-07,0.561181,109.76,85.2896,23.5209,24.7895,0.948824,502.89,569.047,0.604344 
13,0.02,10.08,13,18021.5,0,5,101,125,0,5,135,-3.25491,-6.19165,-13.3669,-8.45114,-8.1161,-66.8231,5.52593,25410.6,-20.6623,16439.4,-2.99672,-5.93346,-12.8505,-8.19295,-7.85791,0.660324,9.43107,25703.5,-16.7571,-0.883267,0.000209624,1.00035,-10.6775,432.331,491.67,0.477239,34204.9,8.62273e-07,0.534688,109.844,85.8389,23.351,24.6789,0.946193,495.65,563.978,0.61316 
14,0.4,9.7,14,20767.4,0,5,101,125,0,5,135,-0.661702,-3.41689,-11.5223,-1.05134,-5.29687,-98.4137,-9.23815,28253.2,-21.1139,16439.4,-0.281451,-3.03664,-10.7618,-0.671086,-4.91662,0.452816,-3.48685,28684.6,-15.3626,0.159057,-6.94667e-05,1.00029,-21.922,459.756,527.074,0.557232,37572.2,8.89687e-07,0.553302,110.416,84.7242,23.5771,25.0132,0.942585,505.296,579.364,0.608151 
15,0.2,9.9,15,17368.9,0,5,101,125,0,5,135,-7.38267,-3.71677,-10.2838,-6.88208,-5.69104,-155.003,-2.76518,25295.1,-33.1082,16439.4,-6.78376,-3.11786,-9.08596,-6.28318,-5.09214,0.700755,6.2932,25974.5,-24.0498,-0.278873,0.000138429,1.0005,-22.5665,458.009,528.33,0.588115,34298.5,8.63058e-07,0.569967,109.956,85.0575,23.3937,24.8879,0.939962,497.466,573.574,0.618922 
16,0.01,10.09,16,19071.8,0,5,101,125,0,5,135,-6.71834,-1.60088,-5.89325,-5.50223,-4.99549,-66.2896,-12.4475,26854.8,-19.2324,16439.4,-6.46221,-1.34475,-5.38099,-5.2461,-4.73936,0.767795,-8.5735,27145.4,-15.3584,0.317494,-0.00018051,1.00031,-27.0036,458.88,522.33,0.640629,36471.5,8.80913e-07,0.555762,109.503,84.7259,23.2165,24.5352,0.946253,489.959,557.431,0.593256 
17,8,2.1,17,20197.4,0,5,101,125,0,5,135,-3.31622,-3.02957,-13.9787,-8.97078,-5.55665,-8.57857,-0.694565,27754.3,-20.9674,16439.4,-3.28308,-2.99643,-13.9124,-8.93763,-5.5235,0.598524,-0.193233,27791.9,-20.4661,0.0078066,-3.97308e-06,1.0004,-24.7525,509.718,579.745,0.590845,37365.4,8.88052e-07,0.612132,110.178,84.8734,24.6755,26.0602,0.946866,553.474,628.879,0.664345 
18,2,8.1,18,18170.9,0,5,101,125,0,5,135,-4.81246,-3.12619,-9.62612,-7.20368,-7.38584,-113.901,-15.0812,25907.6,-12.8015,16439.4,-4.37237,-2.6861,-8.74594,-6.76359,-6.94575,0.703666,-8.4248,26406.9,-6.14514,0.53325,-0.000182341,1.00013,-15.799,467.633,532.426,0.601585,35038,8.69217e-07,0.574056,110.045,85.1022,23.5807,24.9255,0.94605,505.452,575.306,0.620385 
19,0.8,9.3,19,20045.3,0,5,101,125,0,5,135,-5.64218,-2.25899,-10.1834,-5.52077,-7.87994,-148.832,4.17081,27517.9,5.9057,16439.4,-5.06712,-1.68393,-9.03326,-4.94571,-7.30488,0.677785,12.8686,28170.2,14.6035,0.42341,0.000260969,0.999719,30.3927,459.528,529.067,0.593352,36736.4,8.8304e-07,0.558382,109.658,84.8928,23.4068,24.8793,0.940814,498.022,573.176,0.605045 
20,1,9.1,20,17774.2,0,5,101,125,0,5,135,-3.56859,-3.82558,-6.67773,-5.00376,-5.5323,-80.3033,6.18241,25707.4,-21.0724,16439.4,-3.25832,-3.51531,-6.05718,-4.69348,-5.22203,0.733707,10.8753,26059.4,-16.3795,-1.23865,0.000238417,1.00034,-8.78002,455.708,522.931,0.640951,34488.8,8.64652e-07,0.564579,109.97,84.9369,23.1365,24.5504,0.942408,486.586,558.122,0.602703 
21,0.08,10.02,21,18409.2,0,5,101,125,0,5,135,-5.49516,-4.02079,-11.8637,-7.47063,-5.01031,-33.4677,-3.37089,26078.9,-28.5326,16439.4,-5.36585,-3.89147,-11.6051,-7.34132,-4.88099,0.649231,-1.41504,26225.6,-26.5768,0.0424846,-3.08332e-05,1.00055,-33.3071,444.872,508.016,0.541076,35239.7,8.70882e-07,0.545879,110.239,85.0736,23.2754,24.6404,0.944605,492.448,562.22,0.604191 
22,10,0.1,22,18731.3,0,5,101,125,0,5,135,-5.64775,-7.35832,-18.2961,-4.33543,-8.94242,-121.803,0.878695,26743.2,-15.2883,16439.4,-5.17712,-6.8877,-17.3549,-3.8648,-8.4718,0.584377,7.99689,27277.1,-8.17008,-4.425,0.000167499,1.00016,-1.80721,521.132,601.532,0.595716,36449.6,8.80737e-07,0.635707,109.857,84.6227,24.9269,26.5343,0.939422,564.809,651.968,0.688998 
23,4,6.1,23,17254.6,0,5,101,125,0,5,135,-2.79069,-4.7064,-7.80645,-7.59427,-7.37176,-60.6511,9.10753,25272.7,-10.7769,16439.4,-2.55635,-4.47205,-7.33776,-7.35992,-7.13741,0.745777,12.652,25538.5,-7.2325,3.1845,0.00028301,1.00015,3.97298,492.497,565.947,0.956095,34239.7,8.62565e-07,0.612065,109.88,84.9082,23.5311,24.9918,0.941552,503.325,578.371,0.625512 
