cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0.8,0,20489.3,0,5,101,125,0,5,135,-7.87454,-3.17742,-14.9063,-6.13736,-10.2112,-48.649,-1.81947,27747.8,2.53926,16439.4,-7.68657,-2.98945,-14.5304,-5.94939,-10.0233,0.647142,1.02358,27961,5.38231,0.136799,2.09181e-05,0.999896,7.48235,495.352,565.191,0.669528,36328.1,8.79757e-07,0.601439,109.358,85.6762,24.0429,25.4383,0.945145,525.46,599.225,0.637826 
1,1,1,21963.7,0,5,101,125,0,5,135,-7.19814,-5.18348,-9.69365,-5.94656,-8.07565,-166.323,-2.61704,29141.1,-7.33646,16439.4,-6.5555,-4.54084,-8.40837,-5.30392,-7.43301,0.739208,7.10289,29870.1,2.38347,0.712923,0.000135863,0.999957,9.96306,484.409,556.917,0.526764,37635,8.90183e-07,0.583474,109.911,85.9815,24.395,25.9025,0.9418,540.963,621.294,0.651258 
2,1.2,2,19295.2,0,5,101,125,0,5,135,-9.18968,-4.96834,-8.86165,-12.7719,-4.07793,-145.657,28.6067,26907.4,-14.9017,16439.4,-8.62689,-4.40555,-7.73607,-12.2091,-3.51514,0.788011,37.1189,27545.9,-6.38953,1.26034,0.000769425,1.00013,29.4515,530.577,620.015,0.872209,35654.5,8.74285e-07,0.656028,109.692,85.0244,24.5096,26.2477,0.933781,546.058,637.963,0.675094 
3,1.4,3,20876.8,0,5,101,125,0,5,135,-1.62206,-2.83259,-10.657,-1.64193,-6.5778,-139.995,9.38611,27967.8,-1.63597,16439.4,-1.08114,-2.29168,-9.57515,-1.10102,-6.03688,0.523289,17.5674,28581.4,6.54535,0.691037,0.000351103,0.999876,25.4219,556.558,645.055,0.80798,36841.8,8.83884e-07,0.677889,109.629,85.6062,25.1942,26.8625,0.937895,576.989,668.2,0.702492 
4,0.2,4,18856.1,0,5,101,125,0,5,135,-4.83877,-7.95487,-8.47027,-8.35925,-3.76494,-136.961,4.17171,26541,-21.3571,16439.4,-4.30958,-7.42568,-7.41189,-7.83006,-3.23575,0.754678,12.1757,27141.3,-13.3531,-3.16417,0.00025628,1.00027,-3.84799,408.336,463.191,0.486071,34358.6,8.63562e-07,0.503611,109.567,86.1688,22.6413,23.861,0.948883,465.98,527.216,0.573963 
5,1.6,5,17401,0,5,101,125,0,5,135,-4.52369,-2.78522,-12.5211,-5.27922,-1.92776,-202.484,19.0852,24730.5,-19.0123,16439.4,-3.74134,-2.00286,-10.9564,-4.49686,-1.1454,0.509624,30.9184,25618,-7.17911,1.38626,0.000689183,1.00015,22.3035,599.507,659.588,1.43559,32846.6,8.50704e-07,0.739188,109.824,85.0406,25.7687,26.7794,0.962259,603.601,664.068,0.744222 
6,0.4,6,17255,0,5,101,125,0,5,135,-9.19255,-4.45601,-5.63701,-7.28252,-5.88908,-129.782,3.33561,24972.3,-18.0202,16439.4,-8.6911,-3.95456,-4.63411,-6.78107,-5.38763,0.842637,10.9201,25541.2,-10.4357,-6.81314,0.000244254,1.00022,-1.6028,428.066,505.348,0.620584,32834.9,8.50603e-07,0.546794,109.38,85.6615,22.4836,24.2103,0.928679,459.511,542.764,0.58712 
7,0.6,7,16583.6,0,5,101,125,0,5,135,-8.09762,-4.79556,-13.4279,-7.72547,-11.9846,-93.4597,16.0606,24339.4,-11.2922,16439.4,-7.73651,-4.43445,-12.7056,-7.36436,-11.6234,0.710343,21.5224,24749.1,-5.83044,1.48166,0.000496681,1.00013,14.5258,459.361,517.963,0.606577,32491.9,8.47631e-07,0.575466,109.586,85.1873,23.3449,24.5619,0.95045,495.391,558.646,0.620634 
8,2,8,16654.8,0,5,101,125,0,5,135,-6.88535,-5.56877,-18.0894,-3.56752,-5.93716,-139.014,6.32165,24503.5,-11.5759,16439.4,-6.34823,-5.03165,-17.0152,-3.03039,-5.40004,0.537951,14.4456,25112.8,-3.45192,1.40204,0.000328595,1.00007,10.3033,589.1,673.948,0.697871,32849.8,8.50732e-07,0.740653,109.747,84.2528,26.15,27.711,0.943668,621.596,711.077,0.781483 
9,1.8,9,17003.6,0,5,101,125,0,5,135,-6.4278,-5.44346,-10.7966,-7.76704,-9.07208,-162.237,8.77623,24166,-11.9929,16439.4,-5.80095,-4.81661,-9.54288,-7.14019,-8.44523,0.733035,18.2573,24877.1,-2.5118,1.19774,0.000419196,1.00005,15.2432,573.325,665.322,0.643647,32570.7,8.48316e-07,0.728046,109.746,84.6957,25.9658,27.7049,0.937226,612.869,710.766,0.778017 
