cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
315,44.84,0.29,315,26988.4,-0.286747,55.9136,11.9273,120.482,-0.648827,431.087,500,-4.75088,3.93538,-0.833212,-0.25432,3.81016,117.441,2520.52,-33.0526,26472.7,30814.9,-5.49037,3.19589,-2.3122,-0.993816,3.07066,0.0860302,2355.79,-39.1534,26307.9,0.0943049,1.02996,-0.0027491,24980.6,-0.00349138,0.31862,10.6593,10.2991,121.845,90.2746,2.36096,12.502,11.6625,119.824,140.193,2.02185,-49.9186 
316,44.79,0.29,316,29542.5,-0.28366,60.6164,11.9755,120.367,-0.0581213,693.046,498.952,-10.0589,-4.40308,-5.18596,-2.75282,-2.93925,82.2922,2213.19,-36.2226,29427.8,24942,-10.5771,-4.92126,-6.2223,-3.271,-3.45743,0.781283,2097.76,-40.4975,29312.4,0.0768232,1.03497,-0.00255152,27306.4,-0.00383492,0.301309,10.4767,9.92935,121.601,90.9297,2.61641,12.5495,11.6932,119.855,140.855,1.74626,-49.9258 
317,44.77,0.29,317,31051.6,-0.857112,62.2518,12.3962,120.373,1.63853,-604.526,22.6645,1.76603,4.81233,0.825017,-0.693666,-2.59291,98.3205,1023.23,-29.709,32031.3,57366.1,1.14693,4.19323,-0.413179,-1.31276,-3.21201,2.02726,885.326,-34.8165,31893.4,0.0312685,1.07391,-0.00201499,28313.7,-0.00385347,0.134819,10.2973,11.2345,122.79,91.2001,2.74753,12.8031,11.8953,119.839,140.602,2.95117,-49.4023 
318,44.85,0.29,318,29869.1,-0.055496,58.6904,12.3118,120.512,0.0682163,-65.5326,500,-7.63765,-2.94866,-6.62982,-0.251721,-1.44099,171.67,2251.18,-36.0025,29645.1,23668,-8.71861,-4.02962,-8.79174,-1.33268,-2.52196,0.653795,2010.4,-44.9204,29404.3,0.0736462,1.04069,-0.00282209,27298.1,-0.00361623,0.267314,11.2964,10.3271,121.6,90.1705,2.45643,12.9268,12.1267,119.878,139.875,1.72193,-49.7047 
319,44.765,0.29,319,29335.1,-0.0647325,58.8531,12.0332,120.265,-0.00878838,58.7314,500,-0.078765,4.97563,0.74642,-3.42663,-0.533537,112.97,724.331,-41.5804,30369,23070.7,-0.790105,4.26429,-0.676261,-4.13797,-1.24488,0.738383,565.879,-47.4489,30210.6,0.0213162,1.17197,-0.00290162,26547,-0.00345451,0.0940469,10.5822,11.9898,123.409,91.8641,2.64773,12.5823,11.8727,119.727,139.899,3.6826,-48.0354 
320,44.855,0.29,320,31734.6,-0.442726,62.245,12.2966,120.638,0.769739,-229.237,447.389,-1.36838,0.566984,1.6086,-1.81617,-2.4225,146.897,2160.98,-26.8278,31666.4,30660.5,-2.29335,-0.357986,-0.241344,-2.74114,-3.34747,0.973128,1954.94,-34.4588,31460.4,0.0673866,1.03183,-0.00202175,29010.8,-0.00376613,0.251026,11.1511,10.3841,122.1,90.8168,2.67086,12.8909,11.9701,119.917,140.285,2.18331,-49.4687 
321,44.815,0.29,321,30145.6,-0.0323854,59.9642,12.0582,120.665,-0.174613,95.7025,491.635,-1.25212,-1.5472,-5.79938,-3.78188,1.17245,163.559,3558.8,-23.345,28507.7,24081.9,-2.282,-2.57709,-7.85916,-4.81177,0.142565,0.547998,3329.4,-31.8415,28278.3,0.120418,1.01702,-0.00207853,27648.8,-0.003273,0.412003,10.9614,10.3838,121.727,89.7983,2.47078,12.6496,11.7738,120.054,139.717,1.67281,-49.9185 
322,44.795,0.29,322,29490.1,-0.568739,59.4463,12.0873,120.712,1.57294,444.569,499.999,-0.795415,2.32408,2.70195,0.130802,-1.49996,110.55,2530.9,-35.475,28811.6,46154.9,-1.49152,1.62797,1.30973,-0.565304,-2.19607,1.99585,2375.84,-41.2179,28656.5,0.0879275,1.03131,-0.00265662,27020.4,-0.00324852,0.315314,10.3534,10.0746,121.687,90.4342,2.54629,12.5896,11.6548,120.165,140.325,1.52208,-49.8906 
323,44.83,0.29,323,29874.6,-0.782808,61.3842,12.0256,120.73,-0.291533,963.264,499.55,-4.08613,-1.93114,-2.78004,0.2199,0.643509,212.585,3453.93,-29.8793,28327.5,33172,-5.42472,-3.26973,-5.45722,-1.11869,-0.69508,0.658186,3155.76,-40.9227,28029.3,0.115761,1.02322,-0.00269672,27260.9,-0.00327643,0.418036,10.6226,9.99266,121.629,90.3728,2.51464,12.4783,11.7033,120.172,140.374,1.45695,-50.0011 
324,44.81,0.29,324,31097.7,-0.0825728,61.0704,12.1429,120.485,0.038676,-18.1183,1.5102e-06,-0.551693,0.898308,-0.227528,-6.01444,-5.09122,83.6606,3549.86,-20.7999,29220.7,24163.5,-1.07848,0.37152,-1.2811,-6.54123,-5.61801,0.909445,3432.51,-25.1459,29103.4,0.120602,1.01299,-0.00159416,28461.4,-0.00313746,0.395841,11.1032,10.4194,121.434,90.5596,2.50798,12.7048,11.8905,119.887,140.575,1.54649,-50.0157 
