cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
29,43.248,0.05,29,25830,-0.918046,56.4432,11.7848,121.219,-0.830805,417.381,1.28488,-11.2376,-4.49145,-15.523,-4.43909,-3.15835,203.253,12612.6,18.9171,15965.3,32941.9,-12.5174,-5.77128,-18.0826,-5.71892,-4.43818,0.611364,12327.6,8.35848,15680.2,0.47758,0.998815,0.000980988,25812.5,-0.00323171,1.25214,11.7533,10.6344,121.334,89.7744,1.44825,11.7804,12.0105,120.393,140.191,0.941032,-50.417 
30,43.288,0.05,30,23973,-0.0224623,52.7526,11.2617,121.301,0.203784,-151.142,500,-1.61592,-9.60776,-12.7221,-6.21751,-9.9279,113.603,11507.7,13.876,15008.1,20342,-2.33125,-10.3231,-14.1528,-6.93284,-10.6432,0.681123,11348.3,7.97456,14848.8,0.470528,0.998772,0.000988329,24118.3,-0.00298218,1.21747,11.3868,10.3393,121.479,90.0868,1.44432,11.4874,11.5637,120.489,140.326,0.990381,-50.2395 
31,43.268,0.05,31,25099.8,-0.881578,56.0313,-11.5146,121.381,0.0389523,1385.21,359.158,-4.64141,-2.61589,-8.93008,1.27581,-6.34337,72.5143,12086.7,31.8166,15652.3,22759.2,-5.09801,-3.07249,-9.84328,0.819206,-6.79997,0.58977,11985,28.0496,15550.6,0.472622,0.995921,0.00331171,25358.6,-0.00313408,1.27223,11.4428,10.4131,121.474,90.0566,1.49708,11.5097,11.5791,120.581,140.335,0.893178,-50.2784 
32,43.158,0.05,32,25761.7,-0.284675,55.8063,11.4457,121.168,-0.358868,203.455,495.996,-8.21052,-9.01471,-2.59774,-3.02819,-7.96054,113.871,12561.1,25.7673,15780.2,23170.1,-8.92753,-9.73173,-4.03177,-3.74521,-8.67755,0.88518,12401.4,19.852,15620.4,0.480024,0.997206,0.00233566,25835,-0.00292933,1.31099,11.5278,10.3052,121.228,89.9015,1.49368,11.5166,11.6636,120.285,140.08,0.943502,-50.1782 
33,43.258,0.05,33,30958.1,-0.941696,63.396,12.2913,121.563,5.02677,-2413.59,183.848,-6.55433,-5.57932,-6.48372,-5.38623,-11.2389,167.848,14900.5,55.3183,18613.9,420321,-7.61122,-6.63621,-8.5975,-6.44312,-12.2958,0.793249,14665.1,46.5989,18378.5,0.481288,0.99447,0.00464898,30470.6,-0.00310669,1.40092,12.1896,10.9226,121.784,89.3386,1.57558,12.1646,12.3135,120.559,139.56,1.22555,-50.2209 
34,43.238,0.05,34,23787.7,-0.0750911,51.1762,11.6705,121.192,-0.0635751,15.1228,499.955,-12.4748,-7.3623,-11.8428,-4.61706,-7.58143,123.568,11178.4,28.4933,15171.6,19473.8,-13.2528,-8.14037,-13.3989,-5.39513,-8.3595,0.724,11005.1,22.0742,14998.3,0.460394,0.996502,0.00270386,23903.6,-0.00305155,1.12186,11.6925,10.683,121.315,89.5963,1.34494,11.9895,12.0156,120.197,140.027,1.11877,-50.4305 
35,43.193,0.05,35,24236.9,-0.88502,52.8427,11.8621,121.353,1.01139,242.218,256.213,-3.39449,-9.78363,-9.77813,-3.07159,-7.70873,82.975,11017,28.023,15935.8,28380,-3.91696,-10.3061,-10.8231,-3.59406,-8.2312,0.706464,10900.6,23.7126,15819.4,0.444826,0.996208,0.00275363,24505.3,-0.00318854,1.08928,11.8021,10.7283,121.475,90.0614,1.41644,11.7838,12.1845,120.611,140.539,0.864454,-50.4775 
36,43.148,0.05,36,29016.3,-0.136561,60.9966,11.8463,121.1,0.0776916,-14.6457,8.42665e-08,-6.2746,-6.3693,-5.73534,-4.13599,-1.55322,120.091,14024,45.3186,17709.6,23559.5,-7.03078,-7.12548,-7.2477,-4.89217,-2.30941,0.746633,13855.5,39.0801,17541.2,0.478752,0.995088,0.00408727,28940.9,-0.00334946,1.35431,11.9886,10.7967,121.225,90.2032,1.53565,12.0467,12.2597,120.089,140.613,1.13592,-50.41 
37,43.178,0.05,37,29641.5,-0.0972321,60.382,11.9928,121.407,-0.0201548,2.3437,500,-8.73466,-6.13458,-4.88032,-6.42155,-4.68619,163.069,13959.2,53.7375,18087,23574.9,-9.76146,-7.16138,-6.93393,-7.44835,-5.71299,0.812688,13730.5,45.2664,17858.3,0.472022,0.994264,0.00464758,29088.6,-0.00285659,1.3234,12.0832,10.8862,121.555,89.8435,1.54862,12.1434,12.1687,120.402,139.976,1.15313,-50.1326 
38,43.228,0.05,38,25352.9,0.0019528,52.7422,11.8794,121.362,0.00137355,-4.4567,3.61234e-12,-3.53642,-6.95711,-0.329381,-0.86367,-2.03065,98.2602,12137.2,26.6264,15740.1,20396.3,-4.15514,-7.57583,-1.56682,-1.48239,-2.64937,0.910106,11999.4,21.5219,15602.3,0.472094,0.996871,0.00253457,25417.4,-0.00281165,1.15817,11.9657,10.8125,121.387,89.7501,1.36802,12.0444,12.1317,120.447,140.209,0.940152,-50.4592 
