cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
261,43.248,0.37,261,12556.9,0,5,101,125,0,5,135,-8.45428,-2.19325,-15.9231,-10.7926,-9.80951,320.228,-40.0163,24427.2,-64.0293,16439.4,-9.69158,-3.43055,-18.3977,-12.0299,-11.0468,0.663025,-58.7304,23023.7,-82.7435,0.371658,-0.00145977,1.00195,-158.023,544.66,585.889,0.884455,33219.6,8.53912e-07,0.661541,111.93,87.3193,24.8172,25.5006,0.973197,559.848,602.164,0.679953 
262,43.288,0.37,262,14097.1,0,5,101,125,0,5,135,-1.27535,-7.19017,-22.9747,-4.17911,-12.8095,289.394,-37.1562,26426,-55.4484,16439.4,-2.39352,-8.30834,-25.211,-5.29727,-13.9277,0.542764,-54.0684,25157.6,-72.3606,0.383733,-0.00122962,1.00156,-140.901,490.897,556.652,0.638038,34922.1,8.68258e-07,0.602058,111.339,87.4649,24.0292,25.3468,0.948015,524.861,594.922,0.643581 
263,43.268,0.37,263,16191.6,0,5,101,125,0,5,135,-11.3357,-8.28853,-21.3695,-9.98041,-11.445,336.079,-41.6905,29388.7,-63.4769,16439.4,-12.6343,-9.58707,-23.9666,-11.2789,-12.7435,0.658646,-61.3309,27915.6,-83.1173,0.380768,-0.00125701,1.00162,-161.072,554.997,595.82,0.89429,39396.3,9.03858e-07,0.636213,111.688,86.8334,25.0375,25.7044,0.974055,569.834,611.827,0.653263 
264,43.158,0.37,264,12821.1,0,5,101,125,0,5,135,-5.94892,-10.7572,-14.6235,-3.78538,-11.5077,321.282,-54.4802,25466.8,-37.9071,16439.4,-7.19029,-11.9986,-17.1063,-5.02675,-12.7491,0.683633,-73.2559,24058.6,-56.6829,0.518533,-0.00174297,1.00128,-141.275,512.029,586.654,172.696,34280.9,8.62911e-07,0.635144,111.833,87.7518,23.9207,24.8729,0.961719,520.133,572.881,0.632592 
265,43.258,0.37,265,14521.1,0,5,101,125,0,5,135,-3.04439,-10.7301,-12.2936,-7.12875,-12.0674,260.879,-45.8472,26701.5,-43.2796,16439.4,-4.05237,-11.7381,-14.3096,-8.13673,-13.0753,0.721127,-61.093,25558.1,-58.5254,0.46521,-0.00136779,1.00124,-131.323,509.999,545.453,0.590421,35820.9,8.75644e-07,0.602332,111.373,87.5205,24.679,25.2805,0.976204,553.629,591.813,0.653694 
266,43.238,0.37,266,9674.22,0,5,101,125,0,5,135,-5.16244,-8.25047,-21.9041,-7.76169,-5.79911,339.936,-53.0529,22502.3,-47.6902,16439.4,-6.47588,-9.56391,-24.531,-9.07513,-7.11255,0.567801,-72.9188,21012.3,-67.5561,0.473541,-0.00198696,1.00175,-153.986,529.126,576.591,0.678511,31026.6,8.34693e-07,0.661739,111.81,87.2561,24.8273,25.678,0.966869,560.304,610.57,0.700734 
267,43.193,0.37,267,12809.8,0,5,101,125,0,5,135,-7.32642,-7.1277,-13.6787,-5.53079,-11.2938,312.739,-46.6962,25521.7,-51.0288,16439.4,-8.53478,-8.33606,-16.0954,-6.73916,-12.5022,0.691703,-64.9727,24150.9,-69.3053,0.438593,-0.00153967,1.00156,-148.139,564.162,606.132,0.700508,35050.2,8.69318e-07,0.672677,111.703,87.049,25.5799,26.264,0.973954,594.789,638.754,0.709038 
268,43.148,0.37,268,14747.1,0,5,101,125,0,5,135,-6.28262,-6.2697,-9.84338,-9.1922,-7.6202,287.408,-48.121,27802.9,-46.8375,16439.4,-7.3931,-7.38019,-12.0644,-10.3027,-8.73068,0.736994,-64.9171,26543.2,-63.6336,0.459501,-0.00139951,1.0013,-141.277,544.126,576.695,0.612907,37464.2,8.88834e-07,0.630234,111.061,87.3318,25.3899,25.9101,0.979923,585.986,621.656,0.679044 
269,43.178,0.37,269,12679.5,0,5,101,125,0,5,135,-8.40922,-7.89649,-16.4979,-10.801,-16.8126,293.2,-51.8317,25836,-45.3325,16439.4,-9.54209,-9.02936,-18.7637,-11.9338,-17.9455,0.720839,-68.9663,24550.9,-62.467,0.479176,-0.00160779,1.00138,-143.927,527.981,591.301,1.02083,35380,8.72036e-07,0.640736,111.959,86.8795,24.32,25.4988,0.95377,537.643,602.079,0.652438 
270,43.228,0.37,270,5484.19,0,5,101,125,0,5,135,-10.2353,-5.26542,-13.8095,-12.4136,-14.0266,356.85,-50.0277,19084.1,-57.0161,16439.4,-11.6141,-6.64422,-16.5671,-13.7924,-15.4054,0.741233,-70.882,17520,-77.8704,0.431348,-0.00231722,1.00242,-164.327,538.141,571.254,0.577224,27520.9,8.0199e-07,0.691343,111.704,87.6428,25.4146,25.9482,0.979436,587.129,623.488,0.754417 
