cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.84,0,22580,-0.0247515,51.2315,11.3175,121.023,0.00210936,-19.3545,500,-1.27199,-6.38592,-8.40801,-7.49991,-12.6902,165.15,2524.06,-5.41556,23228.3,18876.2,-2.3119,-7.42583,-10.4878,-8.53981,-13.7301,0.753202,2292.42,-13.9948,22996.7,0.103873,1.0108,-0.00112228,22069.6,-0.00419235,0.212558,11.7353,11.0164,121.67,92.0309,2.3406,11.7849,11.1459,120.475,140.885,1.19471,-48.8544 
1,44.79,1,26150.4,-0.329363,57.2901,11.6295,121.091,0.026222,-140.18,500,-4.60479,-3.85476,-7.04432,-6.80141,-1.2645,184.266,3521.04,8.51965,25643.2,21808.5,-5.76507,-5.01504,-9.36487,-7.96169,-2.42478,0.693271,3262.59,-1.05262,25384.7,0.130017,1.00056,-7.6392e-05,25093.5,-0.0038756,0.322286,11.0827,10.986,121.763,91.7915,2.39872,12.0922,11.5509,120.579,141.426,1.18417,-49.6346 
2,44.77,2,28058.7,-1.00238,60.6723,11.9189,120.959,0.398573,1751.07,67.6618,-7.02646,-4.99923,-10.3376,-2.12819,-4.26352,187.567,2900.45,-8.83264,28154.9,46260.8,-8.20752,-6.18028,-12.6997,-3.30925,-5.44458,0.645669,2637.37,-18.5764,27891.8,0.0990587,1.01248,-0.00122838,26624.3,-0.00428744,0.235982,11.6664,12.0708,121.925,93.3159,2.64769,12.2085,11.4513,120.496,142.114,1.42889,-48.7986 
3,44.85,3,22415.5,-0.0273184,50.7189,11.2379,120.823,-0.000251458,-12.5469,500,0.619446,-5.51405,-7.04965,-5.37298,-1.03475,83.8542,2022.14,-15.0726,23396,18554.6,0.0914385,-6.04206,-8.10566,-5.90098,-1.56276,0.623343,1904.53,-19.4286,23278.4,0.0868698,1.01818,-0.00153983,21923.9,-0.00420089,0.130659,13.6741,13.02,122.816,93.5799,2.41368,11.6721,10.9952,120.357,141.345,2.4584,-47.7654 
4,44.765,4,25727.4,-0.0271464,56.9307,11.3237,120.955,0.0127228,-110.611,500,-5.36816,-5.29873,-4.89104,-1.90891,-2.66893,175.797,2221.64,-3.44344,26252.9,21031.9,-6.47511,-6.40568,-7.10493,-3.01586,-3.77588,0.734667,1975.07,-12.5758,26006.3,0.0811433,1.01127,-0.000891573,24340.5,-0.00406101,0.171508,12.0684,12.0207,122.036,92.9605,2.60412,11.8268,11.26,120.54,141.326,1.49602,-48.3656 
5,44.855,5,24700.3,-0.93665,54.9761,11.6914,121.094,1.36289,-164.781,4.68525,-5.33506,-6.42707,-6.23792,-3.67895,-8.50855,121.018,1991.42,-10.9676,25524.9,28234.2,-6.09708,-7.18908,-7.76195,-4.44097,-9.27057,0.776697,1821.68,-17.2542,25355.2,0.0771013,1.01685,-0.00125513,23627.1,-0.00414301,0.128023,13.6217,13.2334,122.912,92.9878,2.56154,11.8552,11.1022,120.614,140.741,2.29834,-47.7534 
6,44.815,6,22264.2,-0.239252,51.3679,11.1948,121.096,0.110407,13.0027,500,-8.99297,-5.71739,-6.14279,-6.07957,-11.1229,131.52,3529.89,-2.20261,21923.8,18766.6,-9.82111,-6.54553,-7.79908,-6.90771,-11.951,0.818729,3345.42,-9.03481,21739.4,0.15178,1.00475,-0.000766159,22041.3,-0.00410204,0.347241,10.6981,10.6768,121.675,91.7962,2.23445,11.6553,11.1407,120.644,141.263,1.03062,-49.4667 
7,44.795,7,24405.4,-0.084418,55.3027,11.203,120.893,-0.0868612,106.027,2.13029e-09,-7.96805,-7.78799,-7.95742,-5.25452,-5.87631,158.406,3611.89,-0.773364,23895.4,20468.4,-8.96549,-8.78543,-9.95231,-6.25196,-6.87375,0.756244,3389.71,-9.00226,23673.2,0.142733,1.00467,-0.000700992,23748.7,-0.00395273,0.365748,10.8054,10.2579,121.279,92.2252,2.43449,11.6607,11.041,120.498,141.745,0.781352,-49.5194 
8,44.83,8,24069.6,-1.00353,55.8333,11.4024,121.072,0.440793,-173.774,316.141,-11.3956,-4.69957,-12.1158,-6.21026,-7.88787,172.343,3189.06,3.81032,24009.5,23218,-12.4808,-5.78477,-14.2862,-7.29546,-8.97307,0.707372,2947.33,-5.14257,23767.8,0.126021,1.00306,-0.00039873,23387.6,-0.00410611,0.304674,10.7466,10.7537,121.603,91.5087,2.43669,11.6677,11.142,120.635,140.867,0.967848,-49.358 
9,44.81,9,24780.4,-0.951252,56.2501,11.487,121.191,1.46564,-944.765,62.6426,-12.0427,-2.89937,-0.4409,-4.00591,-3.4891,143.043,3701.07,0.0792487,24062.8,66110.3,-12.9434,-3.80008,-2.24231,-4.90662,-4.3898,0.920716,3500.44,-7.35157,23862.1,0.145719,1.00369,-0.000567848,24021.9,-0.00393448,0.372717,11.0074,10.3267,121.572,91.7286,2.38684,11.7445,11.2707,120.695,141.562,0.87633,-49.833 
