cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.84,0,23170,-0.0173699,51.2449,11.3411,120.6,0.0179368,-9.60964,500,-11.4187,-5.06312,-5.23246,-3.6117,-3.7603,180.96,3629.88,9.22155,22155.8,18924.8,-12.5581,-6.20257,-7.51137,-4.75115,-4.89975,0.790903,3376.07,-0.178942,21902,0.151994,1.00009,-1.50505e-05,22211.8,-0.00330027,0.355972,10.6882,10.4613,121.01,89.173,2.22717,11.7245,11.1046,120.04,138.102,0.969844,-48.9291 
1,44.79,1,21643.3,0.0792103,48.4433,-11.2424,120.682,-0.0312968,-42.6821,1.8006e-06,-8.00538,-5.07332,0.759175,-1.94789,-2.15891,225.261,2545.89,-2.34791,21820.5,17772.7,-9.42379,-6.49172,-2.07764,-3.3663,-3.57732,0.916684,2229.94,-14.0498,21504.6,0.107603,1.01115,-0.00120497,20723.9,-0.00350828,0.214192,11.6184,11.0945,121.253,89.2426,2.24231,11.6643,10.9477,120.247,137.511,1.00613,-48.268 
2,44.77,2,23975,-0.379366,52.9281,11.6039,120.733,0.12867,-299.943,3.82224,-2.13623,-1.35943,-4.93274,-1.34666,-2.14625,165.801,1795.28,-5.32955,24949.1,21249.7,-3.18024,-2.40344,-7.02076,-2.39067,-3.19025,0.613933,1562.72,-13.9426,24716.6,0.0684835,1.01586,-0.00104021,22819,-0.00409768,0.0972093,13.6076,17.9158,124.322,92.4906,2.46202,11.8699,11.1897,120.225,138.206,4.0967,-45.7158 
3,44.85,3,24066.5,-0.891814,53.8168,11.5929,120.635,0.756626,-310.976,324.19,-3.62165,-3.24588,-7.64274,-1.58662,-0.276616,167.568,3039.37,3.58255,23712.4,27969.3,-4.67678,-4.30101,-9.753,-2.64174,-1.33175,0.570433,2804.34,-5.12226,23477.3,0.121955,1.00321,-0.00040207,22994.8,-0.00357995,0.287708,11.091,10.6543,121.296,88.8366,2.34377,11.7867,11.2448,120.089,137.664,1.207,-48.8274 
4,44.765,4,22088.9,0.00826985,49.0746,11.4085,120.333,0.0560038,-70.517,500,-3.1448,-5.46164,-6.81927,-4.44402,-11.0743,179.958,1492.02,4.24876,23266.2,18354.1,-4.27795,-6.59479,-9.08557,-5.57717,-12.2075,0.759278,1239.61,-5.09972,23013.8,0.0589407,1.00725,-0.000408366,21031.5,-0.00392103,0.0758956,14.3676,18.1108,124.606,92.5943,2.31362,11.7712,11.2136,119.79,137.958,4.81572,-45.3638 
5,44.855,5,22154.4,-0.0207083,49.6724,11.1651,120.233,-0.0427644,-20.114,500,-4.54812,-1.87184,-3.15064,-1.44084,-0.121574,221.428,2562.21,-0.619368,22025.2,18082,-5.9424,-3.26611,-5.93919,-2.83512,-1.51585,0.695405,2251.63,-12.1221,21714.6,0.107599,1.00951,-0.00102941,20926.2,-0.0032978,0.237535,10.6545,10.7009,121.026,89.2093,2.27147,11.6,11.014,119.641,137.885,1.38435,-48.6753 
6,44.815,6,21261.4,0.074303,48.2974,-11.1509,120.64,-0.0571653,-59.1916,2.63195e-06,-1.69629,0.574674,-9.57833,-0.3778,-2.99707,213.993,3330.68,6.05823,20789,17642,-3.04375,-0.772781,-12.2732,-1.72526,-4.34453,0.446142,3030.53,-5.05827,20488.8,0.14675,1.00293,-0.000454985,20650.9,-0.00354487,0.330994,10.8745,10.3977,120.97,89.019,2.10584,11.6492,11.1021,120.041,137.798,0.928754,-48.7786 
7,44.795,7,21564.4,-0.0173728,49.3608,-11.1464,120.456,0.0180921,-68.198,499.617,-6.77698,-9.17831,-10.3573,-5.22732,-9.30223,204.865,2867.88,-3.96714,21455.9,17950.8,-8.06696,-10.4683,-12.9373,-6.5173,-10.5922,0.733703,2580.54,-14.6095,21168.5,0.124151,1.01001,-0.00127295,20785.5,-0.00365508,0.269764,10.994,10.6936,121.239,88.7311,2.22403,11.5887,10.992,119.848,137.28,1.39102,-48.5488 
8,44.83,8,21727.4,-0.241189,49.9314,-11.1562,120.809,0.146277,27.9057,498.374,-11.5992,-5.3224,-7.28773,-3.56265,-3.82902,180.348,3459.34,2.61721,21130.9,18266.5,-12.7348,-6.45801,-9.55894,-4.69825,-4.96463,0.751164,3206.39,-6.75154,20877.9,0.151521,1.0037,-0.000596059,21161.4,-0.00369111,0.332833,11.0776,10.6528,121.586,88.7331,2.14295,11.6541,11.1411,120.324,137.772,1.2621,-49.0393 
9,44.81,9,21790.6,-0.478011,50.4698,11.1553,120.733,-0.0745265,12.7895,3.15217e-09,-9.19571,-4.05857,-7.82043,1.7321,-2.93446,205.099,3100.55,-6.35166,21367.5,18358.7,-10.4872,-5.35002,-10.4033,0.440648,-4.22591,0.65352,2812.88,-17.0062,21079.9,0.13432,1.01069,-0.00148833,20941.6,-0.00347018,0.313531,10.5469,10.4966,121.469,88.7668,2.16686,11.5104,11.2469,120.167,137.699,1.30279,-48.9322 
