cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
174,43.248,0.25,174,24207.3,-0.963559,51.9314,12.2278,121.558,1.40027,113.567,467.212,-5.64634,-0.465842,-8.39234,0.214715,-6.97286,123.008,11282,19.2997,15655.8,25848.4,-6.42089,-1.24039,-9.94143,-0.559832,-7.7474,0.616308,11109.4,12.9096,15483.3,0.454837,0.997971,0.00153355,24425.1,-0.0033805,1.05527,12.1721,11.1318,121.641,90.7175,1.30027,12.2444,12.6003,120.649,141.47,0.99209,-50.7529 
175,43.288,0.25,175,28674.2,-0.854611,60.7843,12.012,121.216,1.15772,-362.183,2.41091e-06,-1.47069,-3.94803,-4.74939,-2.00398,-4.47598,122.792,13391.8,40.3282,17871.4,37418.2,-2.24388,-4.72122,-6.29577,-2.77717,-5.24917,0.704246,13219.6,33.9494,17699.2,0.464809,0.995526,0.00352096,28440.9,-0.00313595,1.29183,11.9383,10.8442,121.387,91.0031,1.55945,12.0519,12.1153,120.173,141.639,1.21455,-50.6355 
176,43.268,0.25,176,29052.8,-0.272004,60.0351,11.9829,121.359,0.116028,31.109,499.999,-7.03552,-5.101,-4.72863,-6.85181,-8.18495,102.44,13743.3,43.5771,17825.5,23536.2,-7.68056,-5.74604,-6.0187,-7.49685,-8.82999,0.831749,13599.6,38.2556,17681.8,0.472111,0.995101,0.00396968,28806,-0.00313392,1.29415,12.1455,10.9511,121.58,90.2346,1.51181,12.2317,12.2984,120.492,140.96,1.08793,-50.7259 
177,43.158,0.25,177,29164.4,-0.72455,62.4766,11.7523,121.319,-0.552159,596.535,142.721,-8.1363,-2.60116,-6.75049,-2.36815,-4.56298,119.709,13220.9,42.3793,18520.2,34624.6,-8.89007,-3.35494,-8.25804,-3.12193,-5.31676,0.714667,13053,36.1606,18352.3,0.452664,0.995175,0.00361649,28835.9,-0.00302883,1.3081,11.8304,10.6353,121.466,90.1849,1.66182,11.9094,11.8677,120.453,140.635,1.01387,-50.4502 
178,43.258,0.25,178,26920.7,-0.142443,56.5376,11.7817,121.795,0.0500261,53.3778,500,-11.8436,-8.87775,-13.5265,0.303753,-5.745,116.259,11922.9,31.495,17414,21771,-12.5756,-9.6098,-14.9906,-0.4283,-6.47706,0.659934,11759.8,25.4555,17251,0.442171,0.996226,0.00271084,26595.6,-0.00290304,1.13558,11.9941,10.9401,121.893,90.5639,1.47326,12.0801,12.4297,120.922,141.207,0.970572,-50.6436 
179,43.238,0.25,179,24210.3,-0.88581,51.6491,12.1268,121.366,0.824296,189.285,443.403,-3.62603,-1.16973,-9.53443,-3.06256,-5.15975,160.276,10815.8,30.8858,15856.6,25468.5,-4.63525,-2.17894,-11.5529,-4.07177,-6.16897,0.596164,10591,22.5598,15631.8,0.440662,0.996286,0.00265147,24034.4,-0.00299419,0.995442,12.2506,11.1776,121.476,90.6926,1.32961,12.1335,12.5186,120.51,141.479,0.9664,-50.7862 
180,43.193,0.25,180,27792.8,-0.116621,58.9687,11.6786,121.513,-0.00274005,17.4019,0.000145431,-6.89149,-0.366906,-7.73826,-2.53644,-2.13028,166.923,13248.8,45.3139,17006,22420.1,-7.94255,-1.41797,-9.84039,-3.58751,-3.18134,0.621083,13014.7,36.6426,16771.9,0.474323,0.995097,0.00400844,27438.5,-0.00310415,1.31772,11.8582,10.6958,121.678,90.5123,1.50133,11.9017,12.1202,120.594,141.008,1.08417,-50.4956 
181,43.148,0.25,181,27355.8,-0.0573508,58.1061,11.6384,121.625,0.0337387,-7.69996,499.652,-10.8826,-6.46531,-9.17908,-3.94636,2.03715,149.119,12982.8,35.0525,16995.8,22022.9,-11.8216,-7.40427,-11.057,-4.88532,1.09819,0.675462,12773.7,27.306,16786.6,0.469444,0.996273,0.00298751,27210.2,-0.00310089,1.30573,11.7152,10.4978,121.67,91.1117,1.55317,11.8647,11.8144,120.782,141.816,0.887901,-50.7045 
182,43.178,0.25,182,29222.5,-0.607509,62.0396,11.7508,121.21,-0.345556,47.5178,500,-6.76315,-5.45239,0.0877658,6.69471,-5.8131,198.691,13689.3,24.309,18029.6,24266.5,-8.01426,-6.7035,-2.41444,5.44361,-7.0642,0.871249,13410.7,13.9874,17750.9,0.467655,0.998178,0.00144944,28676.4,-0.00301403,1.34906,11.7644,10.7714,121.343,90.7561,1.58777,11.8561,12.1658,120.313,141.314,1.03034,-50.5581 
183,43.228,0.25,183,23008,-0.0366235,48.7383,11.8066,121.552,0.00964276,-35.9151,0.227561,-7.41207,-6.11856,-8.78772,-4.61098,-8.47686,156.939,10284.8,19.1785,15233.2,18743.6,-8.40027,-7.10677,-10.7641,-5.59919,-9.46507,0.739591,10064.6,11.0258,15013.1,0.438052,0.998087,0.00135103,22975.9,-0.00293138,0.968374,12.1104,10.929,121.715,90.3244,1.3002,12.0459,12.4181,120.667,141.081,1.04825,-50.7565 
