cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
435,43.248,0.61,435,11141,0,5,101,125,0,5,135,-5.57722,-10.0617,-23.2776,-16.9037,-16.3204,298.314,-14.5313,23724.4,-43.658,16439.4,-6.72985,-11.2144,-25.5829,-18.0563,-17.473,0.676397,-31.9648,22416.9,-61.0915,0.303633,-0.000815478,1.00148,-105.275,562.611,630.918,0.904185,32423.6,8.47036e-07,0.703377,111.859,87.2923,25.202,26.442,0.953106,577.345,647.44,0.721798 
436,43.288,0.61,436,14098,0,5,101,125,0,5,135,-2.36214,-8.89952,-15.09,-8.90764,-9.23814,358.756,-32.3491,26726.5,-58.7726,16439.4,-3.7483,-10.2857,-17.8623,-10.2938,-10.6243,0.661791,-53.3148,25154.1,-79.7384,0.357816,-0.00121263,1.00172,-149.001,522.56,553.415,0.63756,35707,8.74714e-07,0.614791,111.327,86.7939,24.7931,25.2832,0.980616,558.762,591.937,0.657484 
437,43.268,0.61,437,12858.8,0,5,101,125,0,5,135,-5.74079,-8.53149,-19.1274,-4.91061,-14.0929,336.377,-22.0038,24876,-47.4094,16439.4,-7.04048,-9.83118,-21.7268,-6.2103,-15.3926,0.639098,-41.6617,23401.7,-67.0673,0.341091,-0.00101834,1.00156,-122.142,521.769,563.64,0.679133,33528,8.56547e-07,0.633124,111.104,87.751,24.6441,25.3823,0.970915,552.065,596.589,0.67001 
438,43.158,0.61,438,15897.1,0,5,101,125,0,5,135,-6.07959,-13.8281,-15.9757,-14.5639,-10.5613,346.48,-20.2635,27486.4,-53.458,16439.4,-7.41832,-15.1669,-18.6532,-15.9026,-11.9,0.729825,-40.5118,25967.8,-73.7063,0.314144,-0.00089227,1.00154,-128.959,542.029,575.093,0.652435,36751.5,8.83162e-07,0.632179,111.645,87.1858,25.2011,25.7273,0.979549,577.306,612.916,0.67354 
439,43.258,0.61,439,12359.9,0,5,101,125,0,5,135,-9.16505,-5.03744,-12.6615,-8.34395,-13.6857,316.678,-20.0187,24687,-29.3242,16439.4,-10.3886,-6.26102,-15.1086,-9.56753,-14.9092,0.731331,-38.5254,23299,-47.8309,0.401631,-0.000945762,1.00112,-95.9224,579.26,631.055,1.16252,33959.5,8.60205e-07,0.702859,111.188,87.0716,25.403,26.2684,0.967054,586.59,638.97,0.711714 
440,43.238,0.61,440,9820.13,0,5,101,125,0,5,135,-9.39996,-8.55514,-17.3309,-9.80981,-7.64225,333.285,-35.6517,22044,-41.1233,16439.4,-10.6877,-9.84289,-19.9064,-11.0976,-8.93,0.670775,-55.1288,20583.2,-60.6005,0.431201,-0.00153283,1.0016,-127.849,560.673,614.145,0.696476,30590.2,8.3076e-07,0.706341,111.846,86.9048,25.5057,26.4461,0.96444,591.344,647.644,0.744925 
441,43.193,0.61,441,14080.5,0,5,101,125,0,5,135,-4.56123,-5.79436,-20.3101,-8.49501,-10.1703,353.041,-25.5679,26578.2,-43.3796,16439.4,-5.92531,-7.15844,-23.0382,-9.85909,-11.5344,0.599443,-46.1996,25030.8,-64.0113,0.375566,-0.0010558,1.00139,-123.013,554.123,611.885,0.77821,35635.9,8.74133e-07,0.666132,111.414,87.5066,25.1801,26.2178,0.96042,576.344,636.511,0.692893 
442,43.148,0.61,442,14449.4,0,5,101,125,0,5,135,-9.31471,-7.81892,-11.2301,-4.74856,-10.4607,293.388,-17.7676,26314.6,-47.2065,16439.4,-10.4483,-8.95252,-13.4973,-5.88216,-11.5943,0.732062,-34.9132,25028.7,-64.3521,0.311347,-0.000797736,1.0014,-112.136,517.014,578.727,0.844094,35128.4,8.69964e-07,0.628762,111.339,87.3173,24.2219,25.3934,0.953864,533.311,597.111,0.648659 
443,43.178,0.61,443,15699.4,0,5,101,125,0,5,135,-7.98696,-6.52744,-9.49861,-2.8203,-15.0716,303.203,-42.9776,27750.1,-37.2212,16439.4,-9.15847,-7.69896,-11.8416,-3.99182,-16.2431,0.758008,-60.6968,26421.2,-54.9403,0.479342,-0.00131446,1.00113,-126.625,514.76,566.304,0.576935,37023.2,8.85333e-07,0.609847,111.315,87.1083,24.8577,25.833,0.962246,561.68,617.964,0.665456 
444,43.228,0.61,444,10642.8,0,5,101,125,0,5,135,-9.50672,-9.9455,-16.2623,-9.46361,-12.8148,298.47,-35.9861,23208.2,-32.9598,16439.4,-10.6599,-11.0987,-18.5688,-10.6168,-13.968,0.713941,-53.4287,21900,-50.4024,0.469037,-0.00139604,1.00125,-113.912,562.422,610.835,0.670204,32275.9,8.45749e-07,0.69303,111.337,86.7427,25.6225,26.4588,0.968393,596.772,648.264,0.735426 
