cyc,delay from wiggle start,start of charge column,wait between wiggle 1st period and pulse,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
34,515,0.46,0.11,44.74,34,22800.9,-0.00550222,53.6334,11.8402,115.927,-0.0106193,-1.03959,500,-16.6145,-1.41581,-14.9128,-5.02285,-8.64959,-1365.62,412.773,76.2551,29015.4,20672.6,-8.01554,7.18313,2.2851,3.5761,-0.0506462,0.540974,2328.19,147.196,30930.8,0.0700017,0.900381,0.0086902,33259 
35,515,0.46,0.11,44.85,35,27222.5,-1.57478,61.4971,12.5192,115.712,1.7628,2726.69,2.96698,-3.42482,-11.0127,-5.98786,-6.87748,-18.9653,-1209.61,5256,134.768,28500.3,181534,4.19175,-3.39615,9.24528,0.73909,-11.3487,17.255,6952.59,197.605,30196.8,0.187152,0.952619,0.0119109,37149.4 
36,515,0.46,0.11,44.76,36,26942.6,-0.198888,59.7458,12.1659,115.906,0.329417,-29.2041,1.72469e-12,-19.3322,-7.46747,-11.7722,-16.5431,-14.6954,-1376.37,1684.56,92.9053,31690.5,23975,-10.6656,1.19914,5.56099,-7.87654,-6.02876,1.31223,3615.05,164.405,33620.9,0.0970848,0.926281,0.00892739,37236 
37,515,0.46,0.11,44.88,37,23368.6,-0.162855,55.2811,11.6937,116.148,-0.0737284,171.88,1.28969e-07,-7.89904,-5.97907,-8.82505,-0.361308,-3.38727,-1394.22,1581.15,82.1538,28142.5,21456.4,0.879966,2.79994,8.73297,8.4177,5.39174,0.666964,3536.67,154.581,30098,0.10515,0.928946,0.0093722,33634.7 
38,515,0.46,0.11,44.9,38,25684.7,-1.59331,59.7837,12.3545,115.837,1.99854,-1860.28,96.6634,-6.74155,-1.60213,-12.0867,-2.34552,-5.8608,-1218.87,467.87,58.7716,31634.7,145072,0.933377,6.07279,3.26315,5.3294,1.81412,0.812601,2177.46,122.09,33344.2,0.0612994,0.910645,0.00669967,35521.7 
39,515,0.46,0.11,44.75,39,25959,-0.0162045,60.3592,11.8532,115.564,0.0542759,-55.6679,1.2102e-10,-10.1711,-13.6018,-21.0116,-7.40112,-9.07073,-1397.06,847.345,55.7504,31994.3,23388.7,-1.37417,-4.80481,-3.41776,1.39582,-0.273788,0.596711,2806.86,128.325,33953.9,0.0763549,0.92592,0.00691391,36760.7 
40,515,0.46,0.11,44.8,40,30812.8,-0.0349242,66.8604,12.1566,116.039,-0.015113,-3.26219,10.9892,-5.88627,-6.26408,-24.2214,3.65509,-9.91453,-1282.13,6160.58,121.093,31114.1,26460.8,2.18697,1.80915,-8.07489,11.7283,-1.84129,2.39024,7958.89,187.697,32912.4,0.19473,0.960365,0.0103962,40871.3 
41,515,0.46,0.11,44.81,41,25509,0.0560979,57.7009,11.9118,115.788,-0.0250618,-72.2021,499.516,-13.1924,-1.50827,-17.6396,-7.2024,-3.27775,-1389.33,6118.36,114.327,25895.8,22433.5,-4.44417,7.23999,-0.143113,1.54586,5.47051,1.0148,8067.03,186.5,27844.5,0.224636,0.961115,0.0121879,35911.6 
42,515,0.46,0.11,44.89,42,26447.7,-1.36732,60.2496,12.4303,115.963,-2.41428,2754.29,500,-1.96741,0.108157,-8.14078,5.79129,-9.30501,-1240.92,988.482,94.4215,31708.3,240847,5.84634,7.9219,7.48671,13.605,-1.49127,0.775637,2728.99,158.885,33448.8,0.0754329,0.907534,0.00867428,36177.8 
43,515,0.46,0.11,44.82,43,27382.2,-0.0296573,61.5405,11.8446,115.966,0.0623168,-61.3686,499.896,-5.52095,-9.53513,-14.9255,-10.4709,0.433961,-1360.91,6448.77,135.29,27369.6,23853.4,3.04832,-0.965863,2.21303,-1.90166,9.00323,0.805825,8357.57,205.987,29278.4,0.222064,0.958652,0.0127942,37636 
44,515,0.46,0.11,44.83,44,32638,-0.171337,69.0274,12.3728,116.238,0.0464879,112.043,500,-7.29314,-8.85463,-4.2723,-10.8645,-7.4422,-1363.91,7289.95,161.967,31724.7,27972,1.29504,-0.266461,12.904,-2.27635,1.14597,-0.00795215,9202.96,232.82,33637.7,0.214818,0.957605,0.0125894,42840.7 
45,515,0.46,0.11,44.87,45,26091.1,-1.31055,61.1692,12.1495,116.11,3.39224,-4542.42,500,-8.67634,-7.62612,-12.894,-6.35602,-4.47369,-1347.51,2806.52,89.251,30222,525806,-0.191429,0.858792,4.0758,2.1289,4.01123,0.625499,4696.54,159.252,32112,0.127594,0.943984,0.00905277,36808.5 
46,515,0.46,0.11,44.79,46,30312,-0.0547279,66.5206,11.9991,115.655,-0.0908941,55.6457,500,-3.66435,-14.208,-10.4676,-9.35158,-11.1784,-1212.59,4944.02,126.886,31758.5,26148.2,3.97099,-6.57269,4.80305,-1.71624,-3.54306,2.57068,6644.8,189.877,33459.2,0.165689,0.952375,0.0103456,40104 
47,515,0.46,0.11,44.77,47,23388.2,-0.0883604,55.8482,11.7779,115.871,0.0936177,-158.478,4.6168e-09,-11.5447,-2.61507,-13.3297,-0.870917,-13.746,-1438.38,2497.96,95.6521,28049.5,21895.7,-2.48758,6.44201,4.78448,8.18616,-4.68888,0.60899,4515.42,170.373,30066.9,0.13057,0.93806,0.0103304,34582.3 
48,515,0.46,0.11,44.86,48,28144.9,-1.58439,62.5,12.6563,115.584,1.92989,-247.082,112.582,-5.77802,1.24638,-17.5608,-12.0699,-9.48013,-1308.63,3998.2,136.361,30531.6,41273.1,2.46207,9.48648,-1.08057,-3.82984,-1.24003,1.18637,5833.68,204.342,32367.1,0.152711,0.942242,0.011496,38200.8 
49,515,0.46,0.11,44.84,49,27896.6,-1.52887,62.7205,12.4255,115.901,0.21515,145.891,450.065,-6.72598,-2.61807,-8.52642,-5.979,-0.338484,-1171.42,6169.91,132.102,28104.7,26391.7,0.650146,4.75806,6.22583,1.39712,7.03764,0.689776,7812.95,192.955,29747.7,0.208009,0.958571,0.0118075,37560.7 
50,515,0.46,0.11,44.78,50,31787.4,-0.0606913,67.3622,12.3587,115.581,0.00663894,-14.0875,500,-3.15278,-7.88473,-1.28944,-14.0094,-2.05212,-1200.25,3837.2,117.739,34285.2,27104,4.40488,-0.32707,13.8259,-6.45176,5.50555,0.184673,5520.67,180.09,35968.6,0.133063,0.945996,0.00913888,41489.3 
