cyc,delay from wiggle start,wiggle time col,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,1225,0.25,44.74,17,28314.1,-1.42458,60.7405,12.7851,116.429,0.284765,4114.47,82.8256,-15.3216,-15.0044,-31.3455,-17.2589,-12.813,-1224.43,740.641,107.858,33579.3,63421.4,-7.6117,-7.29445,-15.9256,-9.54895,-5.10304,0.649862,2458.03,171.465,35296.6,0.0651053,0.891206,0.00886928,37754.7 
18,1225,0.25,44.85,18,28835.3,-1.28819,61.334,12.5938,116.857,0.239356,4706.09,472.969,-13.1384,-11.4547,-27.4376,-3.87556,-2.89816,-947.688,5551.96,143.869,29053,61814.1,-7.17108,-5.48734,-15.503,2.09177,3.06918,0.325971,6881.19,193.099,30382.2,0.184663,0.95319,0.0115723,37263.4 
19,1225,0.25,44.76,19,27108.7,-0.551997,58.6299,12.3686,116.627,0.470858,-145.126,499.999,-6.81209,-15.793,-25.7752,-13.3841,-11.8726,-1169.05,1956.96,115.241,31199.8,25831.2,0.5491,-8.43178,-11.0528,-6.02293,-4.51139,0.624945,3596.66,175.971,32839.5,0.0987113,0.921132,0.00977446,36436.2 
20,1225,0.25,44.88,20,28847.7,-0.0457475,61.6817,12.2628,116.768,-0.0174128,56.5944,500,-8.37048,-16.182,-30.8167,-11.6823,-11.2601,-1127.01,2342.48,122.909,32642.4,24655,-1.27402,-9.08551,-16.6238,-4.58587,-4.16361,0.534775,3923.22,181.455,34223.1,0.102847,0.92512,0.0096726,38146.3 
21,1225,0.25,44.9,21,26056.1,-0.00286739,57.6499,11.9142,116.58,-0.0188228,-54.7416,5.57741e-12,-7.39634,-17.7017,-28.1055,-18.4237,-13.3659,-1205.01,775.997,91.5502,31446.3,22392.8,0.191282,-10.114,-12.9303,-10.8361,-5.77829,0.672381,2466.14,154.148,33136.4,0.0692686,0.9014,0.00849652,35602.6 
22,1225,0.25,44.75,22,25054.1,-0.302116,55.9811,12.1804,116.364,-0.0463809,106.032,499.95,-7.8401,-9.19274,-32.9617,-11.9186,-10.758,-1379.14,1169.66,106.344,30540.8,22357.4,0.844001,-0.508644,-15.5934,-3.23448,-2.07387,0.241801,3104.04,177.988,32475.2,0.0872432,0.908805,0.0099952,35579.2 
23,1225,0.25,44.8,23,28637.5,-1.33228,62.8532,12.3006,116.634,-0.0660364,-3956.73,6.6916,-11.0863,-8.06575,-31.1227,-10.4534,-2.46722,-950.284,5680.05,131.236,28858.6,33673.8,-5.10265,-2.08206,-19.1553,-4.46971,3.51647,0.298167,7012.92,180.601,30191.5,0.188497,0.956876,0.0108991,37204.4 
24,1225,0.25,44.81,24,25595.6,-1.4031,57.0837,12.4959,116.744,1.78144,-310.271,0.0507869,-8.39864,-20.1842,-32.4978,-12.8622,-9.77196,-1233.8,6805.39,156.606,25327.6,41213.8,-0.629713,-12.4153,-16.9599,-5.09324,-2.00303,0.542873,8535.92,220.7,27058.1,0.239813,0.956712,0.0148028,35594 
25,1225,0.25,44.89,25,24762.3,-1.40675,56.9279,12.265,116.758,-0.957515,816.622,137.787,-13.1755,-12.807,-26.7567,-5.86005,-16.7306,-1112.04,1228.56,102.519,29778.5,48183.8,-6.17334,-5.80482,-12.7523,1.14215,-9.72844,0.617241,2788.3,160.287,31338.3,0.0817047,0.908595,0.00933397,34126.6 
26,1225,0.25,44.82,26,25176.6,-0.955713,57.8197,12.0065,116.867,0.515262,319.64,0.00884714,-24.7119,-15.1251,-37.5478,-14.8241,-23.3664,-1152.14,6230,109.606,25404.8,27960.4,-17.4572,-7.87039,-23.0384,-7.56936,-16.1117,0.680231,7845.99,169.457,27020.8,0.225028,0.96358,0.0114206,34866.8 
27,1225,0.25,44.83,27,24815.8,-1.26571,55.289,12.3455,116.992,0.192195,3966.6,10.2011,-20.6007,-10.5307,-38.8455,-17.3641,-10.7949,-1013.51,5993.19,143.653,24720.5,47037.3,-14.2189,-4.14892,-26.0819,-10.9823,-4.4131,0.564176,7414.74,196.303,26142.1,0.220961,0.955721,0.0136438,33556.8 
28,1225,0.25,44.87,28,28121.5,-0.0112634,59.1637,12.3313,116.773,-0.0434509,12.9439,0.00612606,-13.4053,-15.0344,-23.1541,-15.2227,-16.0544,-1109.84,3117.79,121.516,31164.7,23768.1,-6.41696,-8.04607,-9.17738,-8.23437,-9.06609,0.775838,4674.45,179.17,32721.3,0.124999,0.93714,0.00998596,37395.8 
29,1225,0.25,44.79,29,27757.4,-0.385244,61.5327,12.0328,116.377,-1.11793,1700.42,500,-14.8456,-11.8063,-32.1122,-11.0247,-22.4362,-1187.96,5050.81,137.512,29555.9,85984.8,-7.36532,-4.32598,-17.1517,-3.54439,-14.9559,0.637717,6717.04,199.224,31222.1,0.177048,0.950657,0.0116177,37939.2 
30,1225,0.25,44.77,30,25490.7,-0.0542143,56.5628,11.78,116.568,0.0955139,-76.2359,0.162606,-9.44984,-6.02909,-22.7539,-7.44842,-11.2331,-1006.8,2752.03,99.7579,28599.4,21927.6,-3.11028,0.310475,-10.0747,-1.10885,-4.8935,0.466293,4164.17,152.059,30011.5,0.121846,0.939935,0.00924708,34175.7 
31,1225,0.25,44.86,31,26405.8,0.0358203,58.6823,11.9824,116.327,-0.121583,71.9883,2.88964e-11,-18.0032,-19.403,-28.6857,-12.9705,-18.211,-1249.18,4264.44,112.527,28940.8,23174.9,-10.1374,-11.5373,-12.9542,-5.10478,-10.3453,0.741325,6016.54,177.419,30692.8,0.163896,0.950927,0.0105361,36709.4 
32,1225,0.25,44.84,32,25094,-1.30891,57.9126,11.9751,116.603,0.456478,588.289,238.906,-7.71166,-9.68657,-15.3153,-25.8151,-18.5679,-1065.19,5772.21,131.066,25518.7,31318,-1.00443,-2.97935,-1.90082,-19.1079,-11.8607,0.948422,7266.25,186.4,27012.7,0.211974,0.957036,0.0125518,34278.9 
33,1225,0.25,44.78,33,24523.6,-0.699781,56.094,11.8745,116.476,0.950692,-573.198,500,-13.4587,-12.0444,-25.5576,-14.1176,-19.5689,-1219,3831.21,111.878,26929.8,39422.8,-5.78303,-4.36873,-10.2062,-6.44188,-11.8932,0.736227,5540.98,175.202,28639.6,0.162109,0.947567,0.0111435,34180.6 
