cyc,delay from wiggle start,charge col start,wait,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
68,195,0.78,0.09,44.74,68,21932.2,-0.00401041,50.3422,11.8266,116.287,0.00622116,-11.5801,2.10982e-10,-10.9577,-26.4837,-19.7854,-5.97528,-8.80509,-1149.44,571.868,93.786,27646.9,19383.9,-3.71998,-19.246,-5.30994,1.26246,-1.56735,0.814213,2184.07,153.497,29259.1,0.069461,0.89048,0.00957145,31443.2 
69,195,0.78,0.09,44.85,69,24162.6,-1.22289,54.7555,12.1179,116.412,1.05734,1828.7,282.847,-10.4996,-12.4418,-17.3741,-10.3358,-16.9398,-857.651,4266.71,107.143,25434.8,84543.5,-5.09919,-7.04141,-6.57326,-4.93539,-11.5394,0.8132,5469.65,151.697,26637.8,0.170355,0.953712,0.0103815,32107.4 
70,195,0.78,0.09,44.76,70,25000.8,-1.40573,57.4023,12.2379,116.423,1.32022,-558.976,5.90005,-15.0965,-17.9387,-25.6567,-2.84786,-21.168,-1185.15,1836.49,75.0778,29510.2,46891.4,-7.63389,-10.4762,-10.7315,4.61471,-13.7055,0.717087,3498.78,136.644,31172.5,0.100913,0.936026,0.00801014,34671.3 
71,195,0.78,0.09,44.88,71,23246.1,-0.0896379,52.8917,11.8521,116.021,0.0285088,-6.78372,500,-7.08084,-15.4087,-31.6255,-8.67046,-11.3408,-1010.32,1405.06,91.4088,28001,20413.2,-0.719118,-9.04699,-18.9021,-2.30873,-4.97905,0.474299,2822.13,143.893,29418,0.0875346,0.918082,0.00892986,32240.2 
72,195,0.78,0.09,44.9,72,27329.1,-1.37522,60.068,12.4789,116.452,12.1606,-5443.21,154.341,-5.55107,-18.67,-21.8012,-9.78025,-9.5255,-1094.19,346.947,63.1653,32889.6,2.17918e+06,1.33874,-11.7802,-8.02162,-2.89044,-2.63569,0.665615,1881.65,120.006,34424.3,0.0518276,0.899596,0.00638076,36306 
73,195,0.78,0.09,44.75,73,25751.2,-1.3823,57.8662,12.3753,116.566,1.67138,422.851,113.814,-7.7762,-7.92051,-30.6154,-8.6934,-19.6625,-1072.39,1061.95,75.2383,30706.1,46318.6,-1.02366,-1.16797,-17.1103,-1.94086,-12.91,0.499007,2566.08,130.947,32210.2,0.0737882,0.918019,0.00743319,34776.3 
74,195,0.78,0.09,44.8,74,27656.1,-0.77879,60.0511,12.3324,116.794,-0.00434198,551.084,500,-19.6954,-13.8964,-33.0311,-16.4117,-17.1065,-1100.33,5821.38,141.689,28014.5,24186.1,-12.7669,-6.9679,-19.1742,-9.48325,-10.1781,0.67263,7364.7,198.848,29557.8,0.199464,0.954881,0.012241,36922.5 
75,195,0.78,0.09,44.81,75,28102.6,-0.206336,57.6648,12.2289,116.869,-1.21495,1583.55,21.1847,-15.1241,-14.0925,-23.2041,-13.0611,-5.49478,-854.204,6014.06,134.74,27359.4,85586.4,-9.74544,-8.7138,-12.4467,-7.68241,-0.11609,0.678416,7212.16,179.114,28557.5,0.201628,0.958349,0.0114218,35769.7 
76,195,0.78,0.09,44.89,76,24812.3,-1.29282,54.1396,12.663,116.353,0.936314,-139.597,214.191,-9.13846,-4.09131,-17.4703,1.15336,-13.6184,-932.458,958.849,88.4556,29459.5,26572.5,-3.26702,1.78013,-5.72747,7.0248,-7.74695,0.278339,2266.71,136.895,30767.4,0.0686173,0.904414,0.00812955,33034.1 
77,195,0.78,0.09,44.82,77,26181,-0.0215995,54.6492,12.4552,116.85,-0.0197088,-41.1752,5.9493,-9.30754,-7.3454,-28.9699,-21.2175,-15.2363,-967.874,6280.82,152.632,25625.2,22184.3,-3.21309,-1.25096,-16.781,-15.123,-9.14184,0.631267,7638.35,202.912,26982.7,0.220628,0.955577,0.0136635,34621 
78,195,0.78,0.09,44.83,78,25072.4,-0.060582,53.7046,12.1475,116.801,0.00795739,1.96812,500,-17.0297,-13.0463,-22.4509,-17.2124,-11.7447,-847.025,5836.4,144.382,24855.2,21237.5,-11.6962,-7.71284,-11.784,-11.8789,-6.41124,0.761859,7024.43,188.383,26043.3,0.212426,0.955172,0.0131496,33067.7 
79,195,0.78,0.09,44.87,79,23938.6,-1.18744,53.4924,12.238,116.517,0.844504,-735.334,161.902,-3.86614,-13.084,-32.239,-11.5737,-23.8537,-877.318,2287.97,89.0241,27047.3,41526.1,1.65809,-7.55981,-21.1906,-6.04946,-18.3295,0.588303,3518.5,134.599,28277.8,0.110657,0.937255,0.00869198,31796.3 
80,195,0.78,0.09,44.79,80,25255.8,-0.300775,54.2592,12.1464,116.473,0.254623,129.316,9.86483e-08,-11.3056,-14.2633,-28.727,-14.1812,-8.95168,-868.357,4760.59,119.406,25922.7,22526.2,-5.83779,-8.79552,-17.7913,-8.71336,-3.48387,0.601287,5978.54,164.516,27140.7,0.180516,0.954056,0.0110428,33119.2 
81,195,0.78,0.09,44.77,81,25462.7,-0.318375,56.1467,12.0493,116.049,0.0671995,201.387,124.697,-10.596,-14.891,-27.3291,-14.5373,-20.305,-1105.42,2750.87,114.632,28582.4,22463.8,-3.6354,-7.93044,-13.408,-7.57677,-13.3445,0.707855,4301.34,172.056,30132.9,0.124915,0.934578,0.0104088,34434.2 
82,195,0.78,0.09,44.86,82,25932,-1.26932,57.4921,12.2875,116.672,1.31957,774.941,62.7941,-13.9899,-10.5444,-24.3203,-15.1896,-5.90831,-940.263,3412.1,95.1094,28171.8,56285.4,-8.06937,-4.62383,-12.4792,-9.26898,0.0122721,0.63754,4730.91,143.954,29490.6,0.138244,0.949442,0.00891183,34221.5 
83,195,0.78,0.09,44.84,83,28416.3,-1.14392,59.9554,12.448,116.843,0.885415,852.497,207.116,-15.9403,-15.8713,-27.2782,-11.796,-9.07282,-873.84,5697.59,136.413,27870.9,48867.1,-10.438,-10.369,-16.2735,-6.29364,-3.57048,0.653346,6923.24,181.808,29096.5,0.192207,0.956063,0.0113793,36019.8 
84,195,0.78,0.09,44.78,84,23637.4,-1.3048,54.1639,12.2112,116.628,0.729062,2.52291,233.735,-13.7873,-11.423,-26.7358,-4.07208,-4.34585,-1014.54,3424.88,108.307,25961.6,21590.9,-7.399,-5.03469,-13.9592,2.31621,2.04244,0.366477,4847.87,161.011,27384.6,0.150403,0.945071,0.0107148,32232.5 
