cyc,delay from wiggle start,charge col start,wait,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,115,0.86,0.01,44.74,0,20896.3,-0.132246,48.8917,11.8053,117.195,-0.870373,426.203,492.433,-15.0891,-4.39577,-35.0761,-14.3408,-13.4874,-1103.76,492.313,81.5981,26747,30864.9,-8.13904,2.55433,-21.1759,-7.39073,-6.53734,0.479563,2040.45,138.936,28295.2,0.0672624,0.893528,0.00896412,30335.6 
1,115,0.86,0.01,44.85,1,24196.3,-0.00862844,53.9743,12.0005,117.171,-0.0349712,-7.81733,500,-10.0066,-6.64449,-24.502,-16.0488,-10.9379,-1128.28,5018.61,117.621,25612.6,21094.2,-2.90213,0.460014,-10.293,-8.94425,-3.83335,0.596555,6601.14,176.233,27195.2,0.195321,0.955365,0.0117966,33796.3 
2,115,0.86,0.01,44.76,2,22568.9,-0.519788,50.956,12.1184,116.812,0.298669,-757.819,500,-9.11352,-6.58455,-31.5754,-14.8934,-14.4559,-990.79,1620.39,89.5375,26904.1,27469.8,-2.87478,-0.345807,-19.098,-8.65464,-8.21712,0.512687,3010.07,141.007,28293.7,0.0961566,0.924232,0.00909696,31303.8 
3,115,0.86,0.01,44.88,3,22211.3,-0.920428,51.2873,12.2622,117.067,-0.131138,1130.21,500,-20.1581,-19.5251,-26.1366,-21.1285,-6.84264,-1089.5,1809.85,104.99,26841.1,25297.4,-13.2978,-12.6648,-12.416,-14.2682,0.0176458,0.764085,3337.97,161.587,28369.2,0.105275,0.921901,0.0103834,31707.2 
4,115,0.86,0.01,44.9,4,22425,-0.0302299,52.7989,-11.6718,117.006,-0.0890543,35.8917,500,-13.9282,-23.3236,-25.0355,-9.10161,-10.2378,-1197.11,541.36,65.3987,28549,20165.2,-6.39031,-15.7857,-9.95972,-1.56372,-2.69989,0.726376,2220.43,127.586,30228.1,0.0684293,0.908632,0.00771516,32448.5 
5,115,0.86,0.01,44.75,5,24559.2,-0.066603,55.8821,11.932,116.798,0.00714549,-4.36331,500,-7.79412,-19.233,-33.1735,-11.7141,-10.7625,-1149.32,899.751,68.9261,30300.4,21707.1,-0.557122,-11.9961,-18.6995,-4.47706,-3.52546,0.523643,2511.79,128.631,31912.4,0.0729659,0.917752,0.00737036,34424.2 
6,115,0.86,0.01,44.8,6,26314.6,-1.31668,58.2561,12.3748,116.762,-34.5896,31447,246.346,-23.8099,-15.0272,-27.4455,-8.99464,-18.5985,-1018.79,6048.61,113.183,26363.4,3.5433e+07,-17.3949,-8.61214,-14.6155,-2.57962,-12.1834,0.736114,7477.56,166.107,27792.3,0.21201,0.96258,0.0108898,35269.9 
7,115,0.86,0.01,44.81,7,22800.4,-0.369849,51.743,11.8843,117.337,-0.817978,334.318,1.13012e-07,-9.44347,-9.46532,-23.3901,-20.8992,-12.1025,-988.684,5993.74,124.737,22840.5,28920.3,-3.21799,-3.23984,-10.9391,-14.6737,-5.87698,0.711732,7380.46,176.097,24227.3,0.233502,0.959919,0.0132125,31607.7 
8,115,0.86,0.01,44.89,8,23438.8,-1.36686,53.6881,12.3702,116.872,-0.96233,2064.55,85.9047,-14.6234,-14.7751,-32.7025,-12.8666,-26.2576,-1031.52,972.757,84.2041,28564,86296,-8.12824,-8.27994,-19.7121,-6.37143,-19.7625,0.683361,2419.56,137.789,30010.8,0.0746078,0.909373,0.00838678,32430.3 
9,115,0.86,0.01,44.82,9,24640.8,-1.31724,54.0184,12.6739,116.861,0.402039,998.479,0.504695,1.06741,-11.3764,-32.5423,-20.0261,-17.5285,-885.846,6489.9,143.027,24118.7,35354.6,6.64535,-5.79848,-21.3864,-14.4481,-11.9505,0.544371,7732.39,189.045,25361.2,0.233652,0.958971,0.0135452,33093.6 
