cyc,delay from wiggle start,charge col start,wait,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
45,205,0.77,0.1,44.75,45,46687.9,0.0118014,74.6883,13.1654,115.576,-0.187278,121.358,500,10.2841,5.24032,1.35865,6.16712,1.16902,872.379,3719.39,250.885,42724.3,32749.6,4.791,-0.252822,-9.62763,0.673979,-4.32412,-0.10161,2495.79,205.567,41500.8,0.0567269,0.874019,0.00904205,43996.5 
46,205,0.77,0.1,44.89,46,45494.7,0.185328,73.4289,-13.0086,115.644,-0.546922,324.154,500,3.83626,5.2465,2.08016,3.74169,1.8307,857.218,2957,190.14,42601.9,36866.3,-1.56142,-0.151171,-8.71518,-1.65598,-3.56698,0.443145,1754.67,145.609,41399.6,0.0406604,0.873193,0.00643729,43154.3 
47,205,0.77,0.1,44.84,47,48420.3,0.285708,77.6928,13.1204,115.874,-0.0166217,-542.515,34.385,8.19739,5.28191,7.7991,4.98145,3.12165,1003.38,10488.5,337.306,37857.8,33477.1,1.87936,-1.03612,-4.83697,-1.33658,-3.19638,0.432727,9081.16,285.182,36450.4,0.199448,0.947906,0.0142076,45531.6 
48,205,0.77,0.1,44.81,48,46992.4,0.379901,77.0838,12.683,116.207,-0.271631,194.079,98.7362,7.36451,6.02589,14.6844,4.75529,0.133474,853.524,9727.53,264.451,36959.3,33542.1,1.99009,0.651477,3.93556,-0.619123,-5.24094,-4.48842,8530.38,220.112,35762.1,0.192592,0.956795,0.0112108,44292.5 
49,205,0.77,0.1,44.76,49,42232.3,0.412422,68.0047,12.8029,115.67,-1.89709,1986.33,163.35,10.0704,7.41556,4.41318,4.47724,-2.39852,846.019,4003.5,221.933,38123.6,151012,4.74323,2.0884,-6.24114,-0.849915,-7.72568,0.218402,2816.87,177.984,36937,0.0708579,0.900436,0.00879823,39753.8 
50,205,0.77,0.1,44.77,50,47241.5,-0.0483775,75.825,13.151,116.091,0.0486731,-40.0131,1.14844e-11,12.8907,5.33973,11.1268,6.22951,-2.68154,863.942,5527.52,221.561,41351.2,32524.7,7.45067,-0.100282,0.246797,0.789499,-8.12155,0.0691491,4315.76,176.681,40139.4,0.0970811,0.933147,0.00804314,44455.2 
51,205,0.77,0.1,44.87,51,44615.7,0.100605,71.6188,13.1429,116.093,0.297466,-183.123,499.991,10.1199,2.76699,9.5542,1.5291,-2.08883,872.355,5173.5,228.11,39063.4,32415.1,4.62688,-2.726,-1.43178,-3.96388,-7.58182,0.870739,3949.93,182.793,37839.9,0.0945191,0.925082,0.00882014,41789.8 
52,205,0.77,0.1,44.8,52,48141.6,0.113792,76.4303,13.2165,115.681,-0.94561,-223.928,499.508,11.3893,6.73889,7.39859,4.54419,-0.49232,951.355,9075.4,283.384,38733.2,39776.5,5.39888,0.748463,-4.58226,-1.44623,-6.48275,0.27996,7741.03,233.963,37398.8,0.17149,0.949765,0.0113927,45139.9 
53,205,0.77,0.1,44.79,53,46364.9,0.315288,73.5644,13.2042,116.099,0.040859,107.419,494.699,11.8315,4.48583,6.47352,4.08607,-2.33431,950.305,8688.32,288.805,37454.6,31763.9,5.84773,-1.49799,-5.49412,-1.89775,-8.31813,0.516373,7355.42,239.439,36121.7,0.169179,0.946103,0.0120634,43477.1 
55,205,0.77,0.1,44.83,55,45937.1,-0.0248692,72.8689,13.3927,116.206,-0.0203593,5.65246,500,11.159,7.81898,3.85551,4.49467,0.377122,1065.78,10472.7,336.462,35281.6,31772.8,4.44802,1.10803,-9.56639,-2.21628,-6.33383,0.238372,8977.83,281.097,33786.7,0.209936,0.948054,0.0150945,42764.6 
56,205,0.77,0.1,44.82,56,44275,0.394907,70.4442,13.021,116.047,-0.287002,138.47,2.85249,10.1796,4.73123,6.96408,-0.936329,-0.467688,1016.68,10399,307.447,33680.9,31153.5,3.77785,-1.67052,-5.83943,-7.33809,-6.86945,0.674496,8973,254.633,32254.9,0.217644,0.952689,0.0143338,41227.9 
57,205,0.77,0.1,44.78,57,46840.5,-0.0288224,74.0687,13.3184,116.163,-0.489346,460.945,486.798,7.65691,6.73432,6.28926,0.973156,-0.767118,948.011,7356.36,279.793,39169.1,39455.9,1.68754,0.764941,-5.64949,-4.99622,-6.73649,0.621595,6026.68,230.545,37839.4,0.137388,0.937256,0.0110989,43866.1 
58,205,0.77,0.1,44.86,58,46701.6,0.204278,75.0792,13.0928,116.247,0.0431539,-190.913,0.084729,13.7658,6.05922,5.17711,2.51152,-1.25368,830.499,6798.3,230.67,39519,32267.9,8.53637,0.829791,-5.28175,-2.71791,-6.48311,-0.0322742,5633.45,187.527,38354.1,0.128069,0.944952,0.00892632,43987.6 
59,205,0.77,0.1,44.85,59,44937.2,0.392868,71.7878,12.9765,116.048,-0.454743,417.648,188.094,10.9856,4.91947,6.62691,2.85715,3.63335,932.341,7950.51,268.354,36793,36507.7,5.11489,-0.951238,-5.1145,-3.01356,-2.23736,0.175315,6642.81,219.921,35485.3,0.157681,0.945236,0.0112876,42128.1 
