cyc,delaytime,windowsamples,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
13,11.3,16,44.703,13,33782.7,-0.511294,66.1256,11.9741,116.314,0.0241605,471.519,425.949,1.41199,4.17629,-3.28887,1.58098,1.46305,149.239,1173.43,43.1069,34149.9,26146.4,0.472276,3.23657,-5.16831,0.641263,0.523333,-16.5278,964.112,35.3543,33940.6,0.0276213,0.939697,0.00191516,34904.7 
14,11.3,16,44.743,14,33129.4,-0.0519267,64.649,11.6914,116.052,0.0598846,-109.876,9.10808e-11,-2.14109,-0.119702,-2.69934,-4.03813,-0.961268,56.0433,2423.49,61.4746,31984.8,24819.2,-2.49398,-0.472592,-3.40512,-4.39102,-1.31416,0.718046,2344.89,58.5633,31906.2,0.0684616,0.958124,0.00336976,34251.1 
15,11.3,16,44.843,15,31752.4,-0.0237732,62.7085,11.5435,116.4,0.00258875,-60.3071,499.419,1.8551,1.67843,-5.52559,-2.21612,2.90779,143.133,3093.96,60.4777,29999.3,23569.6,0.953833,0.777162,-7.32813,-3.11739,2.00652,-0.0924452,2893.2,53.0423,29798.5,0.0884995,0.968914,0.00326829,32691.7 
16,11.3,16,44.723,16,32532.6,-0.0458961,63.4603,11.6959,115.873,-0.0843962,207.445,1.44426e-11,-2.20891,4.51514,0.759831,-1.70303,1.1215,108.238,1929.17,67.5771,31975.7,24731.9,-2.89046,3.83359,-0.603263,-2.38457,0.439958,0.624076,1777.35,61.9544,31823.9,0.0528955,0.942506,0.00357338,33601.2 
17,11.3,16,44.883,17,31928.9,-0.0189366,63.6123,11.4712,116.204,-0.0318931,27.2081,2.51142e-11,2.08037,0.352741,-3.70479,-2.4386,-0.284621,85.4394,2221.96,60.3991,31116.9,23782.8,1.54238,-0.185249,-4.78077,-2.97659,-0.82261,0.338104,2102.13,55.9607,30997,0.06351,0.955487,0.00331463,33099.2 
18,11.3,16,44.863,18,34351.2,-0.0479874,67.6966,11.6151,116.298,0.0918705,38.5385,486.388,-2.13359,-2.62681,-5.14077,-5.4521,-0.187677,96.4978,2796.95,68.0477,32840.9,25711.9,-2.74121,-3.23443,-6.35602,-6.05972,-0.795298,0.668728,2661.6,63.0348,32705.5,0.0752563,0.960204,0.00353781,35367.1 
19,11.3,16,44.943,19,32039.5,-0.0134202,61.5803,11.7941,116.24,0.00747672,-111.962,500,1.69732,-1.11655,1.08562,1.4716,-1.90524,73.8252,988.121,58.3277,32189.3,23670.2,1.23246,-1.5814,0.155905,1.00675,-2.37009,1.10017,884.574,54.4926,32085.7,0.0268294,0.902685,0.00311877,32970.3 
20,11.3,16,44.903,20,33692.7,-0.0333402,64.9166,11.7867,116.364,-0.0445455,3.25282,1.9542e-11,-0.964826,-1.73622,-2.86961,-0.943955,-2.18223,55.2754,1971.74,57.4939,32980.5,24912.9,-1.31288,-2.08427,-3.56572,-1.29201,-2.53028,0.669387,1894.21,54.6225,32903,0.0544358,0.95196,0.00304877,34797.2 
21,11.3,16,44.823,21,33569,-0.00231359,66.6234,11.5089,116.523,-0.0393601,11.4872,500,3.96985,1.76912,-2.73317,-1.95441,2.16404,70.0617,3439.48,53.0742,31611.3,24975.4,3.52869,1.32796,-3.61549,-2.39557,1.72288,7.36016,3341.21,49.4347,31513,0.0958624,0.974761,0.0028814,34854.2 
22,11.3,16,44.783,22,34136.1,-0.135868,66.0534,11.7658,116.51,0.832806,-440.949,0.275957,1.86645,-3.0345,-6.30562,-2.25052,-1.81587,-28.2666,3576.34,71.4865,31772.9,37253.9,2.04444,-2.85651,-5.94965,-2.07253,-1.63789,0.431859,3615.99,72.9549,31812.6,0.102064,0.965897,0.00420668,35428.6 
23,11.3,16,44.763,23,32940.8,-0.38054,65.4707,11.5881,116.446,-1.45751,-394.851,33.4251,0.240048,1.40982,3.49643,-1.7521,3.12297,151.321,2739.36,44.9991,31376.4,43431.9,-0.712782,0.456987,1.59077,-2.70493,2.17014,-0.988001,2527.12,37.1383,31164.2,0.0750082,0.974927,0.00219043,33691.3 
24,11.3,16,44.803,24,33853.9,-0.142178,67.3362,11.4862,116.238,-0.077432,167.39,499.988,-1.03368,0.0767601,-2.22619,-2.74129,0.724569,138.975,3361.71,61.4516,31706.9,25599.9,-1.90877,-0.798331,-3.97637,-3.61638,-0.150521,0.6195,3166.78,54.2321,31511.9,0.0913178,0.970903,0.00316025,34678.7 
25,11.3,16,44.923,25,32187.6,0.000862618,62.104,11.7865,116.123,-0.0577468,57.2635,500,1.82588,1.14401,2.09671,1.77711,0.791368,136.038,1344.99,46.5812,32149.4,23936.4,0.969286,0.287409,0.38352,0.920514,-0.0652283,0.846315,1154.18,39.5143,31958.6,0.034856,0.943474,0.00227244,33112.8 
