cyc,delaytime,windowsamples,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
4,1.3,3,44.843,4,32775.3,-0.289479,65.2526,11.4131,115.209,-0.158744,852.61,253.768,0.382522,0.280528,1.18298,1.36638,0.0304087,119.5,2920.21,49.7572,30839.9,28649.6,-0.369939,-0.471933,-0.321945,0.613923,-0.722052,0.746888,2752.6,43.5494,30672.3,0.0823517,0.973059,0.00260865,33424.9 
5,1.3,3,44.893,5,32756.7,0.147983,65.2765,11.3039,115.105,-0.176521,-126.353,500,0.53175,0.269892,4.79354,-2.30448,-3.00546,75.8806,2550.66,54.2939,31296.2,24746.4,0.0539501,-0.207907,3.83794,-2.78228,-3.48325,2.48668,2444.23,50.3521,31189.8,0.0726715,0.965204,0.00296504,33634 
6,1.3,3,44.853,6,33144.6,-0.0318484,65.3354,11.3831,114.851,-0.0103765,0.0723596,2.34684e-11,2.4413,0.682852,0.723682,-0.0219951,-0.665368,61.8228,2936.69,55.7995,31150.3,24210.6,2.05202,0.29357,-0.0548819,-0.411277,-1.05465,1.06654,2849.98,52.5879,31063.5,0.0840366,0.968719,0.00310883,33913.5 
7,1.3,3,44.693,7,32706.9,0.00314938,64.1335,11.4395,115.203,-0.0677685,67.6703,500,0.812497,-0.395224,2.2478,-0.277164,0.222425,87.8001,2665.34,61.9635,30986.1,24032.2,0.259643,-0.948077,1.14209,-0.830018,-0.330429,2.6159,2542.19,57.4024,30862.9,0.0761018,0.961987,0.00341446,33405.1 
8,1.3,3,44.813,8,32177.5,-0.286381,63.7165,11.4793,115.241,0.175043,-538.428,4.51348,5.04893,0.0378771,-0.673141,-0.207965,-3.94975,117.316,2990.33,56.4702,30167.2,26878.3,4.31022,-0.700832,-2.15056,-0.946675,-4.68845,0.485057,2825.78,50.3759,30002.6,0.0860773,0.969746,0.00308345,32828.4 
9,1.3,3,44.933,9,33808.5,-0.320084,67.0836,11.4882,115.216,0.19791,165.244,366.772,3.36641,1.78251,2.12566,-0.99867,-2.13636,82.1172,2440.73,50.4571,32418.1,26152.4,2.84934,1.26544,1.09152,-1.51574,-2.65343,-0.0524443,2325.55,46.1912,32302.9,0.0671571,0.966408,0.00262718,34628.5 
10,1.3,3,44.823,10,32103.4,-0.0808016,64.2387,11.3485,115.224,-0.109034,449.962,498.193,1.75407,-0.809782,2.1245,1.01879,-0.997852,103.87,2863.39,44.7018,30326.5,25328.8,1.10003,-1.46382,0.81642,0.364754,-1.65189,1.97833,2717.71,39.306,30180.9,0.0826086,0.975315,0.00239332,32898.6 
11,1.3,3,44.653,11,30315.8,-0.286393,61.7516,11.1885,115.43,0.0194732,523.98,413.763,1.8085,-3.23392,-1.65866,1.15692,0.733045,46.7457,1970.6,36.854,29365.4,22823.5,1.51415,-3.52826,-2.24735,0.862576,0.438699,0.240808,1905.03,34.4257,29299.9,0.0610491,0.969345,0.00215969,31204.9 
12,1.3,3,44.573,12,31560.5,-0.247826,62.1364,11.4851,114.954,-0.306631,123.837,33.6326,1.10623,-2.17351,-0.944525,-0.407188,0.663414,84.3658,1619.39,43.8461,30873.2,24467.7,0.575,-2.70474,-2.00698,-0.938417,0.132184,0.593971,1501.06,39.4635,30754.8,0.0465361,0.956016,0.00235815,32255.9 
13,1.3,3,44.613,13,32798.1,0.181819,64.5007,11.3952,115.079,-0.124787,26.5309,500,-2.83272,-1.50598,0.274977,1.49927,1.34445,66.2296,1813.92,49.9601,31983.5,24034.4,-3.24975,-1.92301,-0.559084,1.08224,0.927424,0.849797,1721.03,46.5196,31890.6,0.0512033,0.954834,0.00267992,33611.7 
14,1.3,3,44.973,14,31515.9,0.00114495,62.5291,11.3177,115.102,-0.034109,18.0843,500,1.7489,-1.00263,-2.14268,-0.815813,0.0382578,83.0104,2245.54,47.3147,30208.2,23057.7,1.2262,-1.52533,-3.18807,-1.33851,-0.484437,0.399626,2129.11,43.0025,30091.8,0.0660785,0.965861,0.00262554,32220.9 
15,1.3,3,44.803,15,31121.9,-0.277502,62.2422,11.4243,115.151,2.24588,-1609.13,268.533,-0.359565,0.393737,3.8015,1.80703,0.950184,96.8802,2800.48,38.2025,29404.6,140793,-0.969593,-0.216292,2.58144,1.19701,0.340155,0.119778,2664.6,33.1698,29268.7,0.0834427,0.97868,0.00208328,31933.3 
16,1.3,3,44.733,16,31702.1,-0.016316,63.3998,11.2873,115.36,-0.0913377,204.474,22.5627,0.288932,0.159394,2.7068,-0.93822,-1.08646,98.9092,2820.78,45.1492,29943.5,23903.5,-0.333873,-0.463411,1.46119,-1.56102,-1.70926,1.56062,2682.05,40.011,29804.8,0.0825579,0.974558,0.00246681,32486.8 
17,1.3,3,44.773,17,32942.6,-0.130069,65.0063,11.4216,115.309,-0.0842993,-436.408,495.457,2.17763,4.15129,-3.38435,-0.565967,0.0515337,102.731,3101.98,46.5023,30787.3,25367.6,1.53076,3.50442,-4.67809,-1.21284,-0.595339,-2.22383,2957.89,41.1656,30643.2,0.0880297,0.976224,0.00246855,33601.1 
18,1.3,3,44.793,18,32851.9,-0.0383904,64.5074,11.4241,115.018,-0.0349496,64.4799,2.60751e-11,2.15177,-1.93639,1.36989,0.282614,1.72863,105.086,2863,55.7305,30853.5,24063.1,1.49007,-2.59809,0.0464842,-0.379087,1.06693,1.12439,2715.61,50.2715,30706.1,0.0812526,0.96862,0.00300679,33421.8 
