cyc,delaytime,precharge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
63,11.03,10.06,44.723,63,34113.9,-0.447794,66.8425,11.8456,114.922,-1.67004,3600.46,333.909,4.19401,2.74951,5.15029,0.765208,-2.76351,15.2358,151.668,49.1255,35319.9,221516,4.09807,2.65358,4.95841,0.669272,-2.85944,0.479152,130.298,48.334,35298.5,0.00367774,0.606369,0.00251604,35428.8 
64,11.03,10.06,44.783,64,36484.2,-0.488479,72.1651,11.7493,114.963,0.524963,247.694,477.137,1.25074,1.9104,-2.26083,-0.782619,-1.23208,39.0153,2912.44,64.0111,35023.2,31834.6,1.00507,1.66473,-2.75217,-1.02829,-1.47775,-0.0632659,2857.72,61.9843,34968.5,0.0755487,0.96343,0.00325464,37826.2 
65,11.03,10.06,44.923,65,34866.6,-0.475279,68.2371,11.8887,114.762,0.00990998,-301.23,499.742,3.515,2.01572,6.71886,2.09789,0.480625,30.9648,106.985,45.1857,36224.8,26506.2,3.32002,1.82074,6.3289,1.90291,0.285648,0.536623,63.5539,43.5772,36181.4,0.00175345,0.45456,0.00221373,36245 
66,11.03,10.06,44.773,66,34409.7,-0.232737,68.3635,11.5179,114.938,0.466533,-16.0819,9.34185e-06,4.41078,1.31655,0.0389552,-1.94167,5.27194,25.7419,2320.27,56.3217,33310.7,25876.9,4.24869,1.15446,-0.285225,-2.10376,5.10985,1.03511,2284.16,54.9845,33274.6,0.0642364,0.959577,0.00303475,35558.7 
67,11.03,10.06,44.833,67,34815.7,-0.445055,71.0202,11.359,115.037,-0.0728414,294.717,20.305,1.16581,3.03001,4.68994,3.38431,-1.80162,52.0659,4430.05,77.855,31716.7,26960.2,0.837961,2.70217,4.03425,3.05647,-2.12947,0.525459,4357.03,75.1503,31643.7,0.121026,0.9707,0.00435574,36000.7 
68,11.03,10.06,44.913,68,34246.3,-0.470888,67.3155,11.8439,114.945,0.531785,438.96,80.1218,5.79953,3.05507,0.77314,1.16053,2.3616,102.047,137.648,41.6521,35463.6,33553.1,5.15697,2.41251,-0.511987,0.517966,1.71903,1.05508,-5.4827,36.351,35320.5,-0.000155251,-0.0943154,0.00189226,35315 
69,11.03,10.06,44.813,69,34263,-0.411774,69.4696,11.3854,115.043,0.347162,191.703,33.8723,-0.59367,3.28935,4.9467,1.8011,0.881705,99.087,4434.75,74.9384,31107,27914.2,-1.21759,2.66542,3.69885,1.17717,0.25778,0.438004,4295.77,69.7911,30968,0.121818,0.972355,0.00413429,35263.8 
70,11.03,10.06,44.863,70,36325.8,-0.0515281,71.0038,11.7203,114.668,0.0958668,-33.8566,2.58147e-10,3.19019,4.84604,5.02542,-0.157909,-0.91684,41.5409,2921.06,77.9369,34771.9,27196.1,2.92862,4.58447,4.50228,-0.419481,-1.17841,0.567815,2862.79,75.7789,34713.6,0.0761859,0.955728,0.00400516,37576.4 
71,11.03,10.06,44.803,71,32926.2,-0.0587637,67.255,11.1988,114.902,0.0207208,-9.43347,500,4.27439,1.55785,2.58989,3.71354,-0.19186,95.189,3834.28,51.9254,30477.2,24524.8,3.67501,0.958473,1.39113,3.11416,-0.79124,0.833349,3700.77,46.9805,30343.7,0.108704,0.978267,0.00284398,34044.5 
72,11.03,10.06,44.903,72,33910.3,-0.112866,66.643,11.7004,115.035,0.026516,105.079,500,4.06805,4.09021,2.78268,-2.21277,3.07449,59.1191,309.857,43.7779,34924.2,25474.1,3.6958,3.71795,2.03816,-2.58502,2.70223,0.787006,226.936,40.7068,34841.2,0.00647129,0.761089,0.0021476,35068.2 
