cyc,delaytime,timecol,chargecol,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
42,50,0.05,0.72,44.723,42,32325.5,0.0135908,64.752,11.4421,115.075,-0.0255186,15.9367,500,3.47712,2.20083,4.32556,2.00214,-1.23402,-13.2001,160.007,32.0076,33504.5,24132,3.56024,2.28394,4.49179,2.08526,-1.1509,0.60145,178.522,32.6933,33523,0.00529715,0.757298,0.0017933,33701.5 
43,50,0.05,0.72,44.793,43,33352.8,-0.0571575,66.6424,11.5037,115.089,0.0228478,-13.8724,4.92741e-11,4.59743,-3.0621,-2.81392,-0.720868,0.991111,35.1763,1545.89,37.9432,33115.6,24966.8,4.37594,-3.28359,-3.25691,-0.942364,0.769615,-0.393441,1496.55,36.1159,33066.2,0.0432995,0.959479,0.00200796,34562.8 
44,50,0.05,0.72,44.783,44,33036,-0.0585581,66.2208,11.4239,114.976,0.0284799,-12.3841,500,2.77219,-0.669741,-5.35787,0.462253,1.63201,-4.14295,1083.85,44.4446,33242,24638,2.79828,-0.643654,-5.30569,0.48834,1.6581,-4.28123,1089.66,44.6599,33247.8,0.0317337,0.933076,0.00246828,34337.5 
45,50,0.05,0.72,44.883,45,32914.3,-0.383068,66.5711,11.4732,115.179,5.56624,-7337.76,197.329,3.66941,3.68351,2.78344,2.66766,3.70859,26.8988,1504.22,32.1066,32636.7,1.35446e+06,3.50003,3.51413,2.44469,2.49828,3.53921,0.842241,1466.49,30.7093,32599,0.0430492,0.964649,0.00173231,34065.5 
46,50,0.05,0.72,44.763,46,29899,0.0163588,61.8142,11.1404,114.855,-0.150717,6.99294,500,5.94348,-1.21136,-0.548145,-2.41896,1.44127,20.3757,243.882,24.3451,31095.3,22451.7,5.81518,-1.33966,-0.804746,-2.54726,1.31297,1.33029,215.303,23.2866,31066.7,0.00688263,0.840848,0.00137888,31282 
47,50,0.05,0.72,44.923,47,32284.5,-0.294793,64.9265,11.5192,115.056,-0.273776,1141.42,1.75419e-07,0.463277,1.75901,2.17852,2.77495,-4.13539,15.8171,106.096,29.4888,33431.7,34519.4,0.363681,1.65941,1.97933,2.67535,-4.23499,0.189725,83.9106,28.6671,33409.5,0.00250528,0.625834,0.00157813,33493.4 
48,50,0.05,0.72,44.863,48,29952.1,-0.433763,62.3453,11.2335,114.815,-0.572016,1586.29,471.535,1.9138,-0.21229,-0.523963,4.02974,1.61588,59.9998,2113.24,25.8036,29160.9,52337.3,1.53599,-0.590093,-1.27957,3.65193,1.23807,1.28083,2029.08,22.6867,29076.8,0.0652315,0.980809,0.00143521,31105.9 
49,50,0.05,0.72,44.813,49,31617.4,-0.00885802,65.0197,11.1552,115.27,-0.0189106,-7.77809,500,3.74226,2.11151,-2.15507,1.9487,-3.83998,-2.11373,2630.61,42.6735,30341.7,23615.9,3.75557,2.12482,-2.12845,1.96201,-3.82667,2.1278,2633.57,42.7833,30344.7,0.0798579,0.972357,0.00259048,32978.2 
50,50,0.05,0.72,44.743,50,30775.1,-0.156593,62.6009,11.3504,115.052,-0.222556,90.9981,0.000419285,5.38215,3.49506,-2.27603,3.74293,1.76971,-18.14,23.1135,25.1814,32046.6,23790,5.49637,3.60929,-2.04758,3.85716,1.88393,1.15998,48.5566,26.1237,32072.1,0.0015117,0.515063,0.00149821,32120.6 
51,50,0.05,0.72,44.823,51,32402.5,-0.0236676,66.4456,11.1743,114.81,-0.41453,525.502,500,3.60944,1.10289,-5.97262,-0.130284,0.211011,41.1961,3100.07,62.1701,30633.8,31261.7,3.35004,0.843491,-6.49142,-0.389685,-0.0483893,-1.37262,3042.29,60.0301,30576,0.090495,0.966622,0.00360358,33618.3 
52,50,0.05,0.72,44.833,52,32073.7,-0.0128668,65.9154,11.1666,115.281,-0.1598,162.002,500,2.13735,-0.960797,-0.41719,0.952522,-1.94388,48.4875,3264.98,52.0806,30046.2,24803.6,1.83204,-1.26611,-1.02782,0.647209,-2.24919,0.501997,3196.97,49.5618,29978.2,0.0963663,0.973587,0.00303624,33175.2 
53,50,0.05,0.72,44.753,53,33605.5,-0.489306,67.0457,11.7152,115.065,0.620057,-483.778,114.875,2.38093,-0.637741,0.14998,0.94093,0.418235,42.1852,188.607,37.7035,34792.4,35334.1,2.1153,-0.903369,-0.381277,0.675301,0.152606,1.22988,129.438,35.5121,34733.3,0.0037128,0.67562,0.00187987,34862.7 
54,50,0.05,0.72,44.873,54,33055.8,-0.0504067,66.4719,11.3587,114.856,0.00713228,0.0985444,500,2.03766,2.56641,-1.97301,0.20426,3.84496,56.1738,2079.83,37.6502,32281.1,24579,1.68395,2.2127,-2.68043,-0.149452,3.49125,1.58807,2001.04,34.732,32202.3,0.0585041,0.970521,0.00198288,34203.4 
55,50,0.05,0.72,44.803,55,30185.8,-0.0178863,62.3737,11.1322,114.71,-0.00332839,-161.299,500,1.72656,1.96063,-0.673408,2.99318,1.34607,37.4033,2072.27,38.5797,29419.1,22621,1.49104,1.72511,-1.14445,2.75766,1.11055,1.19267,2019.81,36.6367,29366.7,0.064353,0.969234,0.00229287,31386.5 
56,50,0.05,0.72,44.913,56,31686.6,-0.0467902,64.3765,11.3897,114.925,0.0544391,41.8297,500,4.12701,0.539038,-0.449731,0.217088,2.08361,26.1074,275.887,40.8198,32818.4,23943.2,3.96262,0.374647,-0.778514,0.052697,1.91922,1.14076,239.269,39.4636,32781.8,0.00724594,0.776015,0.00221267,33021.1 
