cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
150,0.88,44.623,150,44082.3,-0.580598,79.3389,12.8988,115.801,1.71325,-533.361,324.824,5.81745,0.753706,2.55958,2.66531,7.01927,-56.8712,163.828,1530.55,40767.2,63060.7,6.17555,1.11181,3.27579,3.02342,7.37737,0.843742,191.581,1548.59,40794.9,0.00406704,0.0660255,0.0653569,47105.8,-0.00219314,-0.0293953,9.8892,6.98375,101.001,76.5412,3.11178,13.2016,13.9411,115.416,140.292,-14.4149,-63.7509 
151,0.88,44.723,151,43142.8,-0.563437,77.6912,12.8839,115.84,1.61351,-32.5617,317.255,2.91791,2.04457,6.39449,2.06651,1.18507,-108.309,9.66288,1511.41,40012.8,34295.1,3.5999,2.72657,7.75848,2.7485,1.86707,0.58512,62.5174,1545.76,40065.7,0.00135501,0.022589,0.0663541,46138.1,-0.00238519,-0.0310481,10.3492,7.16479,101.033,76.3717,3.02678,13.2253,14.0927,115.483,139.164,-14.4506,-62.7928 
152,0.88,44.643,152,45310.5,-0.343925,79.1731,13.1556,115.809,-0.0919672,-2.89447,485.596,0.427489,1.58597,1.6952,2.13215,4.03978,-142.333,63.3138,1668.77,41006.7,33915.2,1.32372,2.4822,3.48766,3.02838,4.93601,0.771421,132.772,1713.92,41076.1,0.00280284,0.0423902,0.0713765,47370.3,-0.0022483,-0.0300542,10.8215,6.76689,101.002,76.8638,2.97798,13.5816,14.5553,115.498,139.067,-14.4959,-62.2028 
153,0.88,44.963,153,44911.4,-0.31644,80.9646,12.8928,115.792,0.0239737,-259.32,492.238,4.83802,-1.00941,9.04331,4.78955,4.36573,-85.0472,170.649,1437.13,41162.1,34183.6,5.37354,-0.473894,10.1144,5.32507,4.90125,0.599278,212.152,1464.11,41203.6,0.00445732,0.0764694,0.0614351,47596.3,-0.00802559,0.0154266,-316.066,45.8158,114.282,73.2632,3.08738,13.2845,14.2717,115.543,139.907,-1.2602,-66.6438 
154,0.88,44.663,154,44023.9,-0.155923,78.9361,12.7798,116.146,0.518491,-108.065,500,3.76099,1.27874,4.3619,-1.10735,3.94313,-57.6371,52.6148,1239.91,40855.6,34663.3,4.12392,1.64166,5.08775,-0.74442,4.30605,0.647051,80.7415,1258.19,40883.7,0.00171437,0.0353731,0.0536491,47097,-0.00243029,-0.0286527,9.53843,-6.62631,103.138,76.0677,3.09715,13.223,14.0419,115.795,139.654,-12.6573,-63.586 
155,0.88,44.763,155,42165.9,-0.12828,78.3179,12.3756,116.094,0.0279469,-22.1605,500,1.8147,3.59962,4.89815,0.0854388,1.82707,-94.9327,846.404,1468.59,38553.8,31571.8,2.41247,4.19739,6.09369,0.683205,2.42483,0.614606,892.731,1498.7,38600.1,0.0197146,0.253945,0.0667482,45282.8,-0.00315443,0.139576,11.899,14.2208,118.69,91.3385,3.01936,12.8817,13.8046,115.773,138.821,2.91714,-47.4827 
156,0.88,45.003,156,43319.2,-0.525893,76.5001,13.1027,115.804,1.18749,65.6792,92.8494,5.13856,2.55954,2.24153,1.13139,1.12095,-87.472,176.357,1504.89,39396.8,35169.1,5.68934,3.11033,3.34311,1.68218,1.67174,0.78427,219.043,1532.64,39439.5,0.00480626,0.075502,0.0668029,45574.5,-0.00182261,-0.0330606,-10.5793,-6.96585,101,76.4477,2.95246,13.3996,14.1202,115.398,139.401,-14.3978,-62.9532 
157,0.88,44.703,157,43913.3,-0.130632,78.8199,12.7867,115.98,-0.461205,243.979,500,2.94027,8.46136,8.54714,0.645212,3.55051,-79.0737,318.454,1586.93,40092.3,36471.9,3.43818,8.95927,9.54296,1.14312,4.04842,0.648276,357.041,1612.02,40130.8,0.00767707,0.112345,0.0688974,46507.5,-0.00321041,0.08648,-12.7444,14.1702,122.785,96.1939,3.01482,13.2287,14.2197,115.598,139.229,7.18715,-43.0349 
158,0.88,44.783,158,44326.8,-0.00160834,78.9742,12.7829,116.093,0.0597024,-36.1695,8.56103e-11,1.63246,3.3577,4.35969,3.43758,-0.235673,-90.7007,2517.02,2317.58,37148.4,32933.4,2.20358,3.92882,5.50193,4.0087,0.335446,0.655666,2561.28,2346.35,37192.6,0.0564995,0.38415,0.104113,45332.8,-0.00261861,0.322315,12.1866,13.4185,117.549,89.9201,2.78781,13.2927,14.2178,115.653,139.452,1.89655,-49.5318 
159,0.88,44.983,159,44723.1,-0.436042,80.2246,12.8776,116.083,0.542818,-183.757,21.2933,4.37628,-0.469436,5.38553,1.34202,1.24845,-65.232,261.046,1598.65,40826.7,36877.9,4.78703,-0.0586878,6.20703,1.75277,1.6592,0.567374,292.879,1619.34,40858.5,0.00619454,0.0936695,0.0680405,47280.2,-0.00799841,0.0159185,256.892,45.928,101.001,74.3322,3.03378,13.3256,14.3758,115.73,139.128,-14.7287,-64.7961 
