cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
21,1.4,21,17351.3,0,5,101,125,0,5,135,-6.28251,-2.71851,-9.38201,-9.34136,-5.13715,-73.6998,7.48976,24190.3,-21.8882,16439.4,-5.99775,-2.43375,-8.81248,-9.0566,-4.85239,0.717122,11.7968,24513.3,-17.5812,-1.26838,0.000274919,1.00039,-9.30067,477.024,560.494,0.726106,32069.5,8.43942e-07,0.612693,109.501,85.1709,23.454,25.1876,0.931172,500.034,587.472,0.642215 
22,1.2,22,17465.9,0,5,101,125,0,5,135,-5.88547,-5.77525,-7.54111,-10.8655,-5.75044,72.2121,-0.767879,24446.1,-10.5137,16439.4,-6.16449,-6.05427,-8.09913,-11.1446,-6.02946,0.783976,-4.98795,24129.6,-14.7338,0.220039,-0.000118137,1.00033,-22.6685,453.045,530.582,0.526888,33035,8.52328e-07,0.575229,109.787,84.9933,23.5681,25.273,0.932543,504.912,591.459,0.641156 
23,1.6,23,20548.7,0,5,101,125,0,5,135,-3.37876,-4.28369,-10.2694,-4.51208,-10.0598,-40.4582,1.068,27204.5,-8.50574,16439.4,-3.22244,-4.12737,-9.95675,-4.35576,-9.90348,0.684572,3.43238,27381.8,-6.14136,-0.871768,7.16249e-05,1.00012,-3.93726,492.319,594.32,0.782519,36137.5,8.78216e-07,0.615931,109.707,85.3887,23.7252,25.8229,0.918764,511.663,617.48,0.640033 
24,1.8,24,19638.2,0,5,101,125,0,5,135,-2.01661,-3.26008,-12.1667,-8.14056,-11.3147,-31.671,-0.26512,26104.3,-15.055,16439.4,-1.89424,-3.1377,-11.922,-8.01819,-11.1923,0.67034,1.58573,26243.1,-13.2042,-0.111207,3.45272e-05,1.00027,-14.2593,460.616,578.426,838.728,33213,8.53856e-07,0.604517,109.34,85.7526,23.9127,25.6822,0.931098,519.782,610.769,0.659879 
25,0.2,25,17469.6,0,5,101,125,0,5,135,-9.39726,-4.41331,-10.5826,-4.55235,-4.71709,-22.7644,1.9761,24412.3,-28.8762,16439.4,-9.30931,-4.32535,-10.4067,-4.46439,-4.62913,0.68593,3.30646,24512.1,-27.5459,-0.111147,7.70747e-05,1.00061,-29.7486,410.061,479.667,0.463894,32470.2,8.47442e-07,0.52334,109.482,85.5426,22.8478,24.503,0.932448,474.519,555.97,0.606098 
26,0.8,26,19846.6,0,5,101,125,0,5,135,-7.18175,-6.06778,-12.4609,-6.38159,-7.24603,-60.6283,-6.88655,26497.9,0.394991,16439.4,-6.94749,-5.83353,-11.9924,-6.14733,-7.01177,0.683849,-3.34344,26763.6,3.93811,-2.41876,-7.13906e-05,0.99992,1.38229,423.928,514.34,0.481662,35167,8.70283e-07,0.536551,109.462,85.0826,23.0852,25.2058,0.915867,484.432,588.322,0.613427 
27,0.01,27,15926,0,5,101,125,0,5,135,-6.76696,-2.61063,-8.30457,-8.01511,-4.46282,-136.974,-8.22847,22487.1,-3.54817,16439.4,-6.23772,-2.08139,-7.2461,-7.48587,-3.93358,0.731474,-0.223734,23087.5,4.45657,-0.0436627,-5.53758e-06,0.999895,5.12415,387.559,450.236,0.409843,29846.2,8.2397e-07,0.506964,109.269,85.4869,22.743,24.2782,0.936767,470.176,545.813,0.61481 
28,2,28,21351.4,0,5,101,125,0,5,135,-9.45188,-5.43926,-6.79994,-2.84258,-8.65601,-99.7682,-7.29,28012.1,5.9955,16439.4,-9.06639,-5.05378,-6.02897,-2.45709,-8.27052,0.804741,-1.45955,28449.4,11.826,-0.11464,-2.93171e-05,0.999774,12.7316,518.412,603.124,0.775664,37797.6,8.91463e-07,0.627245,109.437,85.1642,24.3575,26.0295,0.935766,539.301,627.399,0.652505 
29,1,29,18425.4,0,5,101,125,0,5,135,-2.44332,-4.21081,-7.03656,-1.7313,-6.82682,-102.414,10.2029,25081.1,-9.18754,16439.4,-2.04762,-3.8151,-6.24515,-1.33559,-6.43111,0.685772,16.188,25529.9,-3.20246,1.31129,0.0003622,1.00007,12.3451,433.422,522.478,0.4997,33555.1,8.56777e-07,0.55542,109.693,85.3465,23.2366,25.2789,0.919208,490.807,591.739,0.629003 
30,0.4,30,21967.3,0,5,101,125,0,5,135,-6.38254,-4.83679,-8.11576,-1.73096,-5.77306,-82.8684,8.08173,28064.2,20.55,16439.4,-6.06236,-4.51661,-7.47538,-1.41078,-5.45287,0.700001,12.9246,28427.4,25.3928,0.297829,0.000259733,0.999515,43.3959,440.705,513.574,0.550642,36653.7,8.82377e-07,0.539164,109.914,85.2423,23.1203,24.7278,0.934993,485.907,566.217,0.594448 
31,0.6,31,18485.9,0,5,101,125,0,5,135,-4.65586,-1.21411,-2.83359,-7.67787,-7.30313,-94.8076,23.5499,24298.5,-4.31896,16439.4,-4.28954,-0.847792,-2.10095,-7.31155,-6.93681,0.902221,29.0904,24714,1.2216,0.952026,0.000672166,0.999973,30.5564,467.249,555.676,0.851981,32724.4,8.49648e-07,0.599717,109.945,85.0568,23.0155,24.8733,0.925308,481.511,572.902,0.618165 
32,1.4,32,20928,0,5,101,125,0,5,135,-3.7324,-4.63763,-5.83366,-9.67052,-7.32528,-78.4749,9.74488,26690.2,8.22504,16439.4,-3.42919,-4.33442,-5.22723,-9.36731,-7.02207,0.822083,14.331,27034.1,12.8111,0.482454,0.000302826,0.999743,29.7043,486.539,577.749,0.7958,35566.8,8.73568e-07,0.60692,109.312,84.9933,23.5621,25.44,0.926184,504.654,599.302,0.62954 
33,1.2,33,19517.1,0,5,101,125,0,5,135,-4.16769,-1.29515,-6.08711,-5.86254,-11.5839,-95.3065,15.3737,25423.8,12.3624,16439.4,-3.79944,-0.926904,-5.35062,-5.4943,-11.2156,0.800252,20.9434,25841.5,17.9321,0.493228,0.000462905,0.999623,42.462,437.987,531.771,0.5371,33408,8.55524e-07,0.564106,109.681,85.1499,23.1232,25.2418,0.916071,486.029,589.999,0.625929 
