cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,35,0,20508.8,0,5,101,125,0,5,135,-4.90345,-4.62962,-4.93673,1.17876,-6.37164,8.38504,4.10575,27023.5,1.03847,16439.4,-4.93585,-4.66201,-5.00152,1.14636,-6.40404,0.748124,3.61573,26986.8,0.548447,0.846009,7.6555e-05,0.999989,4.27387,663.742,805.139,0.73079,37933.2,8.92528e-07,0.819056,109.524,82.5189,27.6801,30.1961,0.91668,696.469,844.332,0.859183 
1,40,1,18921.5,0,5,101,125,0,5,135,-9.04026,-6.96742,-9.85702,-5.78669,-4.83065,-26.2655,14.6542,25240.8,15.8217,16439.4,-8.93877,-6.86594,-9.65405,-5.6852,-4.72917,0.730884,16.1891,25355.9,17.3567,0.437341,0.000364709,0.999629,37.0171,632.645,779.126,0.534156,35300.2,8.7138e-07,0.805705,109.405,83.2424,27.8562,30.6239,0.909621,705.355,868.428,0.89818 
2,60,2,22097.4,0,5,101,125,0,5,135,-4.93585,-7.51812,-8.09126,-7.74142,-3.5699,-7.49364,21.1636,28194.3,23.1085,16439.4,-4.9069,-7.48917,-8.03335,-7.71246,-3.54095,0.746445,21.6015,28227.1,23.5464,0.433268,0.000437108,0.999547,49.8572,698.201,855.053,0.604873,39923.8,9.07874e-07,0.851062,109.395,82.5809,28.8664,31.6268,0.912721,757.446,926.239,0.922596 
3,15,3,20952,0,5,101,125,0,5,135,-5.64173,-2.9008,-6.46115,-2.01681,-5.94249,-44.2276,5.42187,27175,-4.88657,16439.4,-5.47085,-2.72991,-6.11938,-1.84592,-5.77161,0.721056,8.00653,27368.9,-2.30191,1.52673,0.000167138,1.00005,5.24423,553.592,656.955,0.613663,36979,8.8498e-07,0.681443,109.313,83.9188,25.623,27.653,0.926592,596.797,708.103,0.734561 
4,30,4,19970.6,0,5,101,125,0,5,135,-4.52104,-3.09811,0.707231,-5.81133,-7.69601,-139.117,7.14752,25637.4,28.5822,16439.4,-3.98352,-2.56059,1.78227,-5.27381,-7.15849,1.10366,15.2775,26247.2,36.7123,0.257491,0.000332497,0.999241,59.3322,654.791,798.328,0.988745,35353.5,8.71818e-07,0.829309,109.448,83.5368,27.1169,29.6628,0.914171,668.412,814.772,0.846475 
5,7.5,5,19964.9,0,5,101,125,0,5,135,-6.70526,-6.31632,-6.0844,-6.79083,-4.61859,-28.7806,8.64023,26331.7,10.3771,16439.4,-6.59405,-6.20511,-5.86199,-6.67963,-4.50739,0.803606,10.3222,26457.9,12.059,0.416334,0.000222885,0.999753,24.793,480.925,581.474,0.71008,35554.8,8.7347e-07,0.605419,109.444,85.4206,23.5838,25.6972,0.917757,505.582,611.482,0.636561 
6,50,6,18732,0,5,101,125,0,5,135,-4.13053,-2.74053,-9.85943,-3.28299,-2.26549,-28.024,21.3299,24910.7,15.9429,16439.4,-4.02226,-2.63225,-9.64287,-3.17471,-2.15721,0.554176,22.9677,25033.5,17.5806,0.521229,0.000523998,0.999619,44.0644,680.444,822.337,0.610955,34912.1,8.68175e-07,0.861616,109.497,83.2459,28.459,30.9876,0.918399,736.216,889.179,0.931944 
7,5,7,19237.9,0,5,101,125,0,5,135,-2.32653,-2.88882,-1.26068,-5.61862,-6.67558,-75.6957,-15.3624,25486.7,16.3981,16439.4,-2.03406,-2.59634,-0.675738,-5.32614,-6.38311,0.960287,-10.9387,25818.5,20.8218,-0.778703,-0.000242161,0.999562,14.0474,505.908,604.647,0.640954,34626.4,8.658e-07,0.638806,109.329,84.6351,24.3845,26.4147,0.923141,540.498,646.107,0.682545 
8,20,8,23049.9,0,5,101,125,0,5,135,-1.08197,-2.70752,-10.1619,-3.52228,-7.36579,-64.1621,9.78378,29141,17.765,16439.4,-0.834063,-2.45961,-9.66607,-3.27437,-7.11788,0.586071,13.5334,29422.2,21.5146,0.343916,0.000262772,0.999603,39.3509,611.42,740.775,0.978489,40283.1,9.1059e-07,0.739077,109.337,84.0156,26.2083,28.5804,0.917,624.37,756.398,0.754698 
9,2.5,9,18982.6,0,5,101,125,0,5,135,-4.98677,-4.67521,-0.33347,-3.33267,-5.6221,-49.062,-10.3461,25414.6,-0.625326,16439.4,-4.79721,-4.48565,0.0456609,-3.1431,-5.43254,1.00256,-7.47889,25629.6,2.24185,1.56179,-0.000166774,0.999953,-4.78866,457.729,551.875,0.610842,34418.9,8.64067e-07,0.58167,109.552,84.9961,23.2843,25.3467,0.918632,492.824,594.916,0.626651 
