cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,10,0,20298.6,0,5,101,125,0,5,135,-2.6968,-6.19476,-12.1346,-8.77519,-9.22626,21.9382,0.324077,27394.6,-22.4291,16439.4,-2.78157,-6.27953,-12.3041,-8.85996,-9.31102,0.688789,-0.957991,27298.5,-23.7112,0.0325721,-2.00537e-05,1.00047,-29.4114,419.411,487.673,0.47957,35769.1,8.75221e-07,0.516733,109.384,85.641,22.9861,24.5441,0.936521,480.282,557.837,0.591404 
1,20,1,19306.9,0,5,101,125,0,5,135,-7.10368,-7.23324,-12.4066,-9.54347,-7.7625,-115.03,7.56349,26099.4,-6.64267,16439.4,-6.65922,-6.78879,-11.5177,-9.09901,-7.31804,0.721679,14.2859,26603.5,0.0797023,0.99335,0.000306758,0.999998,14.3815,468.52,514.221,0.449703,34177.3,8.62041e-07,0.569391,109.154,85.7312,24.5865,25.5013,0.964127,549.489,602.195,0.667299 
2,30,2,21442.4,0,5,101,125,0,5,135,-2.65423,-8.83567,-10.5075,-4.09108,-8.25192,-40.1442,20.1099,28713.9,-14.6509,16439.4,-2.49912,-8.68056,-10.1972,-3.93597,-8.09681,0.694782,22.4559,28889.8,-12.3049,2.92013,0.000443971,1.00023,7.69004,562.345,634.657,1.06839,38377,8.95995e-07,0.666754,109.021,84.7641,25.0721,26.3889,0.950099,571.407,644.844,0.677477 
3,40,3,22119.2,0,5,101,125,0,5,135,-0.191688,-3.18561,-10.5783,-4.81586,-4.89941,-87.4027,2.76932,29169.4,-17.2326,16439.4,0.146018,-2.8479,-9.90289,-4.47815,-4.56171,0.542478,7.87713,29552.4,-12.1248,-1.18051,0.00015229,1.00022,-6.67267,571.719,645.893,0.750407,38730.7,8.98739e-07,0.676142,109.088,84.5593,25.6359,26.9921,0.949756,597.398,674.663,0.706386 
4,50,4,20586.2,0,5,101,125,0,5,135,-3.60654,-3.65435,-6.75839,-6.33651,-7.59633,-105.949,33.1783,27952.6,-24.4038,16439.4,-3.19717,-3.24498,-5.93967,-5.92715,-7.18696,0.767035,39.37,28416.9,-18.2122,2.24774,0.000791054,1.00035,17.5154,606.07,679.798,1.49316,37673.7,8.90488e-07,0.720815,108.868,84.917,25.899,27.1755,0.953027,609.723,683.862,0.725141 
5,60,5,20172.2,0,5,101,125,0,5,135,-7.34788,-6.89791,-9.73475,-9.53893,-6.60532,-133.671,18.7246,27156.9,16.1447,16439.4,-6.8314,-6.38143,-8.70179,-9.02245,-6.08884,0.764981,26.5364,27742.8,23.9564,0.48,0.000546282,0.999531,55.2841,623.184,714.127,5e+10,36918.6,8.84498e-07,0.754221,108.812,84.8144,26.1833,27.7702,0.942854,623.181,714.121,0.754216 
6,70,6,20154.7,0,5,101,125,0,5,135,-8.11092,-4.95836,-7.6533,-9.70795,-4.45976,-117.182,4.50706,26822.1,-0.878229,16439.4,-7.65815,-4.50559,-6.74776,-9.25518,-4.00699,0.790271,11.3552,27335.7,5.96988,0.613162,0.000237314,0.999881,18.519,593.923,677.154,0.692584,35995.4,8.77063e-07,0.723066,108.618,84.7062,26.279,27.7809,0.945937,627.745,714.67,0.763684 
7,80,7,19290.2,0,5,101,125,0,5,135,-7.58258,-7.22344,-8.00579,-6.43907,-8.17724,-139.318,20.2008,25780.9,0.773359,16439.4,-7.04428,-6.68514,-6.92919,-5.90078,-7.63894,0.797382,28.3426,26391.5,8.91511,0.725975,0.000613296,0.999817,39.0407,616.566,682.601,0.800281,34431.5,8.64172e-07,0.750712,108.615,84.7935,26.5305,27.6544,0.95936,639.82,708.177,0.778932 
8,90,8,18076.5,0,5,101,125,0,5,135,-6.93791,-3.20711,-3.6086,-6.13825,-7.78791,-211.209,12.7817,25124.2,-9.68691,16439.4,-6.12185,-2.39104,-1.97646,-5.32218,-6.97184,0.91325,25.1247,26049.9,2.65613,0.887421,0.000550829,0.999945,28.312,608.697,674.631,0.692204,33624,8.57363e-07,0.747427,108.763,84.5183,26.6047,27.7386,0.959123,643.404,712.496,0.789711 
9,100,9,17137.2,0,5,101,125,0,5,135,-6.72883,-4.33023,-11.9192,-5.54101,-0.200179,-136.103,17.3622,23999.9,4.10257,16439.4,-6.20296,-3.80435,-10.8674,-5.01513,0.325694,0.574897,25.316,24596.4,12.0564,0.636341,0.0005878,0.999734,39.7837,598.614,650.917,0.582348,32104.2,8.44246e-07,0.739379,109.138,84.0652,26.81,27.6892,0.968245,653.368,709.96,0.806727 
