cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,17207.8,0,5,101,125,0,5,135,-7.9626,-4.2766,-11.4871,-9.42854,-4.8555,372.353,-44.7142,31128.1,-50.9873,16439.4,-9.4013,-5.7153,-14.3645,-10.8672,-6.2942,0.69203,-66.4746,29496,-72.7476,0.432294,-0.00128948,1.00134,-153.772,597.575,638.251,1.48189,43345.2,9.33101e-07,0.661856,112.213,86.6561,25.7168,26.3344,0.976547,601.173,642.185,0.665888 
1,4.99,0.01,1,15865.2,0,5,101,125,0,5,135,-6.28785,-4.84072,-16.2553,-10.2328,-8.58923,413.869,-22.135,29685.1,-55.3476,16439.4,-7.88696,-6.43983,-19.4535,-11.8319,-10.1883,0.651374,-46.3215,27871.1,-79.5341,0.326754,-0.000950611,1.00155,-141.762,625.011,649.004,0.689746,41359.3,9.18627e-07,0.693311,111.903,86.3646,26.9474,27.2096,0.990366,660.086,685.576,0.732299 
2,1.49,3.51,2,14822.8,0,5,101,125,0,5,135,-7.04903,-7.3307,-19.8744,-14.7326,-10.1283,368.243,-32.7514,29211,-45.9959,16439.4,-8.47184,-8.75352,-22.7201,-16.1554,-11.5511,0.664162,-54.2715,27597,-67.516,0.401147,-0.00112502,1.00133,-135.291,561.921,610.81,0.776252,40676.2,9.13542e-07,0.641301,112.254,86.596,25.3553,26.1949,0.967946,584.39,635.4,0.667032 
3,2.99,2.01,3,18932.7,0,5,101,125,0,5,135,-5.79394,-7.49631,-20.6903,-6.47083,-11.7964,379.049,-31.1152,32516.7,-44.2044,16439.4,-7.25851,-8.96089,-23.6195,-7.9354,-13.2609,0.613019,-53.2669,30855.3,-66.356,0.400822,-0.000987456,1.00117,-132.894,616.648,643.499,1.13323,44779.7,9.43283e-07,0.667806,112.59,86.2197,26.2219,26.5403,0.988002,625.019,652.266,0.676888 
4,4.49,0.51,4,16872.9,0,5,101,125,0,5,135,-5.19199,-0.941474,-8.57538,-7.3151,-9.05145,299.825,-69.7319,30634.6,-53.9731,16439.4,-6.35046,-2.09994,-10.8923,-8.47356,-10.2099,0.713558,-87.2536,29320.4,-71.4948,0.504218,-0.00170339,1.00133,-173.047,591.133,622.707,0.574481,43052.2,9.30994e-07,0.651685,112.385,86.8909,26.6498,27.1142,0.982874,645.585,680.776,0.712085 
5,3.49,1.51,5,16590,0,5,101,125,0,5,135,-9.10907,-4.8945,-16.4099,-5.53004,-8.0331,385.339,-46.5995,30756.6,-55.0453,16439.4,-10.5979,-6.38337,-19.3877,-7.01891,-9.52198,0.633572,-69.1188,29067.7,-77.5646,0.426143,-0.00136063,1.00145,-162.196,595.31,617.667,0.611776,42744.9,9.28774e-07,0.652888,112.065,86.5994,26.5698,26.821,0.990634,641.715,666.136,0.703951 
6,3.99,1.01,6,16013.3,0,5,101,125,0,5,135,-10.6329,-2.96805,-13.2993,-6.3047,-10.2468,378.392,-18.8945,29657.5,-25.3315,16439.4,-12.095,-4.43008,-16.2234,-7.76673,-11.7089,0.68935,-41.0078,27999,-47.4447,0.418697,-0.000837625,1.00092,-97.9414,580.482,613.647,0.571754,41100.8,9.1671e-07,0.651061,112.285,86.5254,26.4268,26.9214,0.981627,634.827,671.134,0.712033 
7,0.49,4.51,7,12197.6,0,5,101,125,0,5,135,-8.33118,-2.93069,-13.6354,-5.84371,-8.74401,414.325,-23.4602,26431.7,-68.7477,16439.4,-9.93205,-4.53156,-16.8371,-7.44458,-10.3449,0.657017,-47.6733,24615.7,-92.9608,0.299406,-0.00110791,1.00205,-159.226,546.713,566.65,0.82345,36840.5,8.83874e-07,0.629719,111.123,87.5347,24.932,25.1545,0.991154,565.041,585.929,0.650987 
8,0.99,4.01,8,17930.3,0,5,101,125,0,5,135,-8.75633,-9.87822,-14.7935,-9.23355,-12.5004,395.974,-30.2699,31150.8,-55.0377,16439.4,-10.2863,-11.4082,-17.8535,-10.7635,-14.0304,0.722522,-53.4106,29415.3,-78.1784,0.362783,-0.00103864,1.00144,-147.225,546.713,571.97,0.555829,42041.1,9.23648e-07,0.605425,111.631,87.2395,25.7241,26.0787,0.986403,601.515,629.773,0.66636 
9,0.01,4.99,9,17346.6,0,5,101,125,0,5,135,-12.5614,-5.84268,-16.2244,-11.5743,-9.46711,384.8,-28.1439,30787.9,-41.8771,16439.4,-14.0482,-7.32948,-19.198,-13.061,-10.9539,0.702774,-50.6317,29101.3,-64.3648,0.395964,-0.000995185,1.0012,-127.869,566.318,597.619,0.781726,42154.9,9.24481e-07,0.629281,111.181,87.4133,25.4425,25.9,0.982336,588.417,621.172,0.65396 
